<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130115;000000;497.7700000;510.1100000;490.0900000;505.0000000;680
20130116;000000;518.0000000;518.0000000;518.0000000;518.0000000;10
20130122;000000;517.9800000;517.9800000;517.9800000;517.9800000;10
20130124;000000;549.9900000;549.9900000;549.9900000;549.9900000;10
20130130;000000;496.1400000;496.1400000;496.1300000;496.1300000;30
20130204;000000;551.9300000;551.9300000;549.9700000;549.9700000;20
20130205;000000;554.8200000;554.8200000;554.8200000;554.8200000;10
20130306;000000;495.5300000;495.5300000;495.5300000;495.5300000;10
20130318;000000;475.0000000;500.0000000;475.0000000;500.0000000;1240
20130320;000000;490.0100000;490.0100000;490.0100000;490.0100000;50
20130326;000000;549.9600000;549.9600000;549.9600000;549.9600000;10
20130328;000000;542.8700000;542.8700000;542.8700000;542.8700000;10
20130329;000000;519.8700000;519.8700000;519.8700000;519.8700000;10
20130402;000000;466.7300000;500.0000000;466.0000000;490.0000000;960
20130404;000000;490.0100000;490.0100000;490.0000000;490.0000000;50
20130405;000000;489.9900000;490.0000000;489.9900000;490.0000000;280
20130408;000000;499.9700000;500.0000000;499.9700000;500.0000000;110
20130409;000000;490.0000000;490.0000000;490.0000000;490.0000000;400
20130411;000000;514.9700000;515.0000000;510.0400000;515.0000000;360
20130416;000000;510.0000000;510.0000000;510.0000000;510.0000000;10
20130502;000000;490.0400000;490.0400000;490.0400000;490.0400000;30
20130514;000000;499.9900000;500.0000000;482.9400000;482.9400000;80
20130516;000000;499.9700000;499.9700000;499.9700000;499.9700000;10
20130517;000000;485.0100000;485.0100000;485.0000000;485.0000000;210
20130520;000000;485.0000000;485.0000000;485.0000000;485.0000000;50
20130521;000000;481.0000000;481.0000000;480.0000000;480.0000000;150
20130528;000000;430.0100000;430.0100000;430.0100000;430.0100000;20
20130531;000000;412.2000000;448.0000000;400.0000000;448.0000000;120
20130603;000000;443.0000000;447.9800000;443.0000000;447.9800000;30
20130619;000000;479.9900000;479.9900000;479.9900000;479.9900000;10
20130704;000000;400.0200000;449.9700000;400.0200000;449.9700000;1030
20130705;000000;454.6300000;454.6300000;454.6300000;454.6300000;10
20130710;000000;449.9800000;449.9800000;449.9800000;449.9800000;10
20130722;000000;407.0400000;407.0400000;407.0400000;407.0400000;10
20130731;000000;407.0100000;407.0100000;407.0000000;407.0000000;30
20130801;000000;411.0900000;411.0900000;411.0900000;411.0900000;10
20130806;000000;411.0100000;435.0000000;411.0100000;435.0000000;30
20130807;000000;420.0000000;420.0000000;420.0000000;420.0000000;10
20130808;000000;420.0000000;420.0000000;420.0000000;420.0000000;10
20130814;000000;410.0900000;410.0900000;410.0900000;410.0900000;10
20130815;000000;451.0000000;461.0000000;451.0000000;461.0000000;110
20130828;000000;413.0100000;438.9900000;413.0000000;438.9900000;100
20130902;000000;413.0000000;413.0000000;413.0000000;413.0000000;10
20130919;000000;405.0000000;405.0000000;405.0000000;405.0000000;10
20130920;000000;421.2500000;421.2600000;411.0100000;411.0100000;100
20130924;000000;402.0200000;402.0200000;402.0200000;402.0200000;10
20130925;000000;410.0100000;410.0100000;410.0000000;410.0000000;120
20130926;000000;412.0100000;412.0100000;412.0000000;412.0000000;20
20130927;000000;433.0000000;440.4900000;433.0000000;440.0000000;120
20131002;000000;420.0100000;440.0000000;413.0000000;440.0000000;400
20131007;000000;440.0000000;440.0000000;440.0000000;440.0000000;100
20131008;000000;458.9900000;459.9900000;458.9900000;459.9900000;470
20131010;000000;421.0900000;459.0000000;421.0500000;459.0000000;120
20131016;000000;435.0100000;440.0000000;435.0000000;440.0000000;240
20131018;000000;437.0000000;437.0000000;437.0000000;437.0000000;10
20131114;000000;478.9900000;480.0000000;475.0000000;475.0000000;230
20131118;000000;456.0100000;456.0100000;456.0100000;456.0100000;10
20131205;000000;450.0100000;450.0100000;450.0000000;450.0000000;750
20131210;000000;455.0000000;455.0000000;455.0000000;455.0000000;20
20131211;000000;485.5000000;485.5200000;485.5000000;485.5200000;40
20131217;000000;500.0000000;500.0000000;500.0000000;500.0000000;20
20131225;000000;470.0000000;479.9800000;469.7100000;475.0000000;230
20131227;000000;499.9800000;499.9800000;499.9800000;499.9800000;40
