<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;520.0100000;520.0100000;491.0000000;520.0000000;650
20130109;000000;515.0000000;530.0000000;515.0000000;530.0000000;250
20130110;000000;514.0000000;530.0000000;514.0000000;530.0000000;560
20130114;000000;530.0000000;530.0000000;530.0000000;530.0000000;160
20130115;000000;522.0300000;524.0000000;520.0000000;520.0000000;400
20130117;000000;525.0000000;525.0000000;525.0000000;525.0000000;10
20130121;000000;524.9800000;525.0000000;524.9800000;525.0000000;210
20130122;000000;525.0000000;534.9500000;523.1200000;534.9500000;100
20130123;000000;535.0000000;554.9700000;526.2700000;553.9900000;100
20130124;000000;535.0100000;538.0000000;527.0500000;527.0500000;400
20130128;000000;530.1400000;530.1400000;530.0000000;530.0000000;230
20130129;000000;532.0000000;544.9900000;530.0100000;544.9900000;560
20130130;000000;535.4500000;537.9900000;535.4300000;536.9900000;120
20130131;000000;530.0400000;530.0400000;529.0100000;530.0000000;420
20130201;000000;552.0000000;552.0000000;552.0000000;552.0000000;360
20130204;000000;552.0000000;552.0000000;521.7300000;531.9600000;50
20130205;000000;551.9300000;579.9900000;546.5000000;546.5000000;80
20130206;000000;545.0000000;557.8200000;545.0000000;557.8200000;30
20130211;000000;543.7800000;543.7800000;520.0000000;520.0100000;1950
20130212;000000;536.3500000;536.5000000;536.3500000;536.5000000;100
20130213;000000;536.4800000;536.4900000;536.4800000;536.4900000;100
20130214;000000;527.2200000;527.2200000;516.2700000;517.0000000;440
20130215;000000;537.0000000;537.0000000;529.2600000;529.2900000;150
20130218;000000;520.1200000;520.1200000;519.0700000;519.0700000;200
20130221;000000;519.0800000;519.0800000;519.0600000;519.0700000;520
20130222;000000;542.6000000;550.0000000;534.3200000;540.0100000;800
20130226;000000;539.9700000;549.9700000;539.9700000;549.9700000;400
20130227;000000;550.0000000;560.0000000;550.0000000;560.0000000;90
20130228;000000;540.1300000;552.5500000;540.0100000;552.5500000;240
20130301;000000;540.0300000;540.0300000;540.0000000;540.0000000;50
20130304;000000;540.0000000;540.0000000;530.0000000;530.0000000;120
20130305;000000;530.0000000;530.0000000;521.7000000;521.7200000;300
20130307;000000;521.7200000;525.0000000;516.0000000;525.0000000;410
20130312;000000;526.0100000;526.0100000;523.0000000;523.0000000;100
20130313;000000;517.0100000;517.0100000;515.8100000;515.8100000;120
20130315;000000;520.0000000;520.0000000;514.9900000;515.0000000;360
20130320;000000;511.0000000;511.0000000;510.0000000;510.0000000;190
20130322;000000;515.0000000;515.0000000;515.0000000;515.0000000;80
20130325;000000;524.9900000;524.9900000;510.0000000;510.0000000;160
20130326;000000;510.0000000;510.0000000;510.0000000;510.0000000;10
20130329;000000;510.0000000;510.0000000;490.0000000;490.0000000;430
20130401;000000;509.9900000;510.0000000;509.9900000;510.0000000;620
20130402;000000;510.0000000;510.0000000;500.0000000;500.0000000;1460
20130403;000000;500.0000000;500.0000000;490.0200000;500.0000000;150
20130404;000000;490.0400000;500.0000000;490.0400000;500.0000000;50
20130405;000000;495.0100000;510.0000000;495.0100000;510.0000000;620
20130408;000000;509.9900000;544.9900000;509.9900000;520.0000000;800
20130409;000000;510.0600000;515.0100000;510.0400000;515.0000000;4460
20130410;000000;534.9800000;534.9800000;534.9800000;534.9800000;10
20130412;000000;508.0700000;508.0700000;508.0300000;508.0300000;250
20130415;000000;508.0300000;508.0300000;489.9900000;490.0000000;860
20130417;000000;490.0100000;490.0100000;482.0300000;482.0300000;100
20130418;000000;490.1500000;490.1500000;490.1500000;490.1500000;10
20130422;000000;490.0100000;490.0100000;490.0100000;490.0100000;20
20130423;000000;516.7300000;516.7300000;516.7300000;516.7300000;30
20130425;000000;504.7900000;505.0000000;504.3700000;505.0000000;150
20130426;000000;505.0000000;505.0000000;505.0000000;505.0000000;40
20130429;000000;505.0000000;507.0000000;505.0000000;507.0000000;290
20130430;000000;508.0000000;508.0000000;507.0100000;507.0100000;70
20130503;000000;514.9900000;515.0000000;514.9900000;515.0000000;120
20130507;000000;505.7900000;514.0100000;505.7900000;514.0000000;490
20130510;000000;536.9900000;536.9900000;536.9900000;536.9900000;10
20130513;000000;510.2200000;510.2200000;505.0000000;505.0100000;2430
20130514;000000;514.4000000;514.4000000;491.1700000;494.0100000;240
20130515;000000;490.0000000;492.8300000;480.0000000;492.8300000;560
20130516;000000;460.0100000;498.1800000;460.0100000;470.0900000;90
20130517;000000;460.0200000;460.0200000;460.0000000;460.0100000;170
20130520;000000;450.0300000;477.9600000;450.0300000;477.6300000;190
20130521;000000;466.0000000;466.0000000;455.0000000;460.0000000;1390
20130522;000000;470.0000000;499.9000000;462.3100000;462.3100000;590
20130523;000000;460.0000000;460.0000000;455.0000000;455.0000000;170
20130527;000000;469.9000000;469.9000000;469.9000000;469.9000000;10
20130531;000000;450.0300000;450.0300000;450.0100000;450.0100000;20
20130603;000000;457.4200000;457.4900000;450.9700000;457.0000000;170
20130604;000000;458.0000000;458.0000000;458.0000000;458.0000000;10
20130605;000000;456.0100000;456.0100000;415.0000000;449.1400000;590
20130606;000000;449.9000000;449.9000000;449.9000000;449.9000000;10
20130613;000000;410.0100000;423.0000000;401.0000000;423.0000000;240
20130618;000000;449.4700000;449.4800000;449.4700000;449.4800000;100
20130621;000000;434.0500000;434.0500000;434.0500000;434.0500000;10
20130624;000000;435.0000000;435.0000000;435.0000000;435.0000000;100
20130628;000000;449.9600000;450.0000000;449.9600000;450.0000000;180
