<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;3.6000000;3.6000000;3.6000000;3.6000000;5000
20130114;000000;2.8888000;3.1000000;2.8888000;3.1000000;4000
20130115;000000;3.4422000;3.4422000;3.4422000;3.4422000;1000
20130122;000000;3.5000000;3.5000000;3.5000000;3.5000000;18000
20130123;000000;3.0001000;3.0001000;3.0001000;3.0001000;1000
20130130;000000;3.3999000;3.3999000;3.3999000;3.3999000;1000
20130131;000000;3.0100000;3.0100000;3.0000000;3.0000000;8000
20130201;000000;3.0011000;3.0011000;3.0011000;3.0011000;1000
20130212;000000;2.9099000;3.0500000;2.0511000;2.8500000;25000
20130213;000000;2.8501000;2.8501000;2.8501000;2.8501000;1000
20130219;000000;2.8370000;2.8370000;2.8000000;2.8000000;7000
20130220;000000;3.0000000;3.0000000;3.0000000;3.0000000;1000
20130221;000000;2.8300000;2.8300000;2.8280000;2.8280000;2000
20130226;000000;2.8000000;2.8000000;2.8000000;2.8000000;4000
20130227;000000;2.8000000;2.8000000;2.8000000;2.8000000;2000
20130301;000000;2.7460000;2.7460000;2.7460000;2.7460000;5000
20130304;000000;2.7500000;2.7500000;2.7000000;2.7000000;11000
20130306;000000;2.8895000;2.8900000;2.8895000;2.8900000;2000
20130307;000000;2.9995000;3.0000000;2.9995000;3.0000000;8000
20130311;000000;2.9900000;2.9922000;2.9900000;2.9922000;3000
20130313;000000;2.8001000;2.8001000;2.8000000;2.8000000;2000
20130314;000000;2.8900000;3.0000000;2.8500000;2.9000000;114000
20130315;000000;2.8100000;2.9999000;2.8004000;2.8004000;9000
20130318;000000;2.8000000;3.0499000;2.8000000;2.9000000;52000
20130319;000000;2.7002000;2.9999000;2.7002000;2.9999000;12000
20130320;000000;2.7500000;3.0001000;2.7500000;3.0001000;134000
20130321;000000;2.8004000;3.4399000;2.8004000;3.0003000;15000
20130322;000000;3.1999000;3.1999000;2.9999000;3.0000000;253000
20130325;000000;2.8000000;2.9999000;2.8000000;2.9999000;2000
20130326;000000;2.8000000;2.9999000;2.8000000;2.8500000;13000
20130327;000000;2.8501000;3.0000000;2.8501000;3.0000000;34000
20130328;000000;2.8000000;3.0000000;2.8000000;3.0000000;18000
20130329;000000;2.8500000;3.2000000;2.8500000;2.8800000;6000
20130401;000000;2.9000000;3.0000000;2.9000000;3.0000000;11000
20130402;000000;3.0000000;3.0000000;3.0000000;3.0000000;25000
20130417;000000;3.2000000;3.2000000;3.2000000;3.2000000;1000
20130423;000000;3.2000000;3.2000000;3.2000000;3.2000000;25000
20130425;000000;2.9550000;2.9550000;2.9550000;2.9550000;1000
20130426;000000;2.5000000;2.8112000;2.5000000;2.5550000;14000
20130429;000000;2.6000000;2.6000000;2.6000000;2.6000000;1000
20130503;000000;2.7000000;2.7000000;2.7000000;2.7000000;1000
20130514;000000;2.6899000;2.6899000;2.6899000;2.6899000;1000
20130515;000000;2.5200000;2.5200000;2.5200000;2.5200000;3000
20130520;000000;2.8900000;2.8900000;2.8900000;2.8900000;2000
20130529;000000;2.9001000;3.0000000;2.9000000;3.0000000;10000
20130530;000000;2.9001000;2.9999000;2.9000000;2.9000000;7000
20130603;000000;2.7506000;3.0000000;2.7506000;2.9000000;3000
20130618;000000;2.5101000;2.8500000;2.5100000;2.8500000;7000
20130621;000000;3.0200000;3.0200000;3.0200000;3.0200000;1000
20130626;000000;3.1000000;3.1000000;3.1000000;3.1000000;4000
20130627;000000;3.2000000;3.2000000;3.2000000;3.2000000;1000
20130705;000000;3.2000000;3.3300000;3.2000000;3.2000000;3000
20130709;000000;3.4999000;3.4999000;3.4998000;3.4998000;27000
20130710;000000;3.4500000;3.4500000;3.4500000;3.4500000;1000
20130801;000000;3.5000000;3.5000000;3.5000000;3.5000000;1000
20130802;000000;3.5000000;3.5000000;3.5000000;3.5000000;3000
20130808;000000;3.1000000;3.1000000;3.1000000;3.1000000;1000
20130822;000000;3.5000000;3.8000000;3.5000000;3.8000000;46000
20130823;000000;3.5000000;3.5000000;3.5000000;3.5000000;10000
20130906;000000;3.8000000;3.8000000;3.8000000;3.8000000;1000
20130909;000000;3.5000000;3.8500000;3.5000000;3.8500000;2000
20131002;000000;3.8500000;3.8500000;3.8500000;3.8500000;13000
20131003;000000;3.8500000;3.8500000;3.8500000;3.8500000;9000
20131007;000000;3.9500000;3.9500000;3.9500000;3.9500000;3000
20131031;000000;3.0501000;3.0501000;3.0500000;3.0500000;5000
20131115;000000;3.4994000;3.4995000;3.4994000;3.4995000;2000
20131202;000000;3.0175000;3.0175000;3.0100000;3.0100000;4000
20131206;000000;3.4000000;3.4000000;3.0000000;3.0000000;6000
20131217;000000;3.0999000;3.0999000;3.0999000;3.0999000;1000
20131220;000000;2.9100000;2.9990000;2.9100000;2.9100000;5000
