<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;5.5222000;5.5222000;5.5222000;5.5222000;1000
20130114;000000;5.3233000;5.5014000;5.3233000;5.5000000;17000
20130118;000000;5.4445000;5.4445000;5.4000000;5.4000000;5000
20130122;000000;5.4000000;5.6977000;5.4000000;5.6177000;21000
20130123;000000;5.9777000;5.9777000;5.4045000;5.6888000;4000
20130128;000000;5.7468000;5.7468000;5.7468000;5.7468000;1000
20130129;000000;5.4000000;5.5555000;5.4000000;5.5555000;6000
20130130;000000;5.4044000;5.5000000;5.4000000;5.5000000;22000
20130204;000000;5.4000000;5.4000000;5.4000000;5.4000000;4000
20130205;000000;5.4000000;5.5540000;5.4000000;5.5540000;5000
20130207;000000;5.3998000;5.5437000;5.3998000;5.5437000;7000
20130208;000000;5.5000000;5.5000000;5.4044000;5.4044000;18000
20130211;000000;5.4500000;5.5437000;5.4500000;5.4500000;16000
20130212;000000;5.4200000;5.5222000;5.4200000;5.4500000;14000
20130213;000000;5.4200000;5.4200000;5.4200000;5.4200000;1000
20130214;000000;5.5200000;5.5200000;5.5200000;5.5200000;140000
20130218;000000;5.4001000;5.4001000;5.4000000;5.4000000;17000
20130219;000000;5.4000000;5.5197000;5.3500000;5.5000000;58000
20130221;000000;5.4000000;5.4000000;5.4000000;5.4000000;4000
20130222;000000;5.5000000;5.5000000;5.5000000;5.5000000;334000
20130227;000000;5.5000000;5.5000000;5.5000000;5.5000000;1000
20130228;000000;5.5000000;5.5500000;5.5000000;5.5500000;1065000
20130301;000000;5.5000000;5.5000000;5.4901000;5.5000000;4007000
20130304;000000;5.5000000;5.5000000;5.4000000;5.4000000;7000
20130305;000000;5.4000000;5.7491000;5.4000000;5.7000000;26000
20130307;000000;5.3503000;5.3503000;5.3502000;5.3502000;4000
20130311;000000;5.4000000;5.4000000;5.4000000;5.4000000;4000
20130312;000000;5.3501000;5.5700000;5.3500000;5.5600000;1669000
20130313;000000;5.3001000;5.3999000;5.3001000;5.3001000;12000
20130318;000000;5.2001000;5.2001000;5.2001000;5.2001000;10000
20130319;000000;5.2111000;5.2111000;5.2111000;5.2111000;1000
20130320;000000;5.2001000;5.5995000;5.2001000;5.5995000;9000
20130321;000000;5.4999000;5.4999000;5.4999000;5.4999000;3000
20130322;000000;5.2002000;5.2002000;5.2000000;5.2000000;102000
20130325;000000;5.1011000;5.1011000;5.1000000;5.1000000;9000
20130327;000000;4.6000000;5.0777000;4.1177000;5.0777000;9000
20130401;000000;4.9999000;5.0994000;4.9999000;5.0000000;42000
20130402;000000;5.0000000;5.0444000;4.7000000;5.0000000;151000
20130403;000000;4.8000000;5.1999000;4.6666000;4.6666000;3000
20130404;000000;5.1977000;5.1977000;5.1977000;5.1977000;1000
20130405;000000;5.0001000;5.0001000;5.0000000;5.0000000;17000
20130408;000000;5.0000000;5.0000000;4.8444000;4.8444000;3000
20130409;000000;4.9997000;5.0000000;4.9997000;5.0000000;7000
20130411;000000;5.0000000;5.0000000;5.0000000;5.0000000;127000
20130412;000000;5.0001000;5.0001000;5.0000000;5.0001000;669000
20130415;000000;4.8901000;4.8901000;4.8901000;4.8901000;1000
20130417;000000;4.3000000;4.6676000;4.3000000;4.6676000;2000
20130418;000000;4.5000000;4.5000000;4.5000000;4.5000000;1000
20130422;000000;4.8943000;5.0000000;4.8943000;5.0000000;3000000
20130426;000000;4.2000000;4.2000000;4.2000000;4.2000000;5000
20130429;000000;4.5013000;5.0000000;4.2000000;5.0000000;28000
20130430;000000;5.3000000;5.3000000;5.3000000;5.3000000;5000
20130507;000000;5.0000000;5.0000000;5.0000000;5.0000000;32000
20130508;000000;5.0000000;5.0000000;5.0000000;5.0000000;12000
20130515;000000;5.0000000;5.3000000;5.0000000;5.2985000;417000
20130516;000000;5.0001000;5.0001000;4.9999000;5.0000000;6057000
20130517;000000;5.0000000;5.0500000;5.0000000;5.0500000;1591000
20130521;000000;5.0000000;5.0000000;5.0000000;5.0000000;3000
20130523;000000;4.7001000;4.7001000;4.7000000;4.7000000;5000
20130524;000000;5.0000000;5.0000000;5.0000000;5.0000000;2000
20130531;000000;5.0000000;5.0998000;5.0000000;5.0998000;16000
20130605;000000;4.8001000;4.8001000;4.5000000;4.5000000;20000
20130606;000000;5.0000000;5.2499000;5.0000000;5.2499000;27000
20130610;000000;5.0000000;5.0000000;5.0000000;5.0000000;1000
20130613;000000;4.8013000;4.8013000;4.5000000;4.5000000;15000
20130614;000000;4.9554000;4.9555000;4.9554000;4.9555000;10000
20130618;000000;5.0000000;5.0000000;5.0000000;5.0000000;42000
20130619;000000;5.0000000;5.0000000;5.0000000;5.0000000;11000
20130620;000000;5.0000000;5.2499000;5.0000000;5.2499000;37000
20130621;000000;5.0000000;5.0000000;5.0000000;5.0000000;7000
20130624;000000;5.0000000;5.0000000;5.0000000;5.0000000;17000
20130625;000000;5.0000000;5.0000000;5.0000000;5.0000000;5000
20130627;000000;5.0000000;5.0000000;5.0000000;5.0000000;11000
20130702;000000;5.0000000;5.0000000;5.0000000;5.0000000;39000
20130705;000000;5.3000000;5.3000000;5.3000000;5.3000000;2000
20130708;000000;4.9901000;4.9901000;4.9901000;4.9901000;1000
20130709;000000;4.9900000;4.9900000;4.9800000;4.9800000;10000
20130710;000000;4.9501000;5.0000000;4.9000000;5.0000000;246000
20130711;000000;4.9000000;4.9000000;4.9000000;4.9000000;4000
20130712;000000;4.8001000;4.8001000;4.8000000;4.8000000;5000
20130715;000000;4.9000000;4.9000000;4.8100000;4.8100000;10000
20130716;000000;5.0000000;5.1000000;5.0000000;5.1000000;14000
20130717;000000;4.8000000;4.8000000;4.8000000;4.8000000;10000
20130719;000000;4.8000000;4.9050000;4.8000000;4.9050000;10000
20130723;000000;4.7500000;4.7500000;4.7100000;4.7100000;13000
