<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.6000000;0.6179000;0.6000000;0.6060000;540000
20130109;000000;0.6099000;0.6179000;0.6061000;0.6115000;1251000
20130110;000000;0.6116000;0.6140000;0.6061000;0.6120000;442000
20130111;000000;0.6139000;0.6178000;0.6100000;0.6146000;2759000
20130114;000000;0.6178000;0.6249000;0.6167000;0.6200000;38092000
20130115;000000;0.6210000;0.6286000;0.6200000;0.6217000;7970000
20130116;000000;0.6200000;0.6349000;0.6188000;0.6349000;33268000
20130117;000000;0.6345000;0.6429000;0.6220000;0.6328000;2661000
20130118;000000;0.6311000;0.6375000;0.6270000;0.6270000;8575000
20130121;000000;0.6340000;0.6350000;0.6221000;0.6230000;5918000
20130122;000000;0.6210000;0.6259000;0.6010000;0.6190000;6061000
20130123;000000;0.6220000;0.6230000;0.6100000;0.6220000;4160000
20130124;000000;0.6239000;0.6250000;0.6150000;0.6200000;5917000
20130125;000000;0.6249000;0.6290000;0.6209000;0.6225000;1829000
20130128;000000;0.6287000;0.6290000;0.6190000;0.6200000;14261000
20130129;000000;0.6297000;0.6300000;0.6160000;0.6160000;6835000
20130130;000000;0.6150000;0.6349000;0.6070000;0.6081000;6525000
20130131;000000;0.6073000;0.6190000;0.5860000;0.5976000;5993000
20130201;000000;0.6022000;0.6110000;0.5927000;0.6110000;2364000
20130204;000000;0.6149000;0.6180000;0.6050000;0.6050000;1689000
20130205;000000;0.5990000;0.6047000;0.5980000;0.6025000;1896000
20130206;000000;0.6047000;0.6147000;0.6001000;0.6094000;10803000
20130207;000000;0.6077000;0.6155000;0.6077000;0.6122000;3160000
20130208;000000;0.6119000;0.6160000;0.6085000;0.6160000;5398000
20130211;000000;0.6165000;0.6210000;0.6120000;0.6200000;3955000
20130212;000000;0.6200000;0.6300000;0.6084000;0.6130000;1785000
20130213;000000;0.6148000;0.6350000;0.6148000;0.6300000;6131000
20130214;000000;0.6329000;0.6840000;0.6042000;0.6492000;17077000
20130215;000000;0.6557000;0.6557000;0.6332000;0.6450000;16011000
20130218;000000;0.6404000;0.6404000;0.6224000;0.6266000;1287000
20130219;000000;0.6270000;0.6777000;0.6270000;0.6433000;11036000
20130220;000000;0.6488000;0.6535000;0.6300000;0.6470000;3093000
20130221;000000;0.6350000;0.6350000;0.6155000;0.6155000;5263000
20130222;000000;0.6190000;0.6275000;0.6190000;0.6217000;5008000
20130225;000000;0.6201000;0.6340000;0.6201000;0.6272000;3873000
20130226;000000;0.6167000;0.6259000;0.6166000;0.6174000;3813000
20130227;000000;0.6309000;0.6309000;0.6050000;0.6120000;20282000
20130228;000000;0.6146000;0.6270000;0.6071000;0.6098000;8396000
20130301;000000;0.6137000;0.6137000;0.5530000;0.5938000;14770000
20130304;000000;0.5990000;0.5990000;0.5805000;0.5852000;4959000
20130305;000000;0.5939000;0.5966000;0.5900000;0.5944000;5914000
20130306;000000;0.5975000;0.6100000;0.5949000;0.6050000;3283000
20130307;000000;0.6047000;0.6080000;0.5954000;0.6000000;4270000
20130311;000000;0.6001000;0.6325000;0.6001000;0.6075000;3519000
20130312;000000;0.6067000;0.6110000;0.6001000;0.6031000;7461000
