<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.0511900;0.0523900;0.0506300;0.0523900;7710000
20130109;000000;0.0519000;0.0522700;0.0510000;0.0517500;6590000
20130110;000000;0.0514000;0.0519700;0.0514000;0.0515800;620000
20130111;000000;0.0514600;0.0521000;0.0514600;0.0518600;4500000
20130114;000000;0.0518000;0.0523000;0.0518000;0.0522700;4340000
20130115;000000;0.0522200;0.0522300;0.0510000;0.0516300;24510000
20130116;000000;0.0515000;0.0524800;0.0512500;0.0517000;12970000
20130117;000000;0.0520000;0.0524300;0.0510500;0.0520600;43740000
20130118;000000;0.0521000;0.0526800;0.0517000;0.0523500;23060000
20130121;000000;0.0517600;0.0528700;0.0511500;0.0526400;6810000
20130122;000000;0.0524900;0.0538000;0.0521500;0.0522900;5140000
20130123;000000;0.0525400;0.0539800;0.0525400;0.0537300;50040000
20130124;000000;0.0537300;0.0549700;0.0530000;0.0533000;9510000
20130125;000000;0.0533900;0.0545900;0.0532200;0.0540800;10430000
20130128;000000;0.0539200;0.0549700;0.0538400;0.0538400;2410000
20130129;000000;0.0530300;0.0548000;0.0527000;0.0535300;6190000
20130130;000000;0.0539200;0.0541000;0.0515100;0.0518000;13840000
20130131;000000;0.0518600;0.0529400;0.0515100;0.0518500;5560000
20130201;000000;0.0520600;0.0525400;0.0515000;0.0516800;12110000
20130204;000000;0.0519000;0.0524700;0.0502500;0.0507800;13770000
20130205;000000;0.0509400;0.0518900;0.0505000;0.0511200;34900000
20130206;000000;0.0518900;0.0521500;0.0515000;0.0521400;7110000
20130207;000000;0.0520000;0.0520000;0.0503400;0.0514100;17980000
20130208;000000;0.0516600;0.0516600;0.0507000;0.0509900;17950000
20130211;000000;0.0510500;0.0516300;0.0510000;0.0513700;2730000
20130212;000000;0.0516600;0.0516600;0.0507400;0.0515900;1510000
20130213;000000;0.0512100;0.0543000;0.0512000;0.0540000;100660000
20130214;000000;0.0539800;0.0542400;0.0525000;0.0536000;177270000
20130215;000000;0.0537400;0.0550800;0.0537400;0.0550800;25310000
20130218;000000;0.0545000;0.0554000;0.0536900;0.0547600;51420000
20130219;000000;0.0547900;0.0557900;0.0545800;0.0549400;27010000
20130220;000000;0.0549400;0.0554200;0.0546500;0.0549000;5990000
20130221;000000;0.0542000;0.0543800;0.0524900;0.0543800;23630000
20130222;000000;0.0547600;0.0548800;0.0530000;0.0543400;65860000
20130225;000000;0.0543000;0.0549000;0.0539200;0.0539200;2710000
20130226;000000;0.0537100;0.0537100;0.0525100;0.0536000;8840000
20130227;000000;0.0537100;0.0539200;0.0534500;0.0536000;6610000
20130228;000000;0.0539000;0.0539200;0.0528800;0.0528800;13890000
20130301;000000;0.0530800;0.0530800;0.0515500;0.0524800;8200000
20130304;000000;0.0528800;0.0528800;0.0515000;0.0517500;5650000
20130305;000000;0.0517500;0.0523900;0.0517400;0.0523900;12530000
20130306;000000;0.0523500;0.0537100;0.0523500;0.0533300;41040000
20130307;000000;0.0534000;0.0538000;0.0530000;0.0533500;19170000
20130311;000000;0.0532900;0.0541300;0.0523400;0.0539700;7350000
20130312;000000;0.0539300;0.0539900;0.0536700;0.0536700;420000
20130313;000000;0.0534000;0.0539000;0.0530000;0.0533100;2610000
20130314;000000;0.0537100;0.0537100;0.0525000;0.0528800;7500000
20130315;000000;0.0530700;0.0532900;0.0525500;0.0532900;1130000
20130318;000000;0.0522300;0.0538300;0.0515000;0.0521100;6650000
20130319;000000;0.0528100;0.0528300;0.0510000;0.0519100;1070000
20130320;000000;0.0508700;0.0518500;0.0508200;0.0510600;4110000
20130321;000000;0.0514100;0.0515300;0.0505100;0.0515300;3220000
20130322;000000;0.0510000;0.0510000;0.0496100;0.0500000;3870000
20130325;000000;0.0504900;0.0508000;0.0470000;0.0484900;4490000
20130326;000000;0.0480100;0.0496600;0.0463100;0.0470000;58690000
20130327;000000;0.0470000;0.0495000;0.0466000;0.0482300;57470000
