<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;11.9990000;12.0000000;10.0030000;10.0030000;48700
20130109;000000;9.9000000;10.8700000;9.8000000;10.8700000;21800
20130110;000000;10.2000000;10.2000000;10.0000000;10.0000000;6100
20130111;000000;9.5000000;9.7380000;9.5000000;9.7000000;9000
20130114;000000;9.6000000;9.8390000;9.3650000;9.8390000;9900
20130115;000000;9.5000000;9.6360000;9.3200000;9.5010000;7600
20130116;000000;9.6000000;9.6000000;9.5010000;9.5010000;6600
20130117;000000;9.5010000;9.5010000;9.4010000;9.4010000;6200
20130118;000000;9.4000000;9.4000000;9.3000000;9.3510000;6600
20130121;000000;9.3000000;9.3000000;9.3000000;9.3000000;5000
20130122;000000;9.2500000;9.2500000;9.2400000;9.2400000;5100
20130123;000000;9.2400000;9.2400000;9.2400000;9.2400000;8400
20130124;000000;9.1080000;9.2000000;8.8710000;8.9970000;8800
20130125;000000;8.8680000;9.8480000;8.8000000;9.6500000;71900
20130128;000000;9.5000000;9.6120000;9.5000000;9.6120000;5100
20130129;000000;9.7000000;9.9490000;9.7000000;9.9490000;7500
20130130;000000;9.6450000;9.7520000;9.6000000;9.7520000;9000
20130131;000000;9.5000000;9.7990000;9.5000000;9.7990000;10300
20130201;000000;9.7900000;10.2450000;9.7500000;10.2450000;17200
20130204;000000;10.5500000;10.5500000;10.5500000;10.5500000;1500
20130205;000000;10.5400000;11.4000000;10.5400000;10.9200000;85400
20130207;000000;11.0760000;11.8500000;11.0760000;11.2000000;2900
20130211;000000;11.1570000;11.1570000;11.0210000;11.0210000;3800
20130215;000000;11.2000000;11.2500000;11.1800000;11.1800000;4000
20130221;000000;11.0200000;11.0200000;11.0200000;11.0200000;600
20130226;000000;11.1780000;11.1780000;11.0180000;11.0180000;3400
20130228;000000;11.0000000;11.0000000;11.0000000;11.0000000;20000
20130301;000000;10.8430000;10.8430000;10.7000000;10.7000000;7100
20130304;000000;10.7220000;10.8530000;10.7220000;10.8530000;1600
20130306;000000;11.0000000;11.0000000;11.0000000;11.0000000;4800
20130311;000000;10.0000000;11.2200000;10.0000000;10.8470000;9300
20130312;000000;10.0000000;10.9800000;10.0000000;10.8230000;8400
20130313;000000;10.9280000;11.2230000;10.8930000;11.2230000;118100
20130314;000000;11.0950000;11.3700000;10.9790000;11.3700000;105500
20130315;000000;11.4070000;11.4810000;11.3300000;11.4810000;81400
20130318;000000;11.4810000;11.5440000;11.1340000;11.4100000;65400
20130319;000000;11.5000000;12.0260000;11.2530000;11.9560000;88500
20130320;000000;12.0000000;12.2400000;11.7000000;12.2400000;49600
20130321;000000;12.2300000;12.5200000;12.0550000;12.3050000;79900
20130322;000000;12.3170000;12.3170000;12.3000000;12.3030000;41800
20130325;000000;12.3150000;12.3150000;12.3100000;12.3100000;33200
20130326;000000;12.3220000;12.8570000;12.3100000;12.5550000;54100
20130327;000000;12.5680000;13.4550000;12.5610000;13.4550000;97100
20130328;000000;13.4680000;14.1500000;13.4550000;14.1500000;63900
20130329;000000;14.1640000;14.2210000;14.1550000;14.2210000;9500
20130401;000000;14.2070000;14.2070000;14.0930000;14.0930000;7300
20130402;000000;14.1070000;14.1780000;14.0790000;14.1780000;3300
20130403;000000;14.1640000;14.1910000;14.0650000;14.1910000;2100
20130405;000000;14.1770000;14.1770000;14.1630000;14.1630000;300
20130408;000000;14.1770000;14.1770000;14.1770000;14.1770000;200
20130409;000000;14.1910000;14.2190000;14.1910000;14.2190000;300
20130410;000000;14.1050000;14.2320000;13.9770000;14.2320000;1500
20130411;000000;14.2450000;14.3350000;14.2450000;14.3350000;2400
20130412;000000;14.3490000;14.7360000;14.3490000;14.5910000;6300
20130415;000000;14.6060000;14.7520000;14.4450000;14.4450000;4300
20130416;000000;14.4310000;14.4310000;14.1860000;14.1860000;4700
20130417;000000;14.1720000;14.5550000;14.0000000;14.5550000;22300
20130418;000000;14.5700000;14.9060000;14.5700000;14.5800000;9300
20130419;000000;14.5360000;14.5370000;14.5360000;14.5360000;4700
20130422;000000;14.5510000;14.8120000;14.5220000;14.8110000;4300
20130423;000000;14.8200000;14.9000000;14.8200000;14.9000000;5600
20130425;000000;14.8850000;14.8850000;14.8400000;14.8800000;937300
20130429;000000;14.8900000;14.8900000;14.8900000;14.8900000;6600
20130430;000000;14.9000000;14.9000000;14.9000000;14.9000000;4400
20130502;000000;14.9000000;14.9000000;14.8700000;14.8700000;4600
20130503;000000;14.8600000;14.8600000;14.8600000;14.8600000;4400
20130506;000000;14.8500000;14.8500000;14.8500000;14.8500000;4400
20130507;000000;14.8500000;14.8500000;14.8210000;14.8210000;4600
20130508;000000;14.8100000;14.8100000;14.8100000;14.8100000;4400
20130510;000000;14.8000000;14.8000000;14.7960000;14.7960000;4500
20130513;000000;14.8110000;14.8110000;14.8110000;14.8110000;100
20130515;000000;14.7980000;14.8260000;14.7960000;14.8260000;18900
20130516;000000;14.8410000;14.8410000;14.8360000;14.8360000;27100
20130517;000000;14.8210000;14.8360000;14.8210000;14.8360000;3700
20130520;000000;14.8210000;14.8290000;14.8210000;14.8290000;20700
20130521;000000;14.8140000;14.8290000;14.8140000;14.8290000;30900
20130522;000000;14.8440000;14.8440000;14.6290000;14.6360000;88400
20130523;000000;14.6210000;14.6210000;14.5600000;14.5640000;85200
20130524;000000;14.5790000;14.5790000;14.4770000;14.4770000;95300
20130527;000000;14.4630000;14.4770000;14.2290000;14.2710000;77500
20130528;000000;14.2570000;14.2590000;14.2000000;14.2200000;92800
20130529;000000;14.2060000;14.2170000;14.1960000;14.2000000;136900
20130530;000000;14.1860000;14.2080000;14.1860000;14.2020000;109100
20130531;000000;14.2140000;14.2140000;14.1920000;14.1970000;77000
20130603;000000;14.1830000;14.2000000;14.1770000;14.1850000;85500
20130604;000000;14.1800000;14.3410000;14.1800000;14.3410000;26500
20130605;000000;14.3270000;14.3410000;14.3270000;14.3330000;28900
20130606;000000;14.3190000;14.3190000;14.2510000;14.2510000;36900
20130607;000000;14.2370000;14.4220000;14.2370000;14.4220000;18700
20130610;000000;14.4080000;14.4160000;14.4080000;14.4160000;2500
20130611;000000;14.4300000;14.6180000;14.4250000;14.6180000;92100
20130613;000000;14.6030000;14.8080000;14.6030000;14.7790000;102800
20130614;000000;14.7640000;14.7790000;14.7640000;14.7790000;57500
20130617;000000;14.7640000;14.7640000;14.5680000;14.5680000;2000
20130618;000000;14.5830000;14.8960000;14.5830000;14.8890000;52400
20130619;000000;14.9040000;14.9040000;14.8880000;14.9010000;37900
20130620;000000;14.8860000;14.9610000;14.8720000;14.8770000;1705700
20130624;000000;14.8620000;14.8860000;14.8620000;14.8830000;158900
20130626;000000;14.8980000;15.0130000;14.8980000;15.0130000;6500
20130627;000000;15.0280000;15.2380000;15.0280000;15.2380000;2217600
20130628;000000;15.2500000;15.2530000;15.1310000;15.2500000;1247600
20130703;000000;15.2650000;15.2720000;15.2490000;15.2630000;114900
20130705;000000;15.2750000;15.2760000;15.2750000;15.2760000;660000
20130709;000000;15.2610000;15.2610000;15.2610000;15.2610000;100
20130710;000000;15.2460000;15.2460000;15.2000000;15.2000000;600
20130717;000000;15.1850000;15.1850000;15.1700000;15.1700000;200
20130718;000000;15.1830000;15.1840000;15.1830000;15.1840000;916000
20130725;000000;15.1990000;15.3640000;15.1710000;15.3610000;74400
20130726;000000;15.3500000;15.5180000;15.1410000;15.5180000;65500
20130729;000000;15.5020000;15.5020000;15.5020000;15.5020000;100
20130730;000000;15.5180000;15.5180000;15.4920000;15.5000000;33000
20130731;000000;15.4850000;15.4850000;15.4850000;15.4850000;100
20130801;000000;15.5000000;15.5000000;15.4390000;15.4900000;2174800
20130802;000000;15.4830000;15.4960000;15.1100000;15.1460000;2189400
20130805;000000;15.1500000;15.1500000;15.1400000;15.1500000;914000
20130807;000000;15.1500000;15.1500000;15.1500000;15.1500000;28000
20130809;000000;15.1400000;15.1600000;15.1400000;15.1600000;1638000
20130815;000000;15.1460000;15.1480000;15.1460000;15.1480000;6596000
20130822;000000;15.1630000;15.1700000;15.1630000;15.1700000;14200
20130823;000000;15.1750000;15.1780000;15.1750000;15.1780000;40000
20130826;000000;15.1900000;15.1900000;15.1900000;15.1900000;40200
20130827;000000;15.2000000;15.2000000;15.2000000;15.2000000;20000
20130828;000000;15.2000000;15.2000000;15.1240000;15.2000000;219300
20130829;000000;15.2000000;15.2000000;15.2000000;15.2000000;40200
20130830;000000;15.2000000;15.4860000;15.2000000;15.4860000;601000
20130902;000000;15.3000000;15.3020000;15.3000000;15.3020000;40400
20130903;000000;15.3000000;15.5000000;15.3000000;15.5000000;40200
20130904;000000;15.2000000;15.4740000;15.2000000;15.4740000;40200
20130905;000000;15.4700000;15.4700000;15.4700000;15.4700000;40000
20130906;000000;15.4700000;15.4700000;15.4700000;15.4700000;40000
20130909;000000;15.4700000;15.4700000;15.4700000;15.4700000;40000
20130910;000000;15.4700000;15.6400000;15.4700000;15.6400000;31500
20130912;000000;15.6300000;15.6300000;15.6300000;15.6300000;30000
20130916;000000;15.6140000;15.6140000;15.6000000;15.6000000;40100
20130917;000000;15.5840000;15.5840000;15.5800000;15.5800000;39900
20130920;000000;15.5640000;15.5640000;15.5500000;15.5500000;30200
20130924;000000;15.5500000;15.5500000;15.5500000;15.5500000;26000
20130925;000000;15.5500000;15.5500000;15.5400000;15.5400000;360800
20130926;000000;15.5300000;15.5550000;15.5300000;15.5550000;495000
20130927;000000;15.5400000;15.5400000;15.5400000;15.5400000;31000
20131001;000000;15.5500000;15.5500000;15.5500000;15.5500000;40000
20131004;000000;15.5600000;15.5660000;15.5600000;15.5660000;20100
20131007;000000;15.5800000;15.6000000;15.5800000;15.6000000;302300
20131009;000000;15.6100000;15.6100000;15.6100000;15.6100000;3000
20131011;000000;15.5940000;15.5940000;15.5700000;15.5700000;40400
20131014;000000;15.5540000;15.5540000;15.5540000;15.5540000;100
20131015;000000;15.5380000;15.5600000;15.4300000;15.5600000;81100
20131016;000000;15.5700000;15.5760000;15.5440000;15.5600000;863500
20131018;000000;15.5700000;15.5700000;15.5700000;15.5700000;80000
20131021;000000;15.5540000;15.5810000;15.5540000;15.5810000;256800
20131022;000000;15.5650000;15.5900000;15.5650000;15.5900000;1660100
20131025;000000;15.6000000;15.6000000;15.5800000;15.5800000;5600
20131028;000000;15.5900000;15.5900000;15.5700000;15.5870000;54400
20131029;000000;15.5780000;15.5940000;15.5780000;15.5910000;25400
20131030;000000;15.5880000;15.6010000;15.5880000;15.5980000;42000
20131031;000000;15.5950000;15.6080000;15.5950000;15.6040000;18000
20131101;000000;15.5940000;15.6140000;15.5880000;15.6140000;41300
20131105;000000;15.6170000;15.6240000;15.6050000;15.6050000;35600
20131106;000000;15.6110000;15.6150000;15.5960000;15.5990000;31600
20131107;000000;15.5960000;15.6060000;15.5930000;15.6060000;43000
20131108;000000;15.6090000;15.6120000;15.6000000;15.6000000;117100
20131111;000000;15.6160000;15.6160000;15.6160000;15.6160000;100
20131112;000000;15.6060000;15.6260000;15.6000000;15.6120000;16700
20131113;000000;15.6180000;15.6180000;15.5600000;15.5830000;32400
20131114;000000;15.5890000;15.5900000;15.5740000;15.5800000;31800
20131115;000000;15.5770000;15.5900000;15.5710000;15.5750000;30000
20131118;000000;15.5750000;15.5820000;15.5660000;15.5720000;27800
20131119;000000;15.5690000;15.5820000;15.5630000;15.5660000;26200
20131120;000000;15.5820000;15.6280000;15.5600000;15.5600000;1149100
20131121;000000;15.5760000;15.5910000;15.5760000;15.5910000;195100
20131125;000000;15.6000000;15.6000000;15.6000000;15.6000000;1800
20131128;000000;15.6030000;15.6080000;15.5900000;15.6060000;30500
20131129;000000;15.6160000;15.6160000;15.5960000;15.6140000;54100
20131202;000000;15.5980000;15.5980000;15.5980000;15.5980000;100
20131203;000000;15.5950000;15.5980000;15.5830000;15.5860000;33100
20131204;000000;15.5920000;15.5960000;15.5760000;15.5920000;27400
20131205;000000;15.5760000;15.5760000;15.5760000;15.5760000;100
20131206;000000;15.5660000;15.5860000;15.5660000;15.5700000;23600
20131209;000000;15.5600000;15.5800000;15.5600000;15.5760000;29000
20131210;000000;15.5860000;15.5900000;15.5660000;15.5700000;154900
20131211;000000;15.5800000;15.5830000;15.5610000;15.5770000;25900
20131212;000000;15.5770000;15.5900000;15.5670000;15.5800000;47800
20131213;000000;15.5830000;15.5900000;15.5700000;15.5900000;27800
20131216;000000;15.5930000;15.6000000;15.5800000;15.5840000;29400
20131217;000000;15.5870000;15.5940000;15.5740000;15.5940000;26800
20131218;000000;15.5970000;15.6040000;15.5840000;15.6040000;251600
20131219;000000;15.6080000;15.6140000;15.5940000;15.6140000;26400
20131220;000000;15.6170000;15.6240000;15.6040000;15.6240000;26600
20131223;000000;15.6240000;15.6340000;15.6140000;15.6270000;27400
20131224;000000;15.6330000;15.6370000;15.6170000;15.6340000;29200
20131225;000000;15.6370000;15.6440000;15.6240000;15.6410000;31000
20131226;000000;15.6440000;15.6510000;15.6310000;15.6510000;26600
20131227;000000;15.6540000;15.6610000;15.6410000;15.6610000;26400
20131230;000000;15.6610000;15.6710000;15.6510000;15.6640000;28200
