<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;187.1300000;187.1300000;181.8300000;183.0000000;60420
20130109;000000;184.4300000;184.9000000;181.8200000;182.7300000;16050
20130110;000000;182.7400000;182.7400000;178.1200000;178.5000000;28880
20130111;000000;178.5800000;179.8900000;176.7100000;178.2500000;18610
20130114;000000;178.9900000;181.2300000;178.3400000;178.3400000;67790
20130115;000000;179.0800000;182.0000000;177.7700000;182.0000000;37920
20130116;000000;180.0400000;187.3900000;178.6300000;181.0000000;57520
20130117;000000;181.0100000;183.4900000;180.0000000;183.3500000;17470
20130118;000000;182.7000000;187.7500000;182.7000000;187.5000000;229900
20130121;000000;187.0200000;187.3000000;183.7100000;186.0100000;25030
20130122;000000;185.3100000;187.5000000;184.1000000;186.9700000;75690
20130123;000000;184.0000000;188.0000000;184.0000000;185.2600000;40730
20130124;000000;185.0100000;187.0100000;181.0000000;187.0100000;30980
20130125;000000;187.0100000;196.5000000;187.0100000;193.5100000;276110
20130128;000000;193.1800000;196.9600000;193.1000000;193.2700000;57180
20130129;000000;195.9800000;195.9800000;190.0000000;192.4100000;55360
20130130;000000;191.5000000;194.8300000;190.0000000;190.5000000;42360
20130131;000000;190.1100000;192.3700000;186.1100000;191.0000000;89280
20130201;000000;193.9600000;193.9600000;189.4500000;193.2900000;55890
20130204;000000;193.4000000;194.5700000;191.4600000;194.0000000;34600
20130205;000000;193.0600000;195.2500000;191.5000000;193.7000000;79610
20130206;000000;193.6800000;194.3200000;190.8000000;192.5000000;27330
20130207;000000;192.9900000;193.0000000;191.3100000;192.9700000;11150
20130208;000000;192.8000000;192.8000000;186.5100000;190.0000000;65830
20130211;000000;190.0200000;191.7800000;190.0000000;190.6900000;12210
20130212;000000;190.5000000;192.0000000;188.5000000;188.5000000;13210
20130213;000000;188.5100000;188.5300000;184.5500000;187.0000000;46180
20130214;000000;187.0400000;188.0000000;181.0000000;181.9900000;60730
20130215;000000;180.1700000;182.5000000;174.8400000;175.0000000;208510
20130218;000000;176.9800000;179.7000000;171.6000000;172.1000000;157430
20130219;000000;172.1000000;174.2000000;170.2000000;170.2000000;192760
20130220;000000;170.2000000;171.0000000;160.1000000;161.0100000;340070
20130221;000000;160.1300000;160.1300000;151.0000000;159.7200000;198070
20130222;000000;159.7200000;160.5000000;155.1000000;157.2000000;136520
20130225;000000;157.2000000;160.4000000;157.0300000;160.0000000;75060
20130226;000000;158.8900000;160.0000000;157.1800000;158.6500000;168480
20130227;000000;159.4800000;161.0000000;158.9000000;160.0000000;111240
20130228;000000;160.5100000;161.8700000;158.5900000;160.4000000;24360
20130301;000000;159.2000000;160.9800000;156.3000000;157.5800000;62300
20130304;000000;157.6500000;159.9300000;157.5000000;158.5000000;28020
20130305;000000;159.1000000;159.1100000;155.0000000;157.4700000;152300
20130306;000000;157.5000000;158.4800000;156.9900000;158.0000000;109960
20130307;000000;158.9000000;158.9000000;156.8300000;157.4000000;85580
20130311;000000;157.4000000;158.4800000;157.3000000;157.9900000;83620
20130312;000000;157.7500000;157.7800000;155.1300000;157.4800000;29920
20130313;000000;157.3800000;157.5500000;154.2900000;155.0000000;318760
20130314;000000;154.6700000;155.0000000;141.1100000;148.8000000;393420
20130315;000000;149.0000000;149.0000000;145.1000000;146.8800000;37140
20130318;000000;145.2700000;145.2800000;135.4000000;136.7500000;230270
20130319;000000;136.7900000;139.2900000;136.0000000;136.8100000;122890
20130320;000000;137.4200000;147.5000000;136.0700000;146.0100000;555910
20130321;000000;146.7400000;148.0000000;141.0800000;147.0000000;114130
20130322;000000;146.0000000;147.9000000;142.0200000;144.1000000;203620
20130325;000000;144.0100000;145.7500000;142.4400000;142.4400000;43710
