<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;217.0000000;220.9000000;216.0000000;219.2000000;817363
20130109;000000;216.4000000;216.5000000;213.5000000;214.0000000;626507
20130110;000000;215.4000000;217.7000000;213.1000000;216.7000000;527533
20130111;000000;215.0000000;215.6000000;212.0000000;212.4000000;492444
20130114;000000;212.6000000;215.7000000;209.8000000;213.4000000;957301
20130115;000000;214.6000000;214.6000000;209.2000000;209.5000000;569686
20130116;000000;210.4000000;212.6000000;209.9000000;211.2000000;421801
20130117;000000;211.7000000;217.5000000;211.7000000;216.9000000;947080
20130118;000000;216.9000000;219.5000000;215.4000000;216.0000000;712924
20130121;000000;216.6000000;216.6000000;213.7000000;214.3000000;340560
20130122;000000;214.3000000;214.8000000;210.7000000;212.1000000;441767
20130123;000000;212.2000000;213.9000000;209.7000000;211.9000000;456538
20130124;000000;211.0000000;211.0000000;207.7000000;209.0000000;528786
20130125;000000;206.4000000;208.5000000;205.3000000;207.9000000;909154
20130128;000000;207.9000000;209.6000000;207.2000000;208.8000000;673761
20130129;000000;207.8000000;208.5000000;202.9000000;205.3000000;731504
20130130;000000;205.5000000;206.4000000;201.0000000;203.2000000;543065
20130131;000000;200.4000000;200.4000000;196.0000000;198.2000000;877167
20130201;000000;200.3000000;205.9000000;200.3000000;204.4000000;1003228
20130204;000000;204.3000000;204.6000000;197.0000000;198.5000000;694412
20130205;000000;196.7000000;198.9000000;195.6000000;198.3000000;562041
20130206;000000;198.6000000;199.5000000;194.8000000;195.3000000;554456
20130207;000000;197.1000000;198.4000000;196.5000000;198.1000000;472365
20130208;000000;195.9000000;196.9000000;193.7000000;194.2000000;537270
20130211;000000;194.0000000;196.7000000;192.1000000;192.4000000;546232
20130212;000000;192.5000000;193.1000000;190.3000000;191.3000000;285396
20130213;000000;192.0000000;196.2000000;191.4000000;194.5000000;646976
20130214;000000;194.6000000;196.2000000;190.0000000;192.3000000;792431
20130215;000000;192.3000000;193.2000000;190.1000000;190.7000000;384054
20130218;000000;189.5000000;190.4000000;187.8000000;189.3000000;560172
20130219;000000;189.2000000;191.1000000;188.7000000;189.3000000;399321
20130220;000000;190.4000000;190.7000000;185.3000000;185.3000000;654103
20130221;000000;183.0000000;183.0000000;178.5000000;178.8000000;1109965
20130222;000000;178.3000000;179.2000000;175.5000000;175.5000000;1098553
20130225;000000;176.8000000;179.4000000;174.2000000;178.2000000;1007292
20130226;000000;175.7000000;177.4000000;174.0000000;174.8000000;623308
20130227;000000;175.6000000;175.8000000;172.5000000;173.7000000;798162
20130228;000000;175.0000000;175.4000000;171.9000000;172.5000000;541999
20130301;000000;169.7000000;170.3000000;166.8000000;167.9000000;1014310
20130304;000000;167.3000000;167.4000000;163.7000000;164.6000000;771115
20130305;000000;164.9000000;165.9000000;163.7000000;165.0000000;832016
20130306;000000;165.9000000;172.5000000;165.4000000;168.3000000;1808147
20130307;000000;168.5000000;170.6000000;166.5000000;166.5000000;666458
20130311;000000;171.3000000;171.7000000;168.9000000;169.9000000;1164511
20130312;000000;168.9000000;168.9000000;166.5000000;168.6000000;690463
20130313;000000;167.5000000;169.6000000;162.1000000;162.5000000;1483328
20130314;000000;163.5000000;164.4000000;159.5000000;161.8000000;1717236
20130315;000000;162.5000000;163.9000000;161.0000000;161.2000000;1059014
20130318;000000;162.1000000;173.1000000;162.0000000;171.0000000;3279907
20130319;000000;171.0000000;172.8000000;164.9000000;165.0000000;1218802
20130320;000000;164.0000000;165.6000000;162.2000000;162.2000000;679861
20130321;000000;165.3000000;166.4000000;163.8000000;164.9000000;775277
20130322;000000;165.2000000;166.2000000;163.2000000;163.6000000;568515
20130325;000000;164.3000000;165.7000000;157.5000000;158.0000000;868166
20130326;000000;158.9000000;159.4000000;150.5000000;154.4000000;2154852
20130327;000000;155.4000000;156.3000000;150.1000000;152.9000000;1299677
20130328;000000;155.2000000;157.6000000;150.8000000;153.4000000;2099436
20130329;000000;154.3000000;154.5000000;152.9000000;154.1000000;341217
20130401;000000;154.1000000;155.6000000;151.2000000;153.0000000;605832
20130402;000000;153.0000000;153.8000000;146.0000000;147.0000000;968651
20130403;000000;145.9000000;146.1000000;138.3000000;140.0000000;1317202
20130404;000000;138.5000000;143.7000000;136.8000000;142.7000000;1315281
20130405;000000;142.4000000;143.2000000;136.6000000;138.5000000;824088
20130408;000000;139.7000000;141.4000000;133.7000000;134.5000000;1191606
20130409;000000;135.1000000;138.7000000;131.0000000;137.7000000;1231130
20130410;000000;140.7000000;151.0000000;139.3000000;147.8000000;2322557
20130411;000000;148.2000000;149.4000000;138.7000000;139.4000000;1155978
