<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;246.8800000;252.7500000;246.0300000;252.5000000;457250
20130109;000000;252.4200000;252.4300000;246.0200000;251.0000000;976570
20130110;000000;250.3800000;251.7300000;247.1500000;247.7000000;684240
20130111;000000;248.8800000;249.0400000;244.5000000;246.7000000;760960
20130114;000000;247.3700000;248.5000000;245.5900000;248.3000000;1421110
20130115;000000;248.8900000;248.9800000;245.0000000;246.7100000;1373370
20130116;000000;246.5100000;247.9500000;245.0000000;247.8900000;428470
20130117;000000;247.5100000;252.3800000;247.0700000;250.5500000;4767290
20130118;000000;251.0500000;251.9400000;249.7300000;250.6900000;1540550
20130121;000000;250.0300000;250.6000000;249.4000000;250.2500000;936560
20130122;000000;250.2500000;250.3400000;248.4600000;249.9900000;1241580
20130123;000000;250.1500000;251.5000000;247.6100000;251.1500000;1759370
20130124;000000;250.7500000;252.7500000;248.5100000;250.4700000;2945790
20130125;000000;250.5000000;252.4200000;249.7800000;252.2700000;3562390
20130128;000000;251.4500000;257.8000000;250.5000000;256.3000000;2962250
20130129;000000;256.0000000;256.8200000;254.2500000;254.8900000;761540
20130130;000000;255.8000000;256.4900000;253.0200000;255.4800000;887350
20130131;000000;255.2200000;257.0000000;251.6900000;255.1200000;2633280
20130201;000000;255.7300000;257.3900000;253.4000000;253.4900000;2588910
20130204;000000;254.1500000;259.1000000;253.6300000;257.0000000;3121650
20130205;000000;256.0800000;260.0000000;256.0300000;259.3000000;2761820
20130206;000000;259.3000000;261.5800000;256.2000000;258.9800000;3396400
20130207;000000;257.7700000;258.8500000;256.3600000;258.0000000;1189110
20130208;000000;258.0000000;260.0000000;256.4000000;258.3800000;3068990
20130211;000000;258.8600000;263.9800000;257.0400000;263.9800000;4091940
20130212;000000;263.2200000;266.4200000;260.0200000;264.0100000;4075320
20130213;000000;264.7300000;266.4200000;261.6200000;266.1100000;2113080
20130214;000000;265.5000000;266.1500000;260.7100000;263.4700000;2177510
20130215;000000;263.5100000;265.3000000;260.1600000;264.9200000;798180
20130218;000000;264.4000000;264.9200000;262.9400000;264.5100000;246260
20130219;000000;264.3100000;264.4600000;260.5500000;264.0000000;1959080
20130220;000000;263.5500000;263.6700000;261.2000000;263.2500000;1391930
20130221;000000;261.0000000;261.0000000;257.2100000;259.0100000;1111460
20130222;000000;259.7200000;263.3400000;259.1600000;262.5000000;1070200
20130225;000000;262.5500000;265.8000000;262.5200000;264.3500000;893820
20130226;000000;262.0000000;262.4000000;259.1500000;262.0000000;1276540
20130227;000000;261.6100000;262.2100000;258.4900000;261.4000000;823080
20130228;000000;262.3500000;268.7500000;262.3500000;267.7300000;1955590
20130301;000000;267.1300000;273.4800000;266.2200000;270.9000000;2059550
20130304;000000;270.8900000;270.8900000;267.6100000;270.4000000;1240620
20130305;000000;270.8900000;273.5000000;270.3500000;273.2500000;472640
20130306;000000;273.4500000;279.8800000;273.0200000;277.5000000;922530
20130307;000000;277.4900000;282.0000000;277.0000000;281.4500000;1005320
20130311;000000;283.0000000;289.8000000;281.2000000;283.7000000;2568470
20130312;000000;283.2800000;283.7500000;278.5500000;282.1000000;949140
20130313;000000;281.3900000;281.9800000;277.2800000;281.0000000;1320920
20130314;000000;281.0000000;286.9800000;278.7000000;282.2900000;781060
20130315;000000;283.9700000;286.0000000;277.7700000;280.5800000;1543710
20130318;000000;278.1100000;278.9000000;272.2500000;273.5700000;1417800
20130319;000000;274.4900000;277.7700000;268.2100000;271.5000000;1453300
20130320;000000;268.0000000;274.3000000;267.0100000;273.0000000;1829550
20130321;000000;273.0000000;273.9800000;269.1800000;270.5000000;614340
20130322;000000;270.2600000;271.8900000;268.7200000;271.0000000;1193620
20130325;000000;272.2000000;277.7700000;271.0000000;276.7900000;1564090
20130326;000000;276.7900000;277.2000000;273.2800000;273.9900000;1036840
20130327;000000;274.4400000;275.5500000;269.6000000;275.0000000;1005160
20130328;000000;274.1100000;277.5000000;270.7900000;277.0200000;1070440
20130329;000000;276.0000000;277.9900000;274.1500000;276.4300000;249460
20130401;000000;276.0000000;279.9000000;275.3700000;278.3500000;496830
20130402;000000;278.3800000;280.4600000;278.0800000;279.8700000;345370
20130403;000000;280.0000000;284.9800000;275.5300000;275.5900000;704290
20130404;000000;273.3700000;275.7900000;270.0100000;270.1900000;936490
20130405;000000;270.1100000;270.1200000;257.7600000;261.2000000;4178520
20130408;000000;262.3900000;265.7500000;261.0800000;264.1400000;980770
20130409;000000;264.5000000;267.7000000;262.0000000;264.5000000;1241030
20130410;000000;265.0000000;266.3500000;264.0100000;266.3000000;752230
20130411;000000;267.2000000;270.1800000;266.1100000;268.2500000;1149030
20130412;000000;267.2000000;269.4000000;265.1500000;269.2600000;1024340
20130415;000000;266.5500000;268.9800000;261.5200000;261.8500000;1360070
20130416;000000;260.8000000;264.7500000;260.1500000;264.7200000;447340
20130417;000000;264.2400000;267.8800000;261.7400000;263.3000000;480550
20130418;000000;263.9900000;265.8800000;258.5500000;258.8000000;652370
20130419;000000;260.9900000;263.5400000;260.0000000;263.0000000;486110
20130422;000000;263.0000000;265.5300000;257.1200000;257.8200000;885740
20130423;000000;258.3100000;259.5500000;255.1200000;259.4800000;303110
20130424;000000;261.0000000;264.0400000;261.0000000;263.8600000;413940
20130425;000000;264.2500000;271.9800000;263.3000000;271.0000000;836700
20130426;000000;270.3600000;274.8800000;267.5000000;274.8800000;593410
20130429;000000;274.7200000;276.9800000;272.5500000;273.5400000;659860
20130430;000000;274.0000000;274.9600000;268.7600000;274.0000000;947000
20130502;000000;274.0000000;276.2600000;270.7200000;271.1100000;262700
20130503;000000;272.2600000;274.8400000;270.5500000;274.5000000;271840
20130506;000000;274.5000000;279.4300000;274.3300000;277.6000000;448570
20130507;000000;277.7700000;281.0500000;269.0000000;273.4500000;1835210
20130508;000000;273.5000000;276.3700000;270.2000000;273.2000000;1655060
20130510;000000;261.2500000;265.0000000;259.3700000;262.4800000;1238810
20130513;000000;259.8600000;260.9900000;255.6700000;259.8500000;1699820
20130514;000000;259.8600000;260.5000000;254.6000000;257.7000000;2694710
20130515;000000;257.7000000;260.7500000;257.0200000;259.5500000;2469460
20130516;000000;260.4500000;263.6700000;259.0000000;259.1600000;971410
20130517;000000;259.2000000;264.3400000;257.1500000;263.9200000;519210
20130520;000000;263.6300000;263.6300000;260.3500000;261.9400000;390700
20130521;000000;261.6100000;268.7000000;260.1100000;268.2800000;1052970
20130522;000000;268.3000000;274.2000000;267.9000000;272.9600000;995610
20130523;000000;271.9900000;272.1000000;262.5000000;265.4000000;1650470
20130524;000000;265.7400000;267.0900000;264.1400000;265.1200000;1475950
20130527;000000;265.5100000;267.2100000;260.3400000;261.4800000;567230
20130528;000000;262.0200000;263.9900000;260.7400000;263.9900000;1774530
20130529;000000;263.0000000;263.0000000;258.6500000;260.5000000;456880
20130530;000000;259.0000000;260.6700000;252.4400000;253.1800000;950980
20130531;000000;255.1700000;256.3000000;252.0000000;255.3400000;1205230
20130603;000000;253.1000000;255.6000000;250.1100000;253.8300000;1385200
20130604;000000;253.8300000;258.5000000;252.5400000;257.3200000;1073010
20130605;000000;257.3300000;257.3300000;250.0000000;250.2000000;732050
20130606;000000;250.0000000;256.3800000;248.0100000;254.5800000;1624500
20130607;000000;254.5800000;257.8000000;252.5700000;254.0000000;1522770
20130610;000000;254.2100000;256.7500000;251.6400000;255.5000000;1104810
20130611;000000;254.9400000;254.9400000;245.5300000;248.5600000;1129360
20130613;000000;251.0600000;251.0600000;245.1200000;248.1900000;1230110
20130614;000000;250.5000000;252.0000000;248.1000000;251.9000000;866150
20130617;000000;251.5100000;257.2500000;250.2700000;253.2300000;2030330
20130618;000000;252.5000000;262.2000000;246.0100000;257.5000000;2409260
20130619;000000;259.7400000;260.8900000;256.2000000;258.4400000;795160
20130620;000000;256.4000000;258.9900000;251.0000000;251.0000000;993850
20130621;000000;249.9000000;253.9400000;248.5500000;249.5200000;939530
20130624;000000;249.5200000;254.8500000;247.5100000;248.7700000;1564020
20130625;000000;249.0000000;252.9900000;249.0000000;250.4000000;1048530
20130626;000000;250.3800000;261.0000000;250.3800000;259.4200000;2254800
20130627;000000;259.8000000;263.5800000;257.3300000;259.4100000;1116210
20130628;000000;260.5000000;263.5000000;255.0000000;261.4500000;1752560
20130701;000000;259.1000000;261.4400000;257.1100000;259.5000000;667370
20130702;000000;258.2900000;259.9000000;256.0100000;258.0000000;671250
20130703;000000;257.1000000;259.3900000;255.0100000;258.4700000;685910
20130704;000000;258.6800000;261.1500000;256.1000000;257.9500000;1245220
20130705;000000;258.0000000;262.5600000;257.6000000;261.0200000;801630
20130708;000000;260.1000000;267.0000000;260.1000000;266.1100000;783090
20130709;000000;266.1100000;268.7500000;262.4100000;263.2600000;828140
20130710;000000;262.5200000;264.5300000;260.1000000;261.8700000;613680
20130711;000000;262.6600000;267.0000000;261.1600000;267.0000000;1681390
20130712;000000;267.1000000;272.5000000;267.1000000;272.3000000;1937230
20130715;000000;272.7500000;273.9000000;268.5700000;268.5700000;1028230
