<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130129;000000;0.2777700;0.2777700;0.2300000;0.2300000;200000
20130208;000000;0.2000000;0.2000000;0.2000000;0.2000000;100000
20130226;000000;0.1470000;0.1470000;0.1470000;0.1470000;100000
20130306;000000;0.0882000;0.0882000;0.0882000;0.0882000;100000
20130307;000000;0.0529200;0.0529200;0.0529200;0.0529200;100000
20130327;000000;0.0740900;0.0740900;0.0740900;0.0740900;100000
20130401;000000;0.1400000;0.1400000;0.1400000;0.1400000;100000
20130402;000000;0.1700000;0.1700000;0.1700000;0.1700000;100000
20130403;000000;0.2227700;0.2227700;0.2227700;0.2227700;100000
20130404;000000;0.1900000;0.1900000;0.1900000;0.1900000;100000
20130405;000000;0.1620000;0.1620000;0.1620000;0.1620000;100000
20130410;000000;0.1701000;0.1701000;0.1701000;0.1701000;100000
20130411;000000;0.2099900;0.2099900;0.2099900;0.2099900;200000
20130412;000000;0.1700000;0.1700000;0.1700000;0.1700000;100000
20130415;000000;0.1500000;0.1500000;0.1500000;0.1500000;100000
20130422;000000;0.1000000;0.1000000;0.1000000;0.1000000;100000
20130621;000000;0.0701000;0.0701000;0.0701000;0.0701000;100000
20130627;000000;0.0650500;0.0650500;0.0650500;0.0650500;200000
20131218;000000;0.0425100;0.0425100;0.0425100;0.0425100;100000
