<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;24.4990000;24.9500000;24.4990000;24.9500000;57600
20130109;000000;24.9900000;25.1800000;24.7000000;24.7990000;165600
20130110;000000;24.7500000;24.8500000;24.4270000;24.7470000;188100
20130111;000000;24.7000000;24.8240000;24.5990000;24.6000000;68900
20130114;000000;24.7760000;24.8750000;24.6070000;24.7000000;303300
20130115;000000;24.7000000;24.9500000;24.6000000;24.9000000;60200
20130116;000000;24.9240000;24.9500000;24.8000000;24.9000000;105400
20130117;000000;24.9500000;24.9500000;24.7950000;24.8610000;104000
20130118;000000;24.9000000;24.9750000;24.8350000;24.9500000;428400
20130121;000000;24.9500000;25.4990000;24.9400000;25.3850000;560400
20130122;000000;25.3830000;25.9000000;25.3490000;25.7000000;648000
20130123;000000;25.8000000;26.3980000;25.6600000;26.3980000;375600
20130124;000000;26.3980000;26.4000000;25.9000000;26.1270000;154400
20130125;000000;26.1390000;26.4940000;26.1390000;26.4940000;225800
20130128;000000;26.4990000;26.5000000;26.2000000;26.3000000;294000
20130129;000000;26.3010000;26.5000000;26.1990000;26.2750000;145500
20130130;000000;26.2740000;26.4390000;26.2740000;26.3000000;88300
20130131;000000;26.3140000;26.9980000;26.2500000;26.9980000;211700
20130201;000000;26.8560000;27.1900000;26.7500000;27.0000000;319100
20130204;000000;26.9990000;27.1000000;26.6000000;26.6000000;231400
20130205;000000;26.3340000;26.8990000;26.3340000;26.8500000;94600
20130206;000000;26.8000000;27.0000000;26.6780000;26.8900000;277500
20130207;000000;26.7000000;26.9970000;26.6930000;26.9950000;188800
20130208;000000;26.7070000;26.9990000;26.7000000;26.8490000;283900
20130211;000000;26.8600000;26.9500000;26.7010000;26.8490000;75600
20130212;000000;26.7000000;26.8490000;26.6530000;26.7000000;61600
20130213;000000;26.7990000;26.9250000;26.7990000;26.9200000;51100
20130214;000000;26.9200000;27.3000000;26.9200000;27.1760000;853400
20130215;000000;27.1880000;28.4980000;27.1060000;27.9990000;1334500
20130218;000000;27.9980000;28.3980000;27.9970000;28.1650000;523200
20130219;000000;28.1500000;28.1750000;28.1000000;28.1000000;57300
