<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;64.0000000;65.7000000;63.5500000;65.3800000;10223020
20130109;000000;65.0500000;65.6500000;64.3600000;64.7700000;5293260
20130110;000000;64.9800000;65.3800000;64.7800000;65.3000000;2930000
20130111;000000;65.3500000;66.2500000;64.9300000;65.8100000;3884700
20130114;000000;65.9000000;68.1600000;65.9000000;68.1400000;7543150
20130115;000000;67.8200000;68.9100000;67.0500000;67.4100000;8949060
20130116;000000;67.7600000;68.0000000;66.5700000;67.6800000;4184640
20130117;000000;67.6800000;68.1500000;67.2700000;67.9400000;5294570
20130118;000000;68.3600000;68.8300000;68.2000000;68.4400000;3819430
20130121;000000;68.5300000;68.7000000;67.6800000;68.0400000;2292970
20130122;000000;68.2000000;68.3400000;66.6000000;66.9500000;3885000
20130123;000000;66.9400000;67.2900000;66.3400000;66.6100000;4487050
20130124;000000;66.8000000;66.8800000;65.3000000;65.7100000;4846010
20130125;000000;65.5100000;66.9000000;64.7100000;65.9900000;4635340
20130128;000000;66.3200000;66.5000000;65.8100000;66.3100000;3757650
20130129;000000;66.3100000;67.3500000;64.3100000;64.5600000;7291600
20130130;000000;64.9000000;65.4000000;63.4600000;63.7100000;6388860
20130131;000000;63.0000000;63.6500000;62.8200000;63.5100000;3290960
20130201;000000;63.8300000;64.9000000;63.5000000;63.6000000;4853070
20130204;000000;64.0100000;64.3000000;62.1300000;62.4500000;4850700
20130205;000000;62.0400000;63.5600000;61.9700000;63.3200000;5028540
20130206;000000;63.4700000;63.9800000;62.0800000;62.8000000;6260980
20130207;000000;62.7000000;62.8900000;61.5000000;62.1000000;3926140
20130208;000000;62.3000000;62.6000000;61.2000000;61.9100000;5732530
20130211;000000;62.0000000;62.1200000;61.1000000;61.3400000;2531950
20130212;000000;61.2200000;61.7000000;60.7700000;61.0500000;3762350
20130213;000000;61.3800000;63.2400000;60.9400000;62.6800000;7043440
20130214;000000;62.6000000;63.3500000;61.0100000;61.2700000;5651540
20130215;000000;61.2800000;61.9500000;60.8000000;61.4000000;4427350
20130218;000000;61.2100000;61.5000000;60.8300000;61.1200000;2097570
20130219;000000;61.1200000;61.8400000;60.8800000;61.5700000;3648280
20130220;000000;61.9400000;62.0200000;60.5200000;60.6400000;3597250
20130221;000000;60.0000000;60.0000000;58.7000000;58.8900000;6278110
20130222;000000;59.0000000;59.4800000;58.5000000;58.5200000;3247960
20130225;000000;58.8000000;59.4700000;58.2200000;59.3500000;2946240
20130226;000000;58.1600000;58.8500000;57.7000000;58.3000000;3400830
20130227;000000;58.4400000;59.0500000;58.0400000;58.9500000;2928330
20130228;000000;59.4100000;59.8500000;58.4200000;58.8700000;3387530
20130301;000000;58.4100000;58.5300000;57.4000000;57.9500000;2601420
20130304;000000;57.5900000;57.7600000;56.5300000;56.6100000;3773900
20130305;000000;56.9400000;57.3600000;56.3000000;57.0600000;3228530
20130306;000000;57.3200000;58.3000000;57.1800000;57.8900000;4711210
20130307;000000;57.7400000;58.0300000;56.9000000;57.2500000;2310190
20130311;000000;57.4000000;58.1700000;57.4000000;57.7000000;4513690
20130312;000000;57.7700000;57.8600000;57.0000000;57.0100000;2519330
20130313;000000;56.8400000;57.1700000;55.6600000;55.8000000;5646120
