<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;2.8701000;2.9500000;2.8501000;2.8703000;1414000
20130109;000000;2.8700000;2.9500000;2.8699000;2.9439000;610000
20130110;000000;2.9451000;2.9451000;2.8706000;2.8740000;913000
20130111;000000;2.8766000;2.8786000;2.8501000;2.8681000;1030000
20130114;000000;2.8799000;2.9299000;2.8703000;2.8883000;645000
20130115;000000;2.8899000;2.9013000;2.8500000;2.8998000;1348000
20130116;000000;2.8601000;2.9025000;2.8601000;2.9000000;965000
20130117;000000;2.9100000;2.9100000;2.8900000;2.9099000;169000
20130118;000000;2.9000000;3.1000000;2.9000000;3.0001000;3453000
20130121;000000;2.9999000;3.0700000;2.9703000;3.0300000;1774000
20130122;000000;3.0200000;3.0302000;2.3000000;2.9590000;2647000
20130123;000000;2.9450000;3.0195000;2.9130000;2.9786000;1148000
20130124;000000;2.9550000;3.0000000;2.8900000;2.9990000;1819000
20130125;000000;2.9997000;3.0929000;2.9857000;3.0657000;1985000
20130128;000000;3.0658000;3.1940000;3.0200000;3.1915000;6731000
20130129;000000;3.1999000;3.2275000;3.1790000;3.2002000;2502000
20130130;000000;3.2000000;3.2189000;3.1553000;3.1800000;2133000
20130131;000000;3.1700000;3.2177000;3.1201000;3.1803000;1770000
20130201;000000;3.1701000;3.3470000;3.1651000;3.3101000;2684000
20130204;000000;3.3011000;3.3011000;3.2542000;3.2747000;1139000
20130205;000000;3.2699000;3.3295000;3.2361000;3.3100000;6058000
20130206;000000;3.3150000;3.4909000;3.2708000;3.4909000;5991000
20130207;000000;3.4800000;3.5815000;3.4200000;3.5390000;13112000
20130208;000000;3.5500000;3.6477000;3.4700000;3.6290000;10112000
20130211;000000;3.6400000;3.9000000;3.5560000;3.5600000;30085000
20130212;000000;3.6000000;3.7700000;3.6000000;3.7700000;18138000
20130213;000000;3.7850000;3.8799000;3.6801000;3.8450000;24953000
20130214;000000;3.7997000;3.9198000;3.7100000;3.8000000;29914000
20130215;000000;3.8200000;3.8512000;3.7100000;3.8150000;14522000
20130218;000000;3.8300000;3.8300000;3.6401000;3.7500000;35352000
20130219;000000;3.7401000;3.7500000;3.6900000;3.7000000;4015000
20130220;000000;3.6800000;3.6910000;3.5900000;3.6293000;4941000
20130221;000000;3.5603000;3.6000000;3.4358000;3.4679000;2944000
20130222;000000;3.4679000;3.5930000;3.4221000;3.5150000;1372000
20130225;000000;3.4975000;3.5900000;3.4701000;3.5900000;3218000
20130226;000000;3.5796000;3.5900000;3.5001000;3.5881000;2709000
20130227;000000;3.5612000;3.6473000;3.4200000;3.5000000;1940000
20130228;000000;3.4899000;3.5600000;3.4470000;3.5212000;995000
20130301;000000;3.5250000;3.5400000;3.4605000;3.5198000;1408000
20130304;000000;3.5471000;3.6270000;3.4901000;3.5125000;767000
20130305;000000;3.5298000;3.5700000;3.4800000;3.5278000;1730000
20130306;000000;3.5252000;3.5254000;3.4850000;3.4960000;1747000
20130307;000000;3.5150000;3.5498000;3.5000000;3.5046000;614000
20130311;000000;3.5400000;3.6101000;3.4900000;3.5900000;4689000
20130312;000000;3.5999000;3.6400000;3.5600000;3.6400000;2220000
20130313;000000;3.5904000;3.7130000;3.5651000;3.7130000;2728000
20130314;000000;3.7043000;3.7900000;3.6511000;3.7502000;2021000
20130315;000000;3.7500000;3.7799000;3.5600000;3.6000000;2316000
20130318;000000;3.5400000;3.5800000;3.4100000;3.5242000;4742000
20130319;000000;3.5000000;3.5900000;3.4300000;3.5847000;1707000
20130320;000000;3.5015000;3.5199000;3.4301000;3.5100000;5891000
20130321;000000;3.5001000;3.5001000;3.4500000;3.4592000;1272000
20130322;000000;3.4301000;3.5111000;3.3800000;3.4852000;5738000
20130325;000000;3.4852000;3.5000000;3.4000000;3.4001000;750000
20130326;000000;3.3951000;3.5500000;3.3751000;3.5500000;1313000
20130327;000000;3.5002000;3.6000000;3.4338000;3.4503000;1789000
20130328;000000;3.4600000;3.4650000;3.3347000;3.4500000;1194000
20130329;000000;3.4600000;3.4600000;3.3900000;3.3922000;170000
20130401;000000;3.3803000;3.4601000;3.3500000;3.4250000;669000
20130402;000000;3.3701000;3.4169000;3.3452000;3.4098000;886000
20130403;000000;3.3800000;3.5400000;3.3800000;3.5000000;2976000
20130404;000000;3.4999000;3.5394000;3.3900000;3.4395000;1829000
20130405;000000;3.4295000;3.4429000;3.3960000;3.4298000;1844000
20130408;000000;3.4298000;3.4628000;3.3300000;3.3900000;1139000
20130409;000000;3.3851000;3.4146000;3.3451000;3.3600000;737000
20130410;000000;3.3681000;3.4000000;3.2109000;3.2643000;1263000
20130411;000000;3.2551000;3.2600000;3.1500000;3.2100000;887000
20130412;000000;3.1795000;3.1901000;3.0311000;3.0950000;1302000
20130415;000000;3.0901000;3.1755000;2.8100000;3.0349000;3425000
20130416;000000;3.0298000;3.0579000;2.8201000;3.0379000;3060000
20130417;000000;2.9701000;3.0000000;2.8503000;2.9999000;816000
20130418;000000;2.9339000;2.9600000;2.8600000;2.9299000;835000
20130419;000000;2.9299000;2.9299000;2.7306000;2.8100000;1094000
20130422;000000;2.8343000;2.8500000;2.7301000;2.8500000;1705000
20130423;000000;2.8000000;2.9593000;2.7000000;2.9593000;3198000
20130424;000000;2.9850000;2.9950000;2.8800000;2.9950000;338000
20130425;000000;2.9891000;2.9895000;2.8809000;2.9000000;309000
20130426;000000;2.8900000;2.9400000;2.8322000;2.9400000;499000
20130429;000000;2.9450000;2.9800000;2.8269000;2.8500000;265000
20130430;000000;2.8400000;2.8999000;2.8119000;2.8254000;2045000
20130502;000000;2.8001000;2.8799000;2.7951000;2.8636000;165000
20130503;000000;2.8691000;2.8744000;2.8453000;2.8678000;122000
20130506;000000;2.8699000;2.9700000;2.8699000;2.9194000;1107000
20130507;000000;2.9300000;3.0200000;2.8912000;3.0155000;2181000
20130508;000000;3.0500000;3.1300000;2.9324000;3.0140000;808000
20130510;000000;2.9701000;3.0135000;2.8513000;2.8514000;488000
20130513;000000;2.8600000;2.9399000;2.8116000;2.9220000;576000
20130514;000000;2.9130000;2.9973000;2.8708000;2.8751000;741000
20130515;000000;2.8651000;2.9580000;2.8200000;2.8938000;457000
20130516;000000;2.9047000;2.9580000;2.8906000;2.9372000;307000
20130517;000000;2.8864000;2.9335000;2.8864000;2.9313000;81000
20130520;000000;2.9320000;2.9320000;2.8651000;2.9035000;239000
20130521;000000;2.9150000;2.9290000;2.8559000;2.8929000;356000
20130522;000000;2.8840000;2.9166000;2.8650000;2.9067000;1106000
20130523;000000;2.8900000;2.9168000;2.7816000;2.9000000;1394000
20130524;000000;2.8650000;2.8700000;2.7856000;2.8495000;1060000
20130527;000000;2.8300000;2.8300000;2.7899000;2.8190000;201000
20130528;000000;2.7999000;2.8488000;2.7901000;2.8480000;491000
20130529;000000;2.8251000;2.8497000;2.7656000;2.7777000;931000
20130530;000000;2.7848000;2.8097000;2.7711000;2.8095000;706000
20130531;000000;2.8122000;2.8144000;2.7776000;2.8144000;904000
20130603;000000;2.7999000;2.8144000;2.7851000;2.7859000;647000
20130604;000000;2.7990000;2.8050000;2.7679000;2.7772000;1268000
20130605;000000;2.7800000;2.7874000;2.7579000;2.7874000;483000
20130606;000000;2.7799000;2.7874000;2.7070000;2.7777000;553000
20130607;000000;2.7698000;2.7698000;2.7452000;2.7622000;17000
20130610;000000;2.7501000;2.7550000;2.7000000;2.7324000;545000
20130611;000000;2.7252000;2.7500000;2.6520000;2.7350000;968000
20130613;000000;2.7100000;2.7289000;2.6691000;2.7000000;696000
20130614;000000;2.7001000;2.7001000;2.6970000;2.7000000;305000
20130617;000000;2.7000000;2.9800000;1.9500000;2.7299000;11463000
20130618;000000;2.6900000;2.7380000;2.6900000;2.7179000;736000
20130619;000000;2.6905000;2.7198000;2.6800000;2.7100000;841000
20130620;000000;2.6900000;2.7450000;2.6287000;2.7041000;1522000
20130621;000000;2.7125000;2.7662000;2.6750000;2.7005000;1482000
20130624;000000;2.6950000;2.7350000;2.6537000;2.7303000;1740000
20130625;000000;2.6900000;2.7550000;2.6858000;2.7540000;532000
20130626;000000;2.7650000;2.7980000;2.6473000;2.7900000;1516000
20130627;000000;2.7700000;2.7949000;2.7005000;2.7949000;878000
20130628;000000;2.7750000;2.8601000;2.7349000;2.8149000;1392000
20130701;000000;2.7999000;2.8196000;2.7625000;2.8193000;500000
20130702;000000;2.8301000;2.9357000;2.8220000;2.9357000;3188000
20130703;000000;2.9350000;3.0200000;2.9000000;2.9700000;2711000
20130704;000000;2.9844000;3.0984000;2.9844000;3.0984000;1598000
20130705;000000;3.0999000;3.1294000;3.0610000;3.0900000;678000
20130708;000000;3.1198000;3.1199000;3.0700000;3.0790000;381000
20130709;000000;3.0850000;3.0850000;3.0416000;3.0525000;700000
20130710;000000;3.0220000;3.0775000;3.0157000;3.0454000;535000
20130711;000000;3.0499000;3.1375000;3.0150000;3.0502000;1234000
20130712;000000;3.0600000;3.0850000;2.9840000;3.0297000;761000
20130715;000000;3.0300000;3.0560000;2.9750000;3.0096000;2489000
20130716;000000;3.0051000;3.0051000;2.9481000;2.9978000;1297000
20130717;000000;3.0001000;3.0025000;2.9371000;2.9810000;930000
20130718;000000;2.9725000;2.9750000;2.9321000;2.9345000;577000
20130719;000000;2.9310000;2.9800000;2.9193000;2.9548000;323000
