<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130109;000000;809.5000000;809.5000000;809.5000000;809.5000000;2
20130114;000000;802.0000000;802.0000000;800.0000000;800.0000000;79
20130115;000000;805.0000000;819.5000000;803.0000000;819.5000000;27
20130116;000000;809.1000000;814.9000000;790.0000000;793.9000000;182
20130117;000000;800.9000000;800.9000000;780.0000000;783.9000000;201
20130118;000000;795.0000000;795.0000000;795.0000000;795.0000000;1
20130121;000000;802.5000000;811.9000000;801.9000000;808.0000000;148
20130122;000000;807.0000000;807.0000000;798.9000000;798.9000000;34
20130123;000000;802.0000000;802.0000000;766.0000000;784.9000000;605
20130124;000000;780.1000000;785.0000000;770.0000000;780.0000000;2476
20130125;000000;795.0000000;795.0000000;789.0000000;789.0000000;4
20130129;000000;790.0000000;790.0000000;790.0000000;790.0000000;9
20130130;000000;790.9000000;790.9000000;786.0000000;786.0000000;6
20130131;000000;790.0000000;790.0000000;790.0000000;790.0000000;1
20130201;000000;782.1000000;796.9000000;765.0000000;780.5000000;1139
20130204;000000;776.0000000;777.9000000;760.4000000;765.0000000;739
20130205;000000;765.9000000;766.8000000;760.0000000;765.0000000;941
20130206;000000;765.2000000;765.9000000;760.3000000;764.9000000;784
20130207;000000;767.0000000;771.8000000;767.0000000;771.8000000;260
20130208;000000;769.5000000;769.5000000;754.1000000;758.0000000;716
20130211;000000;757.0000000;759.0000000;753.1000000;755.0000000;877
20130212;000000;760.0000000;762.5000000;753.1000000;759.9000000;60
20130213;000000;762.5000000;771.8000000;735.2000000;750.0000000;965
20130214;000000;754.0000000;764.9000000;753.0000000;764.7000000;123
20130215;000000;757.1000000;764.7000000;750.0000000;761.0000000;45
20130219;000000;752.1000000;756.0000000;750.1000000;755.0000000;57
20130220;000000;750.0000000;750.0000000;740.0000000;744.0000000;712
20130221;000000;740.0000000;744.0000000;730.0000000;730.0000000;234
20130222;000000;734.0000000;749.9000000;734.0000000;749.9000000;761
20130225;000000;741.0000000;749.9000000;735.0000000;749.9000000;669
20130226;000000;750.9000000;769.0000000;742.0000000;742.0000000;5631
20130227;000000;749.8000000;750.0000000;749.8000000;750.0000000;15
20130228;000000;746.5000000;746.5000000;735.0000000;742.7000000;79
20130301;000000;744.0000000;744.0000000;700.0000000;713.9000000;586
20130304;000000;710.9000000;711.0000000;690.0000000;699.5000000;123
20130305;000000;699.5000000;709.9000000;698.0000000;709.9000000;305
20130306;000000;719.5000000;719.5000000;719.5000000;719.5000000;233
20130307;000000;745.0000000;745.0000000;730.0000000;730.0000000;6
20130311;000000;721.1000000;729.9000000;700.0000000;725.0000000;466
20130312;000000;725.0000000;740.0000000;702.0000000;740.0000000;673
20130313;000000;735.1000000;754.0000000;735.0000000;750.0000000;12
20130314;000000;750.0000000;750.0000000;735.0000000;735.0000000;14
20130318;000000;730.0000000;730.0000000;720.0000000;720.0000000;35
20130319;000000;715.0000000;715.0000000;710.0000000;710.0000000;5
20130320;000000;720.1000000;726.0000000;720.1000000;725.4000000;6
20130321;000000;722.7000000;730.0000000;722.7000000;730.0000000;174
20130322;000000;730.0000000;730.0000000;722.0000000;727.0000000;30
20130325;000000;727.0000000;727.0000000;727.0000000;727.0000000;1
20130326;000000;730.0000000;735.0000000;720.0000000;720.0000000;36
20130327;000000;723.1000000;724.7000000;707.0000000;724.7000000;35
20130328;000000;720.0000000;721.0000000;719.0000000;719.9000000;6
20130329;000000;718.9000000;718.9000000;718.9000000;718.9000000;1
20130401;000000;719.0000000;725.1000000;717.0000000;725.1000000;30
20130402;000000;728.0000000;728.0000000;723.0000000;723.0000000;9
20130403;000000;720.0000000;763.0000000;719.9000000;737.1000000;83
20130404;000000;748.4000000;748.4000000;724.0000000;738.0000000;30
20130405;000000;735.0000000;735.0000000;712.1000000;728.0000000;15
20130408;000000;730.0000000;744.0000000;730.0000000;744.0000000;6
20130409;000000;741.0000000;741.0000000;705.1000000;712.0000000;297
20130410;000000;720.0000000;752.0000000;720.0000000;743.0000000;176
20130411;000000;745.0000000;745.0000000;734.0000000;743.9000000;61
20130412;000000;740.0000000;740.0000000;720.2000000;720.9000000;144
20130415;000000;715.0000000;715.0000000;702.0000000;705.0000000;27
20130416;000000;712.9000000;712.9000000;712.9000000;712.9000000;1
20130417;000000;735.0000000;740.0000000;728.0000000;730.1000000;381
20130418;000000;700.1000000;734.0000000;660.0000000;674.0000000;1832
20130419;000000;655.0000000;659.9000000;605.3000000;630.0000000;491
20130422;000000;550.0000000;552.5000000;527.3000000;550.0000000;24
20130423;000000;550.0000000;600.0000000;550.0000000;600.0000000;411
20130424;000000;590.3000000;595.1000000;581.1000000;581.1000000;18
20130425;000000;599.9000000;635.0000000;599.9000000;600.1000000;236
20130426;000000;616.7000000;616.7000000;595.0000000;610.0000000;5
20130429;000000;585.0000000;585.0000000;555.0000000;575.0000000;344
20130430;000000;570.0000000;580.0000000;563.1000000;580.0000000;22
20130502;000000;573.0000000;580.0000000;565.2000000;580.0000000;108
20130503;000000;573.0000000;585.0000000;565.0000000;585.0000000;498
20130506;000000;570.1000000;589.0000000;570.1000000;580.0000000;53
20130507;000000;581.9000000;581.9000000;581.9000000;581.9000000;2
20130508;000000;590.0000000;590.0000000;590.0000000;590.0000000;2
20130510;000000;591.1000000;600.0000000;591.0000000;595.0000000;8
20130513;000000;595.0000000;595.0000000;592.0000000;592.0000000;5
20130514;000000;594.9000000;600.0000000;590.1000000;590.1000000;53
20130515;000000;595.1000000;595.1000000;595.0000000;595.0000000;4
20130516;000000;596.7000000;597.0000000;585.1000000;590.1000000;45
20130517;000000;590.0000000;595.0000000;571.0000000;571.0000000;216
20130520;000000;584.9000000;620.0000000;584.9000000;595.0000000;538
20130521;000000;598.9000000;610.0000000;597.0000000;610.0000000;19
20130522;000000;603.0000000;604.9000000;595.0000000;595.0000000;158
20130523;000000;599.9000000;600.0000000;599.9000000;600.0000000;742
20130524;000000;599.0000000;600.3000000;594.9000000;599.0000000;119
20130527;000000;595.1000000;599.9000000;589.0000000;599.9000000;55
