<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;814.0000000;817.8000000;805.1000000;810.0000000;17
20130109;000000;810.0000000;810.0000000;802.9000000;804.9000000;84
20130110;000000;803.5000000;805.9000000;803.5000000;805.9000000;4
20130111;000000;806.0000000;807.9000000;806.0000000;807.9000000;13
20130114;000000;813.9000000;814.9000000;799.0000000;812.0000000;390
20130115;000000;810.0000000;823.9000000;801.0000000;808.5000000;151
20130116;000000;806.0000000;806.0000000;790.0000000;795.0000000;981
20130117;000000;797.0000000;800.0000000;790.1000000;800.0000000;482
20130121;000000;802.0000000;813.3000000;802.0000000;808.0000000;193
20130122;000000;807.6000000;810.0000000;800.0000000;800.9000000;142
20130123;000000;800.9000000;800.9000000;789.2000000;789.9000000;185
20130124;000000;789.9000000;797.0000000;782.0000000;786.9000000;281
20130125;000000;786.0000000;787.1000000;781.2000000;787.1000000;146
20130128;000000;797.0000000;797.9000000;787.1000000;792.0000000;44
20130129;000000;790.1000000;790.9000000;786.3000000;789.1000000;229
20130130;000000;790.0000000;790.0000000;785.5000000;785.6000000;270
20130131;000000;790.9000000;790.9000000;782.0000000;783.0000000;243
20130201;000000;789.5000000;789.5000000;760.0000000;775.9000000;2014
20130204;000000;776.0000000;777.0000000;761.4000000;761.4000000;457
20130205;000000;766.9000000;768.9000000;761.0000000;764.2000000;267
20130206;000000;765.0000000;765.9000000;764.0000000;765.0000000;94
20130207;000000;762.0000000;778.9000000;762.0000000;776.5000000;193
20130208;000000;772.0000000;772.0000000;759.9000000;760.1000000;282
20130211;000000;760.2000000;763.8000000;758.5000000;759.9000000;291
20130212;000000;763.9000000;766.8000000;763.9000000;765.5000000;28
20130213;000000;766.5000000;790.5000000;759.1000000;777.0000000;292
20130214;000000;771.0000000;772.0000000;764.2000000;772.0000000;170
20130215;000000;772.0000000;772.0000000;760.0000000;763.1000000;294
20130218;000000;766.0000000;766.0000000;760.0000000;763.0000000;217
20130219;000000;764.0000000;773.8000000;750.0000000;755.0000000;1055
20130220;000000;755.1000000;755.9000000;740.0000000;751.0000000;938
20130221;000000;751.0000000;751.0000000;740.0000000;740.0000000;241
20130222;000000;740.1000000;756.9000000;740.1000000;756.5000000;39
20130225;000000;750.0000000;755.0000000;740.0000000;755.0000000;442
20130226;000000;755.0000000;755.8000000;751.0000000;755.8000000;15
20130227;000000;755.1000000;755.1000000;753.0000000;754.0000000;51
20130228;000000;755.0000000;755.0000000;745.0000000;747.0000000;192
20130301;000000;753.9000000;753.9000000;720.0000000;729.0000000;903
20130304;000000;729.0000000;729.0000000;700.0000000;709.8000000;875
20130305;000000;714.0000000;730.0000000;705.0000000;721.5000000;305
20130306;000000;717.1000000;740.0000000;710.7000000;739.0000000;612
20130307;000000;739.0000000;755.0000000;732.0000000;732.7000000;50
20130311;000000;735.0000000;745.0000000;729.0000000;744.0000000;125
20130312;000000;744.0000000;760.1000000;725.0000000;759.0000000;124
20130313;000000;739.9000000;758.9000000;739.9000000;757.9000000;75
20130314;000000;762.5000000;768.0000000;738.0000000;749.9000000;302
20130315;000000;749.9000000;752.6000000;740.0000000;749.8000000;174
20130318;000000;742.0000000;748.0000000;720.0000000;730.0000000;368
20130319;000000;730.0000000;733.0000000;720.0000000;730.0000000;152
20130320;000000;733.9000000;748.0000000;730.0000000;732.9000000;159
20130321;000000;735.0000000;735.0000000;730.0000000;730.0000000;83
20130322;000000;734.0000000;747.5000000;730.0000000;730.0000000;115
20130325;000000;740.0000000;748.0000000;730.0000000;740.0000000;90
20130326;000000;737.0000000;747.0000000;715.0000000;732.9000000;303
20130327;000000;723.9000000;738.0000000;713.0000000;729.9000000;166
20130328;000000;718.9000000;737.0000000;718.9000000;730.0000000;80
20130329;000000;729.5000000;729.9000000;716.0000000;728.0000000;143
20130401;000000;723.0000000;750.0000000;718.0000000;730.0000000;157
20130402;000000;729.9000000;729.9000000;715.2000000;728.0000000;177
20130403;000000;728.0000000;760.0000000;717.2000000;737.0000000;118
20130404;000000;749.0000000;749.0000000;720.4000000;728.5000000;273
20130405;000000;734.9000000;749.0000000;730.0000000;732.0000000;56
20130408;000000;732.9000000;745.0000000;732.9000000;745.0000000;101
20130409;000000;744.5000000;784.7000000;730.0000000;739.9000000;276
20130410;000000;739.9000000;766.6000000;739.9000000;766.6000000;124
20130411;000000;746.1000000;750.0000000;730.0000000;741.0000000;206
20130412;000000;735.1000000;749.9000000;726.0000000;730.0000000;207
20130415;000000;730.0000000;730.0000000;713.0000000;713.0000000;388
20130416;000000;724.9000000;725.0000000;720.0000000;720.0000000;11
20130417;000000;720.0000000;744.0000000;708.0000000;726.9000000;197
20130418;000000;708.0000000;720.0000000;676.0000000;676.0000000;992
20130419;000000;685.0000000;695.0000000;597.0000000;599.9000000;1173
20130422;000000;545.0000000;575.0000000;501.7000000;570.0000000;660
20130423;000000;570.0000000;600.0000000;557.1000000;594.0000000;117
20130424;000000;594.1000000;605.0000000;585.0000000;594.0000000;144
20130425;000000;596.9000000;617.0000000;596.9000000;599.0000000;225
20130426;000000;605.8000000;605.9000000;599.0000000;605.9000000;22
20130429;000000;599.1000000;599.1000000;550.0000000;570.0000000;435
20130430;000000;580.0000000;598.0000000;560.0000000;575.1000000;83
20130502;000000;589.9000000;590.0000000;573.1000000;577.0000000;29
20130503;000000;578.8000000;580.0000000;567.1000000;574.0000000;324
20130506;000000;574.0000000;595.0000000;562.0000000;587.0000000;2031
20130507;000000;585.0000000;598.1000000;580.0000000;598.1000000;29
20130508;000000;588.0000000;604.7000000;588.0000000;603.0000000;16
20130510;000000;603.0000000;607.0000000;603.0000000;607.0000000;13
20130513;000000;602.0000000;602.0000000;590.0000000;590.0000000;50
20130514;000000;597.9000000;600.0000000;597.9000000;600.0000000;22
20130515;000000;594.8000000;597.0000000;590.0000000;597.0000000;31
20130516;000000;598.0000000;598.0000000;591.1000000;598.0000000;119
20130517;000000;595.0000000;595.0000000;580.0000000;583.0000000;300
20130520;000000;580.0000000;643.0000000;580.0000000;600.0000000;1297
20130521;000000;601.9000000;615.5000000;597.0000000;615.5000000;37
20130522;000000;607.0000000;612.0000000;595.0000000;600.0000000;145
20130523;000000;585.3000000;611.0000000;585.3000000;611.0000000;138
20130524;000000;600.0000000;601.0000000;585.1000000;590.0000000;258
20130527;000000;595.0000000;599.0000000;590.1000000;595.0000000;22
20130528;000000;600.0000000;610.0000000;600.0000000;601.1000000;17
20130529;000000;597.1000000;601.0000000;589.0000000;597.0000000;76
20130530;000000;600.8000000;607.5000000;600.0000000;600.0000000;110
20130531;000000;600.9000000;606.9000000;595.5000000;599.2000000;56
20130603;000000;595.1000000;599.9000000;580.0000000;583.0000000;134
20130604;000000;582.9000000;595.0000000;582.9000000;595.0000000;14
20130605;000000;590.0000000;600.0000000;585.1000000;590.0000000;857
20130607;000000;604.7000000;607.0000000;570.0000000;599.5000000;25
20130611;000000;580.1000000;580.1000000;580.1000000;580.1000000;1
20130613;000000;571.3000000;574.1000000;536.0000000;565.0000000;12
20130614;000000;564.1000000;575.4000000;564.1000000;575.4000000;48
