<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;200.0200000;209.0000000;200.0200000;205.0000000;360
20130109;000000;205.0000000;210.0000000;201.1700000;208.0800000;90
20130110;000000;224.9900000;243.9900000;205.0000000;214.4500000;550
20130111;000000;219.9900000;236.9800000;219.9900000;235.0000000;2000
20130114;000000;236.7000000;242.9900000;231.0000000;231.0000000;730
20130115;000000;226.0000000;227.9900000;220.0000000;221.2000000;1830
20130116;000000;214.0000000;238.9100000;210.1200000;237.8800000;370
20130117;000000;239.0500000;239.0500000;217.6000000;236.9100000;150
20130118;000000;225.0300000;225.0300000;222.2300000;222.2300000;50
20130121;000000;220.1000000;225.0000000;220.1000000;220.1000000;280
20130122;000000;215.0800000;225.0000000;215.0800000;224.4800000;400
20130123;000000;229.7600000;229.7600000;215.0000000;215.0000000;210
20130124;000000;215.0000000;220.0000000;206.0200000;209.0000000;480
20130125;000000;208.8800000;214.0000000;204.0800000;214.0000000;730
20130128;000000;219.0300000;219.0300000;209.2500000;213.9900000;370
20130129;000000;210.0000000;213.0000000;208.5000000;211.5000000;740
20130130;000000;215.0000000;215.0000000;206.5000000;210.9900000;190
20130131;000000;204.0000000;205.0000000;196.0000000;200.0000000;910
20130201;000000;200.0000000;208.8800000;196.2800000;206.3300000;750
20130204;000000;201.0100000;208.8800000;201.0100000;208.8500000;120
20130205;000000;205.0000000;233.5000000;202.9900000;228.0000000;910
20130206;000000;227.9000000;227.9500000;210.0200000;215.0000000;370
20130207;000000;205.0100000;215.0000000;200.0000000;200.0000000;250
20130208;000000;200.0200000;207.9900000;200.0200000;207.9900000;90
20130211;000000;200.2000000;221.0000000;198.0500000;203.5000000;670
20130212;000000;207.0000000;218.9800000;207.0000000;215.0000000;940
20130213;000000;212.8000000;214.2900000;205.0100000;214.2800000;670
20130214;000000;205.0000000;213.2000000;203.0000000;211.2200000;340
20130215;000000;209.0000000;209.0000000;209.0000000;209.0000000;50
20130218;000000;205.0200000;206.5000000;191.0000000;191.0000000;1400
20130219;000000;206.6000000;208.9800000;205.0000000;205.9900000;610
20130220;000000;206.0000000;213.2000000;201.0000000;207.0000000;400
20130221;000000;192.1800000;205.0000000;192.0500000;205.0000000;360
20130222;000000;200.0400000;208.0000000;199.0000000;200.0500000;890
20130225;000000;203.0000000;212.9100000;201.0000000;212.9100000;40
20130226;000000;200.0100000;210.0000000;200.0000000;208.0000000;550
20130227;000000;206.0100000;210.0000000;206.0100000;210.0000000;160
20130228;000000;210.0000000;211.1100000;209.9700000;210.0000000;670
20130301;000000;200.0100000;210.0000000;200.0100000;210.0000000;150
20130306;000000;214.9700000;214.9700000;200.3600000;200.3600000;20
20130307;000000;200.5300000;201.0000000;192.0000000;192.0000000;780
20130311;000000;192.0000000;195.0000000;190.0000000;190.0000000;560
20130312;000000;185.0200000;194.9800000;185.0000000;188.8700000;160
20130313;000000;185.0100000;187.9900000;180.0100000;187.9900000;610
20130314;000000;188.8700000;191.9900000;188.8700000;191.9900000;140
20130318;000000;181.6500000;194.9900000;180.0200000;194.8600000;260
20130319;000000;181.0100000;181.7000000;181.0100000;181.7000000;20
20130320;000000;193.9900000;205.2900000;183.3100000;192.9200000;570
20130321;000000;185.7600000;203.9000000;185.7600000;201.0000000;840
20130322;000000;189.7300000;204.0000000;187.0000000;198.9600000;1820
20130325;000000;203.9200000;203.9200000;183.0000000;183.0000000;220
20130326;000000;182.0000000;190.0000000;170.0000000;170.0000000;830
20130327;000000;170.0000000;182.9900000;170.0000000;182.9900000;30
20130328;000000;170.0100000;176.0000000;170.0100000;176.0000000;30
20130329;000000;170.0000000;173.0000000;170.0000000;173.0000000;70
20130401;000000;173.0000000;180.0000000;160.0100000;179.7500000;90
20130402;000000;179.0000000;179.0000000;178.9000000;178.9000000;30
20130403;000000;160.1100000;176.2500000;160.1100000;176.2500000;30
20130408;000000;150.1200000;166.0000000;150.1200000;166.0000000;120
20130409;000000;171.0000000;171.0000000;151.0000000;151.0000000;30
20130410;000000;177.9900000;177.9900000;177.9900000;177.9900000;10
20130411;000000;145.0900000;169.9500000;145.0900000;164.9400000;60
20130412;000000;150.0200000;155.9800000;140.0000000;150.0000000;170
20130415;000000;145.0000000;150.0000000;135.5200000;150.0000000;430
20130416;000000;149.9900000;178.6000000;149.9900000;178.6000000;510
20130417;000000;150.8200000;168.6000000;150.8100000;168.3600000;190
20130418;000000;150.0300000;160.9900000;147.6600000;160.9900000;240
20130419;000000;150.0500000;160.0000000;148.0000000;160.0000000;100
20130422;000000;150.0200000;174.9700000;150.0200000;173.9900000;2230
20130423;000000;171.9700000;171.9700000;171.9000000;171.9000000;40
20130424;000000;150.0800000;172.9700000;142.1500000;159.0000000;1630
20130425;000000;163.9900000;167.9300000;162.9800000;167.9300000;260
20130426;000000;155.0100000;190.2600000;155.0100000;170.3000000;1090
20130429;000000;174.9800000;176.9100000;174.9800000;176.9100000;20
20130430;000000;177.9100000;177.9200000;112.1100000;145.0000000;1500
20130502;000000;137.0000000;158.0000000;121.0000000;158.0000000;470
20130503;000000;149.8900000;149.8900000;149.8900000;149.8900000;20
20130506;000000;150.8700000;150.8700000;132.2500000;142.6300000;40
20130507;000000;133.0500000;143.9900000;133.0500000;143.9500000;110
20130508;000000;132.0100000;157.0700000;132.0000000;148.7800000;810
20130510;000000;152.0000000;154.9800000;147.5200000;154.1800000;330
20130513;000000;149.8600000;155.7900000;149.8600000;149.8600000;150
20130514;000000;150.0000000;150.0000000;150.0000000;150.0000000;200
20130515;000000;140.0100000;152.9900000;140.0000000;149.9900000;950
20130516;000000;140.0100000;150.0000000;140.0000000;149.9900000;1420
20130517;000000;150.0000000;155.5000000;148.0000000;155.5000000;90
20130520;000000;146.0300000;163.9800000;146.0300000;157.6200000;260
20130521;000000;148.0200000;151.0100000;148.0100000;148.0100000;230
20130522;000000;155.0000000;155.0000000;142.5000000;148.0000000;50
20130523;000000;148.0000000;148.0000000;148.0000000;148.0000000;30
20130524;000000;141.0000000;148.0000000;135.0300000;145.0000000;60
20130527;000000;147.9900000;147.9900000;147.9900000;147.9900000;10
20130528;000000;147.9900000;147.9900000;144.0000000;145.3400000;50
20130529;000000;134.1100000;145.3000000;134.1100000;144.9900000;390
20130530;000000;145.0000000;145.5000000;145.0000000;145.5000000;200
20130531;000000;144.0000000;145.0000000;144.0000000;145.0000000;130
20130603;000000;145.0000000;145.0000000;143.0100000;143.0100000;130
20130604;000000;144.0000000;144.0000000;144.0000000;144.0000000;10
20130605;000000;135.0100000;135.0100000;135.0100000;135.0100000;10
20130607;000000;114.9900000;140.0000000;114.9900000;140.0000000;20
20130614;000000;139.9900000;139.9900000;132.0400000;132.0400000;20
20130617;000000;125.0100000;140.0000000;125.0100000;139.1400000;50
20130620;000000;128.4900000;145.0000000;128.4900000;141.0000000;380
20130621;000000;140.0000000;141.0000000;139.5100000;141.0000000;60
20130624;000000;130.0100000;138.0200000;130.0100000;138.0200000;70
20130625;000000;140.0000000;140.0000000;140.0000000;140.0000000;10
20130626;000000;147.0000000;147.0000000;147.0000000;147.0000000;10
20130627;000000;140.0000000;148.0000000;140.0000000;148.0000000;60
20130628;000000;150.0000000;157.2500000;150.0000000;156.4000000;280
20130701;000000;170.5400000;170.5400000;143.0100000;157.0000000;520
20130702;000000;159.1700000;159.1700000;143.8200000;158.0000000;50
20130703;000000;159.1700000;159.1700000;122.0000000;145.0000000;190
20130704;000000;145.0000000;146.1800000;143.9000000;146.1800000;40
20130705;000000;140.0200000;155.9100000;140.0200000;140.0700000;90
20130708;000000;142.0000000;142.0000000;141.5000000;141.5000000;140
20130709;000000;142.0000000;142.0000000;141.5000000;141.5000000;20
20130710;000000;141.5000000;144.9900000;141.5000000;144.9900000;210
20130711;000000;158.0000000;158.0000000;158.0000000;158.0000000;10
