<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;350.3000000;358.4900000;347.0000000;347.0000000;1008570
20130109;000000;347.8900000;351.4000000;344.1100000;347.7000000;626220
20130110;000000;348.4800000;348.8000000;343.3100000;343.3800000;547920
20130111;000000;344.9900000;345.3600000;330.0000000;342.4000000;964120
20130114;000000;343.0000000;346.8000000;342.5700000;345.1800000;397850
20130115;000000;345.1800000;345.4800000;339.0000000;339.2100000;774330
20130116;000000;338.9900000;341.4500000;330.1700000;331.4100000;1618850
20130117;000000;330.5100000;334.3100000;329.0100000;331.5500000;710990
20130118;000000;332.0500000;338.5100000;332.0000000;337.4400000;1446340
20130121;000000;338.2700000;338.3800000;335.1000000;337.2000000;535380
20130122;000000;338.0000000;338.0000000;330.8400000;333.7500000;409120
20130123;000000;333.7500000;342.7000000;331.0000000;341.9400000;950140
20130124;000000;340.5000000;341.0000000;335.0500000;337.2400000;1213220
20130125;000000;336.5600000;340.3300000;335.4300000;339.5000000;856760
20130128;000000;341.0000000;344.8800000;338.5000000;344.5000000;1176440
20130129;000000;344.5000000;344.5000000;340.8600000;341.0300000;714650
20130130;000000;342.5000000;343.9900000;336.0100000;340.3700000;646400
20130131;000000;339.4700000;339.4700000;332.2400000;333.8100000;841360
20130201;000000;335.0300000;339.3000000;335.0300000;338.4400000;546200
20130204;000000;338.4600000;339.7000000;336.0000000;338.7800000;634230
20130205;000000;337.9300000;343.4400000;335.7800000;336.6500000;803030
20130206;000000;338.0000000;342.0000000;336.0000000;336.3300000;764010
20130207;000000;336.4800000;337.3100000;332.0000000;334.2400000;448650
20130208;000000;334.2400000;335.9700000;329.5500000;335.9300000;827800
20130211;000000;335.4400000;341.3700000;334.0400000;339.1000000;955360
20130212;000000;339.8900000;339.8900000;328.2600000;330.0000000;1749360
20130213;000000;331.1000000;338.0000000;329.6100000;336.7500000;2495930
20130214;000000;336.2700000;337.5600000;330.5500000;330.8000000;1068910
20130215;000000;332.1800000;334.7700000;329.2400000;329.8300000;1397990
20130218;000000;329.8300000;331.5900000;327.7100000;331.2000000;1168190
20130219;000000;330.8900000;332.5000000;329.1900000;329.5000000;623920
20130220;000000;330.0400000;330.6100000;323.9000000;323.9300000;883030
20130221;000000;322.1700000;322.9300000;319.0500000;320.5100000;1034410
20130222;000000;320.5300000;325.0000000;318.7700000;322.8700000;461410
20130225;000000;323.5700000;327.0000000;322.0000000;327.0000000;415460
20130226;000000;323.7300000;329.5000000;322.0400000;327.0400000;850220
20130227;000000;328.3600000;329.7000000;325.2800000;329.7000000;630160
20130228;000000;329.9700000;331.1300000;324.5000000;328.5000000;928200
20130301;000000;327.7100000;328.9400000;314.2500000;317.0000000;1785100
20130304;000000;316.0000000;319.4700000;305.0000000;305.0000000;1974330
20130305;000000;306.8400000;314.4400000;305.5700000;313.3000000;1130200
20130306;000000;314.4000000;320.0000000;313.3300000;318.0000000;1114590
20130307;000000;318.4700000;320.4800000;310.5100000;311.7500000;632350
20130311;000000;312.7500000;319.2700000;310.5000000;310.8300000;1266000
20130312;000000;311.1000000;311.3000000;306.5100000;308.0500000;1073940
20130313;000000;307.9900000;310.5500000;303.0000000;304.0500000;2288960
20130314;000000;305.0000000;311.7700000;304.1000000;311.3500000;2084920
20130315;000000;312.0000000;318.0000000;312.0000000;316.0000000;2499440
20130318;000000;310.8500000;313.0000000;301.3500000;308.2500000;2059750
20130319;000000;309.5000000;311.1700000;305.3000000;305.6100000;1270010
20130320;000000;306.0000000;312.9800000;305.0500000;312.9500000;1456030
20130321;000000;313.8800000;317.9500000;311.0100000;315.4700000;1363580
20130322;000000;312.4700000;315.4000000;308.0000000;313.6600000;1177960
20130325;000000;315.5500000;317.9600000;308.5500000;309.4800000;540030
20130326;000000;309.0900000;312.8100000;307.6500000;308.4400000;1216100
20130327;000000;309.0500000;314.0000000;309.0500000;312.7800000;855970
20130328;000000;314.0000000;315.2000000;311.0000000;314.7900000;615640
20130329;000000;315.4800000;315.8700000;314.0600000;314.9000000;132760
20130401;000000;314.9000000;319.4900000;312.0100000;317.1700000;470390
20130402;000000;317.0000000;319.4800000;315.7800000;318.5800000;641980
20130403;000000;318.3000000;319.6800000;315.9000000;317.2500000;758490
20130404;000000;317.2500000;318.2000000;315.0200000;315.5800000;929620
20130405;000000;315.6800000;318.0000000;313.0300000;315.8000000;2062560
20130408;000000;315.8000000;317.8700000;312.0100000;313.0000000;818930
20130409;000000;315.0000000;318.7800000;314.5500000;317.6100000;569120
20130410;000000;317.8900000;318.8000000;316.0400000;316.7000000;421180
20130411;000000;317.6000000;319.2900000;315.0000000;315.2300000;578890
20130412;000000;315.3300000;316.8900000;313.3600000;314.6800000;467010
20130415;000000;313.5000000;318.4700000;311.1300000;311.1300000;1146360
20130416;000000;311.1300000;314.9000000;309.1200000;310.5500000;704100
20130417;000000;311.0600000;312.7600000;304.0000000;307.6000000;881460
20130418;000000;307.5900000;310.5000000;306.7500000;307.8600000;799230
20130419;000000;309.0000000;309.3700000;302.2000000;303.0200000;564930
20130422;000000;305.0600000;309.4900000;297.0700000;297.8800000;1134100
20130423;000000;297.5000000;301.0600000;291.2900000;294.9500000;1037140
20130424;000000;295.9500000;308.0000000;295.2400000;307.5000000;1046010
20130425;000000;307.5000000;307.5900000;296.7000000;297.4400000;841340
20130426;000000;296.3100000;300.0000000;292.0000000;296.6700000;1202470
20130429;000000;296.6700000;301.9600000;288.5800000;290.0000000;1000530
20130430;000000;291.0000000;296.0000000;287.7500000;292.2800000;878400
20130502;000000;290.5000000;298.0000000;289.5400000;291.2100000;321090
20130503;000000;292.2500000;303.0000000;291.3200000;302.6700000;629760
20130506;000000;303.1500000;304.8600000;299.2200000;302.6000000;536940
20130507;000000;302.5700000;314.5000000;301.4500000;313.3200000;1548730
20130508;000000;314.8600000;315.0000000;310.8000000;314.9300000;628380
20130510;000000;314.9300000;322.9500000;309.3300000;310.0000000;433740
20130513;000000;310.0000000;312.9700000;307.0000000;310.3500000;544250
20130514;000000;309.0300000;321.0000000;305.0500000;306.1000000;1249300
20130515;000000;308.0000000;309.4800000;299.9700000;305.1400000;938420
20130516;000000;306.0000000;306.4400000;294.5000000;295.1900000;750310
20130517;000000;295.2000000;306.4000000;293.1700000;305.1700000;681480
20130520;000000;305.1700000;308.7000000;300.0000000;305.0200000;521020
20130521;000000;305.0200000;313.1300000;304.0000000;312.0100000;463560
20130522;000000;311.8500000;330.0000000;310.8700000;327.9900000;1782050
20130523;000000;323.0000000;329.3400000;317.6600000;321.7100000;2008610
20130524;000000;322.9000000;326.8700000;321.2300000;323.5000000;1184680
20130527;000000;324.7900000;326.9900000;322.5100000;323.7500000;205720
20130528;000000;325.0000000;332.9800000;323.9900000;330.2900000;1326720
20130529;000000;328.5000000;328.5000000;319.2300000;319.7100000;1387100
20130530;000000;319.5000000;327.9900000;314.8100000;324.4200000;1418200
20130531;000000;325.0000000;331.8700000;316.8700000;320.9900000;1534020
20130603;000000;318.4700000;319.5000000;310.3000000;311.8000000;1712710
20130604;000000;312.6000000;316.7700000;308.5800000;311.0000000;961450
20130605;000000;311.0100000;311.0100000;303.6000000;306.5000000;1182140
20130606;000000;306.1600000;307.9000000;300.0700000;301.5000000;979760
20130607;000000;301.3700000;310.5000000;301.3700000;308.2600000;832910
20130610;000000;308.8100000;312.5500000;307.3100000;309.5800000;653080
20130611;000000;307.9000000;313.0000000;301.5000000;305.0000000;1294760
20130613;000000;302.0000000;305.7600000;297.0000000;302.6100000;928960
20130614;000000;304.3900000;326.7100000;302.0000000;314.5000000;2130060
20130617;000000;314.5000000;333.0000000;314.5000000;332.5000000;4286850
20130618;000000;332.5000000;335.8700000;331.7700000;333.0700000;1251310
20130619;000000;333.0000000;335.5000000;325.9900000;325.9900000;1276610
20130620;000000;321.9900000;329.5000000;320.2000000;326.0200000;780430
20130621;000000;326.0200000;339.0000000;322.5900000;335.3700000;1716790
20130624;000000;333.5600000;352.0000000;333.3800000;348.9700000;3405660
