<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;1.0103000;1.0245000;0.9999000;1.0042000;836000
20130109;000000;1.0124000;1.0124000;0.9999000;1.0083000;1933000
20130110;000000;1.0085000;1.0096000;1.0014000;1.0046000;56000
20130111;000000;1.0009000;1.0080000;0.9968000;1.0038000;363000
20130114;000000;1.0046000;1.0190000;0.9932000;1.0151000;2807000
20130115;000000;1.0192000;1.1423000;1.0160000;1.0900000;7298000
20130116;000000;1.0850000;1.1689000;1.0733000;1.1150000;7782000
20130117;000000;1.0920000;1.1100000;1.0630000;1.0820000;2245000
20130118;000000;1.0859000;1.0946000;1.0680000;1.0800000;1279000
20130121;000000;1.0776000;1.0901000;1.0600000;1.0650000;753000
20130122;000000;1.0700000;1.0700000;1.0408000;1.0450000;1740000
20130123;000000;1.0403000;1.0737000;1.0304000;1.0477000;1694000
20130124;000000;1.0400000;1.0450000;1.0253000;1.0362000;296000
20130125;000000;1.0362000;1.0404000;1.0197000;1.0320000;614000
20130128;000000;1.0322000;1.0440000;1.0160000;1.0278000;266000
20130129;000000;1.0204000;1.0817000;1.0200000;1.0391000;2296000
20130130;000000;1.0380000;1.0737000;1.0200000;1.0305000;1706000
20130131;000000;1.0322000;1.0446000;1.0300000;1.0361000;292000
20130201;000000;1.0363000;1.0404000;1.0104000;1.0389000;1331000
20130204;000000;1.0253000;1.0409000;1.0200000;1.0283000;1317000
20130205;000000;1.0295000;1.0389000;1.0203000;1.0332000;1064000
20130206;000000;1.0283000;1.0363000;1.0212000;1.0283000;1278000
20130207;000000;1.0320000;1.0360000;1.0000000;1.0200000;2294000
20130208;000000;1.0283000;1.0320000;1.0107000;1.0200000;2110000
20130211;000000;1.0170000;1.0380000;1.0026000;1.0243000;1532000
20130212;000000;1.0200000;1.0340000;1.0154000;1.0299000;1149000
20130213;000000;1.0203000;1.0496000;1.0011000;1.0196000;985000
20130214;000000;1.0246000;1.0340000;1.0072000;1.0194000;2366000
20130215;000000;1.0195000;1.0313000;1.0057000;1.0197000;1238000
20130218;000000;1.0100000;1.0295000;1.0066000;1.0164000;815000
20130219;000000;1.0195000;1.0195000;1.0039000;1.0089000;1102000
20130220;000000;1.0050000;1.0100000;0.9942000;1.0007000;779000
20130221;000000;1.0007000;1.0038000;0.9510000;0.9770000;497000
20130222;000000;0.9769000;0.9945000;0.9400000;0.9500000;548000
20130225;000000;0.9571000;0.9749000;0.9211000;0.9500000;328000
20130226;000000;0.9510000;0.9598000;0.9300000;0.9399000;108000
