<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;801.2000000;801.2000000;801.2000000;801.2000000;2
20130110;000000;822.4000000;822.4000000;822.4000000;822.4000000;12
20130111;000000;823.0000000;831.9000000;823.0000000;830.0000000;509
20130114;000000;830.0000000;832.0000000;825.2000000;831.6000000;145
20130115;000000;830.1000000;833.3000000;830.0000000;830.1000000;1105
20130116;000000;833.0000000;833.0000000;832.9000000;833.0000000;1250
20130117;000000;833.0000000;835.0000000;833.0000000;835.0000000;1651
20130118;000000;830.0000000;831.8000000;830.0000000;831.7000000;244
20130122;000000;840.9000000;840.9000000;839.8000000;839.8000000;7
20130123;000000;832.1000000;841.0000000;832.1000000;840.0000000;408
20130128;000000;846.9000000;846.9000000;833.6000000;833.6000000;7
20130129;000000;810.6000000;826.8000000;802.4000000;826.8000000;4
20130130;000000;815.0000000;827.2000000;815.0000000;820.0000000;192
20130131;000000;782.7000000;824.4000000;779.6000000;824.4000000;174
20130201;000000;822.7000000;830.1000000;822.7000000;830.1000000;19
20130204;000000;837.4000000;837.4000000;817.4000000;820.7000000;73
20130205;000000;837.4000000;837.4000000;837.4000000;837.4000000;1
20130206;000000;837.4000000;850.0000000;837.4000000;850.0000000;1354
20130207;000000;840.0000000;859.0000000;840.0000000;859.0000000;1530
20130208;000000;850.0000000;893.0000000;850.0000000;893.0000000;1558
20130211;000000;967.1000000;999.8000000;952.7000000;952.7000000;14
20130212;000000;959.5000000;959.5000000;700.1000000;950.0000000;153
20130214;000000;949.9000000;949.9000000;870.1000000;928.7000000;12726
20130215;000000;927.8000000;927.8000000;800.0000000;927.7000000;13152
20130218;000000;813.8000000;895.5000000;813.8000000;895.5000000;7406
20130219;000000;875.1000000;900.0000000;865.0000000;900.0000000;20090
20130220;000000;900.0000000;900.0000000;878.0000000;895.7000000;21025
20130221;000000;870.1000000;896.3000000;860.0000000;896.3000000;13259
20130222;000000;890.0000000;890.0000000;860.0000000;865.0000000;16190
20130225;000000;868.0000000;875.0000000;865.0000000;865.0000000;1596
20130226;000000;878.4000000;878.4000000;866.0000000;866.1000000;44
20130227;000000;869.0000000;869.0000000;869.0000000;869.0000000;6
20130228;000000;810.1000000;810.1000000;810.1000000;810.1000000;1
20130304;000000;850.0000000;850.0000000;850.0000000;850.0000000;62
20130305;000000;831.0000000;831.0000000;820.7000000;821.0000000;1153
20130306;000000;815.0000000;821.0000000;815.0000000;821.0000000;81
20130307;000000;822.8000000;870.0000000;822.8000000;860.0000000;29215
20130311;000000;880.0000000;880.0000000;860.2000000;860.2000000;12
20130313;000000;869.9000000;869.9000000;869.9000000;869.9000000;1
20130314;000000;870.0000000;870.0000000;870.0000000;870.0000000;50
20130319;000000;850.1000000;850.1000000;850.0000000;850.0000000;10526
20130321;000000;820.0000000;854.0000000;820.0000000;850.0000000;12558
20130322;000000;809.9000000;999.9000000;809.9000000;840.0000000;7316
