<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.3509000;0.3547000;0.3481000;0.3523000;45381000
20130109;000000;0.3518000;0.3533000;0.3493000;0.3510000;37967000
20130110;000000;0.3527000;0.3537000;0.3503000;0.3504000;40923000
20130111;000000;0.3517000;0.3525000;0.3450000;0.3522000;118036000
20130114;000000;0.3525000;0.3940000;0.3519000;0.3920000;607411000
20130115;000000;0.3921000;0.4069000;0.3824000;0.3840000;464685000
20130116;000000;0.3869000;0.3900000;0.3752000;0.3810000;245971000
20130117;000000;0.3770000;0.3834000;0.3751000;0.3819000;249052000
20130118;000000;0.3850000;0.3860000;0.3797000;0.3841000;175290000
20130121;000000;0.3854000;0.3860000;0.3827000;0.3835000;62143000
20130122;000000;0.3836000;0.3905000;0.3703000;0.3899000;261428000
20130123;000000;0.3910000;0.4063000;0.3889000;0.4008000;396967000
20130124;000000;0.4009000;0.4208000;0.4008000;0.4113000;483173000
20130125;000000;0.4121000;0.4199000;0.4036000;0.4070000;245870000
20130128;000000;0.4090000;0.4171000;0.4086000;0.4106000;144551000
20130129;000000;0.4108000;0.4157000;0.4065000;0.4075000;175804000
20130130;000000;0.4100000;0.4245000;0.4007000;0.4067000;295169000
20130131;000000;0.4016000;0.4119000;0.4011000;0.4065000;176219000
20130201;000000;0.4068000;0.4188000;0.4068000;0.4115000;166625000
20130204;000000;0.4132000;0.4161000;0.3956000;0.3972000;152910000
20130205;000000;0.3959000;0.3972000;0.3873000;0.3922000;139637000
20130206;000000;0.3937000;0.3984000;0.3817000;0.3844000;107922000
20130207;000000;0.3844000;0.3996000;0.3809000;0.3925000;166941000
20130208;000000;0.3925000;0.4118000;0.3921000;0.4023000;434382000
20130211;000000;0.4046000;0.4078000;0.3962000;0.3998000;166515000
20130212;000000;0.3995000;0.4015000;0.3941000;0.3983000;60394000
20130213;000000;0.4000000;0.4099000;0.3986000;0.4063000;116079000
20130214;000000;0.4065000;0.4084000;0.3970000;0.4033000;142541000
20130215;000000;0.4025000;0.4060000;0.3977000;0.4035000;86261000
20130218;000000;0.4036000;0.4090000;0.4000000;0.4030000;47257000
20130219;000000;0.4030000;0.4210000;0.4008000;0.4122000;210081000
20130220;000000;0.4139000;0.4155000;0.4023000;0.4037000;80569000
20130221;000000;0.4000000;0.4000000;0.3904000;0.3923000;111628000
20130222;000000;0.3953000;0.3981000;0.3836000;0.3932000;64726000
20130225;000000;0.3940000;0.4007000;0.3933000;0.3968000;66668000
20130226;000000;0.3900000;0.3930000;0.3890000;0.3909000;51730000
20130227;000000;0.3920000;0.3923000;0.3881000;0.3896000;23071000
20130228;000000;0.3920000;0.3944000;0.3807000;0.3836000;57109000
20130301;000000;0.3812000;0.3819000;0.3744000;0.3767000;57631000
