<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;2155.9000000;2155.9000000;1889.1000000;1935.1000000;72
20130109;000000;1950.0000000;2099.5000000;1903.0000000;1960.0000000;45
20130110;000000;2100.0000000;2708.0000000;2015.4000000;2099.9000000;73
20130111;000000;2100.0000000;2100.0000000;2000.0000000;2020.0000000;10
20130114;000000;1954.1000000;2098.8000000;1954.1000000;2020.1000000;49
20130115;000000;1990.7000000;2000.0000000;1987.0000000;2000.0000000;4
20130116;000000;2024.4000000;2049.2000000;2024.4000000;2047.0000000;16
20130117;000000;2100.0000000;2182.5000000;2000.0000000;2000.0000000;33
20130118;000000;1999.9000000;2387.9000000;1999.9000000;2298.9000000;343
20130121;000000;2216.7000000;2362.1000000;2025.0000000;2200.0000000;165
20130122;000000;2200.0000000;2200.0000000;2030.0000000;2030.1000000;73
20130123;000000;2050.1000000;2289.0000000;2050.0000000;2247.8000000;131
20130124;000000;2129.2000000;2245.0000000;2129.2000000;2200.0000000;37
20130125;000000;2101.2000000;2345.5000000;2100.9000000;2235.0000000;47
20130128;000000;2205.5000000;2299.5000000;2156.0000000;2299.5000000;43
20130129;000000;2249.3000000;2249.3000000;2186.7000000;2234.9000000;29
20130130;000000;2240.0000000;2240.0000000;2163.0000000;2222.2000000;14
20130131;000000;2130.5000000;2175.0000000;2051.5000000;2127.1000000;81
20130201;000000;2130.1000000;2189.5000000;2100.0000000;2188.9000000;51
20130204;000000;2155.4000000;2940.0000000;2152.9000000;2499.9000000;682
20130205;000000;2470.0000000;2714.9000000;2300.0000000;2300.2000000;339
20130206;000000;2207.0000000;3147.9000000;2202.2000000;2900.0000000;998
20130207;000000;2990.0000000;3300.0000000;2502.3000000;3200.0000000;596
20130208;000000;3123.9000000;3449.7000000;3000.0000000;3075.3000000;504
20130211;000000;3000.0000000;3228.5000000;2900.1000000;3070.0000000;98
20130212;000000;3070.0000000;3180.0000000;2750.0000000;2755.0000000;358
20130213;000000;2740.0000000;2740.0000000;2507.0000000;2530.5000000;309
20130214;000000;2500.1000000;2599.6000000;2499.8000000;2597.5000000;28
20130215;000000;2501.1000000;2800.0000000;2450.0000000;2799.6000000;108
20130218;000000;2798.0000000;2799.9000000;2550.1000000;2778.8000000;75
20130219;000000;2750.8000000;2889.8000000;2700.0000000;2795.0000000;7
