<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;314.7000000;329.8000000;313.1000000;323.5000000;166
20130109;000000;322.1000000;322.1000000;310.1000000;316.0000000;267
20130110;000000;317.3000000;317.3000000;275.0000000;314.4000000;730
20130111;000000;314.2000000;314.2000000;299.1000000;306.7000000;995
20130114;000000;302.0000000;325.9000000;285.5000000;314.3000000;1326
20130115;000000;314.0000000;320.2000000;310.0000000;315.4000000;573
20130116;000000;316.9000000;336.0000000;315.0000000;325.5000000;3194
20130117;000000;338.7000000;338.7000000;315.4000000;318.0000000;730
20130118;000000;319.7000000;324.0000000;315.6000000;322.7000000;346
20130121;000000;322.6000000;332.3000000;316.8000000;321.5000000;219
20130122;000000;327.8000000;327.8000000;318.0000000;318.0000000;226
20130123;000000;318.0000000;318.0000000;305.0000000;316.4000000;1475
20130124;000000;316.4000000;316.4000000;316.0000000;316.2000000;8
20130125;000000;316.2000000;323.9000000;294.8000000;318.1000000;1802
20130128;000000;319.1000000;331.5000000;314.1000000;314.2000000;248
20130129;000000;315.9000000;315.9000000;304.9000000;308.1000000;1112
20130130;000000;308.1000000;310.9000000;303.0000000;303.0000000;997
20130131;000000;303.1000000;309.9000000;303.1000000;304.6000000;24
20130201;000000;306.7000000;306.7000000;303.3000000;305.0000000;189
20130204;000000;306.7000000;308.8000000;306.7000000;307.2000000;11
20130205;000000;303.7000000;324.4000000;300.0000000;319.8000000;779
20130206;000000;306.7000000;329.4000000;306.7000000;324.6000000;1393
20130207;000000;312.1000000;327.4000000;307.5000000;318.6000000;949
20130208;000000;314.4000000;347.0000000;314.4000000;337.0000000;1582
20130211;000000;337.0000000;364.8000000;337.0000000;354.0000000;1460
20130212;000000;354.0000000;389.7000000;354.0000000;370.0000000;5188
20130213;000000;374.9000000;399.0000000;373.7000000;377.7000000;1669
20130214;000000;384.0000000;406.9000000;357.8000000;357.8000000;768
20130215;000000;365.5000000;388.0000000;351.0000000;359.2000000;660
20130218;000000;364.4000000;373.9000000;350.0000000;350.0000000;227
