<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;23.5000000;23.5000000;22.2400000;22.2400000;200
20130114;000000;24.0000000;24.0000000;24.0000000;24.0000000;27300
20130115;000000;22.5500000;22.5500000;22.0000000;22.0100000;35500
20130117;000000;22.0000000;22.9000000;21.2500000;22.9000000;9100
20130118;000000;21.1600000;21.1600000;21.1600000;21.1600000;100
20130121;000000;22.3300000;23.5000000;22.1000000;23.5000000;31800
20130122;000000;23.5000000;24.0500000;22.4600000;23.5000000;31600
20130124;000000;23.6600000;23.6600000;23.6600000;23.6600000;1000
20130125;000000;22.8600000;24.5000000;22.8600000;24.5000000;23600
20130128;000000;23.7500000;25.1000000;23.7500000;25.1000000;24000
20130129;000000;24.0000000;26.9700000;23.9600000;26.9700000;28000
20130201;000000;24.0100000;24.9800000;24.0000000;24.9800000;33400
20130205;000000;22.8600000;22.8600000;22.8600000;22.8600000;200
20130206;000000;24.0000000;24.0000000;24.0000000;24.0000000;700
20130207;000000;25.5000000;26.8000000;25.5000000;26.8000000;31200
20130211;000000;25.2000000;27.3000000;25.0100000;25.0100000;29100
20130212;000000;26.9900000;27.8800000;26.9900000;27.8800000;1800
20130213;000000;27.4400000;27.4400000;27.4400000;27.4400000;100
20130215;000000;25.1000000;27.8500000;25.1000000;27.8500000;29000
20130218;000000;27.0000000;27.0000000;27.0000000;27.0000000;100
20130219;000000;27.3000000;27.8300000;27.0100000;27.0100000;3000
20130220;000000;27.4900000;27.8300000;27.4900000;27.6500000;5300
20130221;000000;24.0300000;27.8300000;24.0300000;27.8300000;8200
20130222;000000;27.8000000;27.8300000;27.8000000;27.8300000;2200
20130226;000000;27.9400000;28.1800000;27.9400000;28.1800000;29600
20130228;000000;28.1900000;28.5000000;28.1900000;28.5000000;10200
20130301;000000;28.0000000;28.0000000;28.0000000;28.0000000;200
20130306;000000;26.6100000;26.6100000;26.6100000;26.6100000;100
20130311;000000;26.5900000;28.8900000;26.5700000;28.8900000;8800
20130313;000000;23.5500000;26.7900000;23.2200000;26.7900000;75300
20130314;000000;26.4300000;27.9300000;26.4300000;27.9300000;77600
20130318;000000;28.2400000;28.2400000;28.2400000;28.2400000;200
20130325;000000;23.7100000;23.7100000;23.7100000;23.7100000;1000
20130326;000000;26.2600000;26.2600000;26.2600000;26.2600000;100
20130328;000000;25.5000000;25.5000000;25.5000000;25.5000000;2500
20130401;000000;23.1600000;25.5000000;23.1600000;25.5000000;200
20130402;000000;23.1700000;25.4900000;23.1700000;25.4900000;200
20130404;000000;25.2500000;25.2500000;25.2500000;25.2500000;100
20130409;000000;23.1700000;23.4900000;21.0000000;23.4900000;10600
20130410;000000;21.0000000;23.0000000;21.0000000;23.0000000;5000
20130412;000000;20.1000000;20.1000000;20.1000000;20.1000000;100
20130415;000000;18.5300000;18.5300000;18.5200000;18.5200000;10600
20130416;000000;17.9000000;20.4700000;17.9000000;20.4700000;191600
20130417;000000;22.8000000;22.8500000;18.2000000;18.3500000;8700
20130418;000000;18.5900000;22.9000000;17.9800000;18.0500000;4100
20130422;000000;18.0000000;18.0000000;18.0000000;18.0000000;4900
20130424;000000;17.1900000;17.2200000;17.1900000;17.2200000;200
20130426;000000;19.5000000;19.5000000;17.4600000;17.5000000;300
20130430;000000;18.5000000;20.9800000;16.7900000;18.5000000;4400
