<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130123;000000;117.6000000;117.6000000;117.5000000;117.5000000;650
20130124;000000;132.7000000;163.8000000;119.4000000;163.8000000;1770
20130129;000000;159.9000000;159.9000000;159.9000000;159.9000000;10
20130213;000000;159.8000000;223.9000000;159.8000000;223.9000000;1240
20130214;000000;250.0000000;313.5000000;180.1000000;313.5000000;590
20130215;000000;321.1000000;438.9000000;253.2000000;288.0000000;1190
20130218;000000;299.0000000;320.0000000;243.1000000;250.0000000;850
20130219;000000;240.0000000;299.9000000;230.0000000;250.0000000;80
20130220;000000;257.9000000;283.5000000;257.9000000;260.4000000;60
20130221;000000;226.0000000;247.8000000;210.1000000;221.0000000;170
20130225;000000;211.8000000;232.6000000;211.8000000;232.6000000;70
20130226;000000;235.2000000;244.0000000;235.2000000;244.0000000;90
20130227;000000;285.0000000;285.0000000;285.0000000;285.0000000;10
20130301;000000;234.8000000;250.0000000;230.0000000;250.0000000;40
20130304;000000;235.1000000;239.9000000;225.0000000;225.0000000;150
20130305;000000;289.9000000;289.9000000;225.2000000;225.2000000;40
20130306;000000;225.1000000;225.1000000;225.0000000;225.0000000;310
20130307;000000;249.1000000;249.1000000;249.1000000;249.1000000;210
20130311;000000;235.7000000;235.7000000;235.6000000;235.6000000;340
20130312;000000;239.5000000;239.5000000;239.5000000;239.5000000;20
20130321;000000;249.9000000;260.0000000;249.9000000;251.4000000;130
20130325;000000;186.4000000;195.1000000;186.4000000;195.1000000;60
20130328;000000;177.0000000;234.1000000;177.0000000;210.0000000;160
20130329;000000;219.9000000;241.9000000;219.9000000;241.9000000;90
20130401;000000;243.8000000;243.8000000;243.8000000;243.8000000;10
20130403;000000;202.4000000;205.0000000;202.4000000;205.0000000;20
20130404;000000;177.0000000;202.2000000;177.0000000;195.1000000;110
20130408;000000;200.0000000;200.0000000;200.0000000;200.0000000;10
20130409;000000;260.0000000;260.0000000;260.0000000;260.0000000;40
20130410;000000;254.8000000;254.8000000;254.8000000;254.8000000;10
20130415;000000;158.2000000;158.2000000;158.1000000;158.1000000;40
20130416;000000;160.0000000;170.0000000;160.0000000;170.0000000;50
20130417;000000;167.0000000;238.0000000;167.0000000;200.0000000;110
20130424;000000;181.1000000;181.1000000;181.1000000;181.1000000;20
20130506;000000;253.1000000;253.4000000;253.1000000;253.4000000;20
20130515;000000;161.7000000;161.7000000;161.7000000;161.7000000;10
20130520;000000;225.0000000;225.0000000;225.0000000;225.0000000;10
20130530;000000;247.8000000;250.0000000;165.0000000;182.2000000;40
20130610;000000;163.4000000;163.4000000;150.0000000;150.3000000;2090
20130611;000000;154.0000000;154.0000000;150.0000000;150.0000000;70
20130613;000000;155.0000000;155.0000000;155.0000000;155.0000000;40
20130614;000000;140.0000000;145.0000000;140.0000000;145.0000000;50
20130617;000000;140.0000000;140.0000000;140.0000000;140.0000000;410
20130618;000000;154.9000000;155.0000000;154.9000000;155.0000000;190
20130619;000000;155.0000000;155.0000000;135.0000000;135.0000000;210
20130621;000000;145.0000000;145.0000000;145.0000000;145.0000000;10
20130624;000000;126.0000000;126.0000000;122.9000000;122.9000000;40
20130625;000000;144.9000000;146.0000000;144.9000000;146.0000000;30
20130627;000000;145.0000000;148.6000000;145.0000000;145.0000000;40
20130701;000000;145.0000000;145.0000000;145.0000000;145.0000000;20
20130702;000000;145.0000000;145.0000000;136.0000000;145.0000000;70
20130703;000000;155.0000000;172.2000000;140.4000000;172.2000000;60
20130704;000000;155.0000000;155.0000000;155.0000000;155.0000000;70
20130705;000000;155.0000000;167.7000000;150.0000000;167.7000000;130
20130708;000000;155.6000000;155.6000000;155.6000000;155.6000000;10
20130710;000000;172.2000000;172.2000000;152.3000000;152.3000000;60
20130715;000000;171.7000000;171.7000000;171.7000000;171.7000000;20
20130718;000000;149.3000000;149.3000000;148.1000000;148.1000000;60
20130719;000000;159.9000000;159.9000000;159.9000000;159.9000000;10
20130724;000000;130.1000000;130.1000000;130.0000000;130.0000000;70
20130806;000000;141.1000000;141.1000000;141.1000000;141.1000000;10
20130812;000000;147.0000000;147.0000000;147.0000000;147.0000000;20
20130814;000000;160.0000000;179.1000000;160.0000000;160.0000000;400
20130815;000000;179.5000000;179.6000000;160.0000000;160.0000000;560
20130820;000000;144.9000000;177.0000000;144.9000000;177.0000000;40
20130823;000000;150.1000000;184.7000000;150.1000000;184.7000000;70
20130826;000000;171.0000000;179.9000000;171.0000000;179.9000000;100
20130828;000000;150.0000000;150.0000000;150.0000000;150.0000000;10
20130829;000000;184.7000000;184.7000000;169.9000000;169.9000000;20
20130830;000000;184.8000000;234.8000000;184.8000000;234.8000000;90
20131114;000000;173.8000000;173.8000000;173.8000000;173.8000000;10
20131115;000000;170.3000000;170.3000000;158.0000000;158.0000000;50
20131119;000000;200.3000000;210.1000000;200.3000000;205.0000000;60
20131120;000000;170.4000000;210.1000000;170.3000000;210.1000000;190
20131121;000000;240.0000000;240.1000000;240.0000000;240.1000000;30
20131129;000000;173.7000000;213.7000000;173.7000000;213.7000000;80
20131210;000000;233.0000000;244.9000000;233.0000000;244.9000000;40
20131216;000000;249.8000000;249.8000000;249.8000000;249.8000000;10
20131218;000000;251.8000000;251.8000000;251.8000000;251.8000000;10
20131220;000000;229.9000000;229.9000000;229.5000000;229.9000000;130
20131225;000000;254.6000000;254.6000000;254.6000000;254.6000000;10
20131227;000000;255.4000000;256.7000000;255.4000000;256.7000000;30
