<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;1688.1000000;1697.6000000;1598.7000000;1645.1000000;280
20130109;000000;1697.6000000;1777.0000000;1686.8000000;1700.0000000;1020
20130110;000000;1700.1000000;1732.3000000;1679.9000000;1680.1000000;2302
20130111;000000;1669.2000000;1725.0000000;1655.2000000;1700.0000000;15732
20130114;000000;1745.9000000;1749.0000000;1728.0000000;1733.0000000;583
20130115;000000;1729.4000000;1778.4000000;1729.4000000;1745.0000000;4325
20130116;000000;1771.0000000;1771.0000000;1725.8000000;1755.5000000;9439
20130117;000000;1779.9000000;1803.0000000;1738.8000000;1750.0000000;1815
20130118;000000;1750.6000000;1770.2000000;1740.0000000;1765.1000000;2903
20130121;000000;1760.8000000;1775.0000000;1750.0000000;1760.7000000;1667
20130122;000000;1756.9000000;1825.0000000;1756.9000000;1797.6000000;3588
20130123;000000;1792.5000000;1825.0000000;1780.0000000;1808.8000000;1527
20130124;000000;1781.8000000;1816.9000000;1780.0000000;1800.3000000;4770
20130125;000000;1780.6000000;1830.7000000;1780.3000000;1830.0000000;2233
20130128;000000;1824.8000000;1927.0000000;1780.0000000;1902.8000000;2986
20130129;000000;1898.6000000;2018.9000000;1898.6000000;1941.6000000;14377
20130130;000000;1945.1000000;1946.4000000;1827.3000000;1860.0000000;2487
20130131;000000;1856.1000000;1921.2000000;1830.3000000;1870.0000000;1391
20130201;000000;1890.8000000;1969.0000000;1880.1000000;1924.8000000;1137
20130204;000000;1924.2000000;2000.0000000;1904.2000000;1999.0000000;1361
20130205;000000;1999.0000000;2038.8000000;1975.7000000;2005.0000000;15741
20130206;000000;2019.9000000;2020.0000000;1973.0000000;1985.0000000;5664
20130207;000000;1985.0000000;2000.0000000;1970.0000000;2000.0000000;1571
20130208;000000;1985.1000000;1985.1000000;1930.0000000;1950.4000000;477
20130211;000000;1955.5000000;1980.0000000;1925.1000000;1959.5000000;268
20130212;000000;1978.0000000;1985.0000000;1947.6000000;1971.0000000;514
20130213;000000;1978.8000000;1980.1000000;1950.1000000;1975.0000000;538
20130214;000000;1990.9000000;2019.7000000;1963.7000000;1975.1000000;2571
20130215;000000;1965.8000000;2110.0000000;1900.0000000;2094.8000000;11187
20130218;000000;2100.0000000;2130.0000000;2080.0000000;2090.0000000;3939
20130219;000000;2090.3000000;2101.0000000;2046.9000000;2059.6000000;3625
20130220;000000;2035.3000000;2066.0000000;1800.0000000;2020.0000000;4087
20130221;000000;2002.1000000;2002.1000000;1930.0000000;1992.8000000;3438
20130222;000000;1989.9000000;2068.0000000;1947.8000000;2050.0000000;2682
20130225;000000;2032.1000000;2085.0000000;2022.2000000;2080.0000000;2290
20130226;000000;2037.1000000;2070.0000000;2000.2000000;2045.0000000;1139
20130227;000000;2065.4000000;2065.4000000;2017.6000000;2049.3000000;538
20130228;000000;2045.0000000;2063.9000000;2007.4000000;2039.0000000;915
20130301;000000;2049.7000000;2059.0000000;2015.2000000;2025.0000000;3393
20130304;000000;2015.1000000;2047.0000000;1975.1000000;2018.9000000;1583
20130305;000000;2014.4000000;2032.6000000;1977.0000000;2023.8000000;1598
20130306;000000;2028.1000000;2065.0000000;2028.1000000;2051.7000000;3972
20130307;000000;2052.7000000;2075.0000000;2052.7000000;2070.0000000;405
20130311;000000;2070.9000000;2125.0000000;2070.9000000;2091.0000000;3538
20130312;000000;2105.8000000;2113.9000000;2081.2000000;2081.2000000;1523
20130313;000000;2096.9000000;2124.9000000;2048.0000000;2090.0000000;4605
20130314;000000;2078.5000000;2150.0000000;2053.6000000;2129.0000000;2944
20130315;000000;2120.1000000;2137.5000000;2062.7000000;2100.1000000;2477
20130318;000000;2071.6000000;2100.0000000;2000.0000000;2070.0000000;9143
20130319;000000;2068.6000000;2125.0000000;2015.0000000;2099.1000000;14712
20130320;000000;2096.3000000;2100.0000000;2042.1000000;2093.6000000;4871
20130321;000000;2094.5000000;2135.4000000;2075.0000000;2114.4000000;2055
20130322;000000;2122.1000000;2134.0000000;2060.0000000;2082.3000000;1740
