<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;5.9200000;5.9200000;5.9200000;5.9200000;1000
20130109;000000;5.8800000;5.8800000;5.6000000;5.7600000;3213000
20130110;000000;5.8000000;5.8000000;5.6450000;5.6450000;15000
20130111;000000;5.7110000;5.7110000;5.6820000;5.6990000;3519000
20130114;000000;5.7100000;5.8400000;5.7100000;5.8400000;1085000
20130115;000000;5.3200000;5.8800000;5.1500000;5.7250000;6377000
20130116;000000;5.7000000;5.7000000;5.6500000;5.6600000;7043000
20130117;000000;5.7700000;5.7700000;5.6500000;5.7120000;6000000
20130118;000000;5.6790000;5.8000000;5.6500000;5.6700000;2396000
20130121;000000;5.7910000;5.7910000;5.6700000;5.7900000;810000
20130122;000000;5.7000000;5.7000000;5.5500000;5.6810000;6000
20130123;000000;5.8970000;5.8970000;5.6400000;5.7460000;2554000
20130124;000000;5.6850000;5.6850000;5.6850000;5.6850000;1847000
20130125;000000;5.6000000;5.7970000;5.5600000;5.5600000;611000
20130128;000000;5.6500000;5.7970000;5.6500000;5.7380000;5965000
20130129;000000;5.8000000;5.8000000;5.4650000;5.7250000;7232000
20130130;000000;5.8310000;5.8310000;5.6250000;5.6300000;261000
20130131;000000;5.7990000;5.7990000;5.4590000;5.6300000;31000
20130201;000000;5.6800000;5.6800000;5.4920000;5.5990000;5250000
20130205;000000;5.7990000;5.7990000;5.6480000;5.6500000;2660000
20130206;000000;5.7200000;5.7200000;5.4660000;5.5990000;2745000
20130207;000000;5.4940000;5.7900000;5.4920000;5.6400000;21000
20130208;000000;5.7500000;5.7500000;5.4960000;5.5650000;6206000
20130211;000000;5.6300000;5.8000000;5.4660000;5.5900000;19000
20130212;000000;5.6900000;5.6900000;5.4990000;5.5990000;10000
20130213;000000;5.8000000;5.8000000;5.6100000;5.6100000;6000
20130214;000000;5.6500000;5.6500000;5.4970000;5.5600000;4000
20130215;000000;5.4990000;5.5420000;5.4990000;5.5420000;5000
20130218;000000;5.7100000;5.7100000;5.4580000;5.4580000;12000
20130219;000000;5.8400000;5.8400000;5.5500000;5.5500000;2000
20130225;000000;5.4770000;5.7990000;5.3580000;5.7990000;11000
20130228;000000;5.5350000;5.5350000;5.5350000;5.5350000;198000
20130301;000000;5.4830000;5.4830000;5.4830000;5.4830000;1000
20130305;000000;6.0100000;6.0100000;5.4950000;5.4950000;2000
20130306;000000;5.4750000;5.4750000;5.4750000;5.4750000;1000
20130307;000000;4.9000000;6.0990000;4.9000000;5.4660000;52000
20130311;000000;5.7990000;5.7990000;5.7990000;5.7990000;1000
20130312;000000;5.5000000;5.6100000;5.5000000;5.5410000;8000
20130313;000000;5.5490000;5.5500000;5.4900000;5.4900000;4000
20130315;000000;5.6100000;5.6100000;5.4900000;5.4900000;5000
20130318;000000;5.6000000;5.6000000;5.5000000;5.5000000;5900000
20130319;000000;5.5500000;5.5500000;5.5500000;5.5500000;1000
20130320;000000;5.8000000;5.8000000;5.5480000;5.5480000;470000
20130321;000000;5.8970000;5.8980000;5.4710000;5.4900000;25008000
20130322;000000;5.4450000;5.4480000;5.4430000;5.4480000;8270000
20130325;000000;5.7990000;5.7990000;5.5490000;5.5490000;16000
20130326;000000;5.4930000;5.8000000;5.3000000;5.6500000;21796000
20130327;000000;5.4200000;5.4240000;5.4200000;5.4240000;198000
20130329;000000;5.7590000;5.7600000;5.7590000;5.7600000;2840000
20130401;000000;5.4910000;5.4910000;5.2130000;5.4150000;11000
20130403;000000;5.4310000;5.4310000;5.4310000;5.4310000;2000
20130416;000000;5.4100000;5.4100000;5.4100000;5.4100000;1000
20130417;000000;5.5490000;5.6000000;5.4100000;5.4100000;1293000
20130418;000000;5.5100000;5.5300000;5.5100000;5.5300000;207000
20130419;000000;5.4870000;5.4950000;5.4870000;5.4950000;202000
20130423;000000;5.6000000;5.6000000;5.5000000;5.5000000;105000
20130424;000000;5.6000000;5.6000000;5.5500000;5.5500000;2000
20130425;000000;5.4700000;5.4990000;5.4700000;5.4990000;2000
20130426;000000;5.6000000;5.6000000;5.6000000;5.6000000;8000
20130429;000000;5.4700000;5.4700000;5.4650000;5.4650000;2000
20130430;000000;5.8100000;5.8100000;5.5500000;5.6000000;2704000
20130503;000000;5.6100000;5.6100000;5.6100000;5.6100000;4000
20130507;000000;5.6330000;5.6350000;5.6330000;5.6350000;12000
20130508;000000;5.5300000;5.6280000;5.4000000;5.6280000;5000
20130513;000000;5.4900000;5.6120000;5.4000000;5.6120000;8000
20130514;000000;5.5000000;5.5000000;5.5000000;5.5000000;3000
20130520;000000;5.4990000;5.4990000;5.4950000;5.4950000;14000
20130522;000000;5.4900000;5.5100000;5.4100000;5.5100000;9000
20130523;000000;5.5250000;5.5250000;5.5090000;5.5090000;76000
20130530;000000;5.9000000;5.9000000;5.4200000;5.4200000;6401000
20130531;000000;5.9070000;5.9070000;5.4500000;5.4500000;6001000
20130603;000000;5.4200000;5.4200000;5.4200000;5.4200000;1000
20130604;000000;5.4040000;5.4040000;5.4040000;5.4040000;1000
20130605;000000;5.4010000;5.4010000;5.3900000;5.3900000;2000
20130606;000000;5.3900000;5.5000000;5.3900000;5.5000000;859000
20130611;000000;5.5000000;5.5000000;5.0520000;5.4900000;24000
20130614;000000;5.4000000;5.6200000;5.0410000;5.6200000;31000
20130618;000000;5.4900000;5.6700000;5.4800000;5.4890000;1598000
20130619;000000;5.4000000;5.4660000;5.4000000;5.4600000;3639000
20130620;000000;5.5590000;5.5600000;5.5590000;5.5600000;5000
20130624;000000;5.5600000;5.5600000;5.5500000;5.5500000;3000
20130625;000000;5.3660000;5.3660000;5.3660000;5.3660000;5000
20130626;000000;5.5510000;5.6000000;5.4970000;5.6000000;2772000
20130627;000000;5.9000000;5.9390000;5.4050000;5.9000000;9400000
20130628;000000;5.8900000;6.2000000;5.7000000;6.2000000;6162000
20130703;000000;5.4510000;5.4510000;5.4510000;5.4510000;5000
