<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130109;000000;1.1229000;1.1230000;1.0970000;1.1097000;171000
20130110;000000;1.0917000;1.1136000;1.0750000;1.1136000;181000
20130111;000000;1.1100000;1.1100000;1.1100000;1.1100000;11000
20130115;000000;1.0958000;1.0965000;1.0958000;1.0965000;51000
20130116;000000;1.1173000;1.1200000;1.1173000;1.1200000;58000
20130117;000000;1.1265000;1.1265000;1.1265000;1.1265000;38000
20130118;000000;1.1199000;1.1367000;1.1199000;1.1355000;268000
20130121;000000;1.1325000;1.1325000;1.1160000;1.1310000;105000
20130122;000000;1.1325000;1.1325000;1.1325000;1.1325000;5000
20130123;000000;1.1175000;1.1195000;1.0750000;1.1195000;100000
20130125;000000;1.1240000;1.1240000;1.1240000;1.1240000;20000
20130128;000000;1.1200000;1.1290000;1.1200000;1.1290000;110000
20130129;000000;1.1277000;1.1277000;1.1277000;1.1277000;25000
20130131;000000;1.1258000;1.1258000;1.1258000;1.1258000;65000
20130204;000000;1.1235000;1.1298000;1.1235000;1.1298000;35000
20130205;000000;1.1125000;1.1125000;1.1125000;1.1125000;13000
20130206;000000;1.1235000;1.1235000;1.1235000;1.1235000;23000
20130208;000000;1.1189000;1.1300000;1.1189000;1.1300000;202000
20130322;000000;1.0900000;1.1190000;1.0900000;1.1190000;55000
20130325;000000;1.1210000;1.1240000;1.1210000;1.1240000;90000
20130422;000000;1.1101000;1.1140000;1.0988000;1.1140000;144000
20130425;000000;1.0731000;1.0731000;1.0731000;1.0731000;70000
20130429;000000;1.1025000;1.1025000;1.0854000;1.0854000;76000
20130515;000000;1.0000000;1.0000000;1.0000000;1.0000000;75000
20130516;000000;1.0000000;1.0000000;1.0000000;1.0000000;75000
20130521;000000;0.9627000;0.9627000;0.9627000;0.9627000;78000
20130523;000000;0.8400000;0.8790000;0.8400000;0.8700000;78000
20130530;000000;0.7500000;0.7500000;0.7000000;0.7000000;9000
20130626;000000;0.4310000;0.6498000;0.4300000;0.6498000;5000
20130704;000000;0.4001000;0.5010000;0.4001000;0.5010000;5000
20130709;000000;0.4802000;0.4802000;0.4802000;0.4802000;2000
20130710;000000;0.4016000;0.4016000;0.4016000;0.4016000;1000
20130712;000000;0.4799000;0.4865000;0.4799000;0.4865000;3000
20130828;000000;0.3000000;0.3000000;0.3000000;0.3000000;1000
20130830;000000;0.4200000;0.4200000;0.4200000;0.4200000;2000
20130903;000000;0.6239000;0.6239000;0.6239000;0.6239000;35000
20130911;000000;0.4100000;0.6697000;0.3744000;0.4100000;42000
20130912;000000;0.3970000;0.3970000;0.3930000;0.3930000;17000
20130916;000000;0.5009000;0.5009000;0.5009000;0.5009000;1000
20131001;000000;0.5010000;0.5170000;0.5010000;0.5170000;10000
20131031;000000;0.3105000;0.3120000;0.3105000;0.3120000;2000
20131105;000000;0.3750000;0.3750000;0.3303000;0.3303000;104000
20131106;000000;0.3211000;0.3211000;0.3200000;0.3200000;44000
20131112;000000;0.2511000;0.2900000;0.2156000;0.2900000;10000
20131113;000000;0.3499000;0.3499000;0.3499000;0.3499000;1000
20131118;000000;0.4429000;0.4429000;0.4429000;0.4429000;1000
20131120;000000;0.3000000;0.3000000;0.3000000;0.3000000;2000
20131206;000000;0.2211000;0.2705000;0.2211000;0.2700000;132000
20131209;000000;0.2500000;0.2650000;0.2500000;0.2510000;21000
20131210;000000;0.2500000;0.2500000;0.2170000;0.2170000;279000
20131211;000000;0.2099000;0.2099000;0.2000000;0.2000000;73000
20131212;000000;0.2027000;0.2027000;0.1700000;0.1999000;4000
20131213;000000;0.1901000;0.1901000;0.1850000;0.1850000;31000
20131216;000000;0.1700000;0.1777000;0.1556000;0.1558000;70000
20131217;000000;0.1700000;0.2028000;0.1600000;0.2028000;8000
20131218;000000;0.2500000;0.2500000;0.2500000;0.2500000;1000
20131219;000000;0.2500000;0.2500000;0.2500000;0.2500000;20000
20131223;000000;0.2300000;0.2300000;0.2050000;0.2050000;4000
20131224;000000;0.2000000;0.2000000;0.2000000;0.2000000;9000
20131226;000000;0.1899000;0.2699000;0.1600000;0.2699000;15000
20131227;000000;0.2110000;0.2999000;0.2010000;0.2200000;224000
20131230;000000;0.2200000;0.2980000;0.1700000;0.2980000;547000
