<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;59.7500000;60.9000000;58.9200000;60.5500000;1248130
20130109;000000;60.5600000;61.9400000;60.1000000;61.8600000;1807830
20130110;000000;61.9900000;65.2700000;61.3000000;64.7400000;5501920
20130111;000000;64.9900000;67.5500000;64.8500000;65.7000000;3838220
20130114;000000;65.9000000;67.2500000;65.6600000;66.4300000;2792830
20130115;000000;66.7000000;69.1000000;66.0900000;68.2000000;7006900
20130116;000000;68.3800000;69.5000000;67.6000000;69.1500000;4068960
20130117;000000;69.1000000;69.9000000;68.8100000;69.2900000;2644330
20130118;000000;69.5000000;69.9000000;68.1000000;68.8600000;2407330
20130121;000000;68.9000000;69.2500000;68.1000000;68.7600000;1348780
20130122;000000;68.7100000;68.7100000;67.2500000;67.7500000;2203190
20130123;000000;67.9400000;67.9500000;66.5000000;67.2100000;2454680
20130124;000000;67.0300000;67.0300000;66.2800000;66.7000000;1358240
20130125;000000;66.4100000;66.6500000;65.6100000;66.3000000;1443980
20130128;000000;66.9300000;68.7500000;66.1300000;68.2800000;2726160
20130129;000000;68.7700000;69.1200000;66.5000000;66.7100000;1977960
20130130;000000;67.2200000;67.9900000;65.1000000;65.6700000;1813670
20130131;000000;65.2500000;66.7000000;64.7000000;65.5000000;1268680
20130201;000000;65.5600000;67.3000000;65.5600000;67.1800000;1675700
20130204;000000;67.9900000;68.1500000;66.4800000;67.4000000;1044970
20130205;000000;66.8000000;67.4800000;66.4800000;66.8900000;768630
20130206;000000;67.2000000;67.5900000;65.8200000;65.9000000;1029800
20130207;000000;65.9000000;66.2700000;64.9400000;65.1500000;776300
20130208;000000;65.2000000;65.7400000;63.8100000;64.3800000;1860430
20130211;000000;64.5400000;65.8800000;63.9100000;65.0000000;1002020
20130212;000000;64.5200000;65.2500000;64.1100000;64.3000000;1087740
20130213;000000;64.3000000;66.6700000;64.2500000;66.1400000;746070
20130214;000000;66.1400000;67.4900000;65.0000000;65.0000000;1998710
20130215;000000;65.1300000;66.2000000;64.3500000;65.8400000;1234890
20130218;000000;65.9700000;66.7900000;65.0200000;65.1800000;538360
20130219;000000;65.4400000;66.0900000;64.9000000;66.0500000;958550
20130220;000000;66.3000000;66.7500000;65.1400000;65.1400000;352580
20130221;000000;64.4100000;64.4900000;63.0000000;63.1400000;1048930
20130222;000000;63.1500000;64.4500000;63.1100000;63.8000000;580580
20130225;000000;64.0500000;64.8000000;63.5000000;63.9000000;781700
20130226;000000;62.9600000;63.4400000;61.4700000;63.3000000;398390
20130227;000000;63.3000000;64.9800000;63.0000000;64.1600000;900040
20130228;000000;64.8000000;64.9700000;63.1300000;63.4200000;452150
20130301;000000;63.2800000;63.6700000;62.3000000;63.0500000;382960
20130304;000000;63.2000000;63.2500000;61.5000000;62.0000000;613270
20130305;000000;62.7000000;64.5000000;62.2600000;63.5200000;400610
20130306;000000;64.1700000;64.4000000;63.2600000;63.6300000;323110
20130307;000000;63.7000000;64.8400000;63.3600000;63.9000000;702320
20130311;000000;64.2000000;65.5500000;64.2000000;64.9200000;585520
20130312;000000;64.9900000;65.2000000;63.6200000;64.0000000;399010
20130313;000000;63.8600000;65.0700000;63.5300000;64.9800000;955790
20130314;000000;64.8500000;67.3000000;64.7700000;66.9000000;1569000
20130315;000000;67.3200000;68.7300000;66.2500000;67.8000000;2912450
20130318;000000;66.4700000;66.9500000;65.0200000;65.6600000;2453510
20130319;000000;65.7000000;66.9700000;65.4400000;65.7500000;584290
20130320;000000;65.7600000;66.3000000;64.3600000;65.3000000;612290
20130321;000000;65.9000000;65.9000000;64.0400000;64.1600000;394870
20130322;000000;63.8800000;63.8800000;61.5700000;61.8100000;1701200
20130325;000000;62.5400000;62.9200000;58.1700000;60.1900000;2402820
20130326;000000;60.7900000;60.9400000;58.0000000;58.5500000;1729120
20130327;000000;59.0000000;59.6800000;58.6000000;59.1000000;421290
20130328;000000;59.0000000;60.4300000;58.2000000;59.7800000;788370
20130329;000000;60.1700000;60.3700000;57.6100000;58.4700000;1146590
20130401;000000;58.2200000;58.3000000;57.2100000;57.5000000;746890
20130402;000000;57.6600000;58.2000000;54.7500000;54.8300000;1441080
20130403;000000;54.9600000;54.9700000;51.4100000;51.4400000;2279990
20130404;000000;50.4700000;51.3900000;48.6300000;51.0700000;2911000
20130405;000000;50.9000000;51.8800000;48.7200000;49.5500000;1382540
20130408;000000;49.8000000;50.2200000;47.0100000;47.3000000;1163240
20130409;000000;47.7700000;47.9700000;45.1200000;46.3200000;1953080
20130410;000000;46.7300000;47.6900000;45.5300000;47.1900000;1605500
20130411;000000;47.2100000;48.3700000;44.4100000;44.6200000;1812420
20130412;000000;44.5000000;44.5000000;41.3100000;42.2200000;2284790
20130415;000000;42.0000000;42.1900000;38.2100000;40.2700000;2317600
20130416;000000;39.8000000;42.3700000;39.5500000;41.9700000;1034670
20130417;000000;42.3000000;42.4500000;40.0100000;40.6300000;632550
20130418;000000;40.1000000;41.4100000;40.1000000;40.3300000;526630
20130419;000000;40.9400000;41.2800000;40.3100000;40.6500000;665860
20130422;000000;41.0000000;41.6000000;39.1200000;39.8600000;538400
20130423;000000;39.8000000;42.1100000;39.0700000;41.7400000;853270
20130424;000000;42.0600000;44.8700000;41.8400000;44.6100000;2123390
20130425;000000;44.7300000;47.4900000;44.6100000;45.4800000;1065880
20130426;000000;45.4300000;46.0000000;43.7000000;44.4000000;835890
20130429;000000;44.0100000;46.1000000;42.6600000;46.1000000;608210
20130430;000000;46.2600000;47.1500000;45.0000000;45.5700000;1159590
20130502;000000;45.2000000;46.8900000;44.6400000;46.0300000;423640
20130503;000000;46.3200000;47.6200000;46.2200000;46.3900000;463960
20130506;000000;46.7600000;47.4900000;46.2000000;46.5300000;518180
20130507;000000;47.0000000;47.0000000;45.6700000;46.1400000;739470
20130508;000000;46.1400000;46.3400000;44.5000000;45.1400000;762560
20130510;000000;45.1200000;45.9900000;45.0800000;45.5900000;306510
20130513;000000;45.7800000;45.9900000;43.5000000;43.7700000;1450740
20130514;000000;43.4400000;44.2500000;42.7100000;43.1100000;1933150
20130515;000000;43.4300000;43.4300000;40.6800000;40.7000000;1369750
20130516;000000;40.8900000;41.4000000;38.8200000;40.0000000;1900770
20130517;000000;40.1000000;41.4000000;39.5800000;40.8000000;796210
20130520;000000;41.2000000;42.2000000;40.1800000;40.6500000;775000
20130521;000000;40.5800000;41.7500000;40.1600000;41.0100000;1344830
20130522;000000;41.3800000;42.1900000;40.8200000;41.3000000;2319560
20130523;000000;40.5200000;40.7100000;38.8000000;39.5300000;1637050
20130524;000000;39.8800000;39.9900000;39.1200000;39.8500000;678050
20130527;000000;39.9000000;40.7000000;39.8100000;40.0400000;622450
20130528;000000;40.1500000;40.6700000;39.9400000;40.3800000;863480
20130529;000000;40.0200000;40.2700000;38.8000000;38.9900000;1319440
20130530;000000;38.7500000;38.8300000;37.5500000;37.7500000;1725450
20130531;000000;37.9900000;38.1000000;36.3100000;37.0100000;1416680
20130603;000000;36.0000000;36.6800000;35.7400000;36.1400000;895540
20130604;000000;36.5900000;37.1900000;35.5400000;35.5400000;1364990
20130605;000000;35.5400000;35.5400000;33.8600000;34.0000000;1692500
20130606;000000;33.6600000;34.2300000;33.0300000;33.8800000;1038860
20130607;000000;34.6900000;35.4300000;34.0000000;35.3500000;860970
20130610;000000;35.8700000;36.5200000;33.7000000;35.1600000;1776910
20130611;000000;34.9900000;35.9700000;33.6300000;33.9000000;1466610
