<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20131120;000000;4.2220000;4.2220000;4.1995000;4.1995000;2000
20131126;000000;4.2400000;4.2400000;4.2400000;4.2400000;9600000
20131210;000000;4.1750000;4.1900000;4.1400000;4.1500000;510000
20131211;000000;4.1400000;4.1950000;4.1400000;4.1700000;1155000
20131212;000000;4.1800000;4.2000000;4.1380000;4.1710000;525000
20131213;000000;4.1500000;4.1760000;4.1500000;4.1760000;212000
20131218;000000;4.2000000;4.2000000;4.2000000;4.2000000;8400000
20131225;000000;4.2250000;4.3500000;4.2250000;4.3500000;50000
20131226;000000;4.2250000;4.3250000;4.2000000;4.3250000;1270028000
20131227;000000;4.3100000;4.6500000;4.3100000;4.6500000;141123000
