<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;33.6700000;34.0700000;33.2000000;33.2000000;1900
20130111;000000;33.9900000;34.5000000;33.9500000;34.4900000;3800
20130114;000000;34.2600000;35.5000000;34.0000000;34.4300000;13900
20130115;000000;34.3900000;34.3900000;33.9000000;33.9000000;1800
20130116;000000;33.9100000;34.3300000;33.9000000;34.3300000;800
20130117;000000;34.4400000;34.7200000;34.0000000;34.0000000;800
20130118;000000;34.3500000;34.8300000;34.3500000;34.5000000;1900
20130121;000000;34.3400000;34.8700000;34.3400000;34.3400000;1200
20130122;000000;34.4000000;34.4000000;33.7900000;33.7900000;1700
20130123;000000;34.0000000;34.0000000;33.3500000;33.5200000;2200
20130124;000000;34.4400000;34.4400000;34.3900000;34.4200000;600
20130128;000000;34.0000000;34.0000000;33.9000000;33.9600000;1800
20130129;000000;33.3300000;34.3800000;33.0000000;34.1200000;800
20130130;000000;34.0000000;34.0900000;33.5100000;33.6900000;900
20130131;000000;34.1000000;34.1500000;33.4800000;33.4800000;3200
20130201;000000;33.0500000;33.2000000;33.0500000;33.2000000;2800
20130204;000000;33.4000000;33.4000000;32.5200000;33.0900000;2600
20130205;000000;34.0000000;34.0000000;33.3900000;33.3900000;2400
20130206;000000;34.0000000;34.0000000;34.0000000;34.0000000;2300
20130207;000000;34.0000000;34.0000000;34.0000000;34.0000000;2300
20130208;000000;33.9000000;33.9600000;32.2000000;32.2700000;4600
20130211;000000;34.1000000;34.1000000;31.8700000;33.2700000;4200
20130212;000000;33.8500000;33.8500000;31.1300000;32.4500000;3500
20130213;000000;33.4000000;33.4000000;33.4000000;33.4000000;2300
20130214;000000;33.4000000;33.4000000;32.8500000;32.8500000;2500
20130215;000000;33.2000000;33.2000000;32.5800000;32.5800000;6700
20130218;000000;33.1500000;33.1500000;33.0000000;33.0000000;3900
20130219;000000;33.2000000;33.2000000;32.8600000;32.8600000;2400
20130220;000000;33.2000000;33.2000000;33.2000000;33.2000000;2600
20130221;000000;33.2000000;33.3700000;32.4800000;33.3700000;2800
20130222;000000;33.2000000;33.5200000;32.7800000;33.4800000;2600
20130225;000000;33.2000000;33.2000000;32.2200000;32.2200000;11900
20130226;000000;32.9000000;35.4000000;32.9000000;33.2000000;17000
20130227;000000;33.7000000;33.7400000;33.4100000;33.7400000;2500
20130228;000000;33.0000000;33.0000000;32.4300000;32.9900000;600
20130301;000000;32.9000000;32.9000000;32.9000000;32.9000000;2300
20130304;000000;32.7000000;34.4700000;32.7000000;33.4000000;7100
20130305;000000;33.4000000;33.7900000;33.4000000;33.4100000;4000
20130306;000000;33.2000000;33.4100000;32.8300000;33.4100000;2500
20130307;000000;33.2000000;33.4500000;33.2000000;33.4500000;4800
20130311;000000;33.2000000;33.7400000;33.2000000;33.7400000;2400
20130312;000000;33.2000000;33.2000000;32.4400000;32.4400000;4500
20130313;000000;33.2000000;33.2000000;33.2000000;33.2000000;2300
20130314;000000;32.6500000;32.6500000;32.6500000;32.6500000;2300
20130315;000000;32.5000000;32.7300000;32.3100000;32.5200000;2600
20130318;000000;33.1000000;33.1000000;30.0700000;31.4600000;2900
20130319;000000;32.0000000;32.0000000;31.4500000;31.4500000;2400
20130320;000000;31.9000000;33.0000000;31.9000000;33.0000000;2700
20130321;000000;31.5000000;31.5000000;31.5000000;31.5000000;2300
20130322;000000;31.4000000;31.4000000;31.4000000;31.4000000;2300
20130325;000000;31.8000000;32.0000000;31.8000000;32.0000000;2400
20130326;000000;31.6000000;32.6900000;30.3000000;31.6800000;3500
20130327;000000;30.1000000;31.9800000;30.1000000;31.9800000;2400
20130328;000000;31.3000000;31.3000000;31.2900000;31.2900000;2700
20130329;000000;30.6400000;30.6400000;30.6400000;30.6400000;300
20130401;000000;30.1100000;31.2600000;30.1100000;31.2200000;400
20130402;000000;30.4300000;30.7500000;30.0600000;30.7500000;500
20130403;000000;30.9600000;30.9600000;30.9600000;30.9600000;100
20130404;000000;29.7600000;29.7600000;29.7600000;29.7600000;200
20130405;000000;29.8300000;30.3200000;29.8300000;29.9100000;300
20130408;000000;29.9900000;29.9900000;29.6500000;29.6500000;1000
20130409;000000;29.5300000;29.5300000;28.7800000;28.7800000;400
20130410;000000;29.8300000;29.8600000;29.8300000;29.8400000;2700
20130411;000000;28.8000000;28.8000000;28.7700000;28.7700000;400
20130412;000000;28.0600000;28.0600000;27.7400000;27.7400000;700
20130415;000000;26.4300000;26.6700000;23.6600000;26.2600000;3100
20130416;000000;27.9900000;27.9900000;26.0400000;26.5000000;3000
20130417;000000;27.9900000;27.9900000;26.0300000;26.1300000;500
20130418;000000;24.5500000;25.0000000;21.6100000;23.2000000;13500
20130419;000000;23.9000000;25.2000000;23.0400000;24.0000000;1300
20130422;000000;23.9900000;25.0000000;23.8900000;25.0000000;700
20130423;000000;24.0300000;25.2400000;24.0300000;25.2400000;500
20130424;000000;25.2400000;27.0000000;25.0000000;26.8300000;1800
20130425;000000;27.4000000;31.9900000;26.0400000;27.0000000;2100
20130426;000000;26.3200000;27.8100000;26.0300000;27.8100000;700
20130429;000000;25.7100000;28.2900000;25.7100000;26.8800000;700
20130503;000000;26.5800000;26.5800000;26.5800000;26.5800000;200
20130506;000000;27.2400000;27.2400000;27.2400000;27.2400000;100
20130507;000000;26.0100000;33.9800000;26.0100000;26.5900000;1400
20130508;000000;28.1200000;28.5500000;28.0500000;28.5500000;400
20130513;000000;28.6500000;28.6500000;28.6500000;28.6500000;100
20130515;000000;27.8300000;27.8300000;27.8300000;27.8300000;4700
20130516;000000;26.2000000;28.0000000;26.1100000;26.1100000;3900
20130517;000000;27.6700000;28.6500000;27.6700000;28.6500000;300
20130520;000000;26.4600000;26.4600000;26.4600000;26.4600000;100
20130521;000000;28.6100000;28.6100000;26.5000000;26.5000000;8400
20130522;000000;28.6500000;28.6500000;22.2500000;26.9700000;1500
20130523;000000;25.0600000;25.7000000;24.9700000;25.7000000;10200
20130528;000000;23.7200000;27.0000000;23.0200000;27.0000000;3900
20130529;000000;25.1400000;25.1400000;25.1400000;25.1400000;100
20130530;000000;25.1400000;25.1400000;25.1400000;25.1400000;100
20130531;000000;26.6300000;26.6300000;26.6300000;26.6300000;200
20130604;000000;23.8900000;25.3000000;23.8800000;24.0300000;600
20130605;000000;25.2700000;25.2700000;25.2700000;25.2700000;100
20130606;000000;22.7100000;23.7000000;21.6500000;23.6100000;1500
20130610;000000;22.0200000;22.2000000;22.0200000;22.1500000;300
20130611;000000;22.1500000;22.1500000;22.1400000;22.1500000;600
20130613;000000;22.3700000;24.0200000;22.3700000;23.9900000;3100
20130618;000000;22.2100000;25.4100000;22.2100000;25.4100000;1100
20130619;000000;24.1300000;24.1300000;24.1300000;24.1300000;100
20130620;000000;23.0500000;23.0500000;22.9200000;23.0300000;800
20130621;000000;21.8500000;21.8500000;21.8500000;21.8500000;300
20130624;000000;21.8400000;21.8500000;21.4000000;21.4000000;3100
20130625;000000;21.7700000;23.8500000;21.1600000;22.7900000;5100
20130626;000000;21.7700000;22.3800000;21.2000000;22.3800000;600
20130627;000000;21.7100000;21.7100000;21.7000000;21.7000000;200
20130628;000000;22.0500000;22.0500000;22.0000000;22.0000000;200
20130701;000000;21.6500000;21.6500000;21.6500000;21.6500000;100
20130702;000000;22.0000000;22.0000000;22.0000000;22.0000000;300
20130703;000000;21.1800000;21.6000000;20.9800000;21.0000000;3200
20130705;000000;21.5000000;21.5000000;20.5100000;20.5200000;2600
20130708;000000;20.5000000;20.5000000;20.0000000;20.4500000;1800
20130709;000000;20.0600000;20.8900000;20.0000000;20.0000000;1300
20130710;000000;20.1900000;20.1900000;20.1900000;20.1900000;100
20130711;000000;20.1800000;20.1800000;20.1800000;20.1800000;100
20130712;000000;20.1800000;20.1800000;20.1800000;20.1800000;100
20130715;000000;20.1800000;20.1800000;20.1800000;20.1800000;300
20130716;000000;20.1800000;20.4500000;20.1800000;20.4500000;2800
20130717;000000;20.4600000;21.0000000;20.4500000;21.0000000;4000
20130718;000000;20.0000000;21.0000000;20.0000000;21.0000000;5300
20130719;000000;20.6900000;20.6900000;20.1000000;20.1000000;400
20130722;000000;20.7400000;22.2100000;20.7400000;21.5000000;5900
20130723;000000;20.8600000;20.8600000;20.5000000;20.5000000;600
20130724;000000;20.0100000;20.0100000;17.5000000;19.4000000;8500
20130725;000000;18.4200000;21.0000000;18.4000000;21.0000000;10700
20130726;000000;19.5000000;21.1000000;19.5000000;21.1000000;600
20130729;000000;21.8200000;21.9900000;21.8200000;21.9900000;200
