<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;115.0000000;115.0000000;95.0100000;101.6000000;5510
20130109;000000;103.9800000;109.9900000;96.6000000;109.9100000;4950
20130110;000000;113.6800000;114.0000000;106.4000000;106.9500000;1050
20130111;000000;107.4900000;107.4900000;106.9000000;106.9000000;1040
20130114;000000;102.0600000;106.7700000;102.0500000;105.9800000;710
20130115;000000;103.0000000;104.4700000;102.0100000;104.4500000;170
20130116;000000;104.9700000;104.9700000;103.0000000;104.4000000;830
20130117;000000;103.3900000;105.0000000;99.0300000;105.0000000;1500
20130118;000000;100.1900000;105.9900000;100.1900000;105.9900000;60
20130121;000000;102.0000000;107.0000000;102.0000000;105.9900000;170
20130122;000000;106.8900000;106.8900000;102.1500000;105.7800000;80
20130123;000000;106.3200000;106.3200000;102.9600000;104.9900000;220
20130124;000000;105.0000000;105.1500000;105.0000000;105.0000000;440
20130125;000000;104.9900000;104.9900000;100.3200000;103.9900000;140
20130128;000000;100.0200000;103.9800000;100.0200000;103.5400000;290
20130129;000000;100.0900000;102.8400000;100.0500000;101.6400000;1030
20130130;000000;100.0000000;103.7500000;95.0500000;102.5000000;6180
20130131;000000;103.9000000;104.7000000;97.1900000;102.9600000;490
20130201;000000;101.9900000;103.9800000;99.0300000;102.0000000;300
20130204;000000;101.5400000;101.9900000;100.5000000;100.9600000;190
20130205;000000;101.9300000;101.9300000;101.9300000;101.9300000;10
20130206;000000;101.9700000;101.9900000;100.9900000;101.9900000;40
20130207;000000;99.0100000;101.9900000;99.0000000;101.9900000;40
20130208;000000;102.9900000;102.9900000;99.0100000;100.9900000;350
20130211;000000;100.9900000;100.9900000;99.2900000;100.4000000;1480
20130212;000000;99.7600000;99.7600000;98.0100000;98.2200000;1210
20130213;000000;99.2900000;99.2900000;98.0000000;98.0000000;40
20130214;000000;97.0100000;98.9700000;97.0000000;97.9700000;210
20130215;000000;99.9200000;99.9200000;86.1700000;95.9900000;1290
20130218;000000;94.0200000;95.8000000;94.0200000;95.7900000;60
20130219;000000;94.0100000;95.9800000;94.0000000;95.9300000;90
20130220;000000;94.0000000;95.9400000;93.4000000;93.4000000;100
20130221;000000;93.0000000;100.6300000;93.0000000;95.6000000;660
20130222;000000;95.0000000;95.0000000;93.0200000;94.9700000;300
20130226;000000;93.9500000;95.0000000;93.0000000;93.0000000;700
20130227;000000;94.0000000;94.8900000;94.0000000;94.0000000;300
20130228;000000;94.0000000;94.0000000;94.0000000;94.0000000;10
20130301;000000;92.0600000;92.0900000;90.6600000;91.0000000;230
20130304;000000;91.1800000;91.5200000;90.0000000;91.0000000;500
20130305;000000;90.0000000;91.0000000;90.0000000;91.0000000;60
20130307;000000;100.0000000;100.0000000;94.0000000;94.9800000;150
20130311;000000;95.0500000;100.6200000;91.0000000;94.0000000;250
20130312;000000;91.1200000;93.0000000;91.1200000;93.0000000;30
20130313;000000;92.0000000;92.0000000;91.9900000;92.0000000;50
20130314;000000;92.8100000;109.2000000;92.8100000;94.9400000;1250
20130315;000000;95.0000000;98.0000000;92.1000000;95.0000000;400
20130318;000000;92.0000000;92.0000000;91.0100000;91.0100000;100
20130319;000000;91.0100000;91.0100000;89.0200000;89.0200000;430
20130322;000000;90.0000000;90.0000000;87.0000000;90.0000000;120
20130326;000000;88.0000000;88.0000000;87.0100000;87.0100000;120
20130327;000000;89.9600000;89.9700000;89.9600000;89.9700000;100
20130328;000000;87.0200000;93.0000000;87.0200000;93.0000000;40
20130329;000000;97.4500000;97.4500000;87.5000000;91.3500000;340
20130403;000000;91.3900000;91.3900000;90.0000000;90.0000000;100
20130404;000000;90.0000000;90.0000000;90.0000000;90.0000000;40
20130405;000000;90.1000000;91.0000000;86.0100000;90.9900000;720
20130408;000000;89.9900000;89.9900000;89.9900000;89.9900000;50
20130410;000000;87.8900000;87.9000000;87.8900000;87.9000000;500
20130411;000000;86.6800000;86.6800000;86.6800000;86.6800000;10
20130412;000000;87.0000000;87.0000000;87.0000000;87.0000000;320
20130415;000000;86.0600000;90.0000000;85.0200000;90.0000000;550
20130416;000000;87.0000000;87.0000000;82.0300000;82.0300000;200
20130417;000000;90.0000000;90.0000000;90.0000000;90.0000000;20
20130418;000000;90.0000000;90.0000000;90.0000000;90.0000000;80
20130419;000000;82.9900000;88.0000000;82.9900000;88.0000000;130
20130422;000000;81.0100000;88.6500000;81.0100000;88.6500000;100
20130423;000000;82.8300000;91.5000000;82.2400000;86.0000000;120
20130425;000000;86.0000000;86.0000000;85.9900000;86.0000000;1880
20130426;000000;87.0000000;87.0000000;87.0000000;87.0000000;40
20130429;000000;87.0000000;87.0000000;82.0100000;82.0100000;20
20130430;000000;86.9500000;86.9500000;84.1300000;84.1300000;70
20130503;000000;82.9900000;84.9900000;82.7400000;84.9900000;260
20130506;000000;84.9900000;86.9400000;84.9900000;85.0000000;1260
20130508;000000;85.1400000;95.9900000;85.1400000;89.0000000;950
20130513;000000;91.9900000;91.9900000;86.1900000;86.1900000;40
