<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;2.0200000;2.0780000;1.9960000;2.0700000;167932000
20130109;000000;2.0700000;2.0950000;2.0530000;2.0720000;104524000
20130110;000000;2.0800000;2.0850000;2.0400000;2.0500000;80469000
20130111;000000;2.0560000;2.0710000;2.0030000;2.0200000;116620000
20130114;000000;2.0280000;2.1280000;2.0250000;2.1210000;276790000
20130115;000000;2.1200000;2.1650000;2.0900000;2.0940000;279685000
20130116;000000;2.0930000;2.1500000;2.0840000;2.1380000;225738000
20130117;000000;2.1330000;2.1680000;2.1140000;2.1400000;204869000
20130118;000000;2.1520000;2.1650000;2.1280000;2.1320000;147947000
20130121;000000;2.1270000;2.1440000;2.1040000;2.1200000;72913000
20130122;000000;2.1280000;2.1340000;2.0620000;2.0820000;134887000
20130123;000000;2.0920000;2.1870000;2.0830000;2.1500000;307352000
20130124;000000;2.1420000;2.1680000;2.1230000;2.1420000;159096000
20130125;000000;2.1450000;2.1620000;2.1270000;2.1390000;133773000
20130128;000000;2.1410000;2.1600000;2.1240000;2.1490000;123130000
20130129;000000;2.1480000;2.2150000;2.1300000;2.1890000;293719000
20130130;000000;2.2080000;2.2130000;2.1110000;2.1430000;216402000
20130131;000000;2.1290000;2.2100000;2.1150000;2.1950000;211005000
20130201;000000;2.2040000;2.2220000;2.1760000;2.1910000;124281000
20130204;000000;2.1990000;2.2150000;2.1610000;2.1890000;95806000
20130205;000000;2.1720000;2.1820000;2.1520000;2.1700000;100113000
20130206;000000;2.1840000;2.1990000;2.1260000;2.1300000;145321000
20130207;000000;2.1370000;2.1640000;2.1220000;2.1270000;88602000
20130208;000000;2.1300000;2.1550000;2.0930000;2.1020000;238749000
20130211;000000;2.1070000;2.1230000;2.0420000;2.0500000;131994000
20130212;000000;2.0440000;2.0550000;2.0100000;2.0260000;85001000
20130213;000000;2.0440000;2.1100000;2.0290000;2.1000000;153898000
20130214;000000;2.1000000;2.1380000;2.0130000;2.0310000;272477000
20130215;000000;2.0350000;2.0370000;1.9600000;1.9720000;194006000
20130218;000000;1.9780000;2.0060000;1.9540000;1.9650000;115254000
20130219;000000;1.9670000;2.0000000;1.9560000;1.9800000;152358000
20130220;000000;1.9890000;1.9930000;1.9320000;1.9420000;130300000
20130221;000000;1.9100000;1.9170000;1.8550000;1.8600000;183399000
20130222;000000;1.8710000;1.9520000;1.8700000;1.9400000;430095000
20130225;000000;1.9400000;1.9680000;1.9100000;1.9680000;178821000
20130226;000000;1.9390000;1.9400000;1.9160000;1.9340000;121771000
20130227;000000;1.9380000;1.9500000;1.9110000;1.9180000;72752000
20130228;000000;1.9470000;1.9480000;1.8990000;1.9190000;78062000
20130301;000000;1.9000000;1.9120000;1.8770000;1.9030000;79380000
20130304;000000;1.9000000;1.9000000;1.8640000;1.8720000;72088000
20130305;000000;1.8930000;1.9300000;1.8820000;1.9240000;102453000
20130306;000000;1.9370000;1.9490000;1.9180000;1.9200000;92174000
20130307;000000;1.9270000;1.9270000;1.8970000;1.9120000;66340000
20130311;000000;1.9220000;1.9310000;1.8950000;1.8970000;106580000
20130312;000000;1.8970000;1.9150000;1.8800000;1.9120000;94463000
20130313;000000;1.9080000;1.9410000;1.8950000;1.9150000;113616000
20130314;000000;1.9150000;1.9230000;1.8640000;1.8760000;108497000
20130315;000000;1.8890000;1.8990000;1.8400000;1.8520000;148366000
20130318;000000;1.8250000;1.8260000;1.7620000;1.7740000;166174000
20130319;000000;1.7840000;1.7850000;1.7340000;1.7590000;142132000
20130320;000000;1.7570000;1.7830000;1.7450000;1.7600000;74001000
20130321;000000;1.7670000;1.7780000;1.7360000;1.7430000;97201000
20130322;000000;1.7330000;1.7370000;1.6610000;1.6610000;146039000
20130325;000000;1.6740000;1.7100000;1.6380000;1.6500000;165538000
20130326;000000;1.6510000;1.6560000;1.5620000;1.5780000;144174000
20130327;000000;1.5930000;1.6430000;1.5710000;1.6350000;172659000
20130328;000000;1.6330000;1.7090000;1.6210000;1.7000000;200350000
20130329;000000;1.7130000;1.7410000;1.7090000;1.7380000;98040000
20130401;000000;1.7310000;1.7390000;1.6770000;1.6820000;111574000
20130402;000000;1.6820000;1.7130000;1.6520000;1.6620000;193795000
20130403;000000;1.6620000;1.6640000;1.5750000;1.5940000;205721000
20130404;000000;1.5780000;1.6210000;1.5350000;1.5630000;231961000
