<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;1.2279000;1.3000000;1.2279000;1.2738000;1509000
20130109;000000;1.2580000;1.2696000;1.2240000;1.2550000;613000
20130110;000000;1.2550000;1.2700000;1.2500000;1.2635000;718000
20130111;000000;1.2601000;1.2698000;1.2401000;1.2601000;844000
20130114;000000;1.2543000;1.2810000;1.2503000;1.2682000;7752000
20130115;000000;1.2685000;1.2900000;1.2440000;1.2639000;6244000
20130116;000000;1.2638000;1.2880000;1.2541000;1.2819000;2467000
20130117;000000;1.2810000;1.2880000;1.2701000;1.2759000;1086000
20130118;000000;1.2809000;1.2843000;1.2510000;1.2738000;2597000
20130121;000000;1.2773000;1.2773000;1.2501000;1.2658000;356000
20130122;000000;1.2670000;1.2670000;1.2440000;1.2578000;844000
20130123;000000;1.2578000;1.2888000;1.2578000;1.2831000;8389000
20130124;000000;1.2780000;1.2800000;1.2610000;1.2787000;3225000
20130125;000000;1.2777000;1.2827000;1.2709000;1.2825000;2643000
20130128;000000;1.2670000;1.2750000;1.2608000;1.2700000;2631000
20130129;000000;1.2700000;1.2900000;1.2656000;1.2724000;7627000
20130130;000000;1.2819000;1.2865000;1.2526000;1.2659000;3992000
20130131;000000;1.2558000;1.2692000;1.2514000;1.2692000;1306000
20130201;000000;1.2734000;1.2790000;1.2593000;1.2650000;2353000
20130204;000000;1.2611000;1.2688000;1.2551000;1.2600000;1987000
20130205;000000;1.2560000;1.2672000;1.2560000;1.2670000;780000
20130206;000000;1.2655000;1.2680000;1.2594000;1.2639000;744000
20130207;000000;1.2580000;1.2700000;1.2526000;1.2685000;469000
20130208;000000;1.2606000;1.2699000;1.2606000;1.2679000;312000
20130211;000000;1.2622000;1.2650000;1.2595000;1.2620000;407000
20130212;000000;1.2573000;1.2573000;1.2455000;1.2560000;724000
20130213;000000;1.2502000;1.2645000;1.2501000;1.2624000;864000
20130214;000000;1.2619000;1.2719000;1.2566000;1.2576000;445000
20130215;000000;1.2536000;1.2543000;1.2457000;1.2463000;419000
20130218;000000;1.2580000;1.2580000;1.2451000;1.2525000;272000
20130219;000000;1.2454000;1.2578000;1.2454000;1.2574000;57000
20130220;000000;1.2506000;1.2559000;1.2450000;1.2492000;428000
20130221;000000;1.2300000;1.2319000;1.2018000;1.2077000;2269000
20130222;000000;1.2199000;1.2249000;1.2023000;1.2140000;1312000
20130225;000000;1.2248000;1.2248000;1.1924000;1.1992000;2138000
20130226;000000;1.1800000;1.1987000;1.1800000;1.1933000;423000
20130227;000000;1.2000000;1.2070000;1.1718000;1.1800000;446000
20130228;000000;1.1880000;1.1994000;1.1620000;1.1779000;2044000
20130301;000000;1.1778000;1.1778000;1.1607000;1.1673000;954000
20130304;000000;1.1750000;1.1844000;1.1650000;1.1697000;1075000
20130305;000000;1.1702000;1.1986000;1.1700000;1.1736000;2236000
20130306;000000;1.1786000;1.1928000;1.1620000;1.1759000;1896000
20130307;000000;1.1820000;1.1843000;1.1630000;1.1729000;640000
20130311;000000;1.1843000;1.1894000;1.1650000;1.1733000;814000
20130312;000000;1.1768000;1.1768000;1.1661000;1.1690000;1392000
20130313;000000;1.1720000;1.1740000;1.1604000;1.1708000;676000
20130314;000000;1.1675000;1.1714000;1.1550000;1.1630000;1630000
20130315;000000;1.1737000;1.1737000;1.1556000;1.1590000;1828000
20130318;000000;1.1501000;1.1501000;1.1203000;1.1320000;2297000
20130319;000000;1.1278000;1.1375000;1.1224000;1.1296000;671000
20130320;000000;1.1213000;1.1348000;1.1213000;1.1330000;395000
20130321;000000;1.1330000;1.1547000;1.1300000;1.1300000;343000
20130322;000000;1.1300000;1.1300000;1.1100000;1.1150000;874000
20130325;000000;1.1230000;1.1300000;1.0902000;1.0999000;2010000
20130326;000000;1.1100000;1.1100000;1.0490000;1.0530000;4239000
20130327;000000;1.0656000;1.0749000;1.0398000;1.0745000;3012000
20130328;000000;1.0752000;1.0940000;1.0650000;1.0782000;933000
20130329;000000;1.0790000;1.0935000;1.0685000;1.0750000;408000
20130401;000000;1.0734000;1.0860000;1.0552000;1.0753000;639000
20130402;000000;1.0521000;1.0754000;1.0521000;1.0752000;275000
20130403;000000;1.0602000;1.0740000;1.0361000;1.0646000;1940000
20130404;000000;1.0372000;1.0644000;1.0372000;1.0499000;3385000
20130405;000000;1.0356000;1.0450000;1.0276000;1.0419000;1683000
20130408;000000;1.0459000;1.0665000;1.0189000;1.0259000;1438000
20130409;000000;1.0345000;1.0345000;0.9700000;1.0000000;3569000
20130410;000000;0.9802000;0.9928000;0.9700000;0.9887000;2030000
20130411;000000;0.9904000;0.9905000;0.9501000;0.9739000;1779000
20130412;000000;0.9601000;0.9601000;0.8900000;0.9063000;6103000
20130415;000000;0.8852000;0.8900000;0.8205000;0.8300000;9782000
20130416;000000;0.8473000;0.8501000;0.8300000;0.8433000;1627000
20130417;000000;0.8470000;0.8470000;0.7865000;0.8234000;1076000
20130418;000000;0.8010000;0.8449000;0.7505000;0.8200000;1501000
20130419;000000;0.8439000;0.8440000;0.7626000;0.7800000;3745000
20130422;000000;0.7810000;0.7810000;0.7638000;0.7750000;2562000
20130423;000000;0.7701000;0.8175000;0.7616000;0.7800000;1750000
20130424;000000;0.7860000;0.8797000;0.7860000;0.8599000;25843000
20130425;000000;0.8849000;0.9450000;0.8800000;0.9090000;19407000
20130426;000000;0.9010000;0.9500000;0.9010000;0.9372000;5432000
20130429;000000;0.9775000;0.9775000;0.9399000;0.9599000;2541000
20130430;000000;0.9680000;0.9895000;0.9405000;0.9710000;9263000
20130502;000000;0.9897000;1.0377000;0.9641000;1.0003000;8174000
20130503;000000;1.0299000;1.0299000;0.9734000;1.0012000;7320000
20130506;000000;1.0300000;1.0370000;0.9890000;0.9999000;2303000
20130507;000000;0.9948000;1.0043000;0.9900000;1.0000000;1286000
20130508;000000;1.0000000;1.0150000;0.9800000;0.9920000;1394000
20130510;000000;1.0099000;1.0099000;0.9760000;0.9930000;2926000
20130513;000000;0.9929000;1.0000000;0.9800000;0.9944000;1249000
20130514;000000;0.9821000;1.0390000;0.9821000;1.0000000;7966000
20130515;000000;1.0100000;1.3000000;0.9905000;1.0000000;9276000
20130516;000000;0.9999000;1.0000000;0.9401000;0.9500000;7319000
20130517;000000;0.9500000;0.9800000;0.9491000;0.9654000;6468000
20130520;000000;0.9878000;0.9878000;0.9675000;0.9799000;2644000
20130521;000000;0.9889000;1.0150000;0.9750000;1.0050000;7414000
20130522;000000;1.0181000;1.0267000;0.9987000;1.0239000;8783000
20130523;000000;1.0001000;1.0444000;0.9898000;1.0180000;7966000
20130524;000000;0.9750000;0.9750000;0.9250000;0.9599000;9397000
20130527;000000;0.9620000;0.9659000;0.9257000;0.9470000;809000
20130528;000000;0.9508000;0.9540000;0.9161000;0.9449000;2660000
20130529;000000;0.9430000;0.9430000;0.9101000;0.9170000;2840000
