<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;122.6000000;125.8000000;122.6000000;125.6000000;3745930
20130109;000000;125.5000000;126.2000000;125.0300000;125.9000000;3127840
20130110;000000;126.4900000;126.4900000;123.6400000;124.0000000;4046850
20130111;000000;124.1800000;124.2500000;122.7100000;123.1700000;2091540
20130114;000000;123.4000000;125.1700000;123.1200000;124.0500000;1707540
20130115;000000;124.0500000;124.2600000;121.6700000;121.6700000;2982800
20130116;000000;121.6000000;122.4900000;120.4900000;120.6700000;3238080
20130117;000000;120.4000000;123.0000000;120.3500000;122.6400000;3843930
20130118;000000;123.2000000;125.2100000;123.0000000;125.0000000;3633700
20130121;000000;125.0900000;125.6600000;124.5600000;125.2000000;1730990
20130122;000000;125.1900000;125.2000000;123.1000000;123.1900000;2502530
20130123;000000;123.4000000;125.3900000;123.2700000;124.4400000;2250820
20130124;000000;124.4400000;124.4700000;122.4800000;123.0000000;2483310
20130125;000000;123.0000000;123.4900000;122.0100000;123.3900000;1802690
20130128;000000;123.5000000;124.5000000;123.2200000;124.1600000;2037210
20130129;000000;124.3100000;125.9000000;123.8100000;124.3000000;3236350
20130130;000000;124.7300000;125.0400000;121.7700000;122.3000000;1876740
20130131;000000;122.1800000;122.9600000;120.7500000;120.9900000;2702870
20130201;000000;121.4700000;123.0000000;120.8000000;122.5600000;2341610
20130204;000000;123.3000000;124.8100000;121.5000000;121.9600000;2472560
20130205;000000;121.3900000;121.7700000;119.5500000;121.5000000;3783060
20130206;000000;122.5000000;123.1100000;120.2000000;120.9500000;2037820
20130207;000000;120.9500000;121.3100000;119.4900000;120.5200000;1774590
20130208;000000;120.5000000;120.8900000;114.2500000;120.3900000;5498340
20130211;000000;120.5000000;121.4000000;119.2300000;119.9000000;1111010
20130212;000000;120.2400000;120.2400000;118.8000000;119.0100000;1267690
20130213;000000;119.2000000;120.8200000;118.0000000;120.7400000;3477300
20130214;000000;120.6900000;121.2600000;118.5100000;119.1200000;2076770
20130215;000000;118.8700000;120.0000000;117.7100000;117.9000000;1555690
20130218;000000;117.8100000;119.8800000;117.5000000;118.9400000;1083970
20130219;000000;118.9400000;120.1000000;118.8800000;119.3100000;1226670
20130220;000000;120.5000000;123.8700000;120.5000000;121.5700000;8890050
20130221;000000;120.8700000;123.2000000;119.5500000;120.1500000;6586490
20130222;000000;120.4100000;120.6500000;119.1700000;119.3500000;3974690
20130225;000000;119.8500000;120.1900000;118.8700000;119.0600000;1123910
20130226;000000;118.1500000;119.9200000;116.8100000;117.4600000;2678820
20130227;000000;117.7100000;118.0000000;115.9500000;117.3700000;1624320
20130228;000000;118.0200000;124.5500000;117.4600000;122.7200000;13702100
20130301;000000;124.1000000;125.5500000;123.3100000;124.7100000;10620180
20130304;000000;124.7500000;126.2500000;123.0600000;123.5800000;4158330
20130305;000000;124.5000000;124.8900000;123.0000000;123.3900000;3921010
20130306;000000;123.9900000;124.0900000;121.6600000;121.7300000;2398370
20130307;000000;121.9800000;122.4000000;120.3500000;121.0000000;2034570
20130311;000000;121.3000000;123.5700000;121.2300000;122.4000000;3271440
20130312;000000;122.4200000;123.4400000;120.9000000;122.0000000;2460200
20130313;000000;121.7500000;121.8700000;119.6100000;119.6100000;2897790
20130314;000000;119.7300000;120.9900000;119.1000000;119.9500000;2618440
20130315;000000;120.2500000;121.5000000;118.1100000;118.3500000;5053440
20130318;000000;116.9700000;118.4000000;114.0000000;115.0100000;4254620
20130319;000000;115.2900000;116.1000000;114.5800000;115.0400000;2305870
20130320;000000;114.0000000;117.5000000;113.4000000;117.3600000;8535590
20130321;000000;120.1400000;122.4500000;119.5000000;121.3500000;9189670
20130322;000000;121.3500000;122.9900000;119.5500000;120.2500000;6561190
20130325;000000;121.0100000;122.7900000;121.0000000;121.0000000;3759980
20130326;000000;121.1300000;121.8800000;120.0600000;120.9900000;2801250
20130327;000000;121.2100000;123.6700000;121.0900000;123.0600000;6029320
20130328;000000;124.0000000;125.5000000;122.0000000;122.5300000;3862500
20130329;000000;122.8300000;123.4100000;121.2600000;122.0500000;1839990
20130401;000000;122.1100000;122.7400000;120.8600000;121.2000000;896410
20130402;000000;121.1100000;121.8600000;119.2300000;120.5900000;2298190
20130403;000000;120.5900000;121.3200000;119.0300000;120.4300000;2832630
20130404;000000;120.1800000;120.1800000;118.5000000;119.4900000;2896470
20130405;000000;119.4900000;119.7400000;117.6700000;118.4000000;2173990
20130408;000000;118.4000000;119.5000000;115.1000000;115.6500000;2600560
20130409;000000;116.3500000;117.0900000;114.5600000;116.9700000;2805020
20130410;000000;117.0000000;117.7900000;115.4000000;116.2000000;1857850
20130411;000000;116.2000000;117.0000000;114.9000000;115.1100000;2355440
20130412;000000;115.0100000;116.4900000;113.9000000;115.8400000;1887830
20130415;000000;114.7300000;117.3500000;112.7700000;113.2000000;3628550
20130416;000000;113.5200000;114.6100000;107.3400000;107.6500000;4491970
20130417;000000;108.0100000;108.4100000;103.5500000;105.5800000;4553010
20130418;000000;104.9000000;106.8800000;104.0400000;104.5600000;1755520
20130419;000000;105.1100000;106.3200000;104.4000000;106.2000000;2559120
20130422;000000;106.3400000;120.0000000;105.5000000;119.0000000;9751840
20130423;000000;114.1100000;114.9800000;110.5000000;111.0000000;6683840
20130424;000000;111.6600000;112.7000000;108.6200000;111.1200000;3818990
20130425;000000;112.0000000;112.0000000;109.8000000;111.7200000;4576480
20130426;000000;111.7700000;118.7700000;109.4800000;118.7700000;9753830
20130429;000000;115.8400000;117.6900000;113.7400000;116.6000000;4622250
20130430;000000;115.2000000;118.8000000;114.1700000;116.6600000;3412750
20130502;000000;114.7700000;116.0000000;112.6400000;113.6000000;1442870
20130503;000000;114.1300000;116.8500000;114.0100000;116.8500000;1659230
20130506;000000;116.8600000;117.3300000;115.5000000;115.5000000;1516090
20130507;000000;115.7000000;117.5000000;115.1300000;117.5000000;3228550
20130508;000000;117.5900000;117.8700000;115.8100000;117.5000000;2286880
20130510;000000;117.5000000;119.7500000;115.2500000;116.1100000;2108690
20130513;000000;116.1200000;116.5400000;114.5800000;114.6000000;3065820
20130514;000000;114.7100000;116.5000000;113.7600000;114.4300000;3225520
20130515;000000;114.8600000;116.3400000;113.1300000;116.3400000;5473650
20130516;000000;115.1100000;116.0000000;112.5500000;112.7200000;3193450
20130517;000000;112.7200000;114.2500000;112.6500000;113.9700000;1539860
20130520;000000;113.9700000;114.9700000;112.5600000;113.9000000;1492200
20130521;000000;114.0700000;114.3000000;111.7000000;112.9900000;3254170
20130522;000000;113.0300000;114.1500000;112.8000000;113.8000000;3201420
20130523;000000;113.2600000;113.2600000;107.7100000;108.7100000;5457530
20130524;000000;109.8200000;110.3000000;103.8300000;106.5000000;4204790
20130527;000000;106.5100000;106.8100000;104.5400000;106.7100000;1275420
20130528;000000;106.7100000;108.3300000;106.0100000;106.9000000;2857950
20130529;000000;107.0300000;107.6100000;103.0000000;103.5200000;4791640
20130530;000000;103.9600000;104.1000000;102.0100000;102.6700000;3195980
20130531;000000;102.7700000;103.8500000;100.3500000;101.0000000;5611350
20130603;000000;100.2700000;100.2700000;97.7700000;98.0200000;5433870
20130604;000000;98.6000000;103.0000000;98.5100000;100.0100000;6064040
20130605;000000;99.5100000;100.6900000;98.0200000;100.1000000;4852780
20130606;000000;99.2700000;99.4200000;96.0400000;97.7900000;4254150
20130607;000000;98.0800000;98.9700000;97.2400000;98.5000000;2369020
20130610;000000;98.6000000;101.3300000;98.1500000;99.1500000;3688550
20130611;000000;98.7600000;99.4800000;93.0600000;95.4000000;5580720
20130613;000000;94.2000000;94.3800000;87.4000000;93.5000000;10309020
20130614;000000;94.1000000;94.8700000;90.0000000;92.2700000;4695250
20130617;000000;92.3000000;96.5000000;92.1000000;96.5000000;10258240
20130618;000000;95.4500000;99.5000000;95.2500000;97.1500000;3751380
20130619;000000;97.0600000;105.2100000;96.2100000;96.8400000;3993580
20130620;000000;94.8200000;95.1900000;91.1000000;92.9400000;3726000
20130621;000000;91.8000000;92.9700000;88.1100000;91.9800000;11810900
20130624;000000;90.9400000;90.9400000;88.8300000;88.9500000;3275530
20130625;000000;88.7000000;91.2900000;88.5100000;88.8000000;3801020
20130626;000000;89.2000000;90.8300000;87.7500000;88.2500000;5782060
20130627;000000;88.5700000;89.0000000;86.5400000;86.8000000;3109880
20130628;000000;87.0200000;88.6000000;86.8300000;88.1700000;3244260
20130701;000000;88.6900000;90.3400000;87.5300000;89.6600000;2718040
20130702;000000;90.0200000;94.7800000;89.3900000;94.0100000;6764250
20130703;000000;93.7600000;103.5000000;93.6000000;99.5100000;18500930
20130704;000000;100.1000000;104.4800000;99.7600000;104.4500000;11077930
20130705;000000;104.8000000;105.8700000;103.5500000;103.7700000;6571250
20130708;000000;104.0000000;104.0000000;101.8500000;102.0800000;3201340
20130709;000000;102.4800000;104.7400000;102.4800000;103.3900000;2848190
20130710;000000;103.5100000;104.0000000;101.4100000;101.6000000;3673200
20130711;000000;102.2000000;103.7300000;102.0600000;103.2000000;2968390
20130712;000000;103.0000000;108.7700000;102.7700000;108.5000000;8027470
20130715;000000;108.8500000;110.5800000;108.1100000;108.8100000;5379370
20130716;000000;109.0600000;113.7000000;108.3000000;113.2300000;9156660
20130717;000000;113.1000000;115.4000000;112.5800000;115.2000000;7340670
20130718;000000;115.2200000;117.4100000;114.2500000;115.7100000;4899680
20130719;000000;115.7500000;116.2500000;114.0100000;115.5300000;2665510
20130722;000000;115.5300000;116.2000000;114.6000000;115.3200000;1949640
20130723;000000;115.6000000;117.9800000;115.5900000;117.0800000;4500860
20130724;000000;117.3500000;118.0400000;116.6700000;118.0400000;3924400
20130725;000000;118.0000000;118.7300000;115.8500000;117.0000000;3324560
20130726;000000;116.9000000;117.5400000;116.0100000;116.1000000;1748020
20130729;000000;116.0000000;117.7800000;114.7800000;116.1200000;3427800
20130730;000000;116.1000000;117.9400000;114.9800000;115.6200000;2502600
20130731;000000;115.6000000;116.0000000;110.7200000;110.7200000;4116870
20130801;000000;112.0200000;115.8600000;111.3400000;114.6300000;4527650
20130802;000000;115.4000000;116.4900000;111.5000000;113.1000000;3120020
20130805;000000;113.4400000;114.0500000;112.2000000;113.5800000;1761790
20130806;000000;113.5800000;114.4000000;110.7800000;112.0900000;7451520
20130807;000000;111.0900000;112.0900000;108.8300000;111.8500000;2897470
20130808;000000;111.8500000;112.8600000;110.5000000;111.5000000;1587520
20130809;000000;112.3200000;113.5000000;111.0000000;113.2000000;1332470
20130812;000000;113.2000000;114.3000000;112.6700000;113.4200000;862970
20130813;000000;115.9700000;115.9700000;113.2500000;115.2300000;1423290
20130814;000000;115.5100000;116.2500000;115.0800000;115.3300000;1672540
20130815;000000;115.0200000;115.4900000;111.5000000;111.6000000;2314260
20130816;000000;111.6000000;118.4700000;109.5500000;111.4900000;8236020
20130819;000000;111.5900000;113.5800000;109.7000000;113.1600000;3385540
20130820;000000;112.4700000;115.0000000;111.2200000;114.3700000;2309470
20130821;000000;114.9400000;115.9600000;113.7200000;115.9500000;3041330
20130822;000000;115.5000000;116.6100000;114.6600000;115.8000000;2423100
20130823;000000;116.0000000;116.3000000;114.1200000;114.7700000;1577360
20130826;000000;115.0000000;115.8800000;112.8000000;112.9000000;1692700
20130827;000000;112.9000000;112.9000000;109.5600000;111.8100000;3770500
20130828;000000;110.6900000;111.4800000;107.6300000;108.6500000;3763580
20130829;000000;108.1100000;110.1000000;107.5900000;107.8300000;2398830
20130830;000000;107.8700000;108.0400000;100.5100000;100.5100000;5627890
20130902;000000;101.9500000;103.2800000;97.5000000;99.0200000;4945460
20130903;000000;99.6000000;102.8600000;99.0700000;102.0900000;5449330
20130904;000000;102.4900000;103.9000000;99.1500000;101.2000000;4297640
20130905;000000;101.5000000;103.3000000;100.0500000;103.0000000;5065960
20130906;000000;102.9900000;104.9000000;100.3100000;100.7900000;5487060
20130909;000000;101.0100000;104.9000000;100.7800000;104.4400000;7333730
20130910;000000;105.0000000;109.6000000;104.9200000;107.2200000;7552860
20130911;000000;107.6600000;109.2500000;106.8000000;108.0800000;4806730
20130912;000000;108.6000000;110.9000000;104.4900000;105.0000000;9440770
20130913;000000;104.4700000;106.9000000;104.0300000;104.8400000;4884100
20130916;000000;105.5000000;107.4300000;105.4100000;107.2600000;4443680
20130917;000000;106.5200000;107.8900000;106.2100000;107.4700000;2042200
20130918;000000;107.1200000;107.6000000;105.5900000;106.5000000;2601530
20130919;000000;108.2700000;108.9000000;103.3100000;105.0000000;6922390
20130920;000000;104.6400000;105.8300000;101.4000000;101.6000000;7149910
20130923;000000;101.8500000;102.9500000;101.0100000;101.6000000;3961030
20130924;000000;101.7600000;102.5000000;101.1200000;102.2000000;3048640
20130925;000000;102.1900000;103.4400000;101.9400000;102.5800000;3911000
20130926;000000;102.9800000;104.3000000;102.7700000;103.8000000;4653970
20130927;000000;103.9100000;104.2800000;103.0100000;103.5000000;2424100
20130930;000000;103.0400000;104.3200000;101.2000000;101.6100000;3058390
