<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.3869800;0.3879900;0.3869800;0.3879900;90000
20130109;000000;0.3829900;0.3829900;0.3800100;0.3819900;150000
20130110;000000;0.3829900;0.3909800;0.3829900;0.3879900;820000
20130111;000000;0.3879800;0.3909900;0.3879800;0.3909900;130000
20130114;000000;0.3919900;0.3920000;0.3880000;0.3919800;110000
20130115;000000;0.3900000;0.4000000;0.3891000;0.4000000;590000
20130116;000000;0.4000000;0.4080100;0.4000000;0.4080100;150000
20130117;000000;0.3990000;0.3990000;0.3960000;0.3990000;60000
20130118;000000;0.3999900;0.4099800;0.3999900;0.4099800;390000
20130121;000000;0.4050000;0.4110000;0.3970000;0.4040000;680000
20130122;000000;0.3880100;0.3999900;0.3799900;0.3999900;540000
20130123;000000;0.3970000;0.3970000;0.3860100;0.3900000;60000
20130124;000000;0.3850000;0.3999800;0.3800000;0.3980000;1110000
20130125;000000;0.3946000;0.3946000;0.3946000;0.3946000;10000
20130128;000000;0.3946000;0.3999700;0.3900100;0.3957100;350000
20130129;000000;0.3950000;0.3950100;0.3940000;0.3940000;440000
20130130;000000;0.3949900;0.3949900;0.3900000;0.3949200;100000
20130131;000000;0.3820000;0.3949900;0.3820000;0.3900000;400000
20130201;000000;0.3900000;0.3900000;0.3900000;0.3900000;10000
20130204;000000;0.3939600;0.3999900;0.3939600;0.3999900;350000
20130205;000000;0.4010000;0.4010000;0.3948200;0.3999900;310000
20130206;000000;0.3999900;0.4049800;0.3999900;0.4000000;480000
20130207;000000;0.4024900;0.4029900;0.4024900;0.4029900;720000
20130208;000000;0.4020000;0.4150000;0.4020000;0.4100000;690000
20130211;000000;0.4129900;0.4159800;0.4100000;0.4100100;130000
20130212;000000;0.4120000;0.4139900;0.4120000;0.4139900;40000
20130213;000000;0.4139900;0.4179900;0.4110000;0.4115000;200000
20130214;000000;0.4169800;0.4169800;0.4090000;0.4100000;680000
20130215;000000;0.4020100;0.4044000;0.4000000;0.4000000;220000
20130218;000000;0.4089700;0.4089700;0.3900000;0.3900000;30000
20130219;000000;0.3876300;0.3876300;0.3789900;0.3790000;2210000
20130220;000000;0.3800100;0.3854200;0.3790300;0.3854200;110000
20130221;000000;0.3730100;0.3730100;0.3730000;0.3730000;70000
20130222;000000;0.3750100;0.3810900;0.3750000;0.3810900;70000
20130225;000000;0.3899600;0.3899600;0.3800000;0.3800000;110000
20130226;000000;0.3755000;0.3755000;0.3730000;0.3730000;130000
20130228;000000;0.3721000;0.3721000;0.3700000;0.3700000;230000
20130301;000000;0.3600900;0.3779300;0.3560200;0.3779200;430000
20130304;000000;0.3600100;0.3649900;0.3580000;0.3649900;400000
20130305;000000;0.3650000;0.3699600;0.3650000;0.3699600;400000
20130306;000000;0.3699900;0.3720000;0.3670300;0.3670300;320000
20130307;000000;0.3800000;0.3800000;0.3710800;0.3789500;620000
20130311;000000;0.3700000;0.3700000;0.3700000;0.3700000;10000
20130313;000000;0.3720000;0.3729800;0.3690100;0.3729200;80000
20130314;000000;0.3700000;0.3700000;0.3700000;0.3700000;20000
20130315;000000;0.3700000;0.3700000;0.3680000;0.3680000;20000
20130318;000000;0.3600000;0.3600000;0.3300000;0.3489900;5190000
20130319;000000;0.3489900;0.3550000;0.3400000;0.3455500;2520000
20130320;000000;0.3455500;0.3549900;0.3455500;0.3490000;150000
20130321;000000;0.3461000;0.3549600;0.3460000;0.3549600;850000
20130322;000000;0.3410100;0.3549600;0.3400000;0.3549600;380000
20130325;000000;0.3509800;0.3509800;0.3400200;0.3400200;140000
20130326;000000;0.3479800;0.3479800;0.3220000;0.3220000;650000
20130327;000000;0.3299900;0.3299900;0.3000000;0.3120000;1490000
20130328;000000;0.3299700;0.3396200;0.3150000;0.3396200;8190000
20130329;000000;0.3396200;0.3396200;0.3288300;0.3395700;280000
20130401;000000;0.3300000;0.3396000;0.3200200;0.3348900;430000
20130402;000000;0.3235500;0.3389800;0.3235000;0.3389800;1190000
20130403;000000;0.3280000;0.3320100;0.3280000;0.3300000;400000
20130404;000000;0.3369700;0.3369800;0.3200000;0.3368700;150000
20130405;000000;0.3368800;0.3368800;0.3368800;0.3368800;40000
20130408;000000;0.3299900;0.3299900;0.3299900;0.3299900;10000
20130409;000000;0.3130400;0.3399300;0.3130400;0.3399300;30000
20130410;000000;0.3399000;0.3399900;0.3399000;0.3399000;520000
