<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;196.8100000;196.8100000;191.8100000;193.1900000;91120
20130109;000000;193.8000000;195.4100000;193.3000000;194.0000000;39530
20130110;000000;195.9300000;198.9700000;195.9300000;197.5500000;98380
20130111;000000;194.8100000;196.5000000;194.8100000;196.3800000;38290
20130114;000000;196.0200000;197.6000000;195.0000000;196.4800000;45520
20130115;000000;196.0100000;196.2000000;192.4700000;192.4700000;92860
20130116;000000;191.5700000;192.9000000;190.1800000;191.0000000;169000
20130117;000000;191.0300000;192.8000000;191.0300000;191.7300000;77220
20130118;000000;192.3700000;193.2800000;191.5800000;192.7900000;61350
20130121;000000;193.2800000;194.4000000;193.0000000;193.8000000;168580
20130122;000000;192.8100000;193.8000000;190.5800000;192.4900000;36540
20130123;000000;191.0000000;193.5600000;191.0000000;192.1900000;48170
20130124;000000;191.0500000;191.0500000;187.0100000;188.6200000;83470
20130125;000000;187.0400000;187.0400000;182.0700000;185.1000000;81000
20130128;000000;185.9800000;186.7500000;183.8800000;185.4800000;68780
20130129;000000;185.8000000;186.9500000;182.4400000;183.9900000;67640
20130130;000000;183.0400000;184.0000000;180.2400000;181.4400000;49530
20130131;000000;180.3600000;182.0300000;176.5100000;178.6500000;191250
20130201;000000;179.0000000;179.8000000;175.6600000;176.7800000;93520
20130204;000000;176.0000000;177.6200000;175.5200000;176.6000000;30720
20130205;000000;176.0600000;177.3300000;175.5200000;176.3000000;42020
20130206;000000;175.5300000;178.6600000;172.8800000;174.1200000;158390
20130207;000000;174.1800000;177.4500000;173.8000000;175.7000000;63440
20130208;000000;176.6000000;177.4400000;174.6700000;175.4100000;74850
20130211;000000;177.1600000;177.3200000;175.4400000;177.1100000;27290
20130212;000000;176.5500000;176.6200000;173.4800000;174.3800000;42370
20130213;000000;174.3800000;178.1000000;173.6700000;177.7700000;76760
20130214;000000;179.0000000;181.3500000;177.9600000;178.0000000;93430
20130215;000000;178.4900000;183.3600000;178.4900000;179.6600000;66580
20130218;000000;180.0000000;183.2500000;180.0000000;181.5000000;20420
20130219;000000;181.5000000;183.1400000;180.6600000;182.0100000;15170
20130220;000000;181.0700000;181.0700000;179.6000000;180.0000000;32390
20130221;000000;177.0100000;177.0100000;173.8500000;173.8500000;164120
20130222;000000;174.5000000;175.3200000;173.8500000;174.9900000;28960
20130225;000000;174.9900000;176.1000000;174.5100000;176.1000000;12160
20130226;000000;175.0000000;176.0400000;170.3500000;171.5500000;136120
20130227;000000;170.2700000;171.4700000;169.5400000;170.5800000;159960
20130228;000000;171.0000000;173.7100000;169.4800000;170.0000000;147670
20130301;000000;170.9500000;170.9500000;169.1500000;170.4000000;70970
20130304;000000;168.7500000;168.7500000;164.2500000;164.6800000;93080
20130305;000000;146.7500000;167.6700000;146.7500000;165.9800000;78280
20130306;000000;167.3000000;167.4100000;161.7700000;162.5900000;67540
20130307;000000;163.2000000;163.9700000;159.6300000;160.2500000;90660
20130311;000000;163.7300000;165.6000000;162.7400000;165.6000000;73150
20130312;000000;166.9000000;166.9000000;162.3500000;165.4200000;41370
20130313;000000;164.0000000;169.3800000;163.1700000;167.4900000;61110
20130314;000000;164.0000000;167.0000000;161.5200000;166.8900000;70470
20130315;000000;166.5100000;166.5300000;161.4400000;161.6900000;51870
20130318;000000;159.9900000;160.6500000;154.7500000;159.0500000;51330
20130319;000000;159.6300000;160.5300000;159.0000000;159.1600000;21100
20130320;000000;155.4700000;157.9900000;155.1000000;157.9800000;72800
20130321;000000;159.9000000;161.8000000;157.9500000;160.9400000;48500
20130322;000000;159.4300000;162.1600000;155.6000000;156.5000000;63910
20130325;000000;158.8400000;160.4000000;153.0600000;153.5800000;77190
20130326;000000;155.5700000;157.4800000;153.8200000;153.8200000;170220
20130327;000000;156.8500000;157.9300000;153.0100000;153.6000000;76500
20130328;000000;153.3200000;153.7200000;148.8000000;150.5000000;78070
20130329;000000;150.5000000;150.5000000;147.1500000;149.8600000;30730
20130401;000000;148.1300000;148.1300000;146.0100000;146.0100000;39080
20130402;000000;146.8500000;159.7100000;146.8500000;151.0400000;197300
20130403;000000;153.0000000;158.6000000;153.0000000;157.8500000;162880
20130404;000000;157.0100000;160.9300000;157.0000000;158.7000000;63580
20130405;000000;157.0100000;164.4900000;157.0000000;160.9900000;100020
20130408;000000;162.5900000;165.1900000;161.6200000;162.2000000;47070
20130409;000000;162.7300000;163.5900000;161.3300000;162.3700000;26320
20130410;000000;165.1600000;171.3300000;165.0100000;169.5200000;96920
20130411;000000;169.8800000;169.8800000;165.0000000;168.3600000;45570
20130412;000000;163.5300000;164.7000000;157.0000000;157.0000000;58150
20130415;000000;160.0000000;164.4500000;154.5900000;157.2900000;119840
20130416;000000;162.9900000;169.4000000;162.9900000;166.2600000;109170
20130417;000000;165.1900000;165.1900000;162.9000000;163.5000000;42940
20130418;000000;164.7600000;164.7600000;161.6700000;163.3000000;101180
20130419;000000;161.8200000;162.5700000;158.5400000;159.0100000;21300
20130422;000000;161.2400000;162.5400000;157.0000000;158.5400000;63520
20130423;000000;161.4900000;161.4900000;158.8800000;160.0000000;10520
20130424;000000;162.7500000;164.2200000;157.7900000;158.9100000;28600
20130425;000000;159.6100000;164.5600000;157.0000000;157.9000000;164040
20130426;000000;156.9300000;157.4700000;152.8900000;155.9900000;36260
20130429;000000;154.4100000;155.0200000;150.5200000;154.1500000;6090
20130430;000000;152.0000000;155.4300000;150.5000000;152.7000000;23520
20130502;000000;151.9800000;154.6600000;150.0000000;150.9900000;26080
20130503;000000;154.0100000;156.5000000;153.2700000;156.2600000;34470
20130506;000000;152.7100000;158.5700000;152.7100000;157.1100000;18760
20130507;000000;158.8600000;159.7500000;157.1100000;159.7500000;42290
20130508;000000;159.7800000;160.2600000;156.5000000;159.5600000;35740
20130510;000000;156.4700000;158.2600000;154.7900000;154.8000000;41670
20130513;000000;157.0400000;159.1900000;155.1500000;156.3000000;47850
20130514;000000;155.7400000;156.8000000;152.5100000;153.5000000;55550
20130515;000000;155.6100000;156.6700000;153.0100000;153.6500000;21660
20130516;000000;153.0400000;156.2100000;152.6200000;153.3100000;15490
20130517;000000;156.5200000;156.5200000;152.6600000;155.0000000;13930
20130520;000000;156.7300000;156.7300000;153.0000000;153.5600000;34600
20130521;000000;154.5900000;155.0000000;154.0000000;154.6200000;25520
20130522;000000;153.8000000;154.9900000;151.2500000;154.9900000;58080
20130523;000000;152.0800000;152.9900000;146.5000000;146.6300000;67920
20130524;000000;148.6900000;149.6200000;148.0700000;148.1800000;33300
20130527;000000;148.4400000;150.9600000;147.5000000;147.5100000;9590
20130528;000000;147.9800000;150.3700000;147.9300000;149.0700000;23080
20130529;000000;150.0000000;150.0000000;147.0300000;147.7700000;21950
20130530;000000;146.5100000;146.6000000;143.5500000;144.6300000;48030
20130531;000000;149.5100000;149.7100000;145.1300000;145.1300000;31460
20130603;000000;148.3300000;148.8400000;144.8400000;144.8400000;41850
20130604;000000;145.2800000;145.3000000;141.5100000;142.7900000;45410
20130605;000000;141.7500000;141.7500000;130.6900000;136.7600000;28870
20130606;000000;137.3000000;138.9900000;134.0200000;134.0200000;49970
20130607;000000;139.7900000;140.2300000;138.1900000;138.6000000;31380
20130610;000000;139.9000000;139.9000000;135.5100000;135.5700000;21270
20130611;000000;134.2600000;140.0100000;131.5000000;134.6000000;76200
20130613;000000;130.9600000;135.7700000;130.8500000;132.0000000;21880
20130614;000000;133.0100000;135.8100000;132.5000000;135.0000000;26250
20130617;000000;140.9800000;146.9900000;134.5200000;142.1600000;293280
20130618;000000;142.0000000;149.0000000;137.1700000;139.4000000;41000
20130619;000000;138.6500000;138.6500000;132.7900000;136.5400000;37620
20130620;000000;133.8500000;133.8500000;127.4000000;127.5300000;65400
20130621;000000;127.6000000;129.4200000;125.7800000;125.7800000;61410
20130624;000000;127.1500000;127.1500000;124.0800000;124.9200000;65190
20130625;000000;124.2500000;124.2500000;121.5100000;123.6700000;595390
20130626;000000;122.3500000;124.2400000;120.0200000;122.7100000;83590
20130627;000000;123.4200000;128.1000000;123.3600000;126.3600000;66060
20130628;000000;126.8000000;128.7500000;121.1800000;122.7800000;392800
20130701;000000;122.7700000;125.5000000;121.0000000;122.3000000;38410
20130702;000000;124.6600000;126.8000000;124.4200000;126.4700000;39840
20130703;000000;127.6300000;139.0000000;124.0800000;133.2000000;113500
20130704;000000;127.9200000;130.7000000;127.1100000;130.1400000;41000
20130705;000000;130.7400000;134.4000000;128.8500000;129.1000000;52750
20130708;000000;132.3700000;133.6600000;130.4100000;133.3700000;42280
20130709;000000;133.0100000;133.0600000;129.2000000;130.7400000;20600
20130710;000000;129.0100000;129.0100000;126.4200000;127.2100000;47250
20130711;000000;126.5100000;128.0000000;125.5100000;125.6000000;55250
20130712;000000;125.1000000;127.2000000;123.5100000;125.8000000;21300
20130715;000000;126.6700000;126.9800000;123.5800000;124.5000000;30380
20130716;000000;123.1200000;124.9000000;122.3600000;124.7000000;43450
20130717;000000;123.5800000;124.4000000;122.6800000;124.0000000;56370
20130718;000000;124.0000000;124.0000000;121.0000000;121.4500000;35330
20130719;000000;121.5900000;121.9900000;121.0100000;121.5000000;49170
20130722;000000;121.0500000;121.9600000;118.7500000;120.4000000;93090
20130723;000000;121.9500000;122.7000000;120.0100000;120.0100000;33010
20130724;000000;120.1000000;120.7100000;119.0200000;119.6200000;39030
20130725;000000;120.0000000;120.0500000;118.0000000;118.9000000;53490
20130726;000000;118.1500000;119.0300000;116.9700000;117.8800000;29760
20130729;000000;116.9300000;116.9300000;113.5100000;113.9900000;72810
20130730;000000;113.6200000;114.6900000;111.1500000;114.6900000;55430
20130731;000000;114.7000000;114.7000000;111.3600000;112.8400000;72000
20130801;000000;112.7300000;121.0000000;112.7200000;120.5000000;54670
20130802;000000;119.6200000;119.6200000;114.5100000;116.5300000;22600
20130805;000000;116.2300000;116.2300000;114.0500000;114.4900000;15960
20130806;000000;113.8100000;113.8100000;112.0700000;112.4800000;7570
20130807;000000;112.0100000;112.0100000;110.4900000;111.0500000;22960
20130808;000000;111.0100000;111.0100000;108.1400000;109.4400000;48530
20130809;000000;109.5000000;112.3900000;108.0000000;112.3900000;59510
20130812;000000;114.5000000;114.5000000;110.0000000;113.2800000;51980
20130813;000000;113.5700000;113.5700000;110.0600000;112.9500000;60970
20130814;000000;112.7500000;113.2000000;111.4700000;112.7000000;42470
20130815;000000;112.1100000;112.1100000;106.0000000;106.4700000;222980
20130816;000000;106.4700000;106.5700000;103.4800000;103.8000000;86860
20130819;000000;103.1300000;105.2400000;101.0500000;103.3900000;165930
20130820;000000;101.0000000;104.3500000;100.1500000;102.6100000;72590
20130821;000000;102.4800000;103.9100000;102.1500000;103.1000000;66860
20130822;000000;105.0000000;105.0000000;103.0400000;104.9000000;114140
20130823;000000;104.8500000;104.8500000;103.2000000;103.8000000;44820
20130826;000000;104.1700000;104.9800000;102.2000000;102.7800000;19220
20130827;000000;102.0000000;104.7000000;102.0000000;103.7200000;41680
20130828;000000;102.0200000;103.6700000;101.1000000;102.0000000;47520
20130829;000000;102.0100000;102.6400000;101.5800000;102.0000000;11780
20130830;000000;99.9800000;101.2300000;97.0700000;97.2000000;55130
20130902;000000;99.5000000;99.5000000;96.5900000;97.1200000;24270
20130903;000000;97.4600000;97.5700000;94.8900000;94.9900000;40800
20130904;000000;95.8900000;96.5600000;94.1000000;94.6000000;19720
20130905;000000;96.9600000;97.9700000;94.5500000;97.9700000;21990
20130906;000000;98.4700000;99.2600000;97.4000000;98.2700000;27860
20130909;000000;99.4700000;100.0000000;97.5000000;100.0000000;45450
20130910;000000;100.7700000;104.0000000;100.6800000;103.1100000;81920
20130911;000000;104.0000000;104.9600000;101.4600000;102.6500000;63670
20130912;000000;103.5600000;103.9800000;101.2600000;101.4600000;19130
20130913;000000;101.0500000;101.0500000;96.3000000;97.9600000;90650
20130916;000000;97.8200000;102.5600000;97.0400000;98.9700000;308480
20130917;000000;97.2900000;98.3300000;97.2000000;98.2500000;5960
20130918;000000;98.3300000;98.9900000;97.5000000;98.6500000;47250
20130919;000000;98.9800000;98.9900000;94.3300000;95.0000000;266830
20130920;000000;95.9700000;96.5100000;94.8800000;95.0400000;47930
20130923;000000;95.0400000;95.5000000;93.5300000;94.5000000;27910
20130924;000000;94.4900000;95.4100000;94.0400000;95.4100000;17330
20130925;000000;96.0000000;96.0000000;93.1600000;93.7600000;57900
20130926;000000;93.5600000;95.6100000;93.3000000;93.5200000;57340
20130927;000000;94.5000000;96.0000000;94.4600000;94.4600000;84420
20130930;000000;94.0800000;97.9600000;94.0800000;95.5100000;128700
20131001;000000;94.4500000;96.6300000;94.4500000;95.9500000;38440
20131002;000000;96.1600000;96.7200000;93.0000000;93.0000000;48220
20131003;000000;93.5200000;99.3600000;93.5200000;98.0200000;128370
20131004;000000;99.0100000;99.9000000;97.3500000;98.0000000;60240
20131007;000000;99.0000000;100.3600000;97.6500000;97.7600000;48700
20131008;000000;97.0100000;98.8000000;95.6100000;98.0000000;50000
20131009;000000;98.0000000;98.0000000;93.8100000;94.0000000;121480
20131010;000000;95.4700000;97.0000000;93.5000000;93.9600000;225420
20131011;000000;94.8600000;94.8600000;91.3000000;91.4000000;108590
20131014;000000;91.8700000;92.5400000;91.3000000;92.0000000;55560
20131015;000000;92.5000000;93.4600000;92.1400000;93.3800000;71400
20131016;000000;93.3000000;95.9400000;92.6600000;95.1400000;78630
20131017;000000;94.4500000;94.4500000;92.6200000;92.8600000;56340
20131018;000000;93.0800000;96.9200000;92.5200000;96.0500000;116220
20131021;000000;96.5000000;96.7900000;94.8500000;96.6500000;34430
20131022;000000;96.7000000;96.9000000;96.0300000;96.3000000;38900
20131023;000000;96.9500000;97.9800000;95.8000000;97.7000000;210600
20131024;000000;97.5000000;97.9000000;96.3300000;97.4000000;40350
20131025;000000;97.4600000;97.4600000;94.9700000;95.0000000;32030
20131028;000000;95.0000000;96.9600000;95.0000000;96.9600000;34520
20131029;000000;96.4600000;98.0000000;95.9200000;98.0000000;57120
20131030;000000;98.0000000;98.9100000;98.0000000;98.8000000;21740
20131031;000000;96.8900000;98.1600000;96.4200000;96.4200000;23210
20131101;000000;96.9500000;97.9800000;96.9000000;96.9000000;12810
20131105;000000;98.3200000;98.4600000;94.9700000;94.9700000;39270
20131106;000000;94.9700000;96.3000000;94.2200000;94.2200000;42070
20131107;000000;94.5500000;95.5000000;93.7700000;94.9600000;40250
20131108;000000;94.5500000;95.2000000;94.0000000;94.5000000;51890
20131111;000000;95.2000000;96.0100000;94.3800000;95.4800000;16200
20131112;000000;96.3800000;96.5400000;94.9300000;95.4900000;12380
20131113;000000;94.5500000;94.5500000;87.2500000;88.0500000;109160
20131114;000000;89.9900000;92.2200000;89.9900000;90.0000000;66950
20131115;000000;92.5400000;92.8000000;89.9600000;90.1700000;29560
20131118;000000;91.0800000;91.7000000;90.8000000;90.9100000;26800
20131119;000000;91.7800000;91.7900000;90.0700000;91.5000000;11430
20131120;000000;90.5800000;90.5800000;88.5100000;89.0000000;63970
20131121;000000;88.5800000;92.0100000;88.5000000;90.2400000;180990
20131122;000000;91.7600000;93.5300000;90.7100000;91.9500000;324760
20131125;000000;91.4300000;100.0000000;91.0500000;100.0000000;265610
20131126;000000;99.9900000;100.0000000;96.0300000;96.9000000;40640
