<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;14.4000000;14.5000000;14.4000000;14.4700000;1100
20130109;000000;14.7700000;14.7700000;14.0600000;14.4900000;350
20130110;000000;14.4000000;14.4900000;14.0000000;14.4700000;4910
20130111;000000;14.0200000;14.9900000;13.9900000;14.5000000;7370
20130114;000000;14.7800000;15.7600000;14.5100000;14.7900000;20240
20130115;000000;14.9800000;15.4300000;14.8000000;15.0100000;5250
20130116;000000;15.1300000;15.1400000;14.5000000;14.8600000;6150
20130117;000000;14.7500000;14.9700000;14.5200000;14.9700000;3000
20130118;000000;14.7000000;15.1000000;14.3300000;15.0000000;1570
20130121;000000;15.0000000;15.1300000;14.5700000;14.9800000;6480
20130122;000000;14.9000000;17.2300000;14.9000000;16.5400000;107510
20130123;000000;16.7100000;18.7900000;16.1500000;17.2800000;150200
20130124;000000;17.2000000;17.9100000;15.0000000;16.9800000;21090
20130125;000000;17.5100000;17.5100000;16.8200000;17.1200000;2000
20130128;000000;17.0000000;17.5200000;16.0000000;17.4800000;12360
20130129;000000;17.4000000;17.4000000;16.5000000;17.2100000;2290
20130130;000000;17.3000000;17.3000000;15.6300000;17.0300000;17810
20130131;000000;17.0000000;17.0800000;17.0000000;17.0800000;310
20130201;000000;16.9800000;16.9800000;14.0000000;15.1800000;19730
20130204;000000;14.5600000;15.7800000;14.5600000;15.7800000;2460
20130205;000000;15.7800000;15.8900000;15.3500000;15.3500000;1380
20130206;000000;15.3400000;15.3400000;14.5000000;14.7000000;10290
20130207;000000;14.6900000;15.3000000;14.5200000;15.2900000;1830
20130208;000000;14.6000000;15.4700000;14.6000000;15.0000000;160
20130211;000000;15.1400000;15.8000000;14.9700000;15.4900000;4590
20130212;000000;15.7100000;15.7100000;15.0100000;15.3000000;4540
20130213;000000;15.2500000;15.3500000;15.0300000;15.3500000;270
20130214;000000;15.8000000;15.8000000;14.9000000;15.4000000;3470
20130215;000000;15.3500000;15.8000000;15.0000000;15.5600000;1540
20130218;000000;15.3500000;15.4300000;15.3500000;15.4300000;40
20130219;000000;15.7600000;15.7600000;14.9700000;15.4000000;890
20130220;000000;15.4000000;15.4000000;15.3400000;15.4000000;6510
20130221;000000;15.0000000;15.2100000;14.9900000;14.9900000;1340
20130222;000000;15.0000000;15.0000000;14.9900000;14.9900000;60
20130226;000000;14.9900000;14.9900000;14.8200000;14.8300000;890
20130227;000000;15.3300000;15.4000000;14.3000000;14.9900000;5630
20130228;000000;15.2400000;15.2400000;14.7200000;14.9700000;2200
20130301;000000;15.4000000;15.4000000;14.9500000;14.9500000;30
20130304;000000;15.4000000;15.4000000;15.1500000;15.1500000;20
20130305;000000;15.4800000;15.4800000;14.7200000;15.0000000;340
20130306;000000;14.9800000;15.2000000;14.9800000;15.2000000;1890
20130307;000000;15.2900000;15.2900000;14.8500000;15.0000000;6370
20130311;000000;14.5500000;15.3600000;14.5300000;15.0000000;2450
20130312;000000;14.9000000;15.0000000;14.9000000;14.9800000;1030
20130313;000000;14.9700000;14.9700000;14.1500000;14.9500000;5280
