<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130110;000000;0.5200000;0.5244000;0.5001000;0.5244000;140000
20130111;000000;0.5298000;0.5300000;0.5298000;0.5300000;40000
20130115;000000;0.5490000;0.5490000;0.5490000;0.5490000;10000
20130122;000000;0.5200000;0.5200000;0.5200000;0.5200000;40000
20130124;000000;0.5200000;0.5200000;0.5200000;0.5200000;10000
20130125;000000;0.5180000;0.5180000;0.5180000;0.5180000;10000
20130128;000000;0.5184000;0.5520000;0.5184000;0.5500000;50000
20130129;000000;0.5053000;0.5450000;0.5053000;0.5220000;70000
20130130;000000;0.5200000;0.5269000;0.5200000;0.5269000;60000
20130204;000000;0.5237000;0.5397000;0.5000000;0.5022000;160000
20130206;000000;0.5177000;0.5177000;0.4953000;0.4953000;30000
20130208;000000;0.4952000;0.4952000;0.4952000;0.4952000;10000
20130211;000000;0.5777000;0.5777000;0.5777000;0.5777000;10000
20130212;000000;0.5004000;0.5294000;0.4807000;0.5170000;390000
20130213;000000;0.5093000;0.5093000;0.5007000;0.5007000;50000
20130214;000000;0.5157000;0.5157000;0.5014000;0.5014000;30000
20130215;000000;0.5014000;0.5079000;0.4972000;0.4972000;30000
20130218;000000;0.5004000;0.5004000;0.4600000;0.4777000;130000
20130219;000000;0.4955000;0.4955000;0.4767000;0.4767000;20000
20130220;000000;0.4956000;0.5044000;0.4500000;0.5044000;160000
20130225;000000;0.4555000;0.4977000;0.4500000;0.4977000;110000
20130226;000000;0.4933000;0.4933000;0.4933000;0.4933000;10000
20130227;000000;0.4762000;0.4762000;0.4500000;0.4757000;150000
20130228;000000;0.4668000;0.4754000;0.4576000;0.4600000;70000
20130301;000000;0.4911000;0.4911000;0.4911000;0.4911000;10000
20130304;000000;0.4664000;0.4744000;0.4664000;0.4744000;50000
20130305;000000;0.4733000;0.4733000;0.4733000;0.4733000;20000
20130306;000000;0.4572000;0.4572000;0.4572000;0.4572000;10000
20130311;000000;0.4550000;0.4550000;0.4550000;0.4550000;160000
20130313;000000;0.4483000;0.4500000;0.4482000;0.4500000;30000
20130319;000000;0.4394000;0.4480000;0.4214000;0.4344000;160000
20130321;000000;0.4386000;0.4467000;0.4301000;0.4467000;170000
20130322;000000;0.4298000;0.4384000;0.4050000;0.4250000;90000
20130327;000000;0.4488000;0.4488000;0.4488000;0.4488000;10000
20130329;000000;0.4491000;0.4491000;0.4491000;0.4491000;10000
20130401;000000;0.4000000;0.4477000;0.4000000;0.4331000;50000
20130402;000000;0.4000000;0.4444000;0.4000000;0.4444000;80000
20130404;000000;0.4191000;0.4477000;0.4151000;0.4210000;80000
20130405;000000;0.3904000;0.3950000;0.3633000;0.3950000;130000
20130408;000000;0.4440000;0.4440000;0.3666000;0.3999000;80000
20130409;000000;0.3506000;0.3902000;0.3506000;0.3801000;60000
20130410;000000;0.3900000;0.3991000;0.3900000;0.3991000;40000
20130411;000000;0.3900000;0.4377000;0.3833000;0.4140000;180000
20130412;000000;0.4000000;0.4150000;0.4000000;0.4150000;20000
20130415;000000;0.4177000;0.4177000;0.3517000;0.3947000;60000
20130416;000000;0.3900000;0.4070000;0.3511000;0.3700000;120000
20130417;000000;0.3785000;0.3997000;0.3785000;0.3997000;70000
20130418;000000;0.4222000;0.4222000;0.3810000;0.4089000;100000
