<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;3.6340000;3.6340000;3.6340000;3.6340000;1000
20130109;000000;3.5570000;3.5570000;3.5570000;3.5570000;1000
20130111;000000;3.5570000;3.5570000;3.5570000;3.5570000;6000
20130114;000000;3.4910000;3.6160000;3.4900000;3.6160000;11000
20130115;000000;3.5570000;3.6500000;3.5490000;3.6500000;50000
20130116;000000;3.7500000;3.7500000;3.7500000;3.7500000;1000
20130118;000000;3.7200000;3.7200000;3.7200000;3.7200000;1000
20130122;000000;3.5030000;3.6500000;3.5000000;3.6500000;27000
20130123;000000;3.5000000;3.5000000;3.5000000;3.5000000;5000
20130124;000000;3.5010000;3.5010000;3.5000000;3.5000000;6000
20130125;000000;3.6830000;3.6830000;3.6830000;3.6830000;1000
20130129;000000;3.5060000;3.7490000;3.5000000;3.7000000;97000
20130130;000000;3.6000000;3.6000000;3.6000000;3.6000000;5000
20130131;000000;3.6290000;3.6290000;3.5500000;3.6290000;17000
20130201;000000;3.5510000;3.5510000;3.5500000;3.5500000;12000
20130204;000000;3.5500000;3.5500000;3.5500000;3.5500000;10000
20130205;000000;3.5500000;3.5500000;3.5500000;3.5500000;5000
20130211;000000;3.5000000;3.5020000;3.5000000;3.5010000;4000
20130213;000000;3.5490000;3.5500000;3.5490000;3.5500000;6000
20130214;000000;3.5990000;3.6000000;3.5990000;3.6000000;10000
20130218;000000;3.6000000;3.6000000;3.5000000;3.5000000;17000
20130220;000000;3.6990000;3.6990000;3.4440000;3.4440000;10000
20130225;000000;3.4180000;3.4180000;3.4180000;3.4180000;5000
20130226;000000;3.4700000;3.4700000;3.4130000;3.4130000;21000
20130227;000000;3.4690000;3.4690000;3.4490000;3.4500000;19000
20130228;000000;3.3510000;3.3510000;3.3510000;3.3510000;5000
20130305;000000;3.4970000;3.5000000;3.4970000;3.5000000;30000
20130306;000000;3.3500000;3.4970000;3.0600000;3.4970000;14000
20130311;000000;3.1800000;3.3400000;3.1790000;3.2500000;17000
20130312;000000;3.3000000;3.3000000;3.3000000;3.3000000;5000
20130313;000000;3.4500000;3.4500000;3.3000000;3.3000000;13000
20130314;000000;3.3000000;3.3000000;3.2990000;3.2990000;12000
20130315;000000;3.2100000;3.2500000;3.0300000;3.0500000;177000
20130318;000000;3.1950000;3.1950000;3.1950000;3.1950000;1000
20130319;000000;3.0760000;3.0760000;3.0760000;3.0760000;1000
20130321;000000;3.0560000;3.0560000;3.0000000;3.0000000;14000
20130322;000000;3.0000000;3.0000000;3.0000000;3.0000000;3000
20130325;000000;3.3230000;3.3230000;3.3180000;3.3180000;4000
20130328;000000;3.0020000;3.3010000;3.0000000;3.0000000;1591000
20130401;000000;2.6550000;2.6600000;2.6550000;2.6600000;3000
20130402;000000;1.6800000;1.6800000;1.6800000;1.6800000;1000
20130403;000000;2.3000000;2.3520000;2.3000000;2.3520000;3000
20130404;000000;3.2890000;3.2890000;2.9990000;3.0000000;15000
20130405;000000;2.9010000;3.0000000;2.8990000;3.0000000;22000
20130408;000000;2.6630000;2.6630000;2.6630000;2.6630000;1000
20130409;000000;3.1940000;3.1940000;3.1940000;3.1940000;1000
20130411;000000;2.8810000;2.8810000;2.8810000;2.8810000;5000
20130412;000000;2.9000000;3.0000000;2.8000000;2.8000000;22000
20130415;000000;2.7880000;2.7880000;2.6530000;2.6530000;31000
20130416;000000;2.8790000;2.8790000;2.8790000;2.8790000;1000
20130418;000000;2.8490000;2.8490000;2.8490000;2.8490000;2000
20130422;000000;2.5010000;2.5010000;2.2330000;2.2330000;27000
20130423;000000;2.7770000;2.7770000;2.7770000;2.7770000;1000
20130426;000000;2.5860000;2.5860000;2.5840000;2.5840000;3000
20130502;000000;2.2410000;2.2410000;2.2390000;2.2390000;8000
20130503;000000;2.2340000;2.7830000;2.2340000;2.7830000;2000
20130507;000000;2.8390000;2.8390000;2.8390000;2.8390000;1000
20130513;000000;2.2370000;2.2370000;2.2370000;2.2370000;1000
20130514;000000;2.2410000;2.2410000;2.2320000;2.2320000;11000
20130516;000000;2.1000000;2.1000000;2.1000000;2.1000000;8000
20130517;000000;2.7940000;2.7940000;2.5000000;2.5000000;14000
20130520;000000;2.5280000;2.5350000;2.2340000;2.3800000;12000
20130524;000000;2.4870000;2.4870000;2.4870000;2.4870000;1000
20130527;000000;2.2330000;2.2330000;2.2330000;2.2330000;3000
20130530;000000;2.2320000;2.2990000;2.2320000;2.2990000;2000
20130531;000000;2.2320000;2.2320000;1.8520000;2.0970000;28000
20130603;000000;1.9000000;1.9000000;1.9000000;1.9000000;4000
20130604;000000;1.9990000;2.0990000;1.9990000;2.0990000;22000
20130605;000000;2.1020000;2.1020000;2.1020000;2.1020000;5000
20130607;000000;2.1140000;2.1140000;2.1130000;2.1130000;10000
20130611;000000;2.0020000;2.6520000;2.0000000;2.6520000;25000
20130613;000000;2.1010000;2.1010000;2.1010000;2.1010000;5000
20130617;000000;1.7560000;1.7560000;1.7560000;1.7560000;1000
20130625;000000;2.2560000;2.2560000;2.2560000;2.2560000;1000
20130701;000000;2.4000000;2.4000000;2.0020000;2.0020000;4000
20130704;000000;2.3890000;2.3890000;2.3890000;2.3890000;1000
20130705;000000;2.3680000;2.3680000;2.2000000;2.2000000;14000
20130710;000000;2.2510000;2.2510000;2.1010000;2.1010000;25000
20130711;000000;2.1120000;2.3000000;2.1110000;2.3000000;19000
20130712;000000;2.3840000;2.3840000;2.1550000;2.1550000;4000
20130715;000000;2.2500000;2.2500000;2.2500000;2.2500000;10000
20130716;000000;2.4000000;2.4000000;2.1770000;2.2000000;17000
20130717;000000;2.3420000;2.3420000;2.3420000;2.3420000;1000
20130718;000000;2.1150000;2.2500000;2.1150000;2.2500000;213000
20130730;000000;2.1010000;2.1010000;2.1000000;2.1000000;6000
20130731;000000;2.2000000;2.2000000;1.9000000;1.9000000;32000
20130802;000000;2.1790000;2.1790000;2.1790000;2.1790000;10000
