<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.4430000;0.4430000;0.4420000;0.4420000;40000
20130109;000000;0.4401000;0.4429000;0.4400000;0.4429000;130000
20130110;000000;0.4440000;0.4545000;0.4402000;0.4409000;70000
20130111;000000;0.4227000;0.4546000;0.4227000;0.4500000;300000
20130114;000000;0.4548000;0.4548000;0.4499000;0.4500000;50000
20130115;000000;0.4500000;0.4510000;0.4500000;0.4510000;390000
20130116;000000;0.4500000;0.4699000;0.4500000;0.4690000;1380000
20130117;000000;0.4677000;0.4690000;0.4677000;0.4690000;110000
20130118;000000;0.4690000;0.4690000;0.4690000;0.4690000;40000
20130121;000000;0.4501000;0.4644000;0.4501000;0.4644000;20000
20130122;000000;0.4571000;0.4571000;0.4566000;0.4566000;150000
20130123;000000;0.4648000;0.4648000;0.4648000;0.4648000;20000
20130124;000000;0.4556000;0.4598000;0.4451000;0.4598000;150000
20130125;000000;0.4599000;0.4649000;0.4570000;0.4570000;100000
20130128;000000;0.4649000;0.4740000;0.4620000;0.4700000;1220000
20130129;000000;0.4700000;0.4748000;0.4700000;0.4748000;230000
20130130;000000;0.4748000;0.4950000;0.4748000;0.4800000;1440000
20130131;000000;0.4899000;0.5100000;0.4800000;0.4853000;4000000
20130201;000000;0.4873000;0.4901000;0.4873000;0.4889000;270000
20130204;000000;0.4800000;0.4811000;0.4767000;0.4780000;130000
20130205;000000;0.4283000;0.4801000;0.4282000;0.4621000;70000
20130208;000000;0.4870000;0.4893000;0.4860000;0.4893000;1430000
20130212;000000;0.4800000;0.4800000;0.4500000;0.4800000;120000
20130214;000000;0.4800000;0.4898000;0.4752000;0.4752000;160000
20130215;000000;0.4731000;0.4768000;0.4730000;0.4768000;60000
20130218;000000;0.4751000;0.4751000;0.4701000;0.4701000;40000
20130219;000000;0.4510000;0.4711000;0.4499000;0.4600000;1770000
20130220;000000;0.4551000;0.4646000;0.4412000;0.4501000;1320000
20130221;000000;0.4530000;0.4550000;0.4500000;0.4550000;660000
20130222;000000;0.4550000;0.4599000;0.4550000;0.4599000;50000
20130225;000000;0.4545000;0.4600000;0.4545000;0.4600000;170000
20130226;000000;0.4502000;0.4650000;0.4502000;0.4530000;770000
20130227;000000;0.4501000;0.4501000;0.4430000;0.4449000;200000
20130228;000000;0.4451000;0.4451000;0.4400000;0.4400000;1070000
20130301;000000;0.4313000;0.4447000;0.4213000;0.4300000;130000
20130304;000000;0.4300000;0.4300000;0.4300000;0.4300000;90000
20130305;000000;0.4250000;0.4250000;0.4170000;0.4170000;770000
20130306;000000;0.4249000;0.4249000;0.4201000;0.4238000;70000
20130307;000000;0.4223000;0.4223000;0.4152000;0.4190000;550000
20130311;000000;0.4121000;0.4170000;0.4069000;0.4100000;2090000
20130312;000000;0.4130000;0.4130000;0.4101000;0.4101000;20000
20130313;000000;0.4112000;0.4112000;0.3942000;0.3999000;2210000
20130314;000000;0.3945000;0.3988000;0.3890000;0.3900000;1170000
20130315;000000;0.3899000;0.3899000;0.3807000;0.3849000;550000
20130318;000000;0.3801000;0.3849000;0.3732000;0.3849000;210000
20130319;000000;0.3801000;0.3841000;0.3799000;0.3830000;1430000
20130320;000000;0.4196000;0.4196000;0.3830000;0.3864000;250000
20130321;000000;0.3856000;0.3900000;0.3856000;0.3900000;110000
20130322;000000;0.3900000;0.3995000;0.3900000;0.3995000;20000
20130325;000000;0.3949000;0.4049000;0.3949000;0.4000000;90000
20130326;000000;0.3851000;0.4197000;0.3800000;0.3912000;350000
20130327;000000;0.3912000;0.3952000;0.3912000;0.3952000;100000
20130328;000000;0.4194000;0.4194000;0.3813000;0.3849000;350000
20130329;000000;0.3512000;0.3798000;0.3511000;0.3651000;160000
20130401;000000;0.3651000;0.3651000;0.3555000;0.3555000;190000
20130402;000000;0.3535000;0.3600000;0.3480000;0.3600000;1000000
20130403;000000;0.3552000;0.3552000;0.3500000;0.3500000;540000
20130404;000000;0.3507000;0.3578000;0.3401000;0.3578000;1030000
20130405;000000;0.3600000;0.3850000;0.3400000;0.3450000;2990000
20130408;000000;0.3451000;0.3451000;0.3007000;0.3330000;110000
20130409;000000;0.3302000;0.3486000;0.3201000;0.3486000;50000
20130410;000000;0.3252000;0.3397000;0.3200000;0.3397000;80000
20130411;000000;0.3487000;0.3487000;0.3211000;0.3397000;30000
20130412;000000;0.3210000;0.3395000;0.3210000;0.3395000;20000
20130415;000000;0.3252000;0.3252000;0.2850000;0.3099000;170000
20130416;000000;0.3399000;0.3399000;0.2851000;0.3379000;530000
