<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.4366000;0.4451000;0.4366000;0.4451000;90000
20130109;000000;0.4765000;0.4765000;0.4765000;0.4765000;10000
20130110;000000;0.4650000;0.4650000;0.4452000;0.4452000;50000
20130111;000000;0.4588000;0.4599000;0.4588000;0.4599000;70000
20130114;000000;0.4699000;0.4699000;0.4456000;0.4476000;120000
20130115;000000;0.4450000;0.4450000;0.4450000;0.4450000;60000
20130116;000000;0.4529000;0.4800000;0.4400000;0.4700000;2470000
20130117;000000;0.4700000;0.4797000;0.4620000;0.4700000;240000
20130118;000000;0.4720000;0.4720000;0.4700000;0.4700000;50000
20130121;000000;0.4807000;0.4807000;0.4750000;0.4750000;150000
20130122;000000;0.4471000;0.4531000;0.4471000;0.4471000;110000
20130123;000000;0.4779000;0.4779000;0.4777000;0.4779000;110000
20130128;000000;0.4990000;0.5098000;0.4781000;0.4800000;690000
20130129;000000;0.4900000;0.4900000;0.4900000;0.4900000;10000
20130130;000000;0.4997000;0.4997000;0.4900000;0.4940000;50000
20130131;000000;0.4998000;0.4998000;0.4801000;0.4801000;680000
20130201;000000;0.4702000;0.4800000;0.4702000;0.4800000;120000
20130204;000000;0.4897000;0.4898000;0.4897000;0.4897000;110000
20130206;000000;0.4800000;0.4800000;0.4800000;0.4800000;300000
20130207;000000;0.4800000;0.4870000;0.4750000;0.4750000;270000
20130208;000000;0.4631000;0.4848000;0.4631000;0.4848000;440000
20130211;000000;0.4800000;0.4800000;0.4800000;0.4800000;10000
20130212;000000;0.4850000;0.4850000;0.4850000;0.4850000;60000
20130213;000000;0.4850000;0.4850000;0.4850000;0.4850000;90000
20130214;000000;0.4800000;0.4800000;0.4700000;0.4750000;310000
20130215;000000;0.4836000;0.4836000;0.4700000;0.4780000;190000
20130218;000000;0.4701000;0.4701000;0.4700000;0.4700000;450000
20130219;000000;0.4831000;0.4831000;0.4582000;0.4702000;350000
20130220;000000;0.4583000;0.4583000;0.4500000;0.4501000;230000
20130221;000000;0.4505000;0.4505000;0.4501000;0.4501000;140000
20130222;000000;0.4501000;0.4600000;0.4500000;0.4600000;280000
20130225;000000;0.4670000;0.4680000;0.4500000;0.4500000;390000
20130226;000000;0.4560000;0.4560000;0.4477000;0.4500000;1320000
20130227;000000;0.4554000;0.4554000;0.4399000;0.4399000;630000
20130228;000000;0.4404000;0.4404000;0.4400000;0.4400000;160000
20130301;000000;0.4377000;0.4377000;0.4290000;0.4290000;340000
20130304;000000;0.4290000;0.4290000;0.4014000;0.4260000;840000
20130305;000000;0.4250000;0.4250000;0.4200000;0.4200000;410000
20130306;000000;0.4210000;0.4210000;0.4150000;0.4150000;20000
20130307;000000;0.4188000;0.4188000;0.4188000;0.4188000;110000
20130311;000000;0.4122000;0.4122000;0.4044000;0.4044000;80000
20130312;000000;0.4100000;0.4100000;0.4098000;0.4098000;50000
20130313;000000;0.4050000;0.4050000;0.3880000;0.3958000;680000
20130314;000000;0.3958000;0.3958000;0.3901000;0.3901000;520000
20130315;000000;0.3928000;0.3928000;0.3810000;0.3812000;740000
20130318;000000;0.3802000;0.3878000;0.3750000;0.3877000;270000
20130319;000000;0.3875000;0.3900000;0.3825000;0.3825000;220000
20130320;000000;0.3947000;0.3947000;0.3880000;0.3919000;50000
20130322;000000;0.3958000;0.3958000;0.3903000;0.3903000;20000
20130325;000000;0.4038000;0.4038000;0.3958000;0.3958000;40000
20130326;000000;0.3902000;0.4999000;0.3900000;0.3955000;500000
20130327;000000;0.4076000;0.4076000;0.3851000;0.3900000;230000
20130328;000000;0.3850000;0.4000000;0.3800000;0.3800000;44580000
20130329;000000;0.4100000;0.4100000;0.3705000;0.3800000;380000
20130402;000000;0.3703000;0.3703000;0.3701000;0.3701000;140000
20130405;000000;0.3600000;0.3600000;0.3000000;0.3200000;3850000
20130408;000000;0.3101000;0.3497000;0.3101000;0.3497000;100000
20130409;000000;0.3151000;0.3200000;0.3000000;0.3190000;610000
20130410;000000;0.3130000;0.3190000;0.3130000;0.3190000;20000
20130411;000000;0.3299000;0.3299000;0.3002000;0.3140000;1830000
