<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.0649800;0.0649800;0.0555100;0.0590000;140000
20130109;000000;0.0618400;0.0618400;0.0618400;0.0618400;800000
20130111;000000;0.0623900;0.0650000;0.0600100;0.0600100;140000
20130114;000000;0.0605000;0.0614000;0.0565000;0.0570000;140000
20130115;000000;0.0607400;0.0678600;0.0597000;0.0678600;170000
20130116;000000;0.0645100;0.0699900;0.0645100;0.0699900;60000
20130123;000000;0.0611500;0.0700000;0.0571000;0.0623800;120000
20130124;000000;0.0699900;0.0699900;0.0630000;0.0630000;60000
20130125;000000;0.0622600;0.0622600;0.0622600;0.0622600;10000
20130129;000000;0.0610100;0.0610100;0.0610100;0.0610100;20000
20130201;000000;0.0608800;0.0650000;0.0608800;0.0650000;60000
20130204;000000;0.0649900;0.0693900;0.0611300;0.0693900;280000
20130205;000000;0.0612000;0.0693700;0.0612000;0.0614000;2120000
20130206;000000;0.0620100;0.0620100;0.0620000;0.0620000;100000
20130207;000000;0.0608700;0.0608700;0.0608700;0.0608700;50000
20130211;000000;0.0583600;0.0600100;0.0501700;0.0600000;330000
20130212;000000;0.0570200;0.0603300;0.0560200;0.0592900;190000
20130214;000000;0.0585000;0.0600000;0.0503900;0.0575000;260000
20130215;000000;0.0550000;0.0610000;0.0550000;0.0582500;40000
20130218;000000;0.0592900;0.0624000;0.0592900;0.0624000;70000
20130219;000000;0.0630200;0.0688700;0.0630200;0.0688500;40000
20130221;000000;0.0693600;0.0693600;0.0627000;0.0630000;40000
20130222;000000;0.0660000;0.0660000;0.0609500;0.0609500;50000
20130225;000000;0.0608600;0.0693800;0.0550000;0.0600000;5780000
20130226;000000;0.0599800;0.0677000;0.0599800;0.0634600;60000
20130227;000000;0.0693000;0.0693000;0.0627000;0.0630000;60000
20130228;000000;0.0692900;0.0692900;0.0650000;0.0650000;20000
20130301;000000;0.0689900;0.0689900;0.0640100;0.0659600;60000
20130304;000000;0.0693700;0.0693700;0.0693700;0.0693700;10000
20130305;000000;0.0693600;0.0693600;0.0620000;0.0659900;70000
