<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;144.9400000;147.5000000;143.7000000;143.7800000;115290
20130109;000000;143.6400000;144.2200000;142.5200000;143.1000000;100830
20130110;000000;143.0100000;144.1800000;142.0000000;142.4900000;374370
20130111;000000;142.6100000;143.9800000;142.3000000;143.6000000;243250
20130114;000000;143.6000000;143.9000000;143.4300000;143.8900000;203640
20130115;000000;143.5000000;143.8900000;142.7300000;142.8800000;200910
20130116;000000;143.5000000;143.5000000;142.1600000;142.5900000;210140
20130117;000000;142.5000000;143.6200000;142.5000000;142.8300000;148600
20130118;000000;143.5300000;143.5300000;142.5200000;142.8500000;485780
20130121;000000;142.9800000;143.2900000;142.5500000;143.0800000;184900
20130122;000000;143.5000000;147.4400000;141.0200000;142.8100000;194260
20130123;000000;143.0000000;145.5400000;142.9000000;144.2000000;513630
20130124;000000;143.7000000;144.3500000;143.3200000;143.5000000;143440
20130125;000000;143.9700000;145.4500000;143.5000000;145.3900000;344070
20130128;000000;145.3900000;145.9000000;144.6900000;145.2000000;89700
20130129;000000;145.6600000;145.7000000;144.1700000;144.5000000;297440
20130130;000000;144.9700000;146.8800000;144.5000000;145.2700000;482110
20130131;000000;144.1700000;146.5400000;144.1700000;146.5100000;414430
20130201;000000;146.5300000;146.7500000;145.6400000;146.1000000;210710
20130204;000000;146.3400000;146.6700000;145.0000000;145.0000000;86980
20130205;000000;144.9000000;145.9200000;144.0600000;144.2500000;160780
20130206;000000;145.0500000;145.7900000;144.4500000;144.8900000;237790
20130207;000000;145.7000000;145.7000000;143.2000000;143.5800000;245860
20130208;000000;143.3700000;144.9000000;142.5000000;143.1700000;201370
20130211;000000;143.5100000;144.1000000;142.9000000;143.1500000;180040
20130212;000000;143.1500000;143.7500000;142.1000000;142.1100000;464090
20130213;000000;142.9600000;144.9400000;142.5600000;143.5800000;122270
20130214;000000;144.6900000;145.4400000;142.7600000;143.7200000;181880
20130215;000000;143.7300000;144.9800000;142.6700000;144.0000000;137270
20130218;000000;144.0000000;144.5500000;143.1500000;143.5400000;60920
20130219;000000;143.8300000;144.1100000;142.7700000;142.9900000;125220
20130220;000000;142.8400000;143.9200000;142.5700000;143.7300000;207720
20130221;000000;142.5000000;142.8000000;140.8500000;141.6500000;192760
20130222;000000;141.6500000;145.8700000;141.5300000;142.0000000;1188450
20130225;000000;142.3900000;143.7000000;141.5500000;142.6900000;320360
20130226;000000;141.7000000;142.2700000;141.6100000;142.0000000;52080
20130227;000000;142.2600000;142.6400000;140.5000000;140.7700000;163390
20130228;000000;142.6400000;142.6400000;137.5700000;137.7700000;429670
20130301;000000;137.7800000;138.1600000;136.5000000;136.5000000;262440
20130304;000000;137.0300000;137.0300000;134.7000000;135.3000000;283580
20130305;000000;136.2800000;138.0000000;135.3500000;137.5000000;252660
20130306;000000;137.9700000;139.4900000;137.8700000;138.9900000;166210
20130307;000000;138.5100000;140.0000000;138.3800000;139.5000000;89670
20130311;000000;139.7900000;141.5800000;139.7900000;140.8500000;257470
20130312;000000;140.8900000;141.4500000;139.0100000;140.4600000;342110
20130313;000000;140.4700000;141.3000000;139.9300000;140.6900000;443290
20130314;000000;140.4100000;141.3900000;140.0700000;140.3500000;67430
20130315;000000;140.9600000;141.8000000;140.0100000;140.2600000;185220
20130318;000000;140.9900000;140.9900000;137.3000000;137.9000000;159280
20130319;000000;138.5000000;138.9000000;135.1400000;135.1500000;206490
20130320;000000;135.6100000;136.9000000;135.1500000;136.3100000;153510
20130321;000000;136.7000000;139.5000000;136.0100000;136.7900000;244800
20130322;000000;136.0000000;137.2900000;135.5700000;136.1700000;184640
20130325;000000;137.0000000;137.2900000;132.8300000;134.7000000;401420
20130326;000000;134.4000000;134.9000000;131.2000000;131.7000000;190090
20130327;000000;132.8900000;132.9000000;129.9800000;130.6100000;439010
20130328;000000;130.2100000;131.9300000;130.0000000;130.7000000;184590
20130329;000000;131.6900000;131.7900000;130.7000000;131.6500000;46740
20130401;000000;131.2100000;131.7000000;130.3100000;131.0000000;49880
20130402;000000;131.0000000;131.7400000;130.6800000;131.0000000;59910
20130403;000000;130.5600000;132.9900000;128.3000000;132.1800000;220340
20130404;000000;131.0000000;132.6800000;131.0000000;131.6000000;218110
20130405;000000;131.2700000;132.0000000;129.4900000;130.1300000;159460
20130408;000000;131.3900000;131.3900000;130.5000000;130.7000000;102990
20130409;000000;131.4000000;132.0100000;130.5500000;131.5000000;83450
20130410;000000;132.0100000;132.3000000;131.5000000;131.9500000;88200
20130411;000000;132.3000000;132.3900000;129.6100000;130.1900000;151200
20130412;000000;130.5000000;130.5000000;127.5000000;127.6300000;187370
20130415;000000;127.1100000;130.9000000;121.0100000;128.7000000;947520
20130416;000000;129.4000000;131.9900000;128.0000000;130.7700000;770020
20130417;000000;131.6000000;131.9600000;129.0000000;131.8000000;366500
20130418;000000;130.5000000;135.5900000;130.5000000;134.3900000;496910
20130419;000000;135.0000000;136.0000000;133.0400000;133.9000000;445840
20130422;000000;133.9900000;137.0700000;133.9900000;134.5000000;760100
20130423;000000;134.9300000;136.2200000;133.6100000;134.2000000;791270
20130424;000000;126.6200000;130.1000000;120.8400000;129.7600000;1031500
20130425;000000;129.8600000;130.7700000;125.0000000;129.0000000;388860
20130426;000000;129.6100000;129.6200000;124.5000000;125.6500000;315180
20130429;000000;125.9600000;126.9700000;122.2500000;122.7300000;226050
20130430;000000;123.0000000;126.3900000;122.3400000;126.0000000;200920
20130502;000000;125.7800000;128.0000000;125.1000000;127.9900000;67440
20130503;000000;128.0000000;129.9000000;127.5900000;129.5000000;165190
20130506;000000;129.5200000;130.5000000;127.0100000;129.3500000;111210
20130507;000000;129.2000000;131.1100000;128.6000000;130.2000000;277150
20130508;000000;131.0000000;131.0000000;128.2700000;130.2000000;88240
20130510;000000;130.2300000;131.3900000;130.2300000;130.7200000;57030
20130513;000000;130.1900000;130.5400000;128.2500000;129.5000000;93580
20130514;000000;128.6800000;130.0000000;127.1000000;127.9800000;56210
20130515;000000;128.8500000;132.0100000;127.5000000;128.5100000;234830
20130516;000000;129.5100000;129.5200000;126.6000000;127.0000000;72320
20130517;000000;127.6900000;129.0000000;126.2500000;128.1000000;115840
20130520;000000;127.5600000;128.7500000;127.5500000;128.1200000;42880
20130521;000000;127.7700000;128.7800000;126.9100000;128.0000000;52040
20130522;000000;127.9800000;128.8800000;126.9600000;128.6900000;165260
20130523;000000;127.2000000;127.7700000;126.1700000;126.8400000;110520
20130524;000000;127.0000000;127.1100000;125.3100000;125.4500000;72520
20130527;000000;126.0000000;126.0000000;125.2200000;125.6000000;6000
20130528;000000;126.0400000;126.9500000;125.1100000;125.6500000;119090
20130529;000000;125.6600000;125.6600000;123.1600000;123.1600000;99080
20130530;000000;123.1100000;124.0000000;121.0000000;121.7000000;181360
20130531;000000;122.3400000;122.4600000;121.0000000;121.6400000;128800
20130603;000000;121.0000000;127.0000000;111.0000000;120.0300000;199260
20130604;000000;120.8900000;122.7000000;120.5200000;121.7400000;78100
20130605;000000;121.7400000;122.0000000;119.3100000;120.2200000;98960
20130606;000000;120.0100000;120.6500000;119.0000000;119.1300000;121840
20130607;000000;120.2700000;124.5000000;119.1300000;123.1500000;137890
20130610;000000;123.0600000;125.0000000;122.5100000;123.8700000;119020
20130611;000000;123.8700000;124.0200000;119.0000000;119.7900000;198990
20130613;000000;118.9000000;118.9900000;110.5000000;112.7800000;1832500
20130614;000000;113.0700000;113.8000000;110.2200000;112.5400000;769080
20130617;000000;112.8000000;114.9800000;112.1000000;112.6100000;465600
20130618;000000;112.5200000;114.8000000;111.0000000;114.1200000;552730
20130619;000000;114.0000000;114.9000000;111.5000000;112.1900000;575720
20130620;000000;111.0200000;113.7500000;110.5200000;113.0000000;503070
20130621;000000;112.3600000;119.0000000;112.0000000;114.9800000;719670
20130624;000000;114.3000000;118.9800000;114.0700000;115.0000000;442670
20130625;000000;115.7200000;116.8300000;114.7400000;116.0000000;439630
20130626;000000;116.0000000;119.9700000;115.2600000;117.6200000;421790
20130627;000000;118.0400000;119.8900000;116.6100000;117.1900000;175700
20130628;000000;117.3700000;117.7700000;117.0000000;117.5000000;326460
20130701;000000;117.5100000;119.1600000;117.1700000;118.2500000;125000
20130702;000000;118.3400000;119.4000000;118.2000000;118.5900000;205860
20130703;000000;117.8000000;118.7900000;117.3900000;118.1500000;186940
20130704;000000;118.1500000;118.8200000;117.0900000;118.1000000;194680
