<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130109;000000;4.2000000;4.8399000;4.1801000;4.2500000;7000
20130110;000000;3.7717000;3.7717000;3.7717000;3.7717000;1000
20130111;000000;3.5000000;4.4500000;3.5000000;4.3798000;2255000
20130114;000000;4.4580000;4.4580000;4.4580000;4.4580000;2250000
20130115;000000;3.7501000;5.4899000;3.7501000;5.2999000;4000
20130116;000000;4.8570000;4.8586000;4.8570000;4.8570000;16000
20130117;000000;4.0000000;4.0000000;3.5700000;3.7500000;69000
20130118;000000;4.0000000;4.2500000;3.7891000;4.2199000;4000
20130121;000000;3.9964000;4.4397000;3.9548000;4.4300000;42000
20130122;000000;3.9252000;4.0000000;3.6597000;4.0000000;45000
20130123;000000;4.0345000;4.0404000;4.0345000;4.0404000;3000
20130124;000000;3.9861000;4.0058000;3.7201000;3.9679000;14000
20130125;000000;4.1133000;4.2400000;4.0108000;4.1120000;8000
20130128;000000;4.2875000;4.3487000;4.2821000;4.2821000;16000
20130129;000000;4.3438000;4.3700000;4.3214000;4.3700000;2303000
20130130;000000;4.3000000;4.3334000;4.3000000;4.3275000;2305000
20130131;000000;4.3149000;4.3149000;4.2995000;4.2995000;3000
20130204;000000;4.2450000;4.2450000;4.0467000;4.0467000;3000
20130205;000000;4.2970000;4.2970000;4.2970000;4.2970000;1000
20130206;000000;4.2460000;4.2460000;4.2460000;4.2460000;2000
20130207;000000;4.2695000;4.2695000;4.2695000;4.2695000;2000
20130218;000000;4.5000000;4.5750000;4.5000000;4.5750000;3344000
20130220;000000;3.7000000;4.5060000;3.6710000;3.7501000;10007000
20130301;000000;4.5000000;4.5000000;4.3000000;4.3000000;3860000
20130304;000000;4.2800000;4.2800000;4.2800000;4.2800000;2330000
20130305;000000;4.2400000;4.3600000;4.2400000;4.3600000;6191000
20130306;000000;4.3500000;4.4000000;4.3300000;4.4000000;5152000
20130311;000000;4.5000000;4.5000000;4.4500000;4.4980000;2382000
20130312;000000;4.5000000;4.5000000;4.5000000;4.5000000;1565000
20130313;000000;4.4900000;4.4900000;4.4900000;4.4900000;5065000
20130319;000000;4.7550000;4.7550000;4.7550000;4.7550000;1915000
20130322;000000;4.1000000;4.1000000;4.1000000;4.1000000;6000
20130327;000000;4.1000000;4.6000000;4.1000000;4.2000000;14003000
20130328;000000;4.4800000;4.4800000;3.7800000;4.4800000;24420000
20130329;000000;4.1000000;4.5300000;3.9200000;4.4200000;43694000
20130401;000000;4.4800000;4.4800000;4.1000000;4.1000000;1530000
20130403;000000;4.3700000;4.3700000;4.3000000;4.3000000;2301000
20130404;000000;3.9000000;5.9700000;3.9000000;4.4000000;3425000
20130405;000000;4.4500000;4.4500000;3.1003000;4.2633000;49000
20130409;000000;4.1900000;4.1900000;3.6800000;3.6800000;2000
20130411;000000;4.1900000;4.1900000;4.1900000;4.1900000;2000
20130412;000000;4.2500000;4.5000000;4.2000000;4.2000000;58000
20130416;000000;4.1000000;4.7700000;4.1000000;4.7700000;11220000
20130417;000000;4.5000000;4.5000000;4.5000000;4.5000000;2660000
20130418;000000;4.4500000;4.5310000;4.0900000;4.1100000;49678000
20130422;000000;4.1407000;4.8899000;4.0000000;4.1663000;14275000
20130424;000000;4.3017000;4.8390000;4.0890000;4.4500000;8210000
20130426;000000;4.5000000;4.5000000;4.0000000;4.3500000;4532000
20130429;000000;4.5000000;4.5000000;4.5000000;4.5000000;4384000
20130430;000000;4.7850000;4.7850000;4.7720000;4.7720000;3390000
20130513;000000;4.3047000;4.3047000;4.3047000;4.3047000;1000
20130517;000000;4.3235000;4.3236000;4.2978000;4.2978000;11000
