<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;27.6000000;28.3000000;27.5000000;28.0910000;32204100
20130109;000000;28.0910000;28.3560000;28.0130000;28.2090000;21533600
20130110;000000;28.2340000;28.2990000;27.9600000;27.9600000;7388800
20130111;000000;27.9110000;28.0410000;27.7850000;27.9700000;10688200
20130114;000000;28.0000000;28.4970000;28.0000000;28.3700000;17111600
20130115;000000;28.3700000;28.3860000;27.9280000;28.0310000;13899400
20130116;000000;28.0350000;28.2260000;27.8170000;28.1300000;20078300
20130117;000000;28.0800000;28.4200000;28.0060000;28.4150000;15149000
20130118;000000;28.4980000;28.7870000;28.4490000;28.7030000;19382500
20130121;000000;28.7370000;28.7890000;28.5500000;28.7200000;12324000
20130122;000000;28.7890000;28.8900000;28.3600000;28.6020000;18935800
20130123;000000;28.6020000;28.8400000;28.6000000;28.6830000;11134000
20130124;000000;28.6100000;28.7900000;28.2600000;28.7680000;17879100
20130125;000000;28.7680000;29.5410000;28.5850000;29.4920000;36988000
20130128;000000;29.5020000;31.4450000;29.4010000;31.2910000;79591600
20130129;000000;31.2910000;31.3000000;30.8400000;30.8540000;31955900
20130130;000000;30.9600000;32.1490000;30.9600000;31.2000000;61665800
20130131;000000;31.0990000;31.5600000;30.8570000;31.5140000;33590400
20130201;000000;31.4500000;31.8750000;31.1150000;31.3870000;23152200
20130204;000000;31.4980000;31.4980000;30.3900000;30.4690000;21854600
20130205;000000;30.2200000;30.9500000;30.0000000;30.8000000;27342400
20130206;000000;31.0200000;31.3860000;30.4210000;30.4410000;34595800
20130207;000000;30.5300000;30.7380000;30.1100000;30.4800000;17504700
20130208;000000;30.4930000;30.5960000;29.9200000;30.1200000;27443000
20130211;000000;30.2280000;30.3450000;29.7010000;29.7050000;14173200
20130212;000000;29.7270000;30.1450000;29.2370000;29.8500000;23403700
20130213;000000;30.0100000;30.8680000;29.8500000;30.7390000;38098700
20130214;000000;30.6980000;31.1890000;30.3550000;30.5180000;33056400
20130215;000000;30.5000000;30.9300000;29.9100000;30.3960000;28999600
20130218;000000;30.2010000;30.5940000;30.0110000;30.1390000;12728600
20130219;000000;30.1680000;30.4390000;29.9490000;30.3540000;14978500
20130220;000000;30.4460000;30.5250000;30.0510000;30.1950000;19863400
20130221;000000;29.8620000;29.9000000;29.3330000;29.6050000;28395100
20130222;000000;29.7000000;29.7500000;29.0530000;29.0890000;17843800
20130225;000000;29.1800000;29.4290000;29.0020000;29.3290000;14330900
20130226;000000;28.9870000;29.0490000;28.6520000;28.7670000;21977600
20130227;000000;28.7000000;28.9720000;28.5010000;28.7750000;14437200
20130228;000000;28.9980000;29.2990000;28.5490000;28.6920000;32871700
20130301;000000;28.6990000;28.7390000;28.2820000;28.5840000;20225800
20130304;000000;28.5750000;28.9750000;28.2210000;28.2270000;20688400
20130305;000000;28.4100000;29.1900000;28.3990000;29.1270000;18348200
20130306;000000;29.1900000;29.4430000;28.9000000;28.9870000;22119500
20130307;000000;28.9800000;29.1950000;28.9170000;29.1360000;9503700
20130311;000000;29.2660000;29.8880000;29.2660000;29.6650000;26578400
20130312;000000;29.7000000;29.9600000;29.5010000;29.9290000;19093500
20130313;000000;29.7800000;30.0470000;29.2500000;29.3800000;30517900
20130314;000000;29.3260000;29.5400000;29.1500000;29.1720000;15328500
20130315;000000;29.3300000;29.7500000;28.8250000;28.8860000;28089300
20130318;000000;28.4450000;28.4450000;27.8200000;28.1900000;38357000
20130319;000000;28.5000000;28.5480000;27.7510000;27.7600000;20495800
20130320;000000;27.8600000;27.9520000;27.5500000;27.7540000;21982000
20130321;000000;27.8020000;28.0500000;27.6800000;27.8860000;20221600
20130322;000000;27.7700000;27.8890000;27.2520000;27.2520000;24916600
20130325;000000;27.5150000;27.7000000;26.7270000;26.8090000;23025400
20130326;000000;26.6750000;27.0770000;26.2050000;26.9040000;30252500
20130327;000000;27.1030000;27.6830000;26.7000000;27.6160000;27937400
20130328;000000;27.4960000;27.9790000;27.3500000;27.7800000;19621300
20130329;000000;27.9240000;27.9250000;27.5770000;27.8180000;7094800
20130401;000000;27.6990000;28.2400000;27.6610000;27.9190000;13160200
20130402;000000;27.8890000;28.6370000;27.8730000;28.3500000;21912700
20130403;000000;28.3500000;29.6680000;28.2000000;29.5600000;46541900
20130404;000000;29.4040000;30.7490000;29.3000000;29.6350000;57972700
20130405;000000;29.5200000;30.1440000;29.5200000;29.8490000;31069600
20130408;000000;29.9870000;30.4100000;29.6070000;29.6500000;17122700
20130409;000000;29.8370000;30.0490000;29.5200000;29.7500000;14680300
20130410;000000;29.8200000;29.9970000;29.6040000;29.9440000;24883200
20130411;000000;29.9690000;30.0010000;28.6640000;28.8820000;24924300
20130412;000000;28.9020000;29.0530000;28.0660000;28.1990000;23431400
20130415;000000;27.9700000;28.1490000;27.2010000;27.5000000;36406100
20130416;000000;27.3620000;27.9740000;27.2110000;27.2290000;22279000
