<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;20.2100000;20.7700000;20.1710000;20.6500000;22640000
20130109;000000;20.6490000;20.9820000;20.5230000;20.7800000;34641200
20130110;000000;20.8100000;20.8500000;20.4480000;20.5050000;24265400
20130111;000000;20.5100000;20.5790000;20.4040000;20.4520000;21624800
20130114;000000;20.5020000;20.7440000;20.5020000;20.7000000;16849900
20130115;000000;20.6500000;20.9400000;20.5630000;20.7720000;19656000
20130116;000000;20.6990000;20.9380000;20.6720000;20.8700000;14249800
20130117;000000;20.8410000;21.2800000;20.8080000;21.2200000;26023100
20130118;000000;21.3000000;21.6550000;21.2500000;21.5920000;23634200
20130121;000000;21.6390000;21.6900000;21.2620000;21.5600000;12980700
20130122;000000;21.5600000;21.6760000;21.1600000;21.5750000;25142000
20130123;000000;21.6110000;21.6310000;21.3700000;21.4630000;19564600
20130124;000000;21.3510000;21.5700000;21.1500000;21.5550000;18294700
20130125;000000;21.5000000;21.9500000;21.2510000;21.9280000;32406600
20130128;000000;21.9290000;22.6630000;21.7210000;22.4790000;56005600
20130129;000000;22.3880000;22.5860000;22.1240000;22.2450000;23110200
20130130;000000;22.4000000;23.3570000;22.3950000;23.0400000;66746500
20130131;000000;22.9990000;23.2230000;22.5810000;22.8310000;45902500
20130201;000000;23.0560000;23.0780000;22.7650000;22.7990000;12226700
20130204;000000;22.9100000;23.0390000;22.2750000;22.4400000;17020700
20130205;000000;22.3690000;22.6450000;22.1010000;22.5900000;18431700
20130206;000000;22.6500000;22.9850000;22.5600000;22.6950000;31440600
20130207;000000;22.6950000;22.8200000;22.3200000;22.7040000;10788400
20130208;000000;22.7480000;22.7980000;22.4020000;22.5060000;12080900
20130211;000000;22.5100000;22.6000000;22.2510000;22.2800000;10323900
20130212;000000;22.2800000;22.3480000;22.0210000;22.3200000;24156200
20130213;000000;22.3200000;22.9120000;22.3200000;22.8000000;27081100
20130214;000000;22.8000000;23.0000000;22.4210000;22.6000000;22887300
20130215;000000;22.5500000;22.9670000;22.4600000;22.7810000;16173200
20130218;000000;22.7800000;22.8970000;22.7520000;22.8640000;9470900
20130219;000000;22.8640000;23.0890000;22.7940000;23.0250000;10312000
20130220;000000;23.0900000;23.1100000;22.9110000;23.0500000;17025700
20130221;000000;22.8800000;22.8800000;22.3010000;22.4800000;32369200
20130222;000000;22.5000000;22.6000000;22.4120000;22.5510000;11194300
20130225;000000;22.5010000;23.1800000;22.4020000;23.1790000;29637400
20130226;000000;22.9000000;22.9940000;22.7190000;22.8990000;21084400
20130227;000000;22.8990000;23.1010000;22.6030000;22.9700000;27455300
20130228;000000;23.0480000;23.1940000;22.5100000;22.5310000;33614800
20130301;000000;22.4900000;22.5100000;22.1500000;22.2400000;29678700
20130304;000000;22.1610000;22.2630000;21.7000000;21.7760000;28303300
20130305;000000;21.9100000;22.5500000;21.8500000;22.3770000;28546800
20130306;000000;22.5300000;22.8430000;22.4220000;22.5250000;28991500
20130307;000000;22.4800000;22.6980000;22.4050000;22.5010000;14530400
20130311;000000;22.7500000;22.8500000;22.5920000;22.6790000;15986800
20130312;000000;22.7000000;22.7460000;22.3010000;22.5300000;19317800
20130313;000000;22.4110000;22.6170000;22.2600000;22.3500000;14792500
20130314;000000;22.4500000;22.5490000;21.9650000;22.2600000;28918800
20130315;000000;22.4000000;22.4930000;21.9110000;21.9110000;27872900
20130318;000000;21.6000000;21.6500000;21.1500000;21.5510000;29442500
20130319;000000;21.6510000;21.7000000;21.3000000;21.3000000;17325700
20130320;000000;21.3000000;21.4440000;21.0500000;21.0610000;28963800
20130321;000000;21.1450000;21.4520000;21.0040000;21.0620000;28858200
20130322;000000;21.0130000;21.1480000;20.3410000;20.5000000;37908000
20130325;000000;20.7490000;21.1290000;20.7000000;20.9460000;44957100
20130326;000000;20.8390000;21.2790000;20.6580000;21.0090000;32436500
20130327;000000;21.2010000;21.4280000;21.1290000;21.3440000;22640000
20130328;000000;21.2820000;21.6500000;21.2340000;21.5500000;18862900
20130329;000000;21.4590000;21.6900000;21.3500000;21.6900000;12243700
20130401;000000;21.5750000;21.9460000;21.5500000;21.8150000;13785600
20130402;000000;21.8190000;21.9440000;21.6000000;21.7690000;16519200
20130403;000000;21.7010000;22.5000000;21.6310000;22.4700000;43319900
20130404;000000;22.2910000;22.8430000;21.9200000;21.9700000;62249000
20130405;000000;22.0490000;22.2400000;21.7700000;22.0780000;37306700
20130408;000000;22.1990000;22.5630000;21.9100000;22.1580000;16502600
20130409;000000;22.2500000;22.5470000;22.1450000;22.2350000;21703100
20130410;000000;22.3300000;22.5320000;22.2200000;22.3000000;24733300
20130411;000000;22.4000000;22.4680000;21.6000000;21.7980000;22803100
20130412;000000;21.6230000;22.0290000;21.4050000;21.5160000;21186600
20130415;000000;21.3170000;21.4730000;20.6500000;20.9570000;26735700
20130416;000000;20.8080000;21.0400000;20.5700000;20.6470000;21491500
20130417;000000;20.6500000;20.8260000;20.4100000;20.7200000;26807100
20130418;000000;20.6380000;21.4300000;20.5780000;21.2500000;19010300
20130419;000000;21.3400000;21.5000000;21.1100000;21.2210000;11676300
20130422;000000;21.2500000;21.6000000;20.6110000;20.8260000;27192700
20130423;000000;20.8450000;20.8500000;20.5000000;20.5380000;27081300
20130424;000000;20.6100000;21.0790000;20.2010000;20.8890000;30094300
20130425;000000;20.9980000;21.3700000;20.9130000;21.2920000;37410600
20130426;000000;21.3010000;22.1000000;21.1000000;21.7800000;48474000
20130429;000000;21.9000000;22.2990000;21.5000000;21.7000000;33868100
20130430;000000;21.9170000;22.1000000;20.8700000;21.9580000;50914400
20130502;000000;21.4000000;21.7350000;20.8500000;20.8600000;19399900
20130503;000000;21.0000000;21.3750000;20.6010000;21.3700000;20707600
20130506;000000;21.3910000;21.8500000;21.3750000;21.7520000;22211800
20130507;000000;21.7000000;21.9490000;21.7000000;21.7930000;32983900
20130508;000000;21.7930000;21.9900000;21.6000000;21.7770000;21822900
20130510;000000;21.8050000;22.0000000;21.7290000;21.9290000;15372700
20130513;000000;21.9290000;21.9400000;21.6130000;21.7850000;34061500
20130514;000000;21.7000000;21.9170000;21.4110000;21.7990000;55892300
20130515;000000;20.5000000;20.8660000;19.3500000;19.5500000;73438600
20130516;000000;19.6890000;19.7500000;19.3130000;19.5000000;36776500
20130517;000000;19.5000000;20.3610000;19.4150000;20.2900000;23483500
20130520;000000;20.2700000;20.4900000;19.7030000;19.7840000;27301800
20130521;000000;19.7510000;20.0640000;19.6000000;19.8630000;28809400
20130522;000000;19.9500000;20.2230000;19.8120000;19.9520000;32437800
20130523;000000;19.6000000;19.6870000;19.4420000;19.5050000;31278600
20130524;000000;19.6500000;19.7400000;19.5000000;19.5900000;22789400
20130527;000000;19.7800000;19.8740000;19.4600000;19.5680000;14881800
20130528;000000;19.6880000;20.0000000;19.6030000;19.8690000;21760300
20130529;000000;19.8790000;19.8790000;19.1120000;19.5000000;31337700
20130530;000000;19.4940000;19.8180000;19.4350000;19.7120000;24902600
20130531;000000;19.7750000;19.8070000;19.1610000;19.4430000;52189200
20130603;000000;19.3800000;19.8000000;19.2210000;19.6380000;41207900
20130604;000000;19.7400000;20.0000000;19.6630000;19.6730000;21645300
20130605;000000;19.5720000;19.9480000;19.5190000;19.6690000;28904000
20130606;000000;19.6050000;19.7420000;19.4600000;19.4980000;36797500
20130607;000000;19.6290000;20.2000000;19.5250000;19.9900000;33876800
20130610;000000;20.1490000;20.4500000;19.8510000;20.0120000;36135800
