<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;693.0000000;700.0000000;682.5000000;695.0000000;4500
20130109;000000;688.6000000;693.0000000;682.0000000;691.0000000;2000
20130110;000000;685.4000000;697.2000000;683.6000000;694.0000000;5090
20130111;000000;687.8000000;694.9000000;685.0000000;693.5000000;4080
20130114;000000;687.7000000;717.9000000;682.9000000;716.0000000;22650
20130115;000000;718.6000000;797.0000000;708.0000000;775.0000000;113830
20130116;000000;768.9000000;780.0000000;768.0000000;776.0000000;22240
20130117;000000;779.9000000;780.0000000;773.1000000;776.2000000;3550
20130118;000000;778.9000000;780.0000000;774.2000000;778.5000000;4550
20130121;000000;774.4000000;791.0000000;761.1000000;789.9000000;28040
20130122;000000;780.4000000;794.9000000;774.1000000;774.7000000;22910
20130123;000000;773.0000000;789.0000000;755.4000000;760.0000000;9440
20130124;000000;760.0000000;771.1000000;750.2000000;771.1000000;15930
20130125;000000;776.9000000;789.9000000;774.0000000;789.9000000;16320
20130128;000000;790.0000000;790.0000000;771.9000000;782.3000000;22020
20130129;000000;788.9000000;788.9000000;777.3000000;784.0000000;20660
20130130;000000;782.5000000;788.5000000;773.7000000;779.2000000;6760
20130131;000000;775.5000000;783.0000000;769.8000000;782.9000000;7930
20130201;000000;788.4000000;798.9000000;778.9000000;796.0000000;23180
20130204;000000;800.0000000;820.0000000;793.0000000;803.9000000;25330
20130205;000000;801.8000000;814.0000000;781.6000000;786.2000000;19270
20130206;000000;788.5000000;805.0000000;780.0000000;788.9000000;6650
20130207;000000;786.0000000;799.8000000;780.0000000;793.9000000;8110
20130208;000000;794.4000000;794.4000000;773.0000000;786.2000000;11310
20130211;000000;777.2000000;793.5000000;771.8000000;780.8000000;9360
20130212;000000;772.2000000;779.2000000;760.0000000;774.0000000;9680
20130213;000000;778.9000000;799.0000000;774.0000000;793.6000000;19550
20130214;000000;790.5000000;794.8000000;783.3000000;789.5000000;11050
20130215;000000;789.8000000;799.0000000;783.5000000;790.0000000;11460
20130218;000000;789.9000000;800.0000000;786.8000000;790.0000000;1880
20130219;000000;788.7000000;797.9000000;778.8000000;778.8000000;6090
20130220;000000;775.6000000;793.0000000;775.6000000;792.0000000;13500
20130221;000000;790.0000000;792.0000000;775.4000000;786.5000000;8040
20130222;000000;791.4000000;799.9000000;785.2000000;797.0000000;12190
20130225;000000;800.0000000;806.0000000;797.0000000;797.5000000;13080
20130226;000000;799.6000000;799.6000000;789.6000000;794.0000000;8870
