<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;24.5200000;24.5200000;22.8500000;23.2500000;3790
20130109;000000;23.9700000;23.9700000;23.1000000;23.4000000;1500
20130110;000000;23.5600000;24.1400000;23.0300000;23.4300000;410
20130111;000000;23.1000000;24.5000000;22.1800000;24.0100000;6290
20130114;000000;23.5200000;23.9700000;23.2000000;23.9700000;2230
20130115;000000;23.9800000;23.9800000;22.0000000;23.1400000;5600
20130116;000000;23.0000000;23.3200000;22.5200000;23.0300000;1480
20130117;000000;23.0200000;23.0200000;22.4400000;22.9900000;370
20130121;000000;22.4600000;22.9700000;22.4300000;22.9500000;300
20130122;000000;22.9800000;23.9900000;22.9800000;23.1100000;1490
20130123;000000;23.0500000;23.9100000;22.5000000;22.5400000;1630
20130124;000000;22.7600000;23.7000000;22.5000000;22.9000000;830
20130125;000000;23.1900000;23.1900000;22.5000000;22.9600000;1540
20130128;000000;23.2900000;23.2900000;23.1300000;23.1300000;20
20130129;000000;23.0000000;23.0000000;22.7300000;22.9900000;80
20130130;000000;22.7300000;22.9500000;22.5500000;22.9500000;190
20130131;000000;22.8800000;22.8900000;22.8800000;22.8900000;100
20130201;000000;22.5700000;22.5700000;22.5500000;22.5500000;20
20130204;000000;23.0000000;23.0000000;22.9900000;22.9900000;60
20130205;000000;23.0000000;24.0000000;23.0000000;24.0000000;1190
20130206;000000;23.1700000;24.3200000;23.1700000;23.1700000;120
20130207;000000;22.9400000;22.9400000;21.0500000;22.0500000;2850
20130208;000000;22.7400000;22.7400000;21.5000000;21.8100000;1360
20130211;000000;21.8300000;22.0400000;21.1000000;21.6100000;730
20130212;000000;21.8200000;21.8200000;20.6900000;21.3800000;920
20130213;000000;21.6000000;22.2300000;21.6000000;22.0200000;70
20130214;000000;21.8000000;22.0200000;20.7400000;21.1600000;370
20130215;000000;21.3700000;21.9700000;20.5200000;21.9000000;690
20130218;000000;21.3600000;21.3600000;21.3600000;21.3600000;10
20130219;000000;21.7800000;21.7900000;21.5700000;21.7700000;50
20130220;000000;21.8000000;24.9100000;21.8000000;23.0000000;6590
20130221;000000;22.7100000;22.7100000;22.7000000;22.7000000;80
20130222;000000;23.0000000;23.0000000;21.3700000;21.3700000;20
20130225;000000;21.2900000;22.1800000;20.1000000;22.1800000;930
