<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.2587700;0.2587700;0.2060100;0.2060100;50000
20130110;000000;0.2100100;0.2100100;0.2100000;0.2100000;130000
20130114;000000;0.2299700;0.2300000;0.2200000;0.2200000;970000
20130116;000000;0.2299900;0.2300000;0.2299900;0.2300000;110000
20130117;000000;0.2303500;0.2303500;0.2130500;0.2239400;330000
20130121;000000;0.2239700;0.2245100;0.2239700;0.2244100;130000
20130122;000000;0.2230100;0.2230100;0.2230000;0.2230000;30000
20130128;000000;0.2272900;0.2273000;0.2200000;0.2250000;380000
20130129;000000;0.2185000;0.2299600;0.2131000;0.2299600;90000
20130130;000000;0.2092100;0.2209500;0.2092100;0.2209500;180000
20130131;000000;0.2140000;0.2187600;0.2100300;0.2187600;80000
20130201;000000;0.2060900;0.2100000;0.2060900;0.2090000;100000
20130204;000000;0.2259100;0.2282200;0.2100000;0.2189900;980000
20130205;000000;0.2100300;0.2150000;0.2100000;0.2150000;150000
20130208;000000;0.2149900;0.2150000;0.2149900;0.2150000;100000
20130211;000000;0.2249500;0.2282000;0.2249500;0.2282000;20000
20130212;000000;0.2277200;0.2449400;0.2277200;0.2449400;30000
20130213;000000;0.2248600;0.2498300;0.2210000;0.2210000;280000
20130214;000000;0.2494700;0.2494700;0.2250000;0.2480000;290000
20130215;000000;0.2250700;0.2329700;0.2060000;0.2250000;280000
20130220;000000;0.2116800;0.2116800;0.2116800;0.2116800;10000
20130221;000000;0.2115100;0.2300000;0.2115100;0.2250000;270000
20130222;000000;0.2350000;0.2350000;0.2230700;0.2230700;130000
20130227;000000;0.2130500;0.2130500;0.2115700;0.2115700;80000
20130228;000000;0.2209200;0.2209200;0.2101000;0.2101000;50000
20130301;000000;0.2008000;0.2139300;0.1920000;0.2137800;190000
20130304;000000;0.2002200;0.2089300;0.1920000;0.1920000;150000
20130306;000000;0.1933500;0.1933500;0.1920000;0.1920000;40000
20130307;000000;0.1902000;0.1902000;0.1901900;0.1901900;20000
20130311;000000;0.1900000;0.1900000;0.1900000;0.1900000;20000
20130318;000000;0.1770000;0.1800000;0.1570000;0.1720000;1020000
20130325;000000;0.1750000;0.1750000;0.1750000;0.1750000;20000
20130326;000000;0.1700000;0.1700000;0.1700000;0.1700000;70000
20130411;000000;0.1576000;0.1576000;0.1575700;0.1575700;50000
20130426;000000;0.1799500;0.1799500;0.1799500;0.1799500;20000
20130523;000000;0.1207700;0.1207700;0.1207700;0.1207700;10000
20130528;000000;0.1100400;0.1678900;0.0724600;0.1678900;710000
20130604;000000;0.1580000;0.2250000;0.1580000;0.2250000;340000
20130605;000000;0.1950000;0.2100000;0.1950000;0.2100000;20000
20130606;000000;0.1435700;0.1435700;0.1435600;0.1435700;500000
20130618;000000;0.1434000;0.1434000;0.1400000;0.1400000;2430000
20130701;000000;0.1129500;0.1489900;0.1129500;0.1489900;20000
20130802;000000;0.1200000;0.1200000;0.1200000;0.1200000;240000
20130808;000000;0.1484900;0.1490000;0.1484900;0.1490000;70000
20130819;000000;0.1489900;0.1489900;0.1489900;0.1489900;20000
20130826;000000;0.1490000;0.1490000;0.1490000;0.1490000;10000
20130828;000000;0.1147800;0.1147800;0.1147800;0.1147800;10000
20130903;000000;0.1499900;0.1499900;0.1499900;0.1499900;10000
20130912;000000;0.1300000;0.1333300;0.1300000;0.1333300;70000
20130913;000000;0.1333300;0.1333300;0.1333300;0.1333300;10000
20131025;000000;0.0816500;0.0911000;0.0800000;0.0816600;1410000
20131028;000000;0.0800000;0.0829700;0.0777700;0.0777700;680000
20131031;000000;0.0667300;0.0687400;0.0500500;0.0650000;740000
20131101;000000;0.0640800;0.0640800;0.0550100;0.0550100;810000
20131105;000000;0.0550100;0.0639800;0.0510100;0.0599900;1580000
20131106;000000;0.0514000;0.0514000;0.0514000;0.0514000;10000
20131107;000000;0.0589400;0.0590000;0.0550000;0.0550000;70000
20131108;000000;0.0516100;0.0555500;0.0334500;0.0471000;2060000
20131111;000000;0.0529700;0.0538800;0.0488100;0.0488100;80000
20131112;000000;0.0485100;0.0490000;0.0485000;0.0490000;250000
20131113;000000;0.0499000;0.0499100;0.0498900;0.0499000;180000
20131114;000000;0.0451900;0.0480100;0.0432500;0.0480100;640000
20131118;000000;0.0511600;0.0659900;0.0511600;0.0658000;490000
20131119;000000;0.0657500;0.0685000;0.0657500;0.0685000;80000
20131120;000000;0.0550000;0.0688700;0.0550000;0.0679100;80000
20131121;000000;0.0698400;0.0756600;0.0550000;0.0570000;1600000
20131122;000000;0.0530200;0.0624800;0.0525100;0.0554000;790000
20131125;000000;0.0560000;0.0560000;0.0560000;0.0560000;340000
20131202;000000;0.0457000;0.0457000;0.0457000;0.0457000;10000
20131210;000000;0.0465500;0.0465500;0.0465500;0.0465500;10000
20131212;000000;0.0500000;0.0500000;0.0500000;0.0500000;80000
20131223;000000;0.0572900;0.0584000;0.0550000;0.0584000;280000
20131224;000000;0.0584000;0.0584000;0.0583900;0.0584000;470000
20131225;000000;0.0560100;0.0638400;0.0560100;0.0590000;190000
20131226;000000;0.0688000;0.0699000;0.0666000;0.0666000;110000
20131227;000000;0.0581000;0.0581000;0.0581000;0.0581000;20000
20131230;000000;0.0587100;0.0587100;0.0587000;0.0587000;30000
