<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;106.6000000;108.0500000;101.0100000;107.9900000;160050
20130109;000000;107.1300000;108.0000000;106.9800000;107.5000000;110890
20130110;000000;106.9500000;107.1000000;105.4000000;105.4000000;353370
20130111;000000;106.4500000;106.4500000;104.8800000;105.5500000;279190
20130114;000000;105.4800000;106.6000000;105.4800000;105.9800000;155630
20130115;000000;106.7300000;106.7300000;105.0000000;105.0100000;433450
20130116;000000;105.0100000;105.4000000;105.0100000;105.1100000;208870
20130117;000000;105.1200000;105.5000000;104.8800000;104.9500000;244320
20130118;000000;105.1100000;106.3000000;105.0500000;106.0000000;330050
20130121;000000;105.8000000;105.8600000;105.1400000;105.6000000;256250
20130122;000000;105.2800000;106.0000000;105.2700000;105.5000000;281320
20130123;000000;105.5700000;106.5500000;105.3000000;105.7000000;107490
20130124;000000;105.6000000;106.3500000;105.2200000;106.1000000;104040
20130125;000000;106.2700000;106.5500000;105.5000000;106.1100000;86090
20130128;000000;106.5000000;107.9800000;106.0200000;107.7000000;353720
20130129;000000;106.5300000;107.9900000;106.5200000;106.6600000;210680
20130130;000000;106.7000000;107.6000000;106.2600000;106.2600000;110100
20130131;000000;106.2600000;107.2500000;105.7500000;106.6000000;129570
20130201;000000;106.8800000;106.8900000;106.0500000;106.2000000;229910
20130204;000000;106.1500000;107.6300000;106.1300000;106.5100000;231970
20130205;000000;107.0000000;107.4000000;106.5400000;107.1400000;290450
20130206;000000;107.4900000;107.6300000;106.2800000;106.8900000;150010
20130207;000000;106.8600000;107.5000000;106.2500000;107.3400000;171220
20130208;000000;106.7300000;107.5800000;106.5000000;107.5700000;323180
20130211;000000;107.4000000;108.9800000;107.0200000;107.8100000;435470
20130212;000000;107.7900000;109.9900000;107.0200000;108.0000000;454110
20130213;000000;108.0000000;109.1000000;107.6800000;109.0000000;464830
20130214;000000;109.0900000;109.7000000;108.4500000;109.7000000;345730
20130215;000000;109.1100000;111.9800000;108.9700000;111.6800000;960770
20130218;000000;111.7000000;113.0000000;111.3800000;111.8500000;142090
20130219;000000;111.7600000;112.8000000;111.7600000;112.8000000;344630
20130220;000000;112.2200000;112.9300000;111.0000000;111.0000000;219780
20130221;000000;110.0700000;110.9700000;109.0400000;110.0100000;449640
20130222;000000;110.3900000;113.0000000;110.2600000;111.0000000;252480
20130225;000000;111.0000000;111.0000000;110.1200000;110.4000000;124630
20130226;000000;110.2000000;110.5900000;109.5800000;110.0500000;150320
20130227;000000;110.1700000;110.1700000;107.0600000;107.2500000;180290
20130228;000000;107.8000000;108.9000000;107.8000000;108.0000000;101450
20130301;000000;107.5200000;108.5000000;106.8500000;107.7500000;171100
20130304;000000;107.9000000;109.4800000;107.1200000;108.5000000;97760
20130305;000000;108.9800000;109.8600000;108.3000000;109.1700000;136800
20130306;000000;109.0100000;112.0000000;109.0000000;111.1800000;169030
20130307;000000;111.9600000;111.9900000;110.0100000;111.7600000;129420
20130311;000000;111.9900000;112.2500000;111.0000000;112.0000000;58630
20130312;000000;111.7300000;111.9900000;111.2200000;111.5000000;69950
20130313;000000;111.0200000;111.9900000;111.0000000;111.9900000;158790
20130314;000000;111.5000000;112.2500000;110.5100000;111.5600000;233960
20130315;000000;111.7000000;111.9800000;111.0000000;111.0000000;118940
20130318;000000;110.6100000;110.6100000;106.9000000;108.4000000;226330
20130319;000000;108.0200000;108.6700000;107.5000000;107.7000000;52470
20130320;000000;107.6600000;108.2000000;106.9100000;107.9800000;111800
20130321;000000;108.2000000;109.0000000;107.2900000;109.0000000;87830
20130322;000000;108.5900000;108.5900000;105.9800000;105.9900000;115600
20130325;000000;107.2500000;107.7500000;105.1000000;105.2600000;144770
20130326;000000;106.2800000;107.5000000;106.0000000;106.0000000;352610
20130327;000000;106.5600000;107.2400000;106.0700000;107.0000000;413340
20130328;000000;106.6500000;107.7500000;106.0900000;107.6500000;277820
20130329;000000;107.3000000;108.9500000;107.0000000;108.9500000;119630
20130401;000000;108.2600000;109.8800000;108.0000000;109.0800000;84060
20130402;000000;109.1100000;110.8800000;108.0000000;108.0600000;211350
20130403;000000;108.5900000;109.2000000;108.0500000;108.1500000;80260
20130404;000000;108.8700000;109.2500000;104.3000000;106.5100000;296340
20130405;000000;106.2800000;108.4500000;106.0600000;107.2400000;110990
20130408;000000;107.4900000;107.9800000;106.1000000;106.1000000;111850
20130409;000000;106.7500000;107.2000000;106.1000000;106.1600000;162670
20130410;000000;106.2000000;108.0000000;106.0200000;107.3600000;653780
20130411;000000;107.3500000;108.7000000;106.2000000;106.2000000;326250
20130412;000000;106.8500000;106.8800000;104.0500000;104.0500000;147230
20130415;000000;104.0500000;104.0500000;99.0000000;100.0000000;432960
20130416;000000;100.0000000;100.2000000;99.0000000;99.0300000;162420
20130417;000000;99.9900000;99.9900000;97.5000000;98.5000000;478470
20130418;000000;98.7500000;100.5000000;98.5000000;99.0600000;268690
20130419;000000;100.0000000;100.0700000;98.7300000;99.8500000;393770
