<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.0069500;0.0070800;0.0067000;0.0070800;2799400000
20130109;000000;0.0070800;0.0071900;0.0069400;0.0071800;4945100000
20130110;000000;0.0072000;0.0075200;0.0071300;0.0075000;9409200000
20130111;000000;0.0075200;0.0077100;0.0075000;0.0076000;7442400000
20130114;000000;0.0076000;0.0076900;0.0073100;0.0076000;5232700000
20130115;000000;0.0076200;0.0076800;0.0075200;0.0075600;8329200000
20130116;000000;0.0075900;0.0076000;0.0074900;0.0075500;1285100000
20130117;000000;0.0075100;0.0076100;0.0075000;0.0076000;2611500000
20130118;000000;0.0076000;0.0078300;0.0075700;0.0078300;4340500000
20130121;000000;0.0078400;0.0079500;0.0077200;0.0079500;6642000000
20130122;000000;0.0079700;0.0080000;0.0079000;0.0079500;1585000000
20130123;000000;0.0079100;0.0082000;0.0079000;0.0081300;1797900000
20130124;000000;0.0081700;0.0082500;0.0079000;0.0081500;1912200000
20130125;000000;0.0081500;0.0083000;0.0080900;0.0082700;2167700000
20130128;000000;0.0082100;0.0084700;0.0080200;0.0082300;3806500000
20130129;000000;0.0081000;0.0081900;0.0075100;0.0081300;3667500000
20130130;000000;0.0080500;0.0081300;0.0078500;0.0079000;2279700000
20130131;000000;0.0078000;0.0079300;0.0076800;0.0079000;1574900000
20130201;000000;0.0079800;0.0082500;0.0078700;0.0078900;2391900000
20130204;000000;0.0079300;0.0079300;0.0075200;0.0075400;1674800000
20130205;000000;0.0075000;0.0075000;0.0072300;0.0072600;3228900000
20130206;000000;0.0072700;0.0074300;0.0072000;0.0074200;2081100000
20130207;000000;0.0074100;0.0078200;0.0073000;0.0077300;5746700000
20130208;000000;0.0078400;0.0079800;0.0075200;0.0077200;2586100000
20130211;000000;0.0077200;0.0078000;0.0075600;0.0077000;1011000000
20130212;000000;0.0076500;0.0077000;0.0075100;0.0076500;656300000
20130213;000000;0.0076400;0.0079500;0.0076400;0.0079100;4014900000
20130214;000000;0.0079400;0.0081500;0.0077800;0.0079400;3946200000
20130215;000000;0.0079300;0.0080100;0.0077500;0.0079200;2276700000
20130218;000000;0.0080100;0.0080100;0.0078600;0.0079400;618900000
20130219;000000;0.0078700;0.0081000;0.0078700;0.0079400;2465900000
20130220;000000;0.0080000;0.0080300;0.0079100;0.0079900;416200000
20130221;000000;0.0078500;0.0079300;0.0077000;0.0078500;2345200000
20130222;000000;0.0077700;0.0079800;0.0077700;0.0079800;1064500000
20130225;000000;0.0080400;0.0081500;0.0079000;0.0079400;267400000
20130226;000000;0.0078000;0.0079300;0.0072400;0.0076600;845700000
20130227;000000;0.0076700;0.0077400;0.0075500;0.0076000;574700000
20130228;000000;0.0076500;0.0078500;0.0073300;0.0076700;1254100000
20130301;000000;0.0075800;0.0078400;0.0073800;0.0075300;519400000
20130304;000000;0.0074800;0.0075700;0.0074700;0.0075100;1448900000
20130305;000000;0.0075100;0.0076000;0.0074300;0.0075600;370800000
20130306;000000;0.0074500;0.0077700;0.0074500;0.0077400;1252400000
20130307;000000;0.0076800;0.0078900;0.0076000;0.0077300;2518700000
20130311;000000;0.0077800;0.0078500;0.0076500;0.0076900;559200000
20130312;000000;0.0076900;0.0077000;0.0073600;0.0073900;842700000
20130313;000000;0.0073500;0.0075000;0.0072000;0.0073300;2103500000
20130314;000000;0.0074000;0.0074000;0.0070000;0.0070800;1297300000
20130315;000000;0.0071200;0.0072200;0.0068500;0.0068700;1972000000
20130318;000000;0.0068100;0.0069900;0.0065200;0.0069400;2456000000
20130319;000000;0.0069300;0.0071500;0.0068700;0.0069100;4228500000
20130320;000000;0.0069000;0.0069800;0.0067700;0.0069700;2972200000
20130321;000000;0.0069700;0.0070500;0.0068900;0.0069400;2742000000
20130322;000000;0.0068100;0.0070000;0.0067500;0.0068800;681500000
20130325;000000;0.0068200;0.0069300;0.0066100;0.0066200;529900000
20130326;000000;0.0066000;0.0067300;0.0062100;0.0063300;2913100000
20130327;000000;0.0063000;0.0064900;0.0060300;0.0062000;1635200000
20130328;000000;0.0061100;0.0065400;0.0060900;0.0064400;1955500000
20130329;000000;0.0064300;0.0066000;0.0063300;0.0065000;457300000
20130401;000000;0.0063500;0.0065300;0.0063500;0.0063900;123200000
20130402;000000;0.0064200;0.0065800;0.0064000;0.0064600;757300000
20130403;000000;0.0064100;0.0064100;0.0061600;0.0063200;1029900000
20130404;000000;0.0061500;0.0064200;0.0061100;0.0063200;470000000
20130405;000000;0.0061900;0.0063300;0.0061100;0.0062800;465300000
20130408;000000;0.0064000;0.0064000;0.0061700;0.0061700;1813800000
20130409;000000;0.0062000;0.0062500;0.0057500;0.0058500;5882200000
20130410;000000;0.0057600;0.0059000;0.0054200;0.0055600;9598100000
20130411;000000;0.0056800;0.0057600;0.0054500;0.0056800;10966400000
20130412;000000;0.0057000;0.0057600;0.0055100;0.0055400;3194900000
20130415;000000;0.0055000;0.0055400;0.0051300;0.0053000;1714200000
20130416;000000;0.0052800;0.0056300;0.0052700;0.0056000;2599400000
20130417;000000;0.0056400;0.0056500;0.0053100;0.0055700;1400700000
20130418;000000;0.0054500;0.0058500;0.0054300;0.0057600;2471400000
20130419;000000;0.0057600;0.0059000;0.0055200;0.0056000;1518800000
20130422;000000;0.0056000;0.0057600;0.0055300;0.0056500;617400000
20130423;000000;0.0057700;0.0058500;0.0056000;0.0057900;1096300000
20130424;000000;0.0057900;0.0062800;0.0057800;0.0061500;1266000000
20130425;000000;0.0062100;0.0064300;0.0062100;0.0063800;1011300000
20130426;000000;0.0063800;0.0065200;0.0061700;0.0062500;1656600000
20130429;000000;0.0063000;0.0063000;0.0060100;0.0061500;552100000
20130430;000000;0.0061500;0.0063500;0.0060900;0.0063300;1805300000
20130502;000000;0.0061800;0.0064000;0.0061800;0.0063900;355800000
20130503;000000;0.0065000;0.0066000;0.0062800;0.0064900;569700000
20130506;000000;0.0064900;0.0066300;0.0063900;0.0065000;5039700000
20130507;000000;0.0065600;0.0065600;0.0064500;0.0065400;422300000
20130508;000000;0.0065600;0.0065600;0.0064000;0.0064900;439500000
20130510;000000;0.0064100;0.0065500;0.0063100;0.0063100;92300000
20130513;000000;0.0063200;0.0065000;0.0061500;0.0064300;595500000
20130514;000000;0.0064700;0.0065600;0.0063700;0.0064400;831300000
20130515;000000;0.0065100;0.0065200;0.0063800;0.0064400;903700000
20130516;000000;0.0065000;0.0065000;0.0062200;0.0063000;2505500000
20130517;000000;0.0063500;0.0064300;0.0062100;0.0063800;520700000
20130520;000000;0.0064400;0.0065000;0.0062700;0.0064500;1522300000
20130521;000000;0.0063000;0.0064400;0.0062900;0.0064000;247400000
20130522;000000;0.0064200;0.0064900;0.0063000;0.0064900;1911100000
20130523;000000;0.0064000;0.0064400;0.0062000;0.0062500;613400000
20130524;000000;0.0063500;0.0063500;0.0059000;0.0059900;988200000
20130527;000000;0.0059100;0.0061000;0.0059000;0.0060200;730900000
20130528;000000;0.0061000;0.0062900;0.0060100;0.0061500;1507800000
20130529;000000;0.0061800;0.0061800;0.0059000;0.0059700;586300000
20130530;000000;0.0059700;0.0061100;0.0059300;0.0059800;579800000
20130531;000000;0.0059800;0.0060700;0.0058800;0.0059500;256400000
20130603;000000;0.0058100;0.0060900;0.0056100;0.0060000;922000000
20130604;000000;0.0060800;0.0061600;0.0060000;0.0061500;490400000
20130605;000000;0.0061500;0.0061500;0.0059000;0.0059000;354800000
20130606;000000;0.0059700;0.0059700;0.0056700;0.0056700;2330700000
20130607;000000;0.0057100;0.0059100;0.0056700;0.0058400;555900000
20130610;000000;0.0058200;0.0059900;0.0058200;0.0059900;260700000
20130611;000000;0.0059000;0.0059300;0.0056800;0.0057700;168900000
20130613;000000;0.0057100;0.0058800;0.0056000;0.0058700;392400000
20130614;000000;0.0058800;0.0061600;0.0058400;0.0061500;807600000
20130617;000000;0.0063000;0.0072900;0.0061200;0.0064400;4216500000
20130618;000000;0.0064000;0.0065000;0.0063100;0.0064900;161000000
20130619;000000;0.0063100;0.0064000;0.0062500;0.0063900;163300000
20130620;000000;0.0062100;0.0063500;0.0059000;0.0063400;458500000
20130621;000000;0.0062500;0.0064400;0.0062300;0.0063300;183600000
20130624;000000;0.0062000;0.0063300;0.0061000;0.0062400;120900000
20130625;000000;0.0062500;0.0065800;0.0062300;0.0065400;1426500000
20130626;000000;0.0066000;0.0069000;0.0065000;0.0067000;1716200000
20130627;000000;0.0065600;0.0069000;0.0064300;0.0066300;657900000
20130628;000000;0.0066700;0.0067400;0.0066000;0.0066500;1034900000
20130701;000000;0.0066400;0.0067900;0.0065200;0.0067300;2488900000
20130702;000000;0.0067500;0.0067500;0.0065500;0.0067500;780700000
20130703;000000;0.0067200;0.0068000;0.0065100;0.0067300;399400000
20130704;000000;0.0068500;0.0068500;0.0066100;0.0067200;300700000
