<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.0049000;0.0050500;0.0049000;0.0050500;2400000
20130109;000000;0.0050400;0.0051000;0.0050400;0.0050800;11200000
20130110;000000;0.0050200;0.0050200;0.0050200;0.0050200;3200000
20130111;000000;0.0051000;0.0051000;0.0041000;0.0049000;26400000
20130114;000000;0.0049300;0.0049300;0.0049000;0.0049200;2800000
20130115;000000;0.0049200;0.0049400;0.0049200;0.0049400;5700000
20130116;000000;0.0049000;0.0053000;0.0049000;0.0053000;17200000
20130117;000000;0.0052100;0.0057800;0.0048300;0.0053900;41300000
20130118;000000;0.0052200;0.0058000;0.0052200;0.0054700;14200000
20130121;000000;0.0053500;0.0058000;0.0053500;0.0058000;14700000
20130122;000000;0.0057000;0.0063300;0.0057000;0.0062000;109700000
20130123;000000;0.0062500;0.0071300;0.0043300;0.0071200;254800000
20130124;000000;0.0070000;0.0075000;0.0063000;0.0069000;398200000
20130125;000000;0.0070000;0.0070000;0.0062000;0.0068100;97000000
20130128;000000;0.0067300;0.0069700;0.0066400;0.0069200;44000000
20130129;000000;0.0068600;0.0068600;0.0066500;0.0068200;14900000
20130130;000000;0.0068600;0.0068600;0.0066700;0.0068500;12800000
20130131;000000;0.0066100;0.0068000;0.0060200;0.0064000;38600000
20130201;000000;0.0063200;0.0066400;0.0063200;0.0065600;12700000
20130204;000000;0.0065600;0.0066900;0.0065100;0.0065100;5300000
20130205;000000;0.0065900;0.0065900;0.0064100;0.0065800;3200000
20130206;000000;0.0064900;0.0065800;0.0064900;0.0065800;800000
20130207;000000;0.0064500;0.0068100;0.0064500;0.0068100;21000000
20130208;000000;0.0063600;0.0068000;0.0063600;0.0068000;5500000
20130211;000000;0.0067900;0.0067900;0.0063700;0.0064500;5600000
20130212;000000;0.0065900;0.0066900;0.0063000;0.0065200;11800000
20130213;000000;0.0065200;0.0065700;0.0064800;0.0064800;1600000
20130214;000000;0.0065000;0.0065600;0.0065000;0.0065600;3100000
20130215;000000;0.0065000;0.0065500;0.0064000;0.0064000;2700000
20130218;000000;0.0065000;0.0065800;0.0065000;0.0065800;900000
20130219;000000;0.0065000;0.0065000;0.0064100;0.0064900;4300000
20130220;000000;0.0065000;0.0065000;0.0060000;0.0061000;54100000
20130221;000000;0.0061600;0.0072100;0.0059100;0.0063200;135300000
20130222;000000;0.0063200;0.0064900;0.0058100;0.0061400;89100000
20130225;000000;0.0061300;0.0062200;0.0060000;0.0060000;13900000
20130226;000000;0.0060500;0.0060500;0.0058000;0.0059500;26200000
20130227;000000;0.0059000;0.0059500;0.0058300;0.0059400;1100000
20130228;000000;0.0059300;0.0061600;0.0059200;0.0059700;11100000
20130301;000000;0.0059500;0.0059700;0.0058000;0.0059700;2100000
20130304;000000;0.0058100;0.0060500;0.0057600;0.0059000;7300000
20130305;000000;0.0058700;0.0061100;0.0045000;0.0059000;15300000
20130306;000000;0.0058900;0.0059300;0.0057500;0.0057900;2900000
20130307;000000;0.0057900;0.0059200;0.0057800;0.0058100;9900000
20130311;000000;0.0057300;0.0060000;0.0055000;0.0058700;5200000
20130312;000000;0.0057600;0.0058200;0.0055000;0.0058200;5200000
20130313;000000;0.0057000;0.0057600;0.0053100;0.0057600;7400000
20130314;000000;0.0056500;0.0057300;0.0055100;0.0056000;3300000
20130315;000000;0.0056000;0.0057200;0.0055100;0.0056400;1100000
20130318;000000;0.0056100;0.0056100;0.0056000;0.0056000;400000
20130319;000000;0.0056400;0.0056400;0.0055000;0.0055000;200000
20130320;000000;0.0054500;0.0055700;0.0053300;0.0055700;2900000
20130321;000000;0.0053600;0.0061200;0.0053600;0.0059800;12300000
20130322;000000;0.0061000;0.0061000;0.0058400;0.0058400;200000
20130325;000000;0.0059000;0.0059000;0.0058000;0.0058000;300000
20130326;000000;0.0057200;0.0057200;0.0054000;0.0054000;8400000
20130327;000000;0.0054000;0.0055700;0.0050000;0.0053600;14600000
20130328;000000;0.0054200;0.0054200;0.0053000;0.0054100;2700000
20130329;000000;0.0054700;0.0054700;0.0053100;0.0054600;1600000
20130401;000000;0.0053000;0.0054000;0.0051900;0.0052900;3100000
20130402;000000;0.0052500;0.0053800;0.0052500;0.0053600;15100000
20130403;000000;0.0052000;0.0052700;0.0050400;0.0051000;38800000
20130404;000000;0.0051400;0.0051400;0.0049200;0.0050900;1300000
20130405;000000;0.0050000;0.0054700;0.0050000;0.0050800;4800000
20130408;000000;0.0051800;0.0052900;0.0048000;0.0049700;22400000
