<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.0015800;0.0015800;0.0015100;0.0015300;67000000
20130109;000000;0.0015300;0.0015300;0.0015200;0.0015200;21000000
20130110;000000;0.0015200;0.0015200;0.0014900;0.0015000;160000000
20130111;000000;0.0015000;0.0015900;0.0015000;0.0015400;1214000000
20130114;000000;0.0015500;0.0015900;0.0015400;0.0015500;560000000
20130115;000000;0.0015200;0.0015600;0.0015000;0.0015300;211000000
20130116;000000;0.0015500;0.0015600;0.0015100;0.0015300;62000000
20130117;000000;0.0015400;0.0015400;0.0015000;0.0015300;193000000
20130118;000000;0.0015100;0.0016200;0.0015100;0.0015600;705000000
20130121;000000;0.0015600;0.0015600;0.0015500;0.0015500;127000000
20130122;000000;0.0015500;0.0015600;0.0015100;0.0015300;110000000
20130123;000000;0.0015100;0.0015600;0.0014700;0.0015500;488000000
20130124;000000;0.0015300;0.0015500;0.0015300;0.0015400;85000000
20130125;000000;0.0015300;0.0015500;0.0015100;0.0015400;266000000
20130128;000000;0.0015600;0.0015600;0.0015500;0.0015500;23000000
20130129;000000;0.0015100;0.0015500;0.0015100;0.0015200;370000000
20130130;000000;0.0015400;0.0015600;0.0015400;0.0015400;105000000
20130131;000000;0.0015100;0.0015400;0.0015000;0.0015200;597000000
20130201;000000;0.0015200;0.0015200;0.0015200;0.0015200;54000000
20130204;000000;0.0015300;0.0016900;0.0015300;0.0016100;818000000
20130205;000000;0.0016300;0.0016300;0.0015200;0.0015900;309000000
20130206;000000;0.0016400;0.0017000;0.0016000;0.0016000;432000000
20130207;000000;0.0016400;0.0016400;0.0016100;0.0016200;338000000
20130208;000000;0.0016300;0.0016400;0.0016300;0.0016300;325000000
20130211;000000;0.0016400;0.0016600;0.0016400;0.0016600;425000000
20130212;000000;0.0016900;0.0017000;0.0016600;0.0016600;622000000
20130213;000000;0.0016600;0.0017100;0.0016500;0.0016600;197000000
20130214;000000;0.0016600;0.0016600;0.0016400;0.0016400;108000000
20130215;000000;0.0016300;0.0016400;0.0016300;0.0016400;300000000
20130218;000000;0.0016400;0.0017000;0.0016000;0.0016000;223000000
20130219;000000;0.0016400;0.0016600;0.0016100;0.0016400;18000000
20130220;000000;0.0016100;0.0016400;0.0016000;0.0016000;273000000
20130221;000000;0.0016000;0.0018500;0.0015800;0.0017400;42821000000
20130222;000000;0.0017500;0.0018500;0.0016300;0.0016300;2080000000
20130225;000000;0.0016700;0.0017200;0.0016000;0.0017100;28113000000
20130226;000000;0.0016500;0.0017100;0.0016000;0.0016300;468000000
20130227;000000;0.0016200;0.0016600;0.0016100;0.0016300;56000000
20130228;000000;0.0016300;0.0016700;0.0016000;0.0016400;217000000
20130301;000000;0.0016400;0.0016800;0.0016000;0.0016400;121000000
20130304;000000;0.0016300;0.0017300;0.0016100;0.0016200;479000000
20130305;000000;0.0015600;0.0016900;0.0015600;0.0016700;271000000
20130306;000000;0.0016300;0.0017000;0.0016000;0.0016000;988000000
20130307;000000;0.0015900;0.0016500;0.0015900;0.0016000;379000000
20130311;000000;0.0016000;0.0016000;0.0015800;0.0015900;161000000
20130312;000000;0.0015800;0.0015900;0.0015400;0.0015500;271000000
20130313;000000;0.0015400;0.0015600;0.0015300;0.0015400;169000000
20130314;000000;0.0015300;0.0015400;0.0015200;0.0015200;347000000
20130315;000000;0.0015200;0.0015400;0.0015000;0.0015400;443000000
20130318;000000;0.0015100;0.0015300;0.0015000;0.0015100;521000000
20130319;000000;0.0015200;0.0015200;0.0015000;0.0015100;45000000
20130320;000000;0.0015100;0.0015700;0.0015100;0.0015500;482000000
20130321;000000;0.0015500;0.0015900;0.0015500;0.0015600;485000000
20130322;000000;0.0015400;0.0015700;0.0015000;0.0015400;456000000
20130325;000000;0.0015100;0.0015800;0.0015100;0.0015500;320000000
20130326;000000;0.0015300;0.0015300;0.0015000;0.0015000;441000000
20130327;000000;0.0015100;0.0015100;0.0015100;0.0015100;201000000
20130328;000000;0.0015000;0.0015300;0.0015000;0.0015000;59000000
20130329;000000;0.0015100;0.0015100;0.0015000;0.0015100;114000000
20130401;000000;0.0015200;0.0015400;0.0015000;0.0015000;497000000
20130402;000000;0.0015000;0.0016900;0.0015000;0.0016700;2345000000
20130403;000000;0.0016100;0.0016500;0.0015500;0.0015600;231000000
20130404;000000;0.0015600;0.0015600;0.0015000;0.0015000;1047000000
20130405;000000;0.0015400;0.0015900;0.0015000;0.0015900;610000000
20130408;000000;0.0015200;0.0015300;0.0014900;0.0015000;721000000
20130409;000000;0.0015300;0.0015300;0.0014800;0.0014900;32000000
20130410;000000;0.0014800;0.0015000;0.0014100;0.0014100;1188000000
20130411;000000;0.0014600;0.0015300;0.0013600;0.0015200;2156000000
20130412;000000;0.0015000;0.0015000;0.0014500;0.0014600;2709000000
20130415;000000;0.0014500;0.0014600;0.0013600;0.0013700;1357000000
20130416;000000;0.0013900;0.0014900;0.0013200;0.0014000;483000000
20130417;000000;0.0014400;0.0014600;0.0013500;0.0013800;95000000
20130418;000000;0.0013700;0.0015000;0.0013500;0.0014200;265000000
20130419;000000;0.0014300;0.0016300;0.0014300;0.0016200;1702000000
20130422;000000;0.0016100;0.0016500;0.0016100;0.0016300;338000000
20130423;000000;0.0016100;0.0016100;0.0015800;0.0016100;36000000
20130424;000000;0.0016200;0.0017500;0.0016200;0.0017200;698000000
20130425;000000;0.0017100;0.0017100;0.0016200;0.0016800;136000000
20130426;000000;0.0016800;0.0017400;0.0016800;0.0017000;101000000
20130429;000000;0.0017000;0.0017000;0.0016500;0.0016900;152000000
20130430;000000;0.0016500;0.0016500;0.0016100;0.0016200;104000000
20130502;000000;0.0016500;0.0016500;0.0016100;0.0016100;11000000
20130503;000000;0.0016000;0.0016200;0.0015500;0.0015900;69000000
20130506;000000;0.0015600;0.0015900;0.0015400;0.0015400;38000000
20130507;000000;0.0015700;0.0016400;0.0015700;0.0016000;39000000
20130508;000000;0.0015900;0.0016700;0.0015900;0.0016600;24000000
20130510;000000;0.0016700;0.0016700;0.0016300;0.0016300;11000000
20130513;000000;0.0016300;0.0016300;0.0016100;0.0016100;16000000
20130514;000000;0.0016000;0.0016000;0.0015300;0.0015600;430000000
20130515;000000;0.0015400;0.0016100;0.0015400;0.0015500;24000000
20130516;000000;0.0015500;0.0015500;0.0015300;0.0015300;34000000
20130517;000000;0.0015200;0.0015400;0.0015000;0.0015400;104000000
20130520;000000;0.0016000;0.0016000;0.0015500;0.0015600;48000000
20130521;000000;0.0015500;0.0015500;0.0015100;0.0015400;91000000
20130522;000000;0.0015200;0.0015800;0.0015200;0.0015800;100000000
20130523;000000;0.0015300;0.0015300;0.0015300;0.0015300;17000000
20130524;000000;0.0015200;0.0015200;0.0015200;0.0015200;1000000
