<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.5205000;0.5209000;0.5205000;0.5209000;4910000
20130109;000000;0.5205000;0.5205000;0.5200000;0.5200000;450000
20130110;000000;0.5230000;0.5230000;0.5230000;0.5230000;10000
20130111;000000;0.5215000;0.5215000;0.5215000;0.5215000;50000
20130115;000000;0.5220000;0.5245000;0.5220000;0.5245000;170000
20130117;000000;0.5240000;0.5240000;0.5240000;0.5240000;20000
20130122;000000;0.5232000;0.5232000;0.5230000;0.5230000;60000
20130123;000000;0.5235000;0.5240000;0.5235000;0.5240000;680000
20130128;000000;0.5241000;0.5241000;0.5240000;0.5240000;130000
20130131;000000;0.5250000;0.5250000;0.5250000;0.5250000;40000
20130201;000000;0.5250000;0.5250000;0.5250000;0.5250000;130000
20130204;000000;0.5265000;0.5265000;0.5260000;0.5260000;1590000
20130205;000000;0.5260000;0.5260000;0.5260000;0.5260000;430000
20130206;000000;0.5260000;0.5260000;0.5260000;0.5260000;20000
20130207;000000;0.5275000;0.5275000;0.5275000;0.5275000;100000
20130208;000000;0.5280000;0.5286000;0.5280000;0.5286000;490000
20130211;000000;0.5290000;0.5295000;0.5290000;0.5295000;420000
20130212;000000;0.5300000;0.5300000;0.5300000;0.5300000;130000
20130213;000000;0.5299000;0.5300000;0.5299000;0.5300000;10820000
20130220;000000;0.5200000;0.5200000;0.5151000;0.5151000;110000
20130227;000000;0.5201000;0.5201000;0.5100000;0.5200000;150000
20130228;000000;0.5200000;0.5200000;0.5100000;0.5100000;90000
20130311;000000;0.5200000;0.5200000;0.5199000;0.5199000;50000
20130318;000000;0.5200000;0.5200000;0.5200000;0.5200000;100000
20130320;000000;0.5200000;0.5200000;0.5001000;0.5001000;680000
20130405;000000;0.5050000;0.5050000;0.4950000;0.4950000;200000
20130417;000000;0.5000000;0.5000000;0.5000000;0.5000000;160000
20130418;000000;0.5000000;0.5000000;0.4900000;0.4900000;230000
20130422;000000;0.4650000;0.4948000;0.4650000;0.4948000;20000
20130426;000000;0.4650000;0.4650000;0.4550000;0.4550000;30000
20130430;000000;0.4650000;0.4650000;0.4550000;0.4550000;80000
20130523;000000;0.4650000;0.4650000;0.4550000;0.4550000;260000
20130604;000000;0.4700000;0.4700000;0.4700000;0.4700000;10000
20130605;000000;0.4700000;0.4700000;0.4650000;0.4650000;190000
20130606;000000;0.4600000;0.4600000;0.4500000;0.4600000;120000
20130613;000000;0.4550000;0.4550000;0.4550000;0.4550000;30000
20130614;000000;0.4550000;0.4550000;0.4550000;0.4550000;40000
20130619;000000;0.4500000;0.4500000;0.4500000;0.4500000;220000
20130626;000000;0.4500000;0.4500000;0.4500000;0.4500000;10000
20130702;000000;0.4700000;0.4700000;0.4700000;0.4700000;70000
20130705;000000;0.4700000;0.4700000;0.4700000;0.4700000;100000
20130708;000000;0.4701000;0.4701000;0.4701000;0.4701000;10000
20130731;000000;0.4600000;0.4600000;0.4600000;0.4600000;100000
20130802;000000;0.4600000;0.4600000;0.4600000;0.4600000;50000
20130813;000000;0.4600000;0.4600000;0.4600000;0.4600000;90000
20130819;000000;0.4701000;0.4701000;0.4701000;0.4701000;10000
20130904;000000;0.4700000;0.4700000;0.4700000;0.4700000;160000
20130905;000000;0.4700000;0.4700000;0.4700000;0.4700000;80000
20130918;000000;0.4700000;0.4700000;0.4700000;0.4700000;100000
20130919;000000;0.4799000;0.4800000;0.4799000;0.4800000;20000
20131009;000000;0.4700000;0.4700000;0.4700000;0.4700000;350000
20131010;000000;0.4700000;0.4700000;0.4700000;0.4700000;40000
20131023;000000;0.4700000;0.4700000;0.4700000;0.4700000;300000
20131105;000000;0.3110000;0.3110000;0.3110000;0.3110000;120000
20131115;000000;0.4000000;0.4000000;0.4000000;0.4000000;80000
20131118;000000;0.4000000;0.4000000;0.4000000;0.4000000;300000
20131121;000000;0.4000000;0.4000000;0.4000000;0.4000000;100000
20131125;000000;0.4000000;0.4000000;0.4000000;0.4000000;10000
20131211;000000;0.2505000;0.3500000;0.2505000;0.3500000;90000
20131219;000000;0.3990000;0.3990000;0.3990000;0.3990000;10000
20131223;000000;0.3500000;0.3700000;0.3500000;0.3700000;70000
20131225;000000;0.3501000;0.3501000;0.3501000;0.3501000;10000
