<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130109;000000;0.2810000;0.2810000;0.2764000;0.2764000;90000
20130110;000000;0.2720000;0.2779000;0.2720000;0.2778000;50000
20130111;000000;0.2763000;0.2763000;0.2760000;0.2760000;100000
20130114;000000;0.2741000;0.2741000;0.2730000;0.2731000;390000
20130115;000000;0.2759000;0.2774000;0.2759000;0.2774000;20000
20130116;000000;0.2757000;0.2760000;0.2750000;0.2750000;90000
20130117;000000;0.2759000;0.2975000;0.2759000;0.2868000;3700000
20130118;000000;0.2851000;0.2858000;0.2850000;0.2858000;400000
20130121;000000;0.2834000;0.2834000;0.2800000;0.2800000;860000
20130124;000000;0.2800000;0.2816000;0.2779000;0.2800000;260000
20130125;000000;0.2788000;0.2800000;0.2750000;0.2800000;730000
20130128;000000;0.2777000;0.2777000;0.2777000;0.2777000;10000
20130129;000000;0.2790000;0.2809000;0.2790000;0.2800000;260000
20130130;000000;0.2809000;0.2809000;0.2794000;0.2794000;50000
20130204;000000;0.2778000;0.2779000;0.2778000;0.2778000;50000
20130206;000000;0.2788000;0.2799000;0.2788000;0.2799000;60000
20130207;000000;0.2843000;0.2843000;0.2843000;0.2843000;10000
20130208;000000;0.2791000;0.2842000;0.2777000;0.2777000;180000
20130211;000000;0.2771000;0.2771000;0.2751000;0.2751000;120000
20130212;000000;0.2800000;0.2973000;0.2800000;0.2973000;70000
20130213;000000;0.2741000;0.2849000;0.2740000;0.2848000;1590000
20130214;000000;0.2845000;0.2845000;0.2773000;0.2800000;870000
20130215;000000;0.2800000;0.2800000;0.2770000;0.2800000;180000
20130219;000000;0.2800000;0.2800000;0.2710000;0.2800000;520000
20130220;000000;0.2786000;0.2800000;0.2773000;0.2800000;480000
20130221;000000;0.2767000;0.2799000;0.2764000;0.2799000;190000
20130225;000000;0.2707000;0.2799000;0.2700000;0.2799000;70000
20130226;000000;0.2760000;0.2760000;0.2751000;0.2751000;70000
20130227;000000;0.2730000;0.2730000;0.2700000;0.2700000;100000
20130228;000000;0.2707000;0.2707000;0.2707000;0.2707000;20000
20130304;000000;0.2708000;0.2708000;0.2590000;0.2600000;2700000
20130305;000000;0.2633000;0.2650000;0.2524000;0.2524000;1210000
20130306;000000;0.2502000;0.2559000;0.2464000;0.2559000;510000
20130307;000000;0.2596000;0.2599000;0.2537000;0.2537000;240000
20130313;000000;0.2600000;0.2600000;0.2600000;0.2600000;10000
20130315;000000;0.2593000;0.2600000;0.2550000;0.2571000;360000
20130318;000000;0.2550000;0.2550000;0.2537000;0.2537000;40000
20130319;000000;0.2505000;0.2597000;0.2426000;0.2597000;140000
20130322;000000;0.2502000;0.2502000;0.2501000;0.2501000;130000
20130325;000000;0.2408000;0.2448000;0.2327000;0.2327000;1900000
20130326;000000;0.2327000;0.2327000;0.2212000;0.2212000;70000
20130328;000000;0.2331000;0.2400000;0.2331000;0.2400000;300000
20130404;000000;0.2399000;0.2399000;0.2334000;0.2334000;30000
20130405;000000;0.2253000;0.2256000;0.2253000;0.2255000;310000
20130408;000000;0.2382000;0.2382000;0.2382000;0.2382000;10000
20130409;000000;0.2257000;0.2285000;0.2257000;0.2257000;70000
20130410;000000;0.2277000;0.2277000;0.2277000;0.2277000;30000
20130411;000000;0.2267000;0.2267000;0.2265000;0.2265000;20000
20130412;000000;0.2263000;0.2263000;0.2000000;0.2100000;250000
20130415;000000;0.2100000;0.2100000;0.2100000;0.2100000;20000
20130417;000000;0.1906000;0.2000000;0.1899000;0.2000000;300000
20130418;000000;0.2000000;0.2004000;0.2000000;0.2003000;40000
20130419;000000;0.2000000;0.2094000;0.2000000;0.2094000;110000
20130423;000000;0.2094000;0.2094000;0.2020000;0.2094000;40000
20130424;000000;0.2144000;0.2144000;0.2055000;0.2139000;40000
20130425;000000;0.2077000;0.2087000;0.2077000;0.2087000;30000
20130426;000000;0.2045000;0.2045000;0.2045000;0.2045000;10000
20130429;000000;0.2054000;0.2058000;0.2054000;0.2058000;80000
20130430;000000;0.2002000;0.2002000;0.2001000;0.2002000;130000
20130506;000000;0.2160000;0.2160000;0.2160000;0.2160000;20000
20130507;000000;0.2043000;0.2115000;0.2000000;0.2000000;1400000
20130508;000000;0.2001000;0.2095000;0.2000000;0.2095000;170000
20130513;000000;0.2009000;0.2055000;0.2000000;0.2000000;210000
20130515;000000;0.2028000;0.2212000;0.1955000;0.2074000;1150000
20130516;000000;0.2197000;0.2200000;0.2001000;0.2001000;1860000
20130517;000000;0.2081000;0.2089000;0.2005000;0.2061000;520000
20130520;000000;0.2062000;0.2146000;0.2006000;0.2009000;3450000
20130521;000000;0.2030000;0.2030000;0.2000000;0.2000000;1800000
20130522;000000;0.2001000;0.2050000;0.2000000;0.2000000;1450000
20130523;000000;0.2002000;0.2002000;0.1993000;0.1999000;2820000
20130524;000000;0.1995000;0.2001000;0.1993000;0.1993000;1410000
20130528;000000;0.2001000;0.2001000;0.2000000;0.2000000;30000
20130529;000000;0.2000000;0.2000000;0.1999000;0.2000000;80000
20130530;000000;0.1995000;0.1995000;0.1995000;0.1995000;40000
20130531;000000;0.2002000;0.2002000;0.1960000;0.1960000;1010000
20130603;000000;0.1999000;0.1999000;0.1999000;0.1999000;10000
20130605;000000;0.1981000;0.1982000;0.1960000;0.1960000;1220000
20130606;000000;0.1999000;0.1999000;0.1999000;0.1999000;30000
20130607;000000;0.1961000;0.2060000;0.1912000;0.1973000;160000
20130610;000000;0.1920000;0.1920000;0.1900000;0.1901000;2740000
20130611;000000;0.1901000;0.1901000;0.1900000;0.1900000;310000
20130613;000000;0.2030000;0.2030000;0.2030000;0.2030000;10000
20130614;000000;0.1957000;0.1957000;0.1955000;0.1955000;200000
20130617;000000;0.1959000;0.1959000;0.1817000;0.1817000;330000
20130618;000000;0.1909000;0.1909000;0.1909000;0.1909000;10000
20130621;000000;0.1910000;0.1959000;0.1910000;0.1956000;130000
20130625;000000;0.1852000;0.1999000;0.1819000;0.1999000;190000
20130626;000000;0.2010000;0.2010000;0.2010000;0.2010000;20000
20130627;000000;0.2200000;0.2200000;0.2000000;0.2003000;2670000
20130628;000000;0.2000000;0.2001000;0.1997000;0.1997000;8810000
20130701;000000;0.1999000;0.2000000;0.1909000;0.1909000;40000
20130702;000000;0.1923000;0.1923000;0.1900000;0.1900000;4100000
20130703;000000;0.1900000;0.1900000;0.1900000;0.1900000;2030000
20130705;000000;0.1996000;0.2000000;0.1953000;0.2000000;1260000
20130709;000000;0.2000000;0.2000000;0.1960000;0.2000000;780000
20130710;000000;0.2000000;0.2001000;0.2000000;0.2000000;2620000
20130711;000000;0.1962000;0.2019000;0.1961000;0.1961000;170000
20130712;000000;0.1972000;0.2065000;0.1971000;0.2000000;1590000
20130715;000000;0.1990000;0.1990000;0.1900000;0.1900000;3320000
20130716;000000;0.1987000;0.1987000;0.1900000;0.1940000;1800000
20130717;000000;0.1938000;0.1944000;0.1899000;0.1940000;1910000
20130718;000000;0.1988000;0.1988000;0.1900000;0.1900000;270000
20130719;000000;0.1902000;0.1914000;0.1900000;0.1914000;240000
20130722;000000;0.1950000;0.1969000;0.1950000;0.1960000;40000
20130724;000000;0.1930000;0.1947000;0.1900000;0.1914000;200000
20130725;000000;0.1900000;0.1902000;0.1900000;0.1900000;50000
20130726;000000;0.1930000;0.1930000;0.1900000;0.1900000;30000
20130729;000000;0.1934000;0.1969000;0.1934000;0.1969000;240000
20130730;000000;0.1957000;0.1960000;0.1950000;0.1950000;610000
20130731;000000;0.1937000;0.1940000;0.1870000;0.1940000;2020000
20130801;000000;0.1939000;0.2000000;0.1939000;0.2000000;170000
20130802;000000;0.2001000;0.2099000;0.2000000;0.2000000;730000
20130805;000000;0.2001000;0.2068000;0.1999000;0.2068000;2750000
20130806;000000;0.1961000;0.2100000;0.1961000;0.1999000;830000
20130807;000000;0.1961000;0.2100000;0.1961000;0.2100000;130000
20130808;000000;0.2000000;0.2098000;0.1980000;0.1980000;260000
20130814;000000;0.2096000;0.2100000;0.2000000;0.2000000;530000
20130815;000000;0.2097000;0.2100000;0.2001000;0.2001000;120000
20130816;000000;0.2097000;0.2100000;0.2097000;0.2100000;610000
20130819;000000;0.2148000;0.2149000;0.1966000;0.1966000;1040000
20130820;000000;0.2001000;0.2002000;0.2000000;0.2000000;230000
20130822;000000;0.1971000;0.2000000;0.1965000;0.2000000;220000
20130823;000000;0.1967000;0.1967000;0.1967000;0.1967000;10000
20130827;000000;0.2000000;0.2025000;0.2000000;0.2025000;90000
20130828;000000;0.2010000;0.2011000;0.2000000;0.2000000;180000
20130830;000000;0.2001000;0.2001000;0.2000000;0.2000000;60000
20130902;000000;0.1996000;0.2000000;0.1996000;0.2000000;790000
20130903;000000;0.2000000;0.2000000;0.2000000;0.2000000;2500000
20130904;000000;0.2017000;0.2017000;0.2017000;0.2017000;130000
20130905;000000;0.2001000;0.2048000;0.2000000;0.2000000;290000
20130909;000000;0.1966000;0.1998000;0.1966000;0.1998000;560000
20130910;000000;0.1960000;0.2099000;0.1912000;0.2099000;300000
20130913;000000;0.1961000;0.1975000;0.1900000;0.1968000;1360000
20130916;000000;0.1975000;0.1975000;0.1900000;0.1900000;150000
