<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;4010.0000000;4010.0000000;4010.0000000;4010.0000000;1
20130109;000000;4009.7000000;4010.0000000;4009.7000000;4010.0000000;3
20130114;000000;4010.0000000;4050.0000000;4000.0000000;4045.0000000;19
20130117;000000;4049.0000000;4100.0000000;4049.0000000;4100.0000000;103
20130118;000000;4000.0000000;4010.0000000;4000.0000000;4010.0000000;11
20130121;000000;4010.0000000;4010.0000000;4010.0000000;4010.0000000;6
20130123;000000;4010.0000000;4010.0000000;4010.0000000;4010.0000000;5
20130124;000000;4010.0000000;4010.1000000;4010.0000000;4010.1000000;7
20130128;000000;3969.9000000;4010.0000000;3969.9000000;4010.0000000;6
20130129;000000;4020.0000000;4020.0000000;4020.0000000;4020.0000000;2
20130130;000000;4020.0000000;4020.0000000;4020.0000000;4020.0000000;2
20130131;000000;4020.0000000;4030.0000000;4020.0000000;4030.0000000;30
20130201;000000;3995.1000000;3995.1000000;3995.1000000;3995.1000000;7
20130204;000000;3995.1000000;4000.0000000;3990.0000000;3994.0000000;113
20130205;000000;3980.0000000;4000.0000000;3980.0000000;4000.0000000;4
20130208;000000;3999.9000000;4000.0000000;3987.9000000;3987.9000000;9
20130211;000000;3850.7000000;3915.9000000;3850.0000000;3915.9000000;11
20130212;000000;3850.6000000;3988.1000000;3704.1000000;3988.1000000;6
20130213;000000;3989.1000000;4000.0000000;3989.1000000;4000.0000000;12
20130215;000000;3950.0000000;4000.0000000;3950.0000000;3991.0000000;22002
20130218;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;1
20130221;000000;4000.0000000;4000.0000000;3995.0000000;4000.0000000;13554
20130222;000000;4000.0000000;4000.0000000;4000.0000000;4000.0000000;1
20130228;000000;3999.9000000;3999.9000000;3910.3000000;3910.3000000;156
20130301;000000;3950.0000000;3950.0000000;3921.8000000;3921.8000000;7
20130304;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;10
20130307;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;4
20130312;000000;3800.1000000;3800.1000000;3750.0000000;3750.0000000;10
20130313;000000;3761.0000000;3761.0000000;3761.0000000;3761.0000000;1
20130314;000000;3770.0000000;3770.0000000;3555.1000000;3650.0000000;87
20130315;000000;3650.0000000;3750.0000000;3600.0000000;3700.0000000;43
20130318;000000;3699.8000000;3700.0000000;3699.8000000;3700.0000000;7
20130319;000000;3694.2000000;3699.0000000;3690.0000000;3690.0000000;14
20130320;000000;3799.4000000;3799.4000000;3749.3000000;3749.3000000;2
20130322;000000;3700.0000000;4000.0000000;3700.0000000;3750.0000000;53
20130325;000000;3750.0000000;3750.0000000;3620.0000000;3620.0000000;31
20130327;000000;3619.9000000;3620.0000000;3619.9000000;3620.0000000;10
20130328;000000;3600.0000000;3600.0000000;3599.0000000;3599.0000000;5
20130329;000000;3500.0000000;3600.0000000;3400.0000000;3500.0000000;10
20130401;000000;3382.1000000;3382.1000000;3300.0000000;3300.0000000;39
20130402;000000;3210.0000000;3400.0000000;3210.0000000;3400.0000000;13
20130409;000000;3698.9000000;3698.9000000;3600.0000000;3600.0000000;2
20130410;000000;3450.1000000;3500.0000000;3400.0000000;3400.0000000;26
20130411;000000;3400.1000000;3400.1000000;3400.0000000;3400.0000000;43
20130412;000000;3400.0000000;3400.0000000;3400.0000000;3400.0000000;222
20130415;000000;3333.0000000;3350.0000000;3333.0000000;3350.0000000;8
20130417;000000;3350.1000000;3350.1000000;3330.0000000;3330.0000000;18
20130422;000000;3768.9000000;3768.9000000;3768.9000000;3768.9000000;1
20130423;000000;3201.0000000;3730.0000000;3201.0000000;3730.0000000;4
20130425;000000;3550.0000000;3550.0000000;3445.9000000;3445.9000000;3
20130429;000000;3793.1000000;3793.1000000;3793.1000000;3793.1000000;1
20130506;000000;3420.0000000;3499.0000000;3420.0000000;3499.0000000;6
20130507;000000;3698.9000000;3699.0000000;3698.9000000;3699.0000000;70
20130508;000000;3370.1000000;3500.0000000;3370.1000000;3500.0000000;11
