<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;93.0000000;94.9500000;93.0000000;94.5600000;4680
20130109;000000;92.0700000;94.9200000;92.0700000;94.7500000;12490
20130110;000000;94.2500000;96.2000000;93.1400000;94.0100000;11910
20130111;000000;94.0100000;95.3500000;94.0100000;95.1600000;5470
20130114;000000;95.1000000;96.5900000;95.0000000;95.7700000;3250
20130115;000000;95.7200000;97.0000000;94.0000000;94.0000000;14160
20130116;000000;94.6000000;94.6100000;93.5000000;94.6000000;12340
20130117;000000;94.6000000;95.4800000;94.2200000;94.9800000;3740
20130118;000000;95.0000000;96.5000000;94.1300000;95.3500000;40560
20130121;000000;95.1500000;95.1500000;94.3600000;94.8900000;3410
20130122;000000;94.8400000;94.8400000;92.2700000;92.9100000;12850
20130123;000000;92.5300000;94.6700000;92.4600000;94.0000000;15290
20130124;000000;93.9300000;94.4900000;93.0200000;93.5200000;8540
20130125;000000;93.5100000;93.7800000;93.3500000;93.3500000;6360
20130128;000000;93.8700000;94.7500000;93.5000000;94.2300000;79510
20130129;000000;93.8400000;94.6000000;93.6500000;94.0000000;49350
20130130;000000;94.2400000;94.6000000;94.2400000;94.4700000;28270
20130131;000000;93.8800000;94.9700000;93.0800000;94.1100000;60120
20130201;000000;94.6000000;94.6000000;94.0000000;94.0000000;3300
20130204;000000;94.5900000;94.7900000;91.2000000;92.0000000;100160
20130205;000000;92.9900000;94.6600000;91.7200000;93.2300000;175330
20130206;000000;93.8700000;95.7400000;93.5000000;93.5500000;39280
20130207;000000;93.8800000;94.1000000;93.1000000;94.1000000;7680
20130208;000000;94.2000000;95.1400000;93.5700000;94.4400000;14780
20130211;000000;94.9300000;98.0600000;93.1300000;96.0000000;128190
20130212;000000;96.0100000;98.7700000;95.0000000;98.5000000;677090
20130213;000000;98.8700000;99.1000000;97.1000000;99.0700000;50120
20130214;000000;99.0700000;99.2000000;98.2000000;98.8000000;89030
20130215;000000;99.4600000;100.0000000;97.5500000;97.8500000;93370
20130218;000000;97.0000000;98.4400000;96.5100000;96.5100000;12890
20130219;000000;97.4700000;101.9000000;96.0100000;99.9900000;211910
20130220;000000;101.3800000;101.3800000;100.0000000;100.4700000;13050
20130221;000000;100.2900000;100.4800000;97.1100000;97.2800000;19060
20130222;000000;97.9900000;102.3400000;97.1000000;99.4700000;30430
20130225;000000;99.8700000;101.8200000;99.3700000;99.9900000;9860
20130226;000000;99.2300000;100.0000000;95.0600000;99.9900000;105690
20130227;000000;100.0000000;100.0100000;99.1600000;99.1600000;54010
20130228;000000;99.1600000;99.1600000;96.0000000;96.0000000;40240
20130301;000000;96.9800000;97.0000000;95.0000000;95.4100000;65780
20130304;000000;94.2200000;96.0000000;90.9900000;92.0000000;68090
20130305;000000;93.0000000;95.2400000;93.0000000;94.5600000;40360
20130306;000000;94.6000000;95.6700000;93.1100000;93.1500000;29530
20130307;000000;94.4200000;95.8500000;92.5100000;95.6900000;61680
20130311;000000;95.0000000;96.8400000;95.0000000;95.0000000;20080
20130312;000000;94.3700000;95.0400000;94.1100000;94.6300000;2070
20130313;000000;94.2800000;94.2800000;91.2700000;92.7400000;48420
20130314;000000;92.5500000;92.5500000;90.0000000;90.5000000;42940
20130315;000000;91.6900000;91.6900000;90.5000000;90.8000000;24430
20130318;000000;88.8800000;90.9700000;87.9700000;87.9700000;81520
20130319;000000;88.5700000;89.0000000;84.5000000;85.3000000;113040
20130320;000000;85.0400000;86.7200000;84.0100000;84.5000000;70740
20130321;000000;85.8600000;85.8600000;84.2200000;84.7000000;4880
20130322;000000;85.3000000;86.0000000;83.5300000;86.0000000;76370
20130325;000000;90.0000000;92.5000000;85.5000000;85.8400000;37220
20130326;000000;85.4900000;85.4900000;80.1000000;81.0800000;47870
20130327;000000;81.9900000;82.7400000;79.0000000;81.4900000;58520
20130328;000000;81.9600000;82.9200000;80.0300000;82.8100000;10740
20130329;000000;82.0200000;83.9900000;82.0000000;83.7200000;21460
20130401;000000;83.8600000;83.9000000;83.0000000;83.3000000;9050
20130402;000000;83.0500000;85.9900000;81.0000000;85.0000000;13510
20130403;000000;84.5500000;86.9500000;81.6500000;84.6100000;26040
20130404;000000;84.0300000;86.0000000;83.3100000;86.0000000;238880
20130405;000000;86.5900000;86.7200000;83.0000000;83.9900000;2990
20130408;000000;84.7400000;86.6800000;83.2900000;83.9800000;1630
20130409;000000;83.2500000;84.6600000;79.0700000;83.9700000;56690
20130410;000000;83.5900000;86.3500000;83.5900000;85.0800000;47020
20130411;000000;86.3500000;86.4000000;83.8500000;85.2700000;33950
