<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.1779900;0.1779900;0.1740000;0.1740000;260000
20130109;000000;0.1744900;0.1758900;0.1744900;0.1754800;230000
20130110;000000;0.1752000;0.1752000;0.1752000;0.1752000;40000
20130111;000000;0.1769700;0.1779600;0.1700500;0.1779600;1190000
20130114;000000;0.1798900;0.1798900;0.1758100;0.1795700;100000
20130115;000000;0.1800000;0.1800000;0.1762300;0.1799700;900000
20130116;000000;0.1790000;0.1799800;0.1751100;0.1776000;1440000
20130117;000000;0.1793700;0.1793900;0.1755300;0.1782000;340000
20130118;000000;0.1752500;0.1797800;0.1742900;0.1797800;3710000
20130121;000000;0.1795000;0.1798400;0.1775100;0.1798400;360000
20130122;000000;0.1770000;0.1798300;0.1770000;0.1770000;710000
20130123;000000;0.1799300;0.1799300;0.1766900;0.1766900;250000
20130124;000000;0.1779900;0.1779900;0.1752900;0.1779400;670000
20130125;000000;0.1760000;0.1776700;0.1756000;0.1775900;1920000
20130128;000000;0.1757400;0.1775000;0.1757100;0.1775000;2330000
20130129;000000;0.1780000;0.1785200;0.1780000;0.1784800;1550000
20130130;000000;0.1780000;0.1780000;0.1757100;0.1757100;1470000
20130131;000000;0.1757500;0.1777900;0.1757500;0.1777900;130000
20130201;000000;0.1770000;0.1773700;0.1750000;0.1769900;6500000
20130204;000000;0.1799500;0.1799500;0.1740700;0.1767200;1500000
20130205;000000;0.1770700;0.1780000;0.1750000;0.1779600;1190000
20130206;000000;0.1751100;0.1775200;0.1750000;0.1751000;550000
20130207;000000;0.1751100;0.1795000;0.1740800;0.1741000;2370000
20130208;000000;0.1777600;0.1788900;0.1750000;0.1769700;740000
20130211;000000;0.1769600;0.1769600;0.1750500;0.1750500;390000
20130212;000000;0.1764300;0.1766300;0.1752000;0.1766300;390000
20130213;000000;0.1753000;0.1753000;0.1750000;0.1751000;940000
20130214;000000;0.1751000;0.1751000;0.1696100;0.1716000;5610000
20130215;000000;0.1730000;0.1739700;0.1710000;0.1729700;1220000
20130218;000000;0.1712800;0.1738700;0.1710000;0.1734900;1090000
20130219;000000;0.1724000;0.1750000;0.1724000;0.1746700;1010000
20130220;000000;0.1731000;0.1784900;0.1730000;0.1750300;2530000
20130221;000000;0.1731000;0.1749900;0.1685500;0.1685500;5760000
20130222;000000;0.1710000;0.1760000;0.1705000;0.1750000;2440000
20130225;000000;0.1770000;0.1770000;0.1701400;0.1746900;1850000
20130226;000000;0.1720100;0.1754800;0.1720100;0.1750000;720000
20130227;000000;0.1759900;0.1760000;0.1700000;0.1750000;7490000
20130228;000000;0.1749900;0.1755300;0.1744000;0.1746000;330000
20130301;000000;0.1746000;0.1750000;0.1725200;0.1745000;830000
20130304;000000;0.1721100;0.1760000;0.1720000;0.1759400;2170000
20130305;000000;0.1740100;0.1755000;0.1735100;0.1755000;3160000
20130306;000000;0.1784800;0.1784800;0.1745000;0.1755600;10110000
20130307;000000;0.1755000;0.1773000;0.1745000;0.1759000;16260000
20130311;000000;0.1784700;0.1795900;0.1751300;0.1759000;16810000
20130312;000000;0.1715000;0.1715000;0.1611100;0.1650000;12240000
20130313;000000;0.1650000;0.1659900;0.1638000;0.1646700;1820000
20130314;000000;0.1646100;0.1646100;0.1609600;0.1618200;14710000
20130315;000000;0.1615000;0.1623700;0.1600000;0.1600400;4430000
20130318;000000;0.1600300;0.1600300;0.1570100;0.1598800;2320000
20130319;000000;0.1610000;0.1632800;0.1580000;0.1600000;1080000
20130320;000000;0.1600100;0.1622600;0.1599900;0.1600900;320000
20130321;000000;0.1582000;0.1621000;0.1582000;0.1601100;910000
20130322;000000;0.1600000;0.1617900;0.1583200;0.1617900;800000
20130325;000000;0.1582400;0.1599900;0.1582400;0.1599900;250000
20130326;000000;0.1580500;0.1580500;0.1550000;0.1550000;1660000
20130327;000000;0.1570000;0.1570000;0.1555600;0.1570000;240000
20130328;000000;0.1602900;0.1621000;0.1578200;0.1578200;1140000
20130329;000000;0.1607800;0.1607800;0.1590100;0.1599900;340000
20130401;000000;0.1575500;0.1580000;0.1555000;0.1555000;1640000
20130402;000000;0.1558000;0.1590400;0.1558000;0.1590400;40000
20130403;000000;0.1619900;0.1619900;0.1505200;0.1570000;610000
20130404;000000;0.1565000;0.1565000;0.1525000;0.1550900;210000
20130405;000000;0.1546000;0.1587700;0.1544400;0.1587700;130000
20130408;000000;0.1556000;0.1585700;0.1510200;0.1585700;1570000
20130409;000000;0.1535000;0.1549200;0.1530000;0.1530000;130000
20130410;000000;0.1515500;0.1515500;0.1510300;0.1510300;700000
20130411;000000;0.1518000;0.1518000;0.1499900;0.1504400;1530000
20130412;000000;0.1508000;0.1508000;0.1488800;0.1500100;880000
20130415;000000;0.1500600;0.1500600;0.1450000;0.1450000;860000
20130416;000000;0.1450100;0.1487900;0.1450100;0.1487900;30000
20130417;000000;0.1569500;0.1569500;0.1489900;0.1489900;30000
20130418;000000;0.1496600;0.1496600;0.1490000;0.1493000;60000
20130419;000000;0.1501100;0.1501200;0.1460000;0.1460000;690000
20130422;000000;0.1540000;0.1540000;0.1500000;0.1509300;250000
20130423;000000;0.1515400;0.1515400;0.1515400;0.1515400;40000
20130424;000000;0.1516000;0.1516000;0.1494400;0.1505400;710000
20130425;000000;0.1549000;0.1549400;0.1523500;0.1523500;1300000
20130426;000000;0.1549200;0.1549200;0.1532800;0.1532800;20000
20130430;000000;0.1530000;0.1534600;0.1480400;0.1480400;370000
20130502;000000;0.1475100;0.1475100;0.1475100;0.1475100;30000
20130503;000000;0.1499900;0.1500000;0.1499900;0.1500000;1720000
20130506;000000;0.1540000;0.1589800;0.1500000;0.1504900;3220000
20130507;000000;0.1515100;0.1515100;0.1515000;0.1515000;20000
20130508;000000;0.1514900;0.1559700;0.1514900;0.1559700;770000
20130513;000000;0.1502200;0.1525000;0.1501500;0.1525000;110000
20130514;000000;0.1500300;0.1500300;0.1500300;0.1500300;120000
20130515;000000;0.1519900;0.1519900;0.1501000;0.1501100;100000
20130516;000000;0.1519900;0.1519900;0.1500000;0.1500000;510000
20130517;000000;0.1500000;0.1500000;0.1500000;0.1500000;980000
20130520;000000;0.1519400;0.1519500;0.1519400;0.1519500;220000
20130521;000000;0.1515000;0.1519000;0.1501200;0.1519000;1490000
20130522;000000;0.1512000;0.1519000;0.1512000;0.1519000;700000
20130523;000000;0.1510100;0.1510100;0.1500000;0.1500000;600000
20130524;000000;0.1510100;0.1510100;0.1488800;0.1497000;180000
20130527;000000;0.1493000;0.1493000;0.1482000;0.1485000;930000
20130528;000000;0.1490000;0.1500000;0.1490000;0.1500000;150000
20130529;000000;0.1500000;0.1505900;0.1490800;0.1490800;130000
20130530;000000;0.1490000;0.1490000;0.1490000;0.1490000;300000
20130531;000000;0.1472700;0.1499700;0.1472700;0.1499700;30000
20130603;000000;0.1499000;0.1500000;0.1470000;0.1490800;1370000
20130604;000000;0.1482000;0.1482000;0.1482000;0.1482000;120000
20130606;000000;0.1462500;0.1462500;0.1460000;0.1460000;550000
20130610;000000;0.1499600;0.1538700;0.1481900;0.1538700;3290000
20130611;000000;0.1490100;0.1492100;0.1490100;0.1492100;120000
20130613;000000;0.1505800;0.1510000;0.1485000;0.1485000;740000
20130614;000000;0.1492500;0.1492500;0.1460000;0.1460000;100000
20130617;000000;0.1490100;0.1510700;0.1485000;0.1485000;60000
20130618;000000;0.1485000;0.1497800;0.1474000;0.1474000;130000
20130619;000000;0.1470000;0.1488000;0.1441600;0.1488000;500000
20130621;000000;0.1485100;0.1485100;0.1485000;0.1485000;320000
20130624;000000;0.1460200;0.1500000;0.1460200;0.1500000;140000
20130625;000000;0.1500000;0.1520100;0.1500000;0.1520000;2340000
20130626;000000;0.1517900;0.1531900;0.1517900;0.1531900;1560000
20130627;000000;0.1548600;0.1548600;0.1520000;0.1520000;500000
20130628;000000;0.1548300;0.1548300;0.1548200;0.1548200;190000
20130701;000000;0.1519900;0.1519900;0.1518800;0.1518800;30000
20130702;000000;0.1519600;0.1519900;0.1500300;0.1500300;270000
20130704;000000;0.1528900;0.1529000;0.1510000;0.1529000;110000
20130705;000000;0.1505100;0.1540000;0.1505000;0.1505000;500000
20130708;000000;0.1490100;0.1500200;0.1490100;0.1500200;20000
20130709;000000;0.1518700;0.1518700;0.1461000;0.1499900;2760000
20130711;000000;0.1514700;0.1531400;0.1484800;0.1531400;320000
20130712;000000;0.1501100;0.1510100;0.1501000;0.1501000;600000
20130715;000000;0.1501000;0.1510000;0.1490000;0.1490000;1670000
20130716;000000;0.1520000;0.1520000;0.1510000;0.1510000;170000
20130717;000000;0.1519000;0.1539900;0.1501000;0.1501000;1180000
20130718;000000;0.1547400;0.1550000;0.1500300;0.1533500;3320000
20130719;000000;0.1500200;0.1530000;0.1500200;0.1512200;40000
20130722;000000;0.1520100;0.1549700;0.1520000;0.1532400;2130000
20130723;000000;0.1556800;0.1556800;0.1540400;0.1550000;1250000
20130724;000000;0.1556900;0.1560300;0.1549600;0.1549600;150000
20130725;000000;0.1531400;0.1540100;0.1530000;0.1540000;550000
20130726;000000;0.1523200;0.1540000;0.1523200;0.1540000;130000
20130729;000000;0.1550000;0.1552900;0.1539500;0.1539500;590000
20130730;000000;0.1557000;0.1557000;0.1515000;0.1515000;790000
20130731;000000;0.1549900;0.1549900;0.1531200;0.1531200;20000
20130801;000000;0.1530000;0.1530000;0.1510000;0.1529700;1530000
20130802;000000;0.1521300;0.1540000;0.1510000;0.1540000;460000
20130805;000000;0.1540000;0.1540000;0.1530000;0.1530000;400000
20130806;000000;0.1528300;0.1547900;0.1520000;0.1547700;900000
20130807;000000;0.1547900;0.1547900;0.1547700;0.1547900;110000
20130808;000000;0.1520000;0.1520000;0.1520000;0.1520000;100000
20130809;000000;0.1512100;0.1512100;0.1511200;0.1511200;110000
20130812;000000;0.1530100;0.1530100;0.1482200;0.1498700;3480000
20130813;000000;0.1518600;0.1535000;0.1510000;0.1535000;880000
