<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;3.4700000;3.5200000;3.4500000;3.4800000;123160
20130109;000000;3.4900000;3.6400000;3.4900000;3.5500000;283960
20130110;000000;3.5700000;3.6200000;3.5000000;3.5400000;213620
20130111;000000;3.5200000;3.5500000;3.5000000;3.5300000;59620
20130114;000000;3.5300000;3.5300000;3.4800000;3.5000000;170400
20130115;000000;3.5200000;3.5400000;3.4700000;3.4800000;416100
20130116;000000;3.4800000;3.5200000;3.4400000;3.4900000;392570
20130117;000000;3.4800000;3.5600000;3.4700000;3.4900000;260570
20130118;000000;3.5000000;3.5000000;3.4500000;3.4700000;147980
20130121;000000;3.4800000;3.4900000;3.4300000;3.4600000;95750
20130122;000000;3.4700000;3.5400000;3.4200000;3.4300000;470790
20130123;000000;3.4600000;3.4700000;3.4200000;3.4600000;323790
20130124;000000;3.4700000;3.4700000;3.3500000;3.4200000;331350
20130125;000000;3.4100000;3.4100000;3.3700000;3.4000000;106220
20130128;000000;3.4000000;3.4200000;3.3700000;3.3800000;218980
20130129;000000;3.3900000;3.4100000;3.2400000;3.2800000;555300
20130130;000000;3.2800000;3.2900000;3.1300000;3.1900000;755310
20130131;000000;3.1800000;3.2100000;3.1200000;3.1400000;440130
20130201;000000;3.1400000;3.1400000;2.9500000;2.9900000;1166090
20130204;000000;2.9900000;3.1300000;2.9800000;3.0200000;435380
20130205;000000;3.0200000;3.0300000;2.9500000;2.9700000;339180
20130206;000000;2.9900000;3.0500000;2.9600000;2.9800000;340060
20130207;000000;3.0000000;3.0100000;2.9500000;2.9700000;225280
20130208;000000;2.9800000;2.9900000;2.9200000;2.9600000;212880
20130211;000000;2.9500000;3.1500000;2.8700000;3.0400000;871970
20130212;000000;3.0300000;3.0600000;2.9400000;2.9700000;542640
20130213;000000;2.9600000;3.0300000;2.9500000;2.9900000;184100
20130214;000000;3.0000000;3.0700000;2.9500000;2.9700000;242830
20130215;000000;2.9700000;3.2800000;2.9000000;3.2300000;1556390
20130218;000000;3.2200000;3.3800000;3.0500000;3.1000000;1264170
20130219;000000;3.1000000;3.2000000;3.0000000;3.0400000;1383460
20130220;000000;3.0400000;3.0600000;2.9700000;3.0000000;402740
20130221;000000;2.9700000;2.9800000;2.9000000;2.9200000;381430
20130222;000000;2.9300000;2.9600000;2.8800000;2.9200000;299370
20130225;000000;2.9100000;3.0000000;2.8400000;2.9300000;622140
20130226;000000;2.9000000;2.9100000;2.8200000;2.8500000;415670
20130227;000000;2.8500000;2.8900000;2.8200000;2.8600000;258700
20130228;000000;2.8700000;2.8800000;2.7800000;2.8000000;327090
20130301;000000;2.7900000;2.9600000;2.7300000;2.7700000;753540
20130304;000000;2.7700000;2.8700000;2.6700000;2.8000000;1027810
