<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;50.3600000;53.8600000;46.5200000;49.8600000;310
20130109;000000;50.6600000;51.4600000;50.6600000;51.4600000;20
20130110;000000;50.4600000;51.4600000;50.4600000;51.4600000;30
20130111;000000;52.4600000;53.4600000;52.0000000;52.0000000;130
20130114;000000;53.4600000;53.4600000;53.4600000;53.4600000;10
20130116;000000;52.4700000;54.4300000;52.4700000;54.4000000;60
20130125;000000;54.4600000;57.9700000;54.4600000;55.4700000;570
20130128;000000;55.4600000;55.4600000;54.5100000;54.5100000;20
20130129;000000;54.4600000;56.9600000;53.0100000;55.4600000;170
20130131;000000;54.4600000;54.4600000;52.3900000;52.3900000;50
20130201;000000;53.4600000;54.4600000;52.4800000;54.4600000;70
20130204;000000;55.0400000;55.0400000;55.0400000;55.0400000;80
20130207;000000;53.4600000;54.4600000;52.4700000;54.4600000;30
20130208;000000;55.4300000;55.4600000;55.4300000;55.4600000;60
20130211;000000;54.4600000;54.4600000;54.4600000;54.4600000;10
20130212;000000;53.4600000;57.9700000;53.4600000;57.9700000;70
20130213;000000;56.4600000;62.9900000;56.4600000;56.9700000;180
20130214;000000;56.0000000;57.9700000;56.0000000;56.9700000;50
20130215;000000;56.4600000;56.4600000;55.4600000;55.4600000;20
20130219;000000;54.4600000;54.4600000;54.4600000;54.4600000;10
20130220;000000;53.4600000;57.9700000;52.0700000;57.9700000;530
20130225;000000;55.0000000;55.0000000;55.0000000;55.0000000;10
20130226;000000;53.0200000;53.0200000;53.0100000;53.0100000;110
20130227;000000;53.4600000;53.4600000;53.4600000;53.4600000;10
20130228;000000;53.9000000;53.9000000;53.9000000;53.9000000;40
20130301;000000;52.4700000;56.9600000;52.4600000;53.4600000;100
20130304;000000;53.4600000;53.4600000;52.0500000;52.0500000;30
20130305;000000;53.4600000;54.4600000;53.4600000;54.4600000;20
20130306;000000;53.4600000;54.0000000;50.9200000;54.0000000;80
20130311;000000;46.8000000;55.9000000;46.8000000;55.9000000;170
20130312;000000;53.5000000;54.4600000;53.4600000;54.4600000;50
20130318;000000;53.4600000;53.4600000;53.4600000;53.4600000;10
20130321;000000;52.2700000;54.6300000;52.2700000;54.6300000;200
20130322;000000;53.2600000;53.2600000;53.2600000;53.2600000;10
20130401;000000;50.8400000;50.8400000;50.8400000;50.8400000;10
20130402;000000;51.9900000;53.0000000;51.9900000;53.0000000;230
20130404;000000;56.9600000;57.0000000;53.0000000;53.0000000;1880
20130408;000000;50.8300000;51.0000000;50.8300000;50.8300000;230
20130410;000000;50.1700000;50.1700000;50.1600000;50.1700000;790
20130411;000000;52.0000000;52.0000000;50.0000000;50.0000000;2000
20130412;000000;50.0100000;50.0100000;50.0100000;50.0100000;10
20130416;000000;55.5500000;55.5500000;55.5500000;55.5500000;10
20130417;000000;53.0100000;53.0100000;53.0100000;53.0100000;10
20130423;000000;53.0100000;53.0100000;53.0000000;53.0000000;600
20130515;000000;53.0000000;53.0000000;53.0000000;53.0000000;10
20130520;000000;53.0000000;53.0000000;53.0000000;53.0000000;60
20130522;000000;55.8900000;55.9700000;55.8900000;55.9700000;100
20130523;000000;55.9700000;60.4800000;55.9700000;60.4800000;3170
20130524;000000;60.0800000;61.5000000;60.0800000;61.5000000;100
20130603;000000;60.0300000;60.0300000;60.0300000;60.0300000;10
20130610;000000;66.6700000;73.5000000;66.6700000;70.0000000;320
20130611;000000;67.0000000;67.0000000;60.9500000;60.9500000;130
20130613;000000;59.7300000;63.8100000;59.4600000;63.8100000;50
20130614;000000;58.7600000;58.7600000;58.7500000;58.7500000;20
20130617;000000;64.6500000;65.0000000;64.6500000;65.0000000;760
20130619;000000;72.7200000;73.8100000;59.1300000;59.1300000;80
20130708;000000;70.0000000;79.9900000;68.0300000;68.0600000;540
20130709;000000;67.4600000;78.0000000;67.4600000;75.0000000;1540
20130710;000000;75.9900000;87.3100000;75.9900000;86.3000000;8850
20130711;000000;87.3500000;96.0700000;87.3500000;88.0000000;560
