<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;2025.1000000;2161.8000000;2025.0000000;2161.8000000;43
20130109;000000;2150.3000000;2150.3000000;2150.3000000;2150.3000000;8
20130110;000000;2194.7000000;2194.7000000;2194.7000000;2194.7000000;1
20130111;000000;2103.1000000;2103.1000000;2103.1000000;2103.1000000;1
20130114;000000;2156.9000000;2156.9000000;2077.7000000;2080.9000000;350
20130115;000000;2050.7000000;2120.4000000;2050.7000000;2086.1000000;4
20130116;000000;2075.1000000;2075.1000000;2055.5000000;2070.0000000;107
20130117;000000;2106.2000000;2126.3000000;2080.0000000;2101.2000000;54
20130118;000000;2100.0000000;2100.0000000;2069.9000000;2070.0000000;95
20130121;000000;2045.2000000;2045.2000000;2045.2000000;2045.2000000;1
20130122;000000;2150.0000000;2242.3000000;2100.0000000;2100.0000000;2452
20130123;000000;2134.6000000;2161.5000000;2100.0000000;2100.0000000;1763
20130124;000000;2111.1000000;2111.1000000;2111.1000000;2111.1000000;1
20130125;000000;2115.0000000;2120.0000000;2108.1000000;2114.9000000;101
20130128;000000;2118.5000000;2118.5000000;2097.0000000;2100.0000000;213
20130129;000000;2085.0000000;2121.7000000;2045.0000000;2085.9000000;279
20130130;000000;2067.6000000;2067.6000000;2067.2000000;2067.2000000;29
20130131;000000;2130.1000000;2197.7000000;2071.2000000;2071.2000000;116
20130204;000000;2109.9000000;2400.0000000;2060.0000000;2085.0000000;136
20130205;000000;2055.0000000;2080.7000000;2050.0000000;2052.1000000;388
20130206;000000;2050.0000000;2050.0000000;2003.0000000;2003.0000000;87
20130207;000000;2060.0000000;2060.0000000;2060.0000000;2060.0000000;10
20130208;000000;2049.9000000;2049.9000000;2049.9000000;2049.9000000;1
20130211;000000;2050.0000000;2050.0000000;2050.0000000;2050.0000000;1
20130212;000000;2044.9000000;2189.0000000;2044.9000000;2130.0000000;21
20130213;000000;2122.0000000;2130.4000000;2076.0000000;2118.0000000;65
20130215;000000;2100.1000000;2100.1000000;2100.0000000;2100.0000000;3
20130220;000000;2040.1000000;2040.1000000;2022.9000000;2022.9000000;64
20130221;000000;2003.4000000;2003.4000000;2003.1000000;2003.1000000;9
