<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;1800.0000000;1800.0000000;1750.0000000;1750.0000000;8
20130110;000000;1900.0000000;1900.1000000;1900.0000000;1900.0000000;51
20130115;000000;1943.9000000;2090.0000000;1943.9000000;2090.0000000;992
20130116;000000;2090.0000000;2187.0000000;2090.0000000;2090.0000000;12
20130117;000000;1808.5000000;1808.5000000;1808.5000000;1808.5000000;1
20130118;000000;1900.0000000;1900.0000000;1900.0000000;1900.0000000;1
20130121;000000;1990.0000000;1990.0000000;1990.0000000;1990.0000000;22
20130122;000000;2000.0000000;2100.0000000;2000.0000000;2100.0000000;227
20130125;000000;1950.5000000;1950.5000000;1950.0000000;1950.0000000;259
20130128;000000;1822.0000000;2095.0000000;1821.9000000;2095.0000000;324
20130129;000000;1970.0000000;2066.0000000;1970.0000000;2066.0000000;41
20130130;000000;2000.0000000;2000.0000000;2000.0000000;2000.0000000;1
20130131;000000;1900.1000000;1900.1000000;1900.1000000;1900.1000000;1
20130201;000000;2049.8000000;2050.0000000;1950.0000000;2048.9000000;100
20130205;000000;1825.1000000;1999.9000000;1825.0000000;1999.9000000;39
20130208;000000;1855.3000000;2099.9000000;1756.2000000;2000.0000000;50
20130211;000000;2099.9000000;2143.6000000;2000.0000000;2143.6000000;16
20130212;000000;2135.0000000;2300.0000000;2135.0000000;2300.0000000;783
20130213;000000;2374.6000000;2580.0000000;2300.0000000;2302.0000000;30
20130214;000000;2400.0000000;2400.0000000;2302.0000000;2302.0000000;14
20130215;000000;2578.6000000;2578.6000000;2400.2000000;2400.2000000;3
20130219;000000;2499.9000000;2988.8000000;2499.9000000;2670.0000000;114
20130220;000000;2600.0000000;2700.0000000;2600.0000000;2700.0000000;41
20130221;000000;2900.0000000;3598.8000000;2750.0000000;2999.0000000;360
20130222;000000;2999.9000000;3099.8000000;2750.1000000;3030.5000000;11
20130225;000000;3099.5000000;3174.9000000;3099.5000000;3174.9000000;19
20130226;000000;3011.0000000;3099.0000000;3000.0000000;3000.0000000;12
20130227;000000;3029.8000000;3029.8000000;3029.8000000;3029.8000000;1
20130228;000000;2850.1000000;3050.0000000;2850.0000000;2900.0000000;157
20130301;000000;2950.0000000;2994.4000000;2900.0000000;2994.4000000;94
20130304;000000;3124.7000000;3124.7000000;2900.0000000;2900.0000000;115
20130305;000000;2920.0000000;2920.0000000;2920.0000000;2920.0000000;33
20130306;000000;2880.1000000;2882.0000000;2880.1000000;2882.0000000;12
20130314;000000;2882.2000000;3439.0000000;2882.2000000;3439.0000000;110
20130319;000000;3001.1000000;3001.1000000;3001.1000000;3001.1000000;4
20130320;000000;2750.3000000;2844.9000000;2750.0000000;2750.0000000;210
20130321;000000;2898.9000000;2898.9000000;2898.9000000;2898.9000000;1
20130322;000000;2700.1000000;2700.1000000;2700.0000000;2700.0000000;10
20130408;000000;2844.9000000;2844.9000000;2844.9000000;2844.9000000;4
20130409;000000;2844.9000000;2844.9000000;2844.9000000;2844.9000000;4
20130412;000000;2844.9000000;2844.9000000;2500.0000000;2844.9000000;3
20130415;000000;2500.3000000;2789.9000000;2198.1000000;2198.7000000;19
20130416;000000;2500.0000000;2500.0000000;2500.0000000;2500.0000000;3
20130417;000000;2694.9000000;2694.9000000;2500.0000000;2500.0000000;5
20130419;000000;2695.0000000;2695.0000000;2695.0000000;2695.0000000;1
20130422;000000;2474.8000000;2480.0000000;2474.8000000;2480.0000000;2
20130424;000000;2467.0000000;2467.0000000;2467.0000000;2467.0000000;1
20130430;000000;2465.5000000;2465.5000000;2465.5000000;2465.5000000;1
20130502;000000;1960.0000000;2180.0000000;1960.0000000;2180.0000000;2
20130508;000000;2182.6000000;2183.0000000;2182.6000000;2183.0000000;3
20130510;000000;2000.0000000;2000.0000000;2000.0000000;2000.0000000;1
20130513;000000;2300.0000000;2600.0000000;2300.0000000;2300.0000000;121
20130514;000000;2250.1000000;2250.1000000;2250.1000000;2250.1000000;2
20130515;000000;2200.4000000;2200.4000000;2200.0000000;2200.0000000;40
20130516;000000;2200.6000000;2200.6000000;2200.6000000;2200.6000000;2
20130517;000000;2199.9000000;2199.9000000;2199.9000000;2199.9000000;1
20130520;000000;2467.9000000;2468.0000000;2467.9000000;2468.0000000;10
20130524;000000;2201.2000000;2201.2000000;2201.2000000;2201.2000000;10
20130528;000000;2005.1000000;2494.9000000;2005.1000000;2494.9000000;14
20130603;000000;2400.0000000;2400.0000000;2400.0000000;2400.0000000;30
20130604;000000;2690.0000000;2700.0000000;2690.0000000;2700.0000000;86
20130610;000000;2700.0000000;2700.0000000;2700.0000000;2700.0000000;1
20130614;000000;2350.0000000;2400.0000000;2300.2000000;2400.0000000;3
20130619;000000;2400.0000000;2400.0000000;2400.0000000;2400.0000000;1
20130704;000000;2404.3000000;2404.3000000;2400.3000000;2400.3000000;18
20130705;000000;2599.9000000;2600.0000000;2599.9000000;2600.0000000;28
20130710;000000;2100.0000000;2750.0000000;2100.0000000;2369.9000000;69
20130711;000000;2798.0000000;2798.0000000;2300.0000000;2325.0000000;21
20130712;000000;2419.7000000;2420.0000000;2419.7000000;2420.0000000;8
20130716;000000;2789.9000000;2789.9000000;2599.9000000;2599.9000000;2
20130717;000000;2599.8000000;2599.8000000;2599.8000000;2599.8000000;1
20130718;000000;2599.7000000;2599.7000000;2599.7000000;2599.7000000;1
20130719;000000;2599.7000000;2599.7000000;2599.7000000;2599.7000000;1
20130723;000000;2599.4000000;2599.5000000;2599.4000000;2599.5000000;19
20130724;000000;2800.0000000;2800.0000000;2800.0000000;2800.0000000;1
20130725;000000;2522.0000000;2522.0000000;2522.0000000;2522.0000000;3
20130726;000000;2522.0000000;2522.0000000;2522.0000000;2522.0000000;2
20130801;000000;2351.8000000;2351.8000000;2351.8000000;2351.8000000;1
20130805;000000;2520.0000000;2520.0000000;2514.9000000;2515.0000000;104
20130807;000000;2600.0000000;2600.0000000;2600.0000000;2600.0000000;10
20130814;000000;2300.1000000;2300.1000000;2300.1000000;2300.1000000;1
20130912;000000;2399.9000000;2400.0000000;2399.9000000;2400.0000000;201
20130916;000000;2399.0000000;2399.0000000;2399.0000000;2399.0000000;2
20130917;000000;2424.9000000;2424.9000000;2424.9000000;2424.9000000;137
20130919;000000;2324.9000000;2324.9000000;2324.9000000;2324.9000000;500
20130920;000000;2200.0000000;2200.0000000;2200.0000000;2200.0000000;2
20130927;000000;2100.1000000;2100.1000000;2100.0000000;2100.0000000;43
20130930;000000;2100.0000000;2100.0000000;2100.0000000;2100.0000000;500
20131001;000000;2000.0000000;2000.0000000;1905.0000000;1905.0000000;141
20131002;000000;1900.1000000;1900.1000000;1900.0000000;1900.0000000;40
20131004;000000;1999.9000000;1999.9000000;1999.9000000;1999.9000000;1
20131008;000000;1999.9000000;2000.0000000;1999.9000000;2000.0000000;2
20131011;000000;1900.0000000;1900.0000000;1900.0000000;1900.0000000;2
20131016;000000;2000.0000000;2000.0000000;2000.0000000;2000.0000000;3
20131017;000000;1950.1000000;1950.1000000;1900.0000000;1900.0000000;52
20131018;000000;1910.0000000;1910.0000000;1900.0000000;1900.0000000;50
20131021;000000;1900.0000000;1900.0000000;1900.0000000;1900.0000000;3
20131022;000000;1850.1000000;1850.1000000;1850.1000000;1850.1000000;2
20131107;000000;1969.5000000;1989.7000000;1969.5000000;1989.7000000;138
20131115;000000;1900.0000000;1912.8000000;1821.1000000;1912.8000000;9
20131118;000000;1821.1000000;1821.1000000;1811.1000000;1811.1000000;25
20131120;000000;1731.1000000;1731.1000000;1700.0000000;1700.0000000;54
20131203;000000;1799.9000000;1799.9000000;1799.9000000;1799.9000000;1
20131204;000000;1840.1000000;1840.1000000;1600.0000000;1600.0000000;101
20131218;000000;1600.0000000;1600.0000000;1550.2000000;1600.0000000;56
20131223;000000;1505.0000000;1505.0000000;1504.9000000;1504.9000000;7
20131226;000000;1530.2000000;1530.2000000;1530.1000000;1530.1000000;10
20131230;000000;1790.1000000;1875.2000000;1790.0000000;1869.9000000;55
