<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130111;000000;6.5100000;6.5100000;6.5100000;6.5100000;2010000
20130115;000000;6.4900000;6.4900000;6.4900000;6.4900000;3000
20130116;000000;6.5200000;6.5200000;6.5200000;6.5200000;64000
20130118;000000;6.5100000;6.5100000;6.4700000;6.5000000;75000
20130121;000000;6.5100000;6.5100000;6.5100000;6.5100000;14000
20130122;000000;6.5000000;6.5000000;6.5000000;6.5000000;3000
20130123;000000;6.5500000;6.5500000;6.5500000;6.5500000;61000
20130125;000000;6.5700000;6.5700000;6.5700000;6.5700000;45000
20130130;000000;6.5700000;6.7200000;6.4000000;6.7200000;6000
20130131;000000;6.5200000;6.5200000;6.5200000;6.5200000;21000
20130204;000000;6.5300000;6.5300000;6.5300000;6.5300000;20000
20130207;000000;6.5700000;6.5700000;6.5700000;6.5700000;5000
20130213;000000;6.5100000;6.5100000;6.5100000;6.5100000;23000
20130214;000000;6.4600000;6.5400000;6.4600000;6.5400000;50000
20130215;000000;6.5700000;6.5700000;6.4800000;6.5000000;333000
20130218;000000;6.4600000;6.5900000;6.4600000;6.5900000;321000
20130219;000000;6.5400000;6.5400000;6.5400000;6.5400000;297000
20130220;000000;6.4600000;6.4800000;6.4600000;6.4800000;364000
20130221;000000;6.5400000;6.5400000;6.5400000;6.5400000;208000
20130222;000000;6.5400000;6.5400000;6.5400000;6.5400000;230000
20130225;000000;6.6000000;6.6000000;6.6000000;6.6000000;1000
20130226;000000;6.5300000;6.5300000;6.5300000;6.5300000;2600000
20130301;000000;6.6000000;6.6000000;6.6000000;6.6000000;10000
20130304;000000;6.6000000;6.6000000;6.6000000;6.6000000;2000
20130305;000000;6.6000000;6.6300000;6.6000000;6.6300000;104000
20130306;000000;6.4000000;6.6300000;6.4000000;6.6300000;54000
20130311;000000;6.7000000;6.7000000;6.7000000;6.7000000;2000
20130312;000000;6.6300000;6.6300000;6.6300000;6.6300000;42000
20130313;000000;6.6500000;6.6500000;6.6500000;6.6500000;4000
20130315;000000;6.6500000;6.6500000;6.6500000;6.6500000;15000
20130319;000000;6.7000000;6.7000000;6.7000000;6.7000000;2000
20130320;000000;6.6700000;6.6800000;6.6500000;6.6500000;141000
20130321;000000;6.8000000;6.8000000;6.7000000;6.7000000;7000
20130322;000000;6.6000000;6.6000000;6.6000000;6.6000000;5000
20130326;000000;6.7000000;6.7000000;6.7000000;6.7000000;202000
20130327;000000;6.7800000;6.7800000;6.7800000;6.7800000;29000
20130328;000000;6.8000000;6.8000000;6.8000000;6.8000000;24000
20130329;000000;6.6000000;6.8000000;6.6000000;6.8000000;30000
20130401;000000;6.7500000;6.7500000;6.7500000;6.7500000;54000
20130403;000000;6.8000000;6.8000000;6.8000000;6.8000000;17000
20130408;000000;6.8000000;6.8000000;6.8000000;6.8000000;8000
20130415;000000;6.8000000;6.8000000;6.8000000;6.8000000;1000
20130416;000000;6.8000000;6.8000000;6.7900000;6.7900000;197000
20130417;000000;6.8000000;6.8000000;6.7500000;6.7500000;71000
20130418;000000;6.7800000;6.7900000;6.7800000;6.7900000;96000
20130422;000000;6.8000000;6.8000000;6.8000000;6.8000000;30000
20130423;000000;6.8000000;6.8000000;6.8000000;6.8000000;143000
20130424;000000;6.7250000;6.8000000;6.7250000;6.8000000;155000
20130429;000000;6.8000000;6.8390000;6.8000000;6.8390000;49000
20130510;000000;6.8000000;6.8000000;6.8000000;6.8000000;77000
20130513;000000;6.8490000;6.8490000;6.8490000;6.8490000;2000
20130514;000000;6.8000000;6.8000000;6.8000000;6.8000000;73000
20130516;000000;6.8200000;6.8200000;6.8200000;6.8200000;10000
20130521;000000;6.6000000;6.8491000;6.6000000;6.8491000;4000
20130528;000000;6.8490000;6.8490000;6.8490000;6.8490000;4000
20130610;000000;6.8479000;6.8479000;6.8479000;6.8479000;10000
20130611;000000;6.8490000;6.8490000;6.8490000;6.8490000;1000
20130621;000000;6.8490000;6.8490000;6.8490000;6.8490000;30000
20130627;000000;6.8000000;6.8000000;6.8000000;6.8000000;60000
20130703;000000;6.8400000;6.8400000;6.8400000;6.8400000;1000
20130704;000000;6.8400000;6.8400000;6.8000000;6.8000000;90000
20130708;000000;6.8490000;6.8490000;6.8400000;6.8400000;586000
20130710;000000;6.8400000;6.8400000;6.8400000;6.8400000;360000
20130712;000000;6.6010000;6.6011000;6.6002000;6.6011000;106000
20130722;000000;6.8482000;6.8482000;6.8482000;6.8482000;115000
20130723;000000;6.6500000;6.6500000;6.6500000;6.6500000;180000
20130724;000000;6.8500000;6.8500000;6.8500000;6.8500000;2000
20130725;000000;6.8489000;6.8489000;6.8489000;6.8489000;89000
20130726;000000;6.8486000;6.8486000;6.8486000;6.8486000;350000
20130806;000000;6.8490000;6.8499000;6.8490000;6.8499000;20000
20130808;000000;6.8490000;6.8496000;6.8490000;6.8493000;27000
20130809;000000;6.8490000;6.8500000;6.8490000;6.8500000;70000
20130813;000000;6.8490000;6.8500000;6.8490000;6.8500000;50000
20130814;000000;6.8490000;6.8491000;6.8490000;6.8491000;2000
20130919;000000;6.8000000;6.8000000;6.8000000;6.8000000;20000
20130920;000000;6.8000000;6.8000000;6.8000000;6.8000000;80000
